date,betten_belegt,betten_frei
2020-04-24,127,41
2020-04-25,126,42
2020-04-26,125,43
2020-04-27,128,40
2020-04-28,133,35
2020-04-29,133,35
2020-04-30,133,35
2020-05-01,131,37
2020-05-02,133,34
2020-05-03,130,37
2020-05-04,126,41
2020-05-05,135,32
2020-05-06,135,32
2020-05-07,136,31
2020-05-08,136,32
2020-05-09,127,40
2020-05-10,129,38
2020-05-11,132,34
2020-05-12,141,25
2020-05-13,139,29
2020-05-14,142,36
2020-05-15,142,36
2020-05-16,129,38
2020-05-17,127,25
2020-05-18,128,27
2020-05-19,136,23
2020-05-20,136,24
2020-05-21,130,30
2020-05-22,133,26
2020-05-23,137,22
2020-05-24,131,34
2020-05-25,131,36
2020-05-26,130,37
2020-05-27,138,29
2020-05-28,144,23
2020-05-29,139,28
2020-05-30,137,91
2020-05-31,137,92
2020-06-01,135,94
2020-06-02,133,96
2020-06-03,137,92
2020-06-04,136,91
2020-06-05,132,89
2020-06-06,134,87
2020-06-07,131,90
2020-06-08,128,93
2020-06-09,132,87
2020-06-10,131,88
2020-06-11,132,87
2020-06-12,131,88
2020-06-13,135,85
2020-06-14,136,84
2020-06-15,129,91
2020-06-16,129,91
2020-06-17,136,84
2020-06-18,138,82
2020-06-19,137,83
2020-06-20,136,84
2020-06-21,132,86
2020-06-22,128,90
2020-06-23,131,89
2020-06-24,132,88
2020-06-25,131,89
2020-06-26,127,93
2020-06-27,124,96
2020-06-28,133,93
2020-06-29,134,92
2020-06-30,126,92
2020-07-01,129,89
2020-07-02,134,83
2020-07-03,136,81
2020-07-04,136,83
2020-07-05,135,84
2020-07-06,127,92
2020-07-07,131,87
2020-07-08,136,82
2020-07-09,136,83
2020-07-10,139,81
2020-07-11,140,80
2020-07-12,133,85
2020-07-13,132,86
2020-07-14,122,88
2020-07-15,133,79
2020-07-16,130,82
2020-07-17,131,81
2020-07-18,127,92
2020-07-19,126,93
2020-07-20,128,91
2020-07-21,135,84
2020-07-22,135,84
2020-07-23,130,89
2020-07-24,139,80
2020-07-25,135,84
2020-07-26,129,90
2020-07-27,129,90
2020-07-28,131,88
2020-07-29,125,94
2020-07-30,148,111
