date,betten_belegt,betten_frei
2020-04-24,10,8
2020-04-25,10,8
2020-04-26,7,11
2020-04-27,6,12
2020-04-28,6,12
2020-04-29,7,11
2020-04-30,6,12
2020-05-01,6,12
2020-05-02,11,7
2020-05-03,6,12
2020-05-04,5,13
2020-05-05,6,12
2020-05-06,5,13
2020-05-07,2,17
2020-05-08,2,17
2020-05-09,6,13
2020-05-10,5,14
2020-05-11,1,18
2020-05-12,1,11
2020-05-13,3,10
2020-05-14,19,19
2020-05-15,21,17
2020-05-16,25,13
2020-05-17,23,15
2020-05-18,25,12
2020-05-19,23,14
2020-05-20,27,10
2020-05-21,23,14
2020-05-22,26,11
2020-05-23,22,15
2020-05-24,20,17
2020-05-25,19,18
2020-05-26,19,18
2020-05-27,23,14
2020-05-28,24,13
2020-05-29,24,13
2020-05-30,29,7
2020-05-31,26,11
2020-06-01,23,14
2020-06-02,23,14
2020-06-03,28,9
2020-06-04,28,9
2020-06-05,24,13
2020-06-06,24,13
2020-06-07,25,12
2020-06-08,23,14
2020-06-09,23,14
2020-06-10,27,10
2020-06-11,27,10
2020-06-12,28,9
2020-06-13,25,12
2020-06-14,24,13
2020-06-15,22,15
2020-06-16,20,17
2020-06-17,22,15
2020-06-18,28,9
2020-06-19,22,15
2020-06-20,24,13
2020-06-21,22,15
2020-06-22,21,16
2020-06-23,19,18
2020-06-24,19,18
2020-06-25,22,15
2020-06-26,24,13
2020-06-27,23,14
2020-06-28,21,16
2020-06-29,24,13
2020-06-30,22,15
2020-07-01,25,12
2020-07-02,27,10
2020-07-03,21,16
2020-07-04,23,14
2020-07-05,22,15
2020-07-06,26,11
2020-07-07,24,13
2020-07-08,25,12
2020-07-09,22,15
2020-07-10,23,14
2020-07-11,24,13
2020-07-12,24,13
2020-07-13,24,13
2020-07-14,27,10
2020-07-15,25,12
2020-07-16,25,12
2020-07-17,26,9
2020-07-18,29,6
2020-07-19,27,8
2020-07-20,27,10
2020-07-21,23,12
2020-07-22,27,8
2020-07-23,29,7
2020-07-24,27,10
2020-07-25,31,6
2020-07-26,28,9
2020-07-27,29,8
2020-07-28,26,11
2020-07-29,30,7
2020-07-30,29,8
2020-07-31,21,16
2020-08-01,24,13
2020-08-02,25,12
2020-08-03,23,14
2020-08-04,24,13
2020-08-05,26,11
2020-08-06,26,11
2020-08-07,26,11
2020-08-08,28,9
2020-08-09,23,14
2020-08-10,26,11
2020-08-11,29,8
2020-08-12,31,6
2020-08-13,31,6
2020-08-14,28,9
2020-08-15,27,10
2020-08-16,28,9
2020-08-17,29,8
2020-08-18,26,11
2020-08-19,26,11
2020-08-20,28,9
2020-08-21,27,10
2020-08-22,29,8
2020-08-23,30,7
2020-08-24,25,12
2020-08-25,24,13
2020-08-26,27,10
2020-08-27,30,7
2020-08-28,27,10
2020-08-29,31,6
2020-08-30,32,5
2020-08-31,32,5
2020-09-01,30,7
2020-09-02,26,11
2020-09-03,29,8
2020-09-04,32,5
2020-09-05,30,7
2020-09-06,30,7
2020-09-07,32,5
2020-09-08,31,6
2020-09-09,32,5
2020-09-10,31,6
2020-09-11,28,9
2020-09-12,25,12
2020-09-13,28,9
2020-09-14,29,8
2020-09-15,26,11
2020-09-16,26,11
2020-09-17,28,9
2020-09-18,31,6
2020-09-19,30,7
2020-09-20,28,9
2020-09-21,28,9
2020-09-22,30,7
2020-09-23,22,15
2020-09-24,27,10
2020-09-25,25,12
2020-09-26,32,5
2020-09-27,25,12
2020-09-28,28,9
2020-09-29,27,10
2020-09-30,26,11
2020-10-01,26,11
2020-10-02,29,8
2020-10-03,23,14
2020-10-04,26,11
2020-10-05,28,9
2020-10-06,27,10
2020-10-07,31,6
2020-10-08,30,7
2020-10-09,28,9
2020-10-10,24,13
2020-10-11,27,10
2020-10-12,27,10
2020-10-13,29,8
2020-10-14,23,14
2020-10-15,26,11
2020-10-16,24,13
2020-10-17,23,14
2020-10-18,24,11
2020-10-19,26,11
2020-10-20,27,10
2020-10-21,27,10
2020-10-22,30,7
2020-10-23,30,7
2020-10-24,31,6
2020-10-25,32,5
2020-10-26,29,8
2020-10-27,28,9
2020-10-28,28,9
2020-10-29,27,10
2020-10-30,31,6
2020-10-31,28,9
2020-11-01,27,10
2020-11-02,25,12
2020-11-03,26,11
