date,betten_belegt,betten_frei
2020-04-24,73,21
2020-04-25,66,20
2020-04-26,62,25
2020-04-27,62,25
2020-04-28,64,22
2020-04-29,65,19
2020-04-30,63,16
2020-05-01,62,16
2020-05-02,64,14
2020-05-03,60,18
2020-05-04,58,20
2020-05-05,65,14
2020-05-06,63,14
2020-05-07,57,20
2020-05-08,56,25
2020-05-09,63,14
2020-05-10,59,15
2020-05-11,61,16
2020-05-12,62,9
2020-05-13,58,19
2020-05-14,58,21
2020-05-15,67,12
2020-05-16,61,18
2020-05-17,54,21
2020-05-18,54,24
2020-05-19,56,22
2020-05-20,61,20
2020-05-21,56,23
2020-05-22,60,18
2020-05-23,60,18
2020-05-24,55,26
2020-05-25,57,24
2020-05-26,60,20
2020-05-27,62,16
2020-05-28,63,14
2020-05-29,60,19
2020-05-30,62,16
2020-05-31,55,25
2020-06-01,56,22
2020-06-02,51,28
2020-06-03,55,24
2020-06-04,61,20
2020-06-05,58,23
2020-06-06,57,24
2020-06-07,58,27
2020-06-08,57,24
2020-06-09,63,20
2020-06-10,58,21
2020-06-11,58,19
2020-06-12,58,22
2020-06-13,56,24
2020-06-14,50,31
2020-06-15,52,28
2020-06-16,63,17
2020-06-17,67,11
2020-06-18,62,16
2020-06-19,63,15
2020-06-20,60,18
2020-06-21,56,22
2020-06-22,66,31
2020-06-23,71,26
2020-06-24,70,30
2020-06-25,71,29
2020-06-26,76,22
2020-06-27,81,21
2020-06-28,70,28
2020-06-29,67,31
2020-06-30,75,24
2020-07-01,74,22
2020-07-02,71,21
2020-07-03,73,21
2020-07-04,74,20
2020-07-05,70,24
2020-07-06,65,30
2020-07-07,66,28
2020-07-08,70,24
2020-07-09,70,23
2020-07-10,68,24
2020-07-11,69,25
2020-07-12,63,32
2020-07-13,63,33
2020-07-14,71,22
2020-07-15,71,22
2020-07-16,73,20
2020-07-17,74,19
2020-07-18,72,24
2020-07-19,67,29
2020-07-20,65,24
2020-07-21,67,25
2020-07-22,72,20
2020-07-23,74,23
2020-07-24,73,23
2020-07-25,74,25
2020-07-26,68,31
2020-07-27,71,25
2020-07-28,75,20
2020-07-29,76,21
2020-07-30,74,22
2020-07-31,74,26
2020-08-01,67,32
2020-08-02,65,34
2020-08-03,69,29
2020-08-04,76,22
2020-08-05,78,19
2020-08-06,73,24
2020-08-07,80,17
2020-08-08,80,17
2020-08-09,81,16
2020-08-10,76,20
2020-08-11,74,19
2020-08-12,72,22
2020-08-13,76,18
2020-08-14,81,12
2020-08-15,81,13
2020-08-16,78,15
2020-08-17,76,18
2020-08-18,79,13
2020-08-19,81,13
2020-08-20,80,13
2020-08-21,78,15
2020-08-22,72,22
2020-08-23,66,28
2020-08-24,68,24
2020-08-25,69,25
2020-08-26,72,22
2020-08-27,70,24
2020-08-28,74,20
2020-08-29,74,22
2020-08-30,79,15
2020-08-31,74,19
2020-09-01,81,13
2020-09-02,76,18
2020-09-03,79,15
2020-09-04,80,14
2020-09-05,80,13
2020-09-06,72,21
2020-09-07,72,21
2020-09-08,71,23
2020-09-09,73,21
2020-09-10,72,22
2020-09-11,83,11
2020-09-12,79,15
2020-09-13,72,22
2020-09-14,69,25
2020-09-15,74,20
2020-09-16,78,16
2020-09-17,75,19
2020-09-18,82,12
2020-09-19,76,18
2020-09-20,75,19
2020-09-21,77,17
2020-09-22,81,13
2020-09-23,79,15
2020-09-24,79,15
2020-09-25,80,14
2020-09-26,80,14
2020-09-27,70,24
2020-09-28,75,19
2020-09-29,70,23
2020-09-30,69,24
2020-10-01,70,23
2020-10-02,73,21
2020-10-03,76,18
2020-10-04,69,23
2020-10-05,73,21
2020-10-06,81,13
2020-10-07,85,9
2020-10-08,84,10
2020-10-09,83,11
2020-10-10,83,11
2020-10-11,78,16
2020-10-12,78,16
2020-10-13,78,16
2020-10-14,73,21
2020-10-15,80,14
2020-10-16,79,15
2020-10-17,75,20
2020-10-18,71,21
2020-10-19,70,22
2020-10-20,75,17
2020-10-21,80,12
2020-10-22,80,12
2020-10-23,82,12
2020-10-24,79,15
2020-10-25,77,17
2020-10-26,72,22
2020-10-27,82,12
2020-10-28,77,17
2020-10-29,72,20
2020-10-30,76,16
2020-10-31,79,13
2020-11-01,72,20
2020-11-02,68,24
2020-11-03,73,19
2020-11-04,72,20
2020-11-05,71,20
2020-11-06,72,19
2020-11-07,70,21
2020-11-08,73,18
2020-11-09,61,30
2020-11-10,65,26
2020-11-11,72,21
2020-11-12,73,20
2020-11-13,77,16
2020-11-14,81,12
2020-11-15,80,13
2020-11-16,77,16
2020-11-17,76,17
2020-11-18,75,16
2020-11-19,77,14
2020-11-20,78,13
2020-11-21,75,14
2020-11-22,71,20
2020-11-23,71,20
2020-11-24,78,14
2020-11-25,77,14
2020-11-26,82,9
2020-11-27,78,13
2020-11-28,73,10
2020-11-29,76,15
2020-11-30,78,13
2020-12-01,83,9
2020-12-02,81,11
2020-12-03,82,10
2020-12-04,79,13
2020-12-05,80,12
2020-12-06,78,14
2020-12-07,76,16
2020-12-08,78,14
2020-12-09,84,8
2020-12-10,82,10
2020-12-11,80,13
2020-12-12,80,13
2020-12-13,72,21
2020-12-14,72,21
2020-12-15,75,14
2020-12-16,79,11
2020-12-17,79,11
2020-12-18,79,12
2020-12-19,77,14
2020-12-20,76,15
2020-12-21,82,11
2020-12-22,78,15
2020-12-23,79,14
2020-12-24,84,9
2020-12-25,83,10
2020-12-26,78,15
2020-12-27,78,15
2020-12-28,80,13
2020-12-29,80,13
2020-12-30,83,10
2020-12-31,78,15
2021-01-01,77,16
2021-01-02,75,18
2021-01-03,74,19
2021-01-04,78,15
2021-01-05,85,12
2021-01-06,86,11
2021-01-07,86,11
2021-01-08,86,11
2021-01-09,80,17
2021-01-10,81,16
2021-01-11,79,18
2021-01-12,81,12
2021-01-13,79,14
2021-01-14,80,13
2021-01-15,79,14
2021-01-16,78,15
2021-01-17,73,20
2021-01-18,76,17
2021-01-19,78,11
2021-01-20,80,10
2021-01-21,83,6
2021-01-22,83,7
2021-01-23,82,7
2021-01-24,77,12
2021-01-25,77,12
2021-01-26,78,11
2021-01-27,81,8
2021-01-28,84,5
2021-01-29,81,8
2021-01-30,80,10
2021-01-31,79,11
2021-02-01,78,12
2021-02-02,78,12
2021-02-03,77,13
2021-02-04,79,11
2021-02-05,81,9
2021-02-06,78,12
2021-02-07,79,11
2021-02-08,78,12
2021-02-09,78,12
2021-02-10,79,11
2021-02-11,75,15
2021-02-12,79,11
2021-02-13,78,12
2021-02-14,74,16
2021-02-15,72,18
2021-02-16,77,13
2021-02-17,81,9
2021-02-18,82,8
2021-02-19,83,7
2021-02-20,80,10
2021-02-21,78,12
2021-02-22,80,10
2021-02-23,80,14
2021-02-24,79,15
2021-02-25,77,17
2021-02-26,83,11
2021-02-27,77,17
2021-02-28,73,21
2021-03-01,75,19
2021-03-02,82,12
2021-03-03,77,17
2021-03-04,70,24
2021-03-05,78,16
2021-03-06,80,14
2021-03-07,80,14
2021-03-08,79,15
2021-03-09,81,13
2021-03-10,78,16
2021-03-11,75,19
2021-03-12,79,15
2021-03-13,80,14
2021-03-14,76,18
2021-03-15,78,16
2021-03-16,77,17
2021-03-17,76,18
2021-03-18,80,14
2021-03-19,80,12
2021-03-20,83,9
2021-03-21,78,14
2021-03-22,79,13
2021-03-23,83,9
2021-03-24,85,7
2021-03-25,85,7
2021-03-26,83,9
2021-03-27,85,7
2021-03-28,79,11
2021-03-29,78,12
2021-03-30,81,9
2021-03-31,82,8
2021-04-01,81,9
2021-04-02,81,9
2021-04-03,79,11
2021-04-04,76,14
2021-04-05,79,12
2021-04-06,80,10
2021-04-07,79,11
2021-04-08,79,11
2021-04-09,81,9
2021-04-10,80,10
2021-04-11,78,12
2021-04-12,82,8
2021-04-13,84,7
2021-04-14,82,9
2021-04-15,80,11
2021-04-16,78,13
2021-04-17,79,12
2021-04-18,75,15
2021-04-19,77,14
2021-04-20,82,10
