date,betten_belegt,betten_frei
2020-04-24,21,23
2020-04-25,20,24
2020-04-26,23,19
2020-04-27,22,20
2020-04-28,20,24
2020-04-29,20,24
2020-04-30,20,20
2020-05-01,21,19
2020-05-02,15,29
2020-05-03,15,29
2020-05-04,15,29
2020-05-05,16,28
2020-05-06,16,28
2020-05-07,25,19
2020-05-08,25,19
2020-05-09,25,19
2020-05-10,25,19
2020-05-11,29,15
2020-05-12,27,17
2020-05-13,25,19
2020-05-14,25,19
2020-05-15,26,18
2020-05-16,25,19
2020-05-17,23,21
2020-05-18,23,21
2020-05-19,27,19
2020-05-20,26,20
2020-05-21,20,26
2020-05-22,21,25
2020-05-23,28,18
2020-05-24,29,17
2020-05-25,32,14
2020-05-26,33,13
2020-05-27,31,14
2020-05-28,30,15
2020-05-29,28,18
2020-05-30,28,18
2020-05-31,28,18
2020-06-01,27,19
2020-06-02,27,19
2020-06-03,27,19
2020-06-04,33,13
2020-06-05,32,14
2020-06-06,32,14
2020-06-07,32,14
2020-06-08,30,16
2020-06-09,35,11
2020-06-10,33,13
2020-06-11,33,13
2020-06-12,29,15
2020-06-13,29,10
2020-06-14,28,10
2020-06-15,29,9
2020-06-16,29,9
2020-06-17,32,6
2020-06-18,31,7
2020-06-19,33,5
2020-06-20,27,11
2020-06-21,27,11
2020-06-22,31,7
2020-06-23,31,7
2020-06-24,30,8
2020-06-25,30,8
2020-06-26,30,8
2020-06-27,31,7
2020-06-28,31,7
2020-06-29,32,6
2020-06-30,36,2
2020-07-01,35,3
2020-07-02,30,8
2020-07-03,35,3
2020-07-04,35,3
2020-07-05,31,7
2020-07-06,30,8
2020-07-07,33,5
2020-07-08,32,6
2020-07-09,33,5
2020-07-10,25,13
2020-07-11,26,12
2020-07-12,26,12
2020-07-13,18,20
2020-07-14,14,24
2020-07-15,19,19
2020-07-16,21,17
2020-07-17,28,10
2020-07-18,28,10
2020-07-19,26,8
2020-07-20,33,5
2020-07-21,30,8
2020-07-22,30,8
2020-07-23,34,4
2020-07-24,37,1
2020-07-25,37,1
2020-07-26,36,2
2020-07-27,36,2
2020-07-28,36,2
2020-07-29,36,2
2020-07-30,40,10
2020-07-31,44,8
2020-08-01,44,8
2020-08-02,41,7
2020-08-03,39,11
2020-08-04,43,7
2020-08-05,41,6
2020-08-06,40,7
2020-08-07,38,9
2020-08-08,34,13
2020-08-09,39,8
2020-08-10,38,9
2020-08-11,37,10
2020-08-12,36,11
2020-08-13,33,14
2020-08-14,35,12
2020-08-15,31,16
2020-08-16,31,16
2020-08-17,38,9
2020-08-18,38,9
2020-08-19,40,7
2020-08-20,39,8
2020-08-21,39,8
2020-08-22,34,13
2020-08-23,38,9
2020-08-24,37,10
2020-08-25,32,15
2020-08-26,32,15
2020-08-27,32,15
2020-08-28,35,12
2020-08-29,35,13
2020-08-30,33,15
2020-08-31,35,13
2020-09-01,35,13
2020-09-02,36,12
2020-09-03,36,12
2020-09-04,37,11
2020-09-05,34,14
2020-09-06,37,11
2020-09-07,42,6
2020-09-08,43,5
2020-09-09,39,9
2020-09-10,40,8
2020-09-11,39,9
2020-09-12,36,12
2020-09-13,35,13
2020-09-14,34,14
2020-09-15,38,10
2020-09-16,38,10
2020-09-17,37,11
2020-09-18,37,11
2020-09-19,38,10
2020-09-20,37,11
2020-09-21,37,11
2020-09-22,35,13
2020-09-23,33,15
2020-09-24,35,13
2020-09-25,35,13
2020-09-26,42,14
2020-09-27,42,14
2020-09-28,41,15
2020-09-29,39,17
2020-09-30,38,18
2020-10-01,34,22
2020-10-02,34,22
2020-10-03,32,24
2020-10-04,33,23
2020-10-05,35,21
2020-10-06,31,25
2020-10-07,32,24
2020-10-08,35,21
2020-10-09,40,16
2020-10-10,38,18
2020-10-11,36,20
2020-10-12,37,19
2020-10-13,33,23
2020-10-14,31,25
2020-10-15,35,21
2020-10-16,38,18
2020-10-17,36,19
2020-10-18,36,19
2020-10-19,40,15
2020-10-20,38,17
2020-10-21,39,16
2020-10-22,41,14
2020-10-23,42,13
2020-10-24,42,13
2020-10-25,41,14
2020-10-26,40,15
2020-10-27,39,16
2020-10-28,41,14
2020-10-29,46,9
2020-10-30,42,13
2020-10-31,43,12
2020-11-01,43,12
2020-11-02,39,16
2020-11-03,41,14
2020-11-04,44,11
2020-11-05,43,12
2020-11-06,46,9
2020-11-07,46,9
2020-11-08,44,11
2020-11-09,42,13
2020-11-10,40,15
2020-11-11,39,16
2020-11-12,41,14
2020-11-13,41,14
2020-11-14,37,18
2020-11-15,41,14
2020-11-16,39,16
2020-11-17,41,14
2020-11-18,41,14
2020-11-19,37,18
2020-11-20,37,18
2020-11-21,38,8
2020-11-22,37,9
2020-11-23,37,9
2020-11-24,34,5
2020-11-25,33,7
2020-11-26,35,5
2020-11-27,30,9
2020-11-28,31,8
2020-11-29,36,9
2020-11-30,38,7
2020-12-01,46,4
2020-12-02,41,7
2020-12-03,39,6
2020-12-04,43,4
2020-12-05,39,7
2020-12-06,43,5
2020-12-07,42,6
2020-12-08,45,5
2020-12-09,48,4
2020-12-10,49,4
2020-12-11,49,5
2020-12-12,49,5
2020-12-13,45,7
2020-12-14,47,7
2020-12-15,50,4
2020-12-16,52,3
2020-12-17,51,4
2020-12-18,48,5
2020-12-19,48,5
2020-12-20,47,7
2020-12-21,47,7
2020-12-22,41,9
2020-12-23,45,7
2020-12-24,43,9
2020-12-25,43,9
2020-12-26,45,7
2020-12-27,48,6
2020-12-28,48,6
2020-12-29,49,5
2020-12-30,42,10
2020-12-31,42,6
2021-01-01,41,7
2021-01-02,43,5
2021-01-03,43,5
2021-01-04,43,5
2021-01-05,45,5
2021-01-06,45,5
2021-01-07,45,5
2021-01-08,45,5
2021-01-09,48,4
2021-01-10,47,5
2021-01-11,47,5
2021-01-12,45,7
2021-01-13,46,6
2021-01-14,46,6
2021-01-15,48,5
2021-01-16,44,8
2021-01-17,45,7
2021-01-18,45,7
2021-01-19,48,6
2021-01-20,46,8
2021-01-21,50,6
2021-01-22,49,5
2021-01-23,45,7
2021-01-24,44,8
2021-01-25,45,8
2021-01-26,50,6
2021-01-27,46,8
2021-01-28,46,8
2021-01-29,42,10
2021-01-30,43,9
2021-01-31,42,10
2021-02-01,44,8
2021-02-02,44,8
2021-02-03,45,8
2021-02-04,43,7
2021-02-05,45,5
2021-02-06,43,6
2021-02-07,41,8
2021-02-08,40,9
2021-02-09,43,6
2021-02-10,44,7
2021-02-11,44,7
2021-02-12,44,7
2021-02-13,48,6
2021-02-14,49,5
2021-02-15,48,6
2021-02-16,43,9
2021-02-17,49,4
2021-02-18,42,9
2021-02-19,45,7
2021-02-20,46,6
2021-02-21,35,13
2021-02-22,37,11
2021-02-23,43,7
2021-02-24,46,5
2021-02-25,44,7
2021-02-26,43,8
2021-02-27,43,8
2021-02-28,44,7
2021-03-01,44,5
2021-03-02,42,8
2021-03-03,42,8
2021-03-04,47,5
2021-03-05,46,6
2021-03-06,47,5
2021-03-07,46,6
2021-03-08,46,6
