date,betten_belegt,betten_frei
2020-04-24,56,70
2020-04-25,54,72
2020-04-26,60,66
2020-04-27,61,55
2020-04-28,57,59
2020-04-29,52,64
2020-04-30,56,60
2020-05-01,56,60
2020-05-02,56,60
2020-05-03,55,61
2020-05-04,53,61
2020-05-05,59,55
2020-05-06,57,57
2020-05-07,59,55
2020-05-08,64,50
2020-05-09,65,49
2020-05-10,61,53
2020-05-11,59,55
2020-05-12,58,56
2020-05-13,60,54
2020-05-14,57,57
2020-05-15,60,54
2020-05-16,55,59
2020-05-17,56,58
2020-05-18,58,56
2020-05-19,64,50
2020-05-20,69,45
2020-05-21,65,49
2020-05-22,67,47
2020-05-23,69,45
2020-05-24,70,44
2020-05-25,73,41
2020-05-26,64,50
2020-05-27,68,46
2020-05-28,62,52
2020-05-29,63,51
2020-05-30,62,52
2020-05-31,61,53
2020-06-01,64,50
2020-06-02,62,52
2020-06-03,58,56
2020-06-04,64,50
2020-06-05,65,49
2020-06-06,62,52
2020-06-07,61,53
2020-06-08,63,51
2020-06-09,63,51
2020-06-10,63,51
2020-06-11,60,54
2020-06-12,56,58
2020-06-13,63,51
2020-06-14,57,57
2020-06-15,58,56
2020-06-16,60,54
2020-06-17,64,50
2020-06-18,60,54
2020-06-19,55,59
2020-06-20,61,53
2020-06-21,65,49
2020-06-22,64,50
2020-06-23,62,52
2020-06-24,70,44
2020-06-25,69,45
2020-06-26,60,54
2020-06-27,60,54
2020-06-28,63,51
2020-06-29,61,53
2020-06-30,67,47
2020-07-01,70,44
2020-07-02,62,52
2020-07-03,61,53
2020-07-04,59,55
2020-07-05,62,52
2020-07-06,63,51
2020-07-07,61,53
2020-07-08,57,57
2020-07-09,65,49
2020-07-10,63,51
2020-07-11,64,43
2020-07-12,58,49
2020-07-13,61,43
2020-07-14,66,35
2020-07-15,70,31
2020-07-16,66,35
2020-07-17,65,36
2020-07-18,58,43
2020-07-19,63,38
2020-07-20,58,43
2020-07-21,69,32
2020-07-22,67,34
2020-07-23,77,24
2020-07-24,78,23
2020-07-25,79,22
2020-07-26,71,30
2020-07-27,71,30
2020-07-28,75,26
2020-07-29,74,27
2020-07-30,66,35
2020-07-31,65,36
2020-08-01,65,36
2020-08-02,62,39
2020-08-03,65,36
2020-08-04,66,21
2020-08-05,65,22
2020-08-06,69,18
2020-08-07,69,18
2020-08-08,61,26
2020-08-09,65,22
2020-08-10,68,19
2020-08-11,70,17
2020-08-12,78,18
2020-08-13,75,21
2020-08-14,74,22
2020-08-15,73,23
2020-08-16,65,31
2020-08-17,66,30
2020-08-18,65,31
2020-08-19,55,41
2020-08-20,62,34
2020-08-21,66,30
2020-08-22,57,39
2020-08-23,64,32
2020-08-24,62,34
2020-08-25,61,35
2020-08-26,64,32
2020-08-27,62,34
2020-08-28,62,34
2020-08-29,66,30
2020-08-30,63,33
2020-08-31,60,36
2020-09-01,65,31
2020-09-02,64,32
2020-09-03,57,39
2020-09-04,66,30
2020-09-05,65,31
2020-09-06,63,33
2020-09-07,68,28
2020-09-08,63,33
2020-09-09,60,36
2020-09-10,62,34
2020-09-11,61,35
2020-09-12,63,33
2020-09-13,71,25
2020-09-14,71,25
2020-09-15,73,23
2020-09-16,74,22
2020-09-17,76,20
2020-09-18,73,23
2020-09-19,75,21
2020-09-20,74,22
2020-09-21,76,20
2020-09-22,76,20
2020-09-23,78,18
2020-09-24,76,20
2020-09-25,74,22
2020-09-26,77,19
