date,betten_belegt,betten_frei
2020-04-24,52,41
2020-04-25,40,60
2020-04-26,38,62
2020-04-27,39,61
2020-04-28,38,62
2020-04-29,34,66
2020-04-30,49,67
2020-05-01,51,67
2020-05-02,52,65
2020-05-03,56,59
2020-05-04,57,58
2020-05-05,57,58
2020-05-06,57,58
2020-05-07,67,54
2020-05-08,63,53
2020-05-09,66,50
2020-05-10,75,41
2020-05-11,58,58
2020-05-12,59,56
2020-05-13,63,52
2020-05-14,56,61
2020-05-15,64,53
2020-05-16,72,45
2020-05-17,64,51
2020-05-18,71,45
2020-05-19,66,50
2020-05-20,66,50
2020-05-21,67,48
2020-05-22,73,42
2020-05-23,73,43
2020-05-24,73,43
2020-05-25,72,44
2020-05-26,70,49
2020-05-27,74,42
2020-05-28,73,43
2020-05-29,67,50
2020-05-30,77,41
2020-05-31,72,45
2020-06-01,70,47
2020-06-02,71,46
2020-06-03,61,56
2020-06-04,66,51
2020-06-05,66,50
2020-06-06,68,48
2020-06-07,66,50
2020-06-08,73,43
2020-06-09,75,41
2020-06-10,81,35
2020-06-11,64,53
2020-06-12,61,55
2020-06-13,64,53
2020-06-14,63,53
2020-06-15,61,55
2020-06-16,68,48
2020-06-17,70,47
2020-06-18,74,43
2020-06-19,64,50
2020-06-20,67,49
2020-06-21,64,52
2020-06-22,67,50
2020-06-23,68,49
2020-06-24,67,49
2020-06-25,70,47
2020-06-26,61,53
2020-06-27,63,53
2020-06-28,63,53
2020-06-29,65,51
2020-06-30,69,47
2020-07-01,69,47
2020-07-02,62,54
2020-07-03,63,53
2020-07-04,63,53
2020-07-05,60,56
2020-07-06,58,58
2020-07-07,62,54
2020-07-08,61,55
2020-07-09,66,50
2020-07-10,66,50
2020-07-11,63,51
2020-07-12,68,46
2020-07-13,65,49
2020-07-14,70,44
2020-07-15,68,46
2020-07-16,62,52
2020-07-17,64,50
2020-07-18,61,53
2020-07-19,59,57
2020-07-20,66,50
2020-07-21,71,45
2020-07-22,65,49
2020-07-23,68,57
2020-07-24,70,51
2020-07-25,71,55
2020-07-26,66,59
2020-07-27,69,54
2020-07-28,65,57
2020-07-29,70,55
2020-07-30,69,56
2020-07-31,72,53
2020-08-01,71,52
2020-08-02,75,48
2020-08-03,70,55
2020-08-04,86,40
2020-08-05,72,54
2020-08-06,78,48
2020-08-07,78,48
2020-08-08,69,57
2020-08-09,67,59
2020-08-10,74,52
2020-08-11,72,54
2020-08-12,72,54
2020-08-13,70,56
2020-08-14,67,59
2020-08-15,64,62
2020-08-16,67,57
2020-08-17,66,60
2020-08-18,74,52
2020-08-19,80,46
2020-08-20,71,55
2020-08-21,67,41
2020-08-22,70,38
2020-08-23,67,41
2020-08-24,67,41
2020-08-25,69,39
2020-08-26,75,33
2020-08-27,71,37
2020-08-28,72,36
2020-08-29,73,34
2020-08-30,66,42
2020-08-31,65,43
2020-09-01,74,34
2020-09-02,66,42
2020-09-03,68,40
2020-09-04,83,25
2020-09-05,85,23
2020-09-06,75,33
2020-09-07,70,38
2020-09-08,74,34
2020-09-09,74,34
2020-09-10,74,34
2020-09-11,73,35
2020-09-12,87,21
2020-09-13,83,25
2020-09-14,80,28
2020-09-15,82,26
2020-09-16,82,26
2020-09-17,81,27
2020-09-18,84,23
2020-09-19,81,26
2020-09-20,78,30
2020-09-21,75,33
2020-09-22,75,33
2020-09-23,77,31
2020-09-24,70,38
2020-09-25,69,39
2020-09-26,71,37
2020-09-27,71,37
2020-09-28,73,35
2020-09-29,74,34
2020-09-30,74,34
2020-10-01,69,39
2020-10-02,71,37
2020-10-03,74,34
2020-10-04,73,35
2020-10-05,73,35
2020-10-06,79,29
2020-10-07,81,27
2020-10-08,79,29
2020-10-09,84,24
2020-10-10,77,31
2020-10-11,71,36
2020-10-12,75,32
2020-10-13,78,29
2020-10-14,72,35
2020-10-15,79,28
2020-10-16,78,29
2020-10-17,69,38
2020-10-18,73,34
2020-10-19,78,29
2020-10-20,77,30
2020-10-21,82,25
2020-10-22,82,25
2020-10-23,86,22
2020-10-24,83,25
2020-10-25,82,26
2020-10-26,81,27
2020-10-27,81,24
2020-10-28,77,29
2020-10-29,80,28
2020-10-30,86,21
2020-10-31,77,28
2020-11-01,73,32
2020-11-02,73,34
2020-11-03,75,31
2020-11-04,76,28
2020-11-05,82,24
2020-11-06,75,31
2020-11-07,68,36
2020-11-08,75,29
2020-11-09,77,28
2020-11-10,80,27
2020-11-11,73,34
2020-11-12,73,35
2020-11-13,77,31
2020-11-14,75,32
2020-11-15,77,30
2020-11-16,80,27
2020-11-17,76,29
2020-11-18,75,28
2020-11-19,73,29
2020-11-20,69,28
2020-11-21,73,28
2020-11-22,74,24
2020-11-23,78,25
2020-11-24,79,24
2020-11-25,77,21
2020-11-26,72,27
2020-11-27,79,22
2020-11-28,80,22
2020-11-29,73,26
2020-11-30,74,27
2020-12-01,76,31
2020-12-02,80,27
2020-12-03,89,16
2020-12-04,83,22
2020-12-05,74,28
2020-12-06,75,27
2020-12-07,76,26
2020-12-08,88,19
2020-12-09,88,19
2020-12-10,90,17
2020-12-11,89,18
2020-12-12,88,17
2020-12-13,83,23
2020-12-14,83,23
2020-12-15,88,14
2020-12-16,87,15
2020-12-17,83,18
2020-12-18,88,14
2020-12-19,88,14
2020-12-20,88,14
2020-12-21,82,20
2020-12-22,85,18
2020-12-23,76,25
2020-12-24,75,24
2020-12-25,78,23
2020-12-26,73,28
2020-12-27,75,26
2020-12-28,86,18
2020-12-29,85,17
2020-12-30,84,16
2020-12-31,81,23
2021-01-01,75,27
2021-01-02,72,31
2021-01-03,73,28
2021-01-04,71,36
2021-01-05,82,24
2021-01-06,86,22
2021-01-07,88,23
2021-01-08,87,21
2021-01-09,85,23
2021-01-10,85,23
2021-01-11,88,23
2021-01-12,93,18
2021-01-13,92,19
2021-01-14,88,24
2021-01-15,87,26
2021-01-16,84,28
2021-01-17,79,32
2021-01-18,82,29
2021-01-19,83,28
2021-01-20,84,28
2021-01-21,89,23
2021-01-22,88,24
2021-01-23,88,24
2021-01-24,90,21
2021-01-25,89,23
2021-01-26,90,22
2021-01-27,92,20
2021-01-28,90,22
2021-01-29,90,22
2021-01-30,83,29
2021-01-31,89,23
2021-02-01,90,19
2021-02-02,88,24
2021-02-03,91,21
2021-02-04,87,21
2021-02-05,90,18
2021-02-06,89,20
2021-02-07,92,18
2021-02-08,93,18
2021-02-09,93,19
2021-02-10,93,18
2021-02-11,95,17
2021-02-12,95,17
2021-02-13,92,20
2021-02-14,92,15
2021-02-15,83,24
2021-02-16,84,23
2021-02-17,86,20
2021-02-18,86,20
2021-02-19,83,19
2021-02-20,74,21
2021-02-21,68,19
2021-02-22,69,23
2021-02-23,71,22
2021-02-24,69,21
2021-02-25,70,21
2021-02-26,72,20
2021-02-27,70,22
2021-02-28,70,22
2021-03-01,74,21
2021-03-02,74,23
2021-03-03,75,22
2021-03-04,74,23
2021-03-05,79,17
2021-03-06,81,21
2021-03-07,86,17
2021-03-08,87,15
2021-03-09,87,17
2021-03-10,89,15
2021-03-11,87,18
2021-03-12,81,23
2021-03-13,78,24
2021-03-14,81,22
2021-03-15,87,20
2021-03-16,86,18
2021-03-17,82,23
2021-03-18,78,27
2021-03-19,78,25
2021-03-20,77,21
2021-03-21,74,24
2021-03-22,76,21
2021-03-23,82,22
2021-03-24,82,21
2021-03-25,84,18
2021-03-26,84,19
2021-03-27,83,18
2021-03-28,79,19
2021-03-29,85,21
2021-03-30,85,18
2021-03-31,85,19
2021-04-01,89,14
2021-04-02,88,15
2021-04-03,85,19
2021-04-04,85,17
2021-04-05,87,17
2021-04-06,87,17
2021-04-07,93,12
2021-04-08,85,20
2021-04-09,84,19
2021-04-10,82,19
2021-04-11,79,19
2021-04-12,80,21
2021-04-13,80,20
2021-04-14,82,22
2021-04-15,81,22
2021-04-16,83,20
2021-04-17,71,18
2021-04-18,72,18
2021-04-19,81,23
2021-04-20,77,27
2021-04-21,85,19
2021-04-22,86,21
2021-04-23,90,17
2021-04-24,86,21
2021-04-25,79,30
2021-04-26,88,19
2021-04-27,86,19
2021-04-28,82,22
2021-04-29,88,19
2021-04-30,87,20
2021-05-01,85,18
2021-05-02,88,19
2021-05-03,83,22
2021-05-04,83,22
2021-05-05,83,24
2021-05-06,77,29
2021-05-07,80,26
2021-05-08,80,26
2021-05-09,77,25
2021-05-10,86,22
2021-05-11,92,15
2021-05-12,89,17
2021-05-13,86,20
2021-05-14,85,21
2021-05-15,87,19
2021-05-16,81,21
2021-05-17,82,18
2021-05-18,84,19
2021-05-19,81,17
2021-05-20,77,22
2021-05-21,76,18
2021-05-22,72,23
2021-05-23,72,23
2021-05-24,71,26
2021-05-25,75,22
2021-05-26,77,22
2021-05-27,82,19
2021-05-28,84,17
2021-05-29,78,23
2021-05-30,74,27
2021-05-31,82,19
2021-06-01,83,17
2021-06-02,75,23
2021-06-03,74,24
2021-06-04,76,21
2021-06-05,70,27
2021-06-06,68,29
2021-06-07,67,30
2021-06-08,83,21
2021-06-09,80,23
2021-06-10,76,26
2021-06-11,74,25
2021-06-12,69,27
2021-06-13,65,30
2021-06-14,62,38
2021-06-15,70,30
2021-06-16,74,28
2021-06-17,71,32
2021-06-18,75,28
2021-06-19,73,28
2021-06-20,73,28
2021-06-21,72,28
2021-06-22,72,28
2021-06-23,70,29
