date,betten_belegt,betten_frei
2020-04-24,42,4
2020-04-25,40,6
2020-04-26,34,12
2020-04-27,38,8
2020-04-28,39,7
2020-04-29,39,7
2020-04-30,37,9
2020-05-01,39,7
2020-05-02,40,6
2020-05-03,41,5
2020-05-04,41,5
2020-05-05,40,6
2020-05-06,41,5
2020-05-07,41,5
2020-05-08,40,6
2020-05-09,42,4
2020-05-10,43,3
2020-05-11,38,8
2020-05-12,38,8
2020-05-13,39,7
2020-05-14,40,6
2020-05-15,40,6
2020-05-16,41,5
2020-05-17,39,7
2020-05-18,38,8
2020-05-19,38,6
2020-05-20,38,8
2020-05-21,40,6
2020-05-22,39,7
2020-05-23,41,5
2020-05-24,43,3
2020-05-25,41,5
2020-05-26,39,7
2020-05-27,35,11
2020-05-28,34,11
2020-05-29,37,9
2020-05-30,40,6
2020-05-31,39,7
2020-06-01,39,7
2020-06-02,40,6
2020-06-03,35,11
2020-06-04,33,13
2020-06-05,34,12
2020-06-06,36,10
2020-06-07,36,10
2020-06-08,32,14
2020-06-09,30,16
2020-06-10,32,14
2020-06-11,32,14
2020-06-12,32,14
2020-06-13,34,12
2020-06-14,37,9
2020-06-15,35,11
2020-06-16,36,10
2020-06-17,39,7
2020-06-18,39,7
2020-06-19,42,4
2020-06-20,42,4
2020-06-21,41,5
2020-06-22,34,12
2020-06-23,39,7
2020-06-24,37,9
2020-06-25,37,9
2020-06-26,41,5
2020-06-27,43,3
2020-06-28,45,1
2020-06-29,44,2
2020-06-30,42,4
2020-07-01,45,1
2020-07-02,45,1
2020-07-03,45,1
2020-07-04,45,2
2020-07-05,44,2
2020-07-06,39,7
2020-07-07,42,4
2020-07-08,42,4
2020-07-09,45,1
2020-07-10,43,3
2020-07-11,40,6
2020-07-12,42,4
2020-07-13,43,3
2020-07-14,42,4
2020-07-15,42,4
2020-07-16,45,1
2020-07-17,45,1
2020-07-18,45,1
2020-07-19,45,1
2020-07-20,45,4
2020-07-21,45,4
2020-07-22,42,4
2020-07-23,42,4
2020-07-24,43,3
2020-07-25,45,1
2020-07-26,45,1
2020-07-27,45,1
2020-07-28,45,1
2020-07-29,43,3
2020-07-30,43,3
2020-07-31,44,2
2020-08-01,45,1
2020-08-02,45,1
2020-08-03,45,1
2020-08-04,45,1
2020-08-05,45,1
2020-08-06,45,1
2020-08-07,45,1
2020-08-08,45,1
2020-08-09,45,1
2020-08-10,45,1
2020-08-11,46,0
2020-08-12,43,3
2020-08-13,42,4
2020-08-14,42,4
2020-08-15,42,4
2020-08-16,45,1
2020-08-17,44,2
2020-08-18,42,4
2020-08-19,46,0
2020-08-20,43,3
2020-08-21,46,0
2020-08-22,45,1
2020-08-23,46,0
2020-08-24,44,2
2020-08-25,45,1
2020-08-26,46,0
2020-08-27,41,5
2020-08-28,38,8
2020-08-29,38,8
2020-08-30,43,3
2020-08-31,39,7
2020-09-01,42,4
2020-09-02,43,3
2020-09-03,46,0
2020-09-04,41,5
2020-09-05,43,3
2020-09-06,44,2
2020-09-07,44,2
2020-09-08,44,2
2020-09-09,46,0
2020-09-10,44,2
2020-09-11,45,1
2020-09-12,41,5
2020-09-13,42,4
2020-09-14,42,4
2020-09-15,46,0
2020-09-16,45,1
2020-09-17,45,1
2020-09-18,45,1
2020-09-19,43,3
2020-09-20,44,2
2020-09-21,45,1
2020-09-22,43,3
2020-09-23,41,5
2020-09-24,41,5
2020-09-25,42,4
2020-09-26,43,3
2020-09-27,42,4
2020-09-28,41,5
2020-09-29,42,4
2020-09-30,42,4
2020-10-01,46,0
2020-10-02,46,0
2020-10-03,45,1
2020-10-04,46,0
2020-10-05,46,0
2020-10-06,43,3
2020-10-07,46,0
2020-10-08,45,1
2020-10-09,45,1
2020-10-10,46,0
2020-10-11,45,1
2020-10-12,46,0
2020-10-13,42,4
2020-10-14,46,0
2020-10-15,45,1
2020-10-16,45,1
2020-10-17,46,0
2020-10-18,42,4
2020-10-19,44,2
2020-10-20,42,4
2020-10-21,44,2
