date,betten_belegt,betten_frei
2020-04-24,14,15
2020-04-25,14,14
2020-04-26,13,16
2020-04-27,11,18
2020-04-28,11,18
2020-04-29,10,19
2020-04-30,15,14
2020-05-01,12,17
2020-05-02,12,17
2020-05-03,20,9
2020-05-04,21,8
2020-05-05,19,10
2020-05-06,19,10
2020-05-07,13,17
2020-05-08,16,13
2020-05-09,16,13
2020-05-10,11,18
2020-05-11,11,16
2020-05-12,9,20
2020-05-13,12,20
2020-05-14,10,19
2020-05-15,11,18
2020-05-16,10,19
2020-05-17,11,18
2020-05-18,15,14
2020-05-19,9,20
2020-05-20,12,17
2020-05-21,10,19
2020-05-22,9,20
2020-05-23,6,23
2020-05-24,8,21
2020-05-25,7,22
2020-05-26,9,20
2020-05-27,22,19
2020-05-28,21,20
2020-05-29,5,24
2020-05-30,3,26
2020-05-31,4,25
2020-06-01,5,24
2020-06-02,10,19
2020-06-03,9,20
2020-06-04,12,17
2020-06-05,12,17
2020-06-06,10,19
2020-06-07,7,22
2020-06-08,9,20
2020-06-09,10,19
2020-06-10,12,17
2020-06-11,6,23
2020-06-12,13,16
2020-06-13,7,22
2020-06-14,11,18
2020-06-15,10,19
2020-06-16,9,20
2020-06-17,11,18
2020-06-18,10,19
2020-06-19,10,19
2020-06-20,12,17
2020-06-21,11,18
2020-06-22,8,21
2020-06-23,10,19
2020-06-24,16,13
2020-06-25,8,21
2020-06-26,8,21
2020-06-27,6,22
2020-06-28,12,17
2020-06-29,11,18
2020-06-30,15,14
2020-07-01,12,17
2020-07-02,10,18
2020-07-03,15,14
2020-07-04,20,9
2020-07-05,13,16
2020-07-06,10,19
2020-07-07,14,15
2020-07-08,13,16
2020-07-09,17,13
2020-07-10,16,13
2020-07-11,16,13
2020-07-12,13,16
2020-07-13,20,9
2020-07-14,8,21
2020-07-15,15,14
2020-07-16,16,13
2020-07-17,18,11
2020-07-18,14,15
2020-07-19,13,16
2020-07-20,11,18
2020-07-21,16,13
2020-07-22,16,13
2020-07-23,12,17
2020-07-24,15,13
2020-07-25,15,14
2020-07-26,11,18
2020-07-27,8,21
2020-07-28,9,20
2020-07-29,6,23
2020-07-30,8,21
2020-07-31,11,18
2020-08-01,15,14
2020-08-02,13,16
2020-08-03,14,15
2020-08-04,9,11
2020-08-05,12,17
2020-08-06,12,17
2020-08-07,10,19
2020-08-08,11,18
2020-08-09,10,19
2020-08-10,12,17
2020-08-11,13,16
2020-08-12,14,15
2020-08-13,11,18
2020-08-14,13,16
2020-08-15,14,15
2020-08-16,12,17
2020-08-17,11,18
2020-08-18,14,15
2020-08-19,15,14
2020-08-20,13,16
2020-08-21,17,12
2020-08-22,9,20
2020-08-23,10,19
2020-08-24,11,18
2020-08-25,12,17
