date,betten_belegt,betten_frei
2020-04-24,208,49
2020-04-25,213,44
2020-04-26,213,44
2020-04-27,212,46
2020-04-28,210,46
2020-04-29,210,41
2020-04-30,214,37
2020-05-01,213,38
2020-05-02,202,46
2020-05-03,205,40
2020-05-04,195,55
2020-05-05,204,53
2020-05-06,204,53
2020-05-07,209,52
2020-05-08,212,54
2020-05-09,214,43
2020-05-10,211,45
2020-05-11,216,40
2020-05-12,215,48
2020-05-13,217,44
2020-05-14,218,44
2020-05-15,223,43
2020-05-16,227,39
2020-05-17,212,44
2020-05-18,211,44
2020-05-19,217,42
2020-05-20,223,40
2020-05-21,225,41
2020-05-22,222,44
2020-05-23,218,44
2020-05-24,215,42
2020-05-25,215,42
2020-05-26,213,43
2020-05-27,215,42
2020-05-28,219,40
2020-05-29,214,43
2020-05-30,224,40
2020-05-31,221,40
2020-06-01,209,52
2020-06-02,213,46
2020-06-03,213,48
2020-06-04,227,49
2020-06-05,229,47
2020-06-06,224,44
2020-06-07,228,47
2020-06-08,218,45
2020-06-09,217,47
2020-06-10,227,42
2020-06-11,224,43
2020-06-12,209,49
2020-06-13,208,48
2020-06-14,212,47
2020-06-15,210,45
2020-06-16,208,45
2020-06-17,205,42
2020-06-18,215,43
2020-06-19,213,45
2020-06-20,206,50
2020-06-21,210,52
2020-06-22,206,48
2020-06-23,218,45
2020-06-24,214,46
2020-06-25,218,39
2020-06-26,220,41
2020-06-27,215,49
2020-06-28,205,65
2020-06-29,204,63
2020-06-30,205,55
2020-07-01,216,59
2020-07-02,227,51
2020-07-03,226,53
2020-07-04,207,71
2020-07-05,208,70
2020-07-06,206,72
2020-07-07,216,63
2020-07-08,216,55
2020-07-09,218,57
2020-07-10,223,54
2020-07-11,218,60
2020-07-12,215,61
2020-07-13,208,64
2020-07-14,215,59
2020-07-15,219,65
2020-07-16,205,55
2020-07-17,214,52
2020-07-18,215,44
2020-07-19,211,47
2020-07-20,210,48
2020-07-21,208,62
2020-07-22,213,57
2020-07-23,213,58
2020-07-24,214,57
2020-07-25,200,57
2020-07-26,199,66
2020-07-27,206,59
2020-07-28,207,65
2020-07-29,202,66
2020-07-30,203,65
2020-07-31,195,51
2020-08-01,186,70
2020-08-02,198,66
2020-08-03,192,70
2020-08-04,208,89
2020-08-05,210,59
2020-08-06,235,29
2020-08-07,208,55
2020-08-08,202,55
2020-08-09,204,52
2020-08-10,202,46
2020-08-11,204,46
2020-08-12,208,57
2020-08-13,213,40
2020-08-14,234,34
2020-08-15,229,40
2020-08-16,234,24
2020-08-17,209,42
2020-08-18,204,51
2020-08-19,196,51
2020-08-20,200,51
2020-08-21,205,41
2020-08-22,201,45
2020-08-23,194,48
2020-08-24,193,61
2020-08-25,189,57
2020-08-26,202,50
2020-08-27,196,50
2020-08-28,199,57
2020-08-29,203,55
2020-08-30,192,61
2020-08-31,197,50
2020-09-01,192,53
2020-09-02,200,47
2020-09-03,192,46
2020-09-04,196,46
2020-09-05,192,48
2020-09-06,192,52
2020-09-07,192,56
2020-09-08,190,51
2020-09-09,200,52
2020-09-10,199,52
2020-09-11,209,43
2020-09-12,205,44
2020-09-13,197,49
2020-09-14,201,50
2020-09-15,201,40
2020-09-16,205,37
2020-09-17,205,37
2020-09-18,200,44
2020-09-19,196,49
2020-09-20,190,48
2020-09-21,188,48
2020-09-22,193,52
2020-09-23,191,56
2020-09-24,193,57
2020-09-25,192,54
2020-09-26,183,57
2020-09-27,186,52
2020-09-28,186,60
2020-09-29,193,51
2020-09-30,197,46
2020-10-01,190,49
