date,betten_belegt,betten_frei
2020-04-24,11,9
2020-04-25,9,11
2020-04-26,11,9
2020-04-27,9,11
2020-04-28,9,11
2020-04-29,14,6
2020-04-30,10,10
2020-05-01,11,9
2020-05-02,11,9
2020-05-03,10,10
2020-05-04,12,8
2020-05-05,9,11
2020-05-06,10,10
2020-05-07,12,16
2020-05-08,10,18
2020-05-09,10,18
2020-05-10,10,18
2020-05-11,10,18
2020-05-12,14,14
2020-05-13,11,17
2020-05-14,13,15
2020-05-15,16,12
2020-05-16,14,14
2020-05-17,16,12
2020-05-18,13,15
2020-05-19,14,14
2020-05-20,13,15
2020-05-21,14,14
2020-05-22,10,18
2020-05-23,8,20
2020-05-24,8,20
2020-05-25,13,15
2020-05-26,16,12
2020-05-27,26,10
2020-05-28,24,12
2020-05-29,28,8
2020-05-30,29,7
2020-05-31,26,10
2020-06-01,24,12
2020-06-02,28,8
2020-06-03,29,7
2020-06-04,27,9
2020-06-05,29,7
2020-06-06,29,7
2020-06-07,31,5
2020-06-08,30,8
2020-06-09,32,4
2020-06-10,30,6
2020-06-11,30,6
2020-06-12,31,5
2020-06-13,30,6
2020-06-14,30,6
2020-06-15,31,5
2020-06-16,33,3
2020-06-17,28,8
2020-06-18,28,8
2020-06-19,28,8
2020-06-20,28,6
2020-06-21,29,7
2020-06-22,25,11
2020-06-23,26,10
2020-06-24,21,15
2020-06-25,28,8
2020-06-26,23,13
2020-06-27,19,17
2020-06-28,28,8
2020-06-29,23,9
2020-06-30,28,8
2020-07-01,25,11
2020-07-02,25,11
2020-07-03,23,9
2020-07-04,23,11
2020-07-05,26,10
2020-07-06,28,8
2020-07-07,29,7
2020-07-08,28,8
2020-07-09,28,8
2020-07-10,29,7
2020-07-11,27,9
2020-07-12,28,8
2020-07-13,30,6
2020-07-14,31,5
2020-07-15,32,4
2020-07-16,33,3
2020-07-17,32,4
2020-07-18,16,20
2020-07-19,19,17
2020-07-20,20,16
2020-07-21,32,4
2020-07-22,30,6
2020-07-23,31,5
2020-07-24,27,9
2020-07-25,27,9
2020-07-26,28,8
2020-07-27,27,9
2020-07-28,23,13
2020-07-29,29,7
2020-07-30,27,9
2020-07-31,26,10
2020-08-01,23,13
2020-08-02,20,16
2020-08-03,24,12
2020-08-04,28,8
2020-08-05,24,14
2020-08-06,23,4
2020-08-07,21,15
2020-08-08,26,5
2020-08-09,23,8
2020-08-10,28,8
2020-08-11,30,6
2020-08-12,25,11
2020-08-13,27,9
2020-08-14,25,11
2020-08-15,28,8
2020-08-16,28,8
2020-08-17,29,7
2020-08-18,26,10
2020-08-19,30,6
2020-08-20,30,6
2020-08-21,23,13
2020-08-22,25,11
2020-08-23,30,6
2020-08-24,29,7
2020-08-25,32,4
2020-08-26,34,2
2020-08-27,34,2
2020-08-28,27,9
2020-08-29,25,11
2020-08-30,26,10
2020-08-31,29,7
2020-09-01,30,6
2020-09-02,25,11
2020-09-03,20,16
2020-09-04,30,6
2020-09-05,27,9
2020-09-06,28,8
2020-09-07,32,4
2020-09-08,32,4
2020-09-09,32,4
2020-09-10,29,7
2020-09-11,29,7
2020-09-12,22,8
2020-09-13,25,5
2020-09-14,26,10
2020-09-15,30,6
2020-09-16,27,9
2020-09-17,26,5
2020-09-18,27,6
2020-09-19,26,7
2020-09-20,27,6
2020-09-21,28,5
2020-09-22,27,6
2020-09-23,30,3
2020-09-24,23,10
2020-09-25,23,10
2020-09-26,25,8
2020-09-27,27,6
2020-09-28,20,13
2020-09-29,24,9
2020-09-30,22,11
2020-10-01,24,9
2020-10-02,26,7
2020-10-03,26,7
2020-10-04,21,12
2020-10-05,27,6
