date,betten_belegt,betten_frei
2020-04-24,37,38
2020-04-25,38,37
2020-04-26,40,35
2020-04-27,38,37
2020-04-28,45,30
2020-04-29,42,32
2020-04-30,41,33
2020-05-01,39,35
2020-05-02,40,34
2020-05-03,40,34
2020-05-04,37,37
2020-05-05,39,35
2020-05-06,37,37
2020-05-07,43,31
2020-05-08,41,33
2020-05-09,40,34
2020-05-10,38,36
2020-05-11,36,38
2020-05-12,40,34
2020-05-13,41,33
2020-05-14,37,37
2020-05-15,43,31
2020-05-16,36,38
2020-05-17,37,37
2020-05-18,37,37
2020-05-19,41,49
2020-05-20,39,50
2020-05-21,43,52
2020-05-22,39,56
2020-05-23,38,57
2020-05-24,38,57
2020-05-25,28,61
2020-05-26,36,55
2020-05-27,38,53
2020-05-28,38,53
2020-05-29,42,47
2020-05-30,36,53
2020-05-31,34,55
2020-06-01,33,56
2020-06-02,35,54
2020-06-03,36,53
2020-06-04,40,49
2020-06-05,39,50
2020-06-06,37,52
2020-06-07,37,52
2020-06-08,40,49
2020-06-09,40,51
2020-06-10,43,46
2020-06-11,40,49
2020-06-12,43,47
2020-06-13,41,48
2020-06-14,45,44
2020-06-15,40,49
2020-06-16,44,46
2020-06-17,44,45
2020-06-18,44,45
2020-06-19,41,48
2020-06-20,39,50
2020-06-21,42,47
2020-06-22,46,43
2020-06-23,43,46
2020-06-24,45,45
2020-06-25,49,40
2020-06-26,51,38
2020-06-27,50,39
2020-06-28,46,43
2020-06-29,43,46
2020-06-30,47,42
2020-07-01,48,41
2020-07-02,52,37
2020-07-03,53,36
2020-07-04,49,40
2020-07-05,50,39
2020-07-06,44,45
2020-07-07,48,49
2020-07-08,48,55
2020-07-09,44,58
2020-07-10,49,53
2020-07-11,48,54
2020-07-12,47,55
2020-07-13,46,56
2020-07-14,52,50
2020-07-15,50,52
2020-07-16,50,52
2020-07-17,48,54
2020-07-18,47,55
2020-07-19,48,54
2020-07-20,47,55
2020-07-21,44,58
2020-07-22,45,52
2020-07-23,47,54
2020-07-24,47,54
2020-07-25,37,65
2020-07-26,40,62
2020-07-27,45,57
2020-07-28,49,53
2020-07-29,46,56
2020-07-30,45,57
2020-07-31,41,61
2020-08-01,44,58
2020-08-02,44,58
2020-08-03,44,58
2020-08-04,48,34
2020-08-05,44,38
2020-08-06,49,33
2020-08-07,46,36
2020-08-08,42,40
2020-08-09,43,39
2020-08-10,47,35
2020-08-11,47,35
2020-08-12,48,34
2020-08-13,49,33
2020-08-14,50,32
2020-08-15,49,33
2020-08-16,50,32
2020-08-17,47,35
2020-08-18,46,36
2020-08-19,48,34
2020-08-20,47,35
2020-08-21,45,37
2020-08-22,48,34
2020-08-23,47,35
2020-08-24,46,36
2020-08-25,48,34
2020-08-26,49,33
2020-08-27,45,37
2020-08-28,44,38
2020-08-29,47,35
2020-08-30,49,33
2020-08-31,46,36
2020-09-01,52,30
2020-09-02,52,30
2020-09-03,46,36
2020-09-04,48,34
2020-09-05,50,32
2020-09-06,49,33
2020-09-07,46,36
2020-09-08,49,33
2020-09-09,49,33
2020-09-10,47,35
2020-09-11,42,40
2020-09-12,39,43
2020-09-13,38,44
2020-09-14,41,41
2020-09-15,43,39
2020-09-16,44,38
2020-09-17,44,38
2020-09-18,40,42
2020-09-19,38,44
2020-09-20,38,44
