date,betten_belegt,betten_frei
2020-04-24,24,26
2020-04-25,19,31
2020-04-26,16,34
2020-04-27,13,37
2020-04-28,21,29
2020-04-29,15,35
2020-04-30,14,36
2020-05-01,19,31
2020-05-02,17,33
2020-05-03,19,31
2020-05-04,20,30
2020-05-05,14,36
2020-05-06,27,14
2020-05-07,29,12
2020-05-08,33,9
2020-05-09,27,14
2020-05-10,23,18
2020-05-11,21,20
2020-05-12,19,22
2020-05-13,27,14
2020-05-14,23,18
2020-05-15,27,14
2020-05-16,25,16
2020-05-17,23,18
2020-05-18,30,11
2020-05-19,27,14
2020-05-20,24,17
2020-05-21,29,12
2020-05-22,20,21
2020-05-23,20,21
2020-05-24,18,23
2020-05-25,19,22
2020-05-26,19,22
2020-05-27,23,18
2020-05-28,25,16
2020-05-29,33,8
2020-05-30,33,8
2020-05-31,23,18
2020-06-01,11,28
2020-06-02,18,20
2020-06-03,28,13
2020-06-04,28,13
2020-06-05,28,13
2020-06-06,26,15
2020-06-07,16,25
2020-06-08,15,26
2020-06-09,22,19
2020-06-10,24,17
2020-06-11,21,17
2020-06-12,27,14
2020-06-13,30,11
2020-06-14,25,16
2020-06-15,28,13
2020-06-16,33,8
2020-06-17,36,5
2020-06-18,32,9
2020-06-19,35,6
2020-06-20,25,16
2020-06-21,27,14
2020-06-22,24,18
2020-06-23,28,14
2020-06-24,20,22
2020-06-25,20,22
2020-06-26,32,10
2020-06-27,25,17
2020-06-28,21,21
2020-06-29,24,18
2020-06-30,23,19
2020-07-01,27,15
2020-07-02,27,14
2020-07-03,26,15
2020-07-04,27,15
2020-07-05,24,18
2020-07-06,22,20
2020-07-07,24,18
2020-07-08,25,17
2020-07-09,22,20
2020-07-10,26,15
2020-07-11,27,14
2020-07-12,20,21
2020-07-13,20,20
2020-07-14,22,19
2020-07-15,23,18
2020-07-16,29,12
2020-07-17,30,11
2020-07-18,22,19
2020-07-19,18,23
2020-07-20,17,24
2020-07-21,27,14
2020-07-22,29,13
2020-07-23,26,16
2020-07-24,27,15
2020-07-25,22,20
2020-07-26,20,20
2020-07-27,18,22
2020-07-28,17,23
2020-07-29,24,16
2020-07-30,28,12
2020-07-31,37,3
2020-08-01,26,15
2020-08-02,24,17
2020-08-03,17,24
2020-08-04,9,15
2020-08-05,10,14
2020-08-06,9,15
2020-08-07,11,13
2020-08-08,11,13
2020-08-09,9,15
2020-08-10,9,15
2020-08-11,11,13
2020-08-12,9,15
2020-08-13,7,17
2020-08-14,10,14
2020-08-15,9,15
2020-08-16,9,15
2020-08-17,14,10
2020-08-18,16,8
2020-08-19,14,10
2020-08-20,14,10
2020-08-21,15,9
2020-08-22,14,10
2020-08-23,7,17
2020-08-24,8,16
2020-08-25,8,16
2020-08-26,9,15
2020-08-27,13,11
2020-08-28,10,14
2020-08-29,9,15
2020-08-30,9,15
2020-08-31,11,13
2020-09-01,11,13
2020-09-02,10,14
2020-09-03,11,13
2020-09-04,8,16
2020-09-05,8,16
2020-09-06,7,17
2020-09-07,9,15
2020-09-08,8,16
2020-09-09,8,16
2020-09-10,10,14
2020-09-11,11,13
2020-09-12,12,12
2020-09-13,10,14
2020-09-14,12,12
2020-09-15,11,13
2020-09-16,11,13
2020-09-17,10,14
2020-09-18,10,14
2020-09-19,10,14
2020-09-20,8,16
2020-09-21,10,14
2020-09-22,11,13
2020-09-23,10,14
2020-09-24,8,16
2020-09-25,9,15
2020-09-26,9,15
2020-09-27,9,15
2020-09-28,5,19
2020-09-29,7,17
2020-09-30,9,15
2020-10-01,10,14
