date,betten_belegt,betten_frei
2020-04-24,17,21
2020-04-25,15,23
2020-04-26,23,15
2020-04-27,18,20
2020-04-28,17,13
2020-04-29,19,11
2020-04-30,15,15
2020-05-01,17,13
2020-05-02,15,15
2020-05-03,17,13
2020-05-04,17,13
2020-05-05,24,6
2020-05-06,21,9
2020-05-07,24,6
2020-05-08,23,7
2020-05-09,21,9
2020-05-10,21,9
2020-05-11,23,7
2020-05-12,23,7
2020-05-13,21,9
2020-05-14,22,8
2020-05-15,23,7
2020-05-16,22,8
2020-05-17,17,13
2020-05-18,15,15
2020-05-19,17,13
2020-05-20,19,11
2020-05-21,17,15
2020-05-22,10,20
2020-05-23,21,9
2020-05-24,19,11
2020-05-25,16,14
2020-05-26,18,12
2020-05-27,14,16
2020-05-28,20,10
2020-05-29,18,12
2020-05-30,21,9
2020-05-31,22,8
2020-06-01,20,10
2020-06-02,21,9
2020-06-03,21,9
2020-06-04,18,12
2020-06-05,11,19
2020-06-06,13,17
2020-06-07,11,19
2020-06-08,14,16
2020-06-09,21,9
2020-06-10,21,9
2020-06-11,20,10
2020-06-12,22,8
2020-06-13,20,10
2020-06-14,17,13
2020-06-15,17,13
2020-06-16,23,7
2020-06-17,22,8
2020-06-18,17,13
2020-06-19,26,4
2020-06-20,26,4
2020-06-21,24,6
2020-06-22,23,7
2020-06-23,17,13
2020-06-24,21,9
2020-06-25,18,12
2020-06-26,18,12
2020-06-27,20,10
2020-06-28,20,10
2020-06-29,22,8
2020-06-30,17,13
2020-07-01,25,5
2020-07-02,28,2
2020-07-03,25,5
2020-07-04,21,9
2020-07-05,20,10
2020-07-06,22,8
2020-07-07,28,2
2020-07-08,23,7
2020-07-09,27,3
2020-07-10,20,10
2020-07-11,19,11
2020-07-12,23,7
2020-07-13,21,9
2020-07-14,22,8
2020-07-15,27,3
2020-07-16,24,6
2020-07-17,21,9
2020-07-18,20,10
2020-07-19,20,10
2020-07-20,19,11
2020-07-21,24,6
2020-07-22,22,8
2020-07-23,24,6
2020-07-24,23,7
2020-07-25,23,7
2020-07-26,22,8
2020-07-27,18,12
2020-07-28,18,12
2020-07-29,18,12
2020-07-30,21,9
2020-07-31,24,6
2020-08-01,25,5
2020-08-02,19,11
2020-08-03,18,12
2020-08-04,20,10
2020-08-05,20,10
2020-08-06,21,9
2020-08-07,19,11
2020-08-08,22,8
2020-08-09,21,9
2020-08-10,20,10
2020-08-11,16,14
2020-08-12,16,14
2020-08-13,23,7
2020-08-14,23,7
2020-08-15,25,5
2020-08-16,27,3
2020-08-17,26,4
2020-08-18,28,2
2020-08-19,27,3
2020-08-20,24,6
2020-08-21,26,4
2020-08-22,22,8
2020-08-23,19,11
2020-08-24,20,10
2020-08-25,18,12
2020-08-26,18,12
2020-08-27,18,12
2020-08-28,22,8
2020-08-29,25,5
2020-08-30,23,7
2020-08-31,24,6
2020-09-01,25,5
2020-09-02,24,6
2020-09-03,20,10
2020-09-04,21,9
2020-09-05,21,9
2020-09-06,23,7
2020-09-07,28,2
2020-09-08,28,2
2020-09-09,25,5
2020-09-10,27,3
2020-09-11,20,10
2020-09-12,22,8
2020-09-13,21,9
2020-09-14,22,8
2020-09-15,17,13
2020-09-16,17,13
2020-09-17,20,10
2020-09-18,18,12
2020-09-19,24,6
2020-09-20,19,11
2020-09-21,21,9
2020-09-22,20,10
2020-09-23,19,11
2020-09-24,18,12
2020-09-25,17,13
2020-09-26,26,4
2020-09-27,17,13
2020-09-28,17,13
2020-09-29,21,9
2020-09-30,18,12
2020-10-01,22,8
2020-10-02,21,9
2020-10-03,21,9
2020-10-04,17,13
2020-10-05,20,10
2020-10-06,16,14
2020-10-07,21,9
2020-10-08,21,9
2020-10-09,21,9
2020-10-10,23,7
2020-10-11,18,12
2020-10-12,20,10
2020-10-13,20,10
2020-10-14,26,4
2020-10-15,22,8
2020-10-16,24,6
2020-10-17,24,6
2020-10-18,22,8
2020-10-19,21,9
2020-10-20,18,12
2020-10-21,25,5
2020-10-22,22,8
2020-10-23,22,6
2020-10-24,25,3
2020-10-25,26,4
2020-10-26,24,6
2020-10-27,26,6
2020-10-28,26,6
2020-10-29,28,4
2020-10-30,28,4
