date,betten_belegt,betten_frei
2020-04-24,14,3
2020-04-25,13,4
2020-04-26,11,6
2020-04-27,14,3
2020-04-28,14,3
2020-04-29,12,5
2020-04-30,14,3
2020-05-01,13,4
2020-05-02,13,4
2020-05-03,14,3
2020-05-04,12,5
2020-05-05,10,7
2020-05-06,10,7
2020-05-07,8,9
2020-05-08,10,7
2020-05-09,11,6
2020-05-10,8,9
2020-05-11,9,8
2020-05-12,8,9
2020-05-13,9,8
2020-05-14,10,9
2020-05-15,8,7
2020-05-16,8,9
2020-05-17,10,7
2020-05-18,5,12
2020-05-19,8,9
2020-05-20,7,10
2020-05-21,8,9
2020-05-22,5,12
2020-05-23,8,9
2020-05-24,7,10
2020-05-25,7,10
2020-05-26,5,12
2020-05-27,6,11
2020-05-28,6,11
2020-05-29,5,12
2020-05-30,5,12
2020-05-31,5,12
2020-06-01,5,12
2020-06-02,7,10
2020-06-03,7,10
2020-06-04,10,7
2020-06-05,12,5
2020-06-06,13,4
2020-06-07,11,6
2020-06-08,10,7
2020-06-09,12,5
2020-06-10,12,0
2020-06-11,10,2
2020-06-12,12,0
2020-06-13,11,1
2020-06-14,9,3
2020-06-15,7,5
2020-06-16,8,4
2020-06-17,7,5
2020-06-18,8,4
2020-06-19,8,4
2020-06-20,8,4
2020-06-21,6,6
2020-06-22,6,6
2020-06-23,6,6
2020-06-24,6,6
2020-06-25,8,4
2020-06-26,7,5
2020-06-27,6,6
2020-06-28,7,6
2020-06-29,6,6
2020-06-30,4,8
2020-07-01,4,8
2020-07-02,4,8
2020-07-03,7,5
2020-07-04,8,4
2020-07-05,7,5
2020-07-06,5,7
2020-07-07,6,6
2020-07-08,9,3
2020-07-09,9,3
2020-07-10,8,4
2020-07-11,7,5
2020-07-12,7,5
2020-07-13,7,7
2020-07-14,7,7
2020-07-15,8,4
2020-07-16,8,4
2020-07-17,8,4
2020-07-18,8,4
2020-07-19,7,5
2020-07-20,9,3
2020-07-21,9,3
2020-07-22,9,3
2020-07-23,9,3
2020-07-24,9,3
2020-07-25,8,4
2020-07-26,9,3
2020-07-27,9,3
2020-07-28,11,1
2020-07-29,8,4
2020-07-30,8,4
2020-07-31,8,4
2020-08-01,7,5
2020-08-02,7,5
2020-08-03,7,5
2020-08-04,9,3
2020-08-05,7,5
2020-08-06,7,5
2020-08-07,5,7
2020-08-08,5,7
2020-08-09,5,7
2020-08-10,7,5
2020-08-11,10,2
2020-08-12,11,1
2020-08-13,10,2
2020-08-14,10,2
2020-08-15,10,2
2020-08-16,9,3
2020-08-17,9,3
2020-08-18,10,2
2020-08-19,10,2
2020-08-20,11,1
2020-08-21,12,0
2020-08-22,12,0
2020-08-23,10,2
2020-08-24,10,2
2020-08-25,9,3
2020-08-26,11,1
2020-08-27,12,0
2020-08-28,12,0
2020-08-29,13,0
2020-08-30,13,0
2020-08-31,11,2
2020-09-01,10,3
2020-09-02,11,2
2020-09-03,11,2
2020-09-04,11,2
2020-09-05,9,4
2020-09-06,9,4
2020-09-07,9,3
2020-09-08,11,1
2020-09-09,10,2
2020-09-10,11,1
2020-09-11,10,2
2020-09-12,11,1
2020-09-13,10,2
2020-09-14,9,3
2020-09-15,9,3
2020-09-16,9,3
2020-09-17,11,1
2020-09-18,8,4
2020-09-19,6,6
2020-09-20,6,6
2020-09-21,6,6
2020-09-22,5,7
2020-09-23,3,9
2020-09-24,6,6
2020-09-25,8,4
2020-09-26,8,4
2020-09-27,11,1
2020-09-28,11,1
2020-09-29,9,3
2020-09-30,8,4
2020-10-01,9,3
2020-10-02,8,4
2020-10-03,6,6
2020-10-04,7,5
2020-10-05,6,6
2020-10-06,6,6
2020-10-07,7,5
2020-10-08,6,6
2020-10-09,7,5
2020-10-10,6,6
2020-10-11,6,6
2020-10-12,5,7
2020-10-13,7,5
2020-10-14,9,3
2020-10-15,11,1
2020-10-16,11,1
2020-10-17,12,0
2020-10-18,10,2
2020-10-19,12,0
2020-10-20,10,2
2020-10-21,10,2
2020-10-22,8,4
2020-10-23,5,7
2020-10-24,5,7
2020-10-25,6,6
2020-10-26,6,6
2020-10-27,6,6
2020-10-28,6,6
2020-10-29,7,5
2020-10-30,6,6
2020-10-31,8,4
2020-11-01,7,5
2020-11-02,6,4
2020-11-03,5,7
2020-11-04,6,6
2020-11-05,5,7
2020-11-06,5,7
2020-11-07,6,6
2020-11-08,6,4
2020-11-09,7,3
2020-11-10,7,3
2020-11-11,6,4
2020-11-12,8,2
2020-11-13,7,3
2020-11-14,7,3
2020-11-15,7,3
2020-11-16,7,3
2020-11-17,5,5
2020-11-18,6,4
2020-11-19,6,4
2020-11-20,10,0
2020-11-21,11,1
2020-11-22,10,2
2020-11-23,10,2
