date,betten_belegt,betten_frei
2020-04-24,16,20
2020-04-25,14,22
2020-04-26,15,24
2020-04-27,17,19
2020-04-28,17,19
2020-04-29,15,21
2020-04-30,20,16
2020-05-01,19,17
2020-05-02,19,17
2020-05-03,19,17
2020-05-04,20,12
2020-05-05,20,8
2020-05-06,17,13
2020-05-07,16,18
2020-05-08,19,8
2020-05-09,20,9
2020-05-10,21,8
2020-05-11,20,10
2020-05-12,21,10
2020-05-13,18,11
2020-05-14,14,13
2020-05-15,15,14
2020-05-16,17,12
2020-05-17,17,8
2020-05-18,16,13
2020-05-19,22,8
2020-05-20,21,8
2020-05-21,21,8
2020-05-22,21,8
2020-05-23,21,12
2020-05-24,21,12
2020-05-25,18,17
2020-05-26,21,8
2020-05-27,19,10
2020-05-28,20,7
2020-05-29,20,7
2020-05-30,20,7
2020-05-31,17,10
2020-06-01,18,4
2020-06-02,19,3
2020-06-03,22,3
2020-06-04,17,6
2020-06-05,12,10
2020-06-06,21,4
2020-06-07,19,6
2020-06-08,17,8
2020-06-09,17,8
2020-06-10,20,8
2020-06-11,16,11
2020-06-12,16,7
2020-06-13,18,5
2020-06-14,16,7
2020-06-15,20,7
2020-06-16,23,5
2020-06-17,20,7
2020-06-18,18,9
2020-06-19,19,8
2020-06-20,17,6
2020-06-21,13,10
2020-06-22,16,7
2020-06-23,9,12
2020-06-24,9,12
2020-06-25,11,27
2020-06-26,11,12
2020-06-27,14,9
2020-06-28,14,9
2020-06-29,19,4
2020-06-30,19,6
2020-07-01,19,4
2020-07-02,21,6
2020-07-03,16,10
2020-07-04,17,13
2020-07-05,19,5
2020-07-06,20,4
2020-07-07,17,5
2020-07-08,15,9
2020-07-09,14,14
2020-07-10,14,10
2020-07-11,22,9
2020-07-12,20,13
2020-07-13,19,13
2020-07-14,15,9
2020-07-15,20,4
2020-07-16,18,3
2020-07-17,17,4
2020-07-18,18,5
2020-07-19,20,3
2020-07-20,24,0
2020-07-21,22,1
2020-07-22,18,5
2020-07-23,20,3
2020-07-24,16,4
2020-07-25,18,5
2020-07-26,16,3
2020-07-27,16,5
2020-07-28,14,8
2020-07-29,14,7
2020-07-30,20,3
2020-07-31,12,6
2020-08-01,12,5
2020-08-02,13,7
2020-08-03,13,7
2020-08-04,17,3
2020-08-05,20,4
2020-08-06,17,5
2020-08-07,19,3
2020-08-08,18,4
2020-08-09,19,3
2020-08-10,19,3
2020-08-11,18,4
2020-08-12,18,6
2020-08-13,21,3
2020-08-14,16,6
2020-08-15,19,3
2020-08-16,19,3
2020-08-17,21,1
2020-08-18,19,3
2020-08-19,17,3
2020-08-20,16,6
2020-08-21,16,6
2020-08-22,16,6
2020-08-23,18,4
2020-08-24,20,2
2020-08-25,17,5
2020-08-26,16,6
2020-08-27,16,6
2020-08-28,15,7
2020-08-29,18,5
2020-08-30,18,4
2020-08-31,19,3
2020-09-01,17,5
2020-09-02,18,4
2020-09-03,21,1
2020-09-04,20,2
2020-09-05,20,2
2020-09-06,18,4
2020-09-07,20,2
2020-09-08,18,4
2020-09-09,17,7
2020-09-10,20,4
2020-09-11,15,7
2020-09-12,18,4
2020-09-13,18,4
2020-09-14,14,4
2020-09-15,16,2
2020-09-16,20,2
2020-09-17,20,2
2020-09-18,13,6
2020-09-19,17,2
2020-09-20,17,2
2020-09-21,16,3
2020-09-22,17,5
2020-09-23,19,3
2020-09-24,15,4
2020-09-25,14,5
2020-09-26,16,3
2020-09-27,16,3
2020-09-28,15,3
2020-09-29,11,7
2020-09-30,17,3
2020-10-01,17,3
2020-10-02,19,1
2020-10-03,19,1
2020-10-04,17,2
2020-10-05,16,3
2020-10-06,16,3
2020-10-07,14,2
2020-10-08,16,3
2020-10-09,17,3
2020-10-10,18,3
2020-10-11,16,3
2020-10-12,17,3
2020-10-13,17,4
2020-10-14,15,5
2020-10-15,14,6
2020-10-16,14,6
2020-10-17,17,3
2020-10-18,16,3
2020-10-19,17,0
2020-10-20,15,6
2020-10-21,19,0
2020-10-22,17,0
2020-10-23,14,4
2020-10-24,18,0
2020-10-25,17,1
2020-10-26,15,3
2020-10-27,18,0
