date,betten_belegt,betten_frei
2020-04-24,36,37
2020-04-25,31,42
2020-04-26,32,41
2020-04-27,32,43
2020-04-28,39,39
2020-04-29,40,34
2020-04-30,35,40
2020-05-01,33,42
2020-05-02,31,44
2020-05-03,35,38
2020-05-04,37,36
2020-05-05,37,36
2020-05-06,42,31
2020-05-07,44,29
2020-05-08,40,33
2020-05-09,41,32
2020-05-10,38,35
2020-05-11,40,33
2020-05-12,42,31
2020-05-13,37,36
2020-05-14,47,27
2020-05-15,42,33
2020-05-16,40,35
2020-05-17,40,35
2020-05-18,47,28
2020-05-19,44,31
2020-05-20,42,33
2020-05-21,42,33
2020-05-22,39,36
2020-05-23,44,31
2020-05-24,44,31
2020-05-25,40,35
2020-05-26,40,35
2020-05-27,40,35
2020-05-28,42,33
2020-05-29,42,33
2020-05-30,44,31
2020-05-31,40,35
2020-06-01,44,31
2020-06-02,45,30
2020-06-03,39,36
2020-06-04,40,35
2020-06-05,42,34
2020-06-06,43,33
2020-06-07,44,31
2020-06-08,46,30
2020-06-09,41,34
2020-06-10,41,34
2020-06-11,42,33
2020-06-12,42,33
2020-06-13,43,32
2020-06-14,41,32
2020-06-15,42,33
2020-06-16,40,35
2020-06-17,42,33
2020-06-18,39,36
2020-06-19,39,36
2020-06-20,40,35
2020-06-21,41,34
2020-06-22,43,32
2020-06-23,40,35
2020-06-24,40,35
2020-06-25,38,38
2020-06-26,38,37
2020-06-27,41,34
2020-06-28,39,36
2020-06-29,39,36
2020-06-30,41,34
2020-07-01,43,32
2020-07-02,42,33
2020-07-03,40,35
2020-07-04,40,35
2020-07-05,40,35
2020-07-06,43,32
2020-07-07,38,37
2020-07-08,39,36
2020-07-09,42,33
2020-07-10,37,38
2020-07-11,25,50
2020-07-12,22,53
2020-07-13,24,51
2020-07-14,30,45
2020-07-15,33,42
2020-07-16,37,39
2020-07-17,41,37
2020-07-18,44,31
2020-07-19,44,31
2020-07-20,42,33
2020-07-21,42,33
2020-07-22,46,35
2020-07-23,42,40
2020-07-24,43,38
2020-07-25,43,38
2020-07-26,41,40
2020-07-27,42,39
2020-07-28,39,42
2020-07-29,49,32
2020-07-30,44,37
2020-07-31,44,37
2020-08-01,42,39
2020-08-02,43,38
2020-08-03,43,38
2020-08-04,32,49
2020-08-05,34,47
2020-08-06,34,47
2020-08-07,32,49
2020-08-08,36,45
2020-08-09,34,47
2020-08-10,32,49
2020-08-11,33,48
2020-08-12,36,45
2020-08-13,39,42
2020-08-14,39,42
2020-08-15,38,43
2020-08-16,40,41
2020-08-17,37,44
2020-08-18,32,49
2020-08-19,32,49
2020-08-20,27,54
2020-08-21,33,48
2020-08-22,33,48
2020-08-23,32,49
2020-08-24,34,47
2020-08-25,34,47
2020-08-26,33,48
2020-08-27,34,47
2020-08-28,35,46
2020-08-29,36,45
2020-08-30,34,47
2020-08-31,34,47
2020-09-01,32,49
2020-09-02,34,47
2020-09-03,35,46
2020-09-04,36,45
2020-09-05,41,40
2020-09-06,39,42
2020-09-07,36,45
2020-09-08,37,44
2020-09-09,34,47
2020-09-10,36,45
2020-09-11,37,44
2020-09-12,39,42
2020-09-13,38,43
2020-09-14,39,42
2020-09-15,39,42
2020-09-16,39,42
2020-09-17,37,44
2020-09-18,28,53
2020-09-19,33,48
2020-09-20,31,50
2020-09-21,33,48
2020-09-22,34,47
2020-09-23,34,47
2020-09-24,27,54
2020-09-25,30,51
2020-09-26,32,49
2020-09-27,30,51
2020-09-28,26,55
2020-09-29,26,55
2020-09-30,28,53
2020-10-01,29,52
2020-10-02,30,51
2020-10-03,30,51
2020-10-04,29,52
2020-10-05,29,52
2020-10-06,29,52
2020-10-07,29,52
2020-10-08,29,52
2020-10-09,29,52
2020-10-10,28,53
