date,betten_belegt,betten_frei
2020-04-24,35,24
2020-04-25,39,20
2020-04-26,37,22
2020-04-27,38,21
2020-04-28,38,21
2020-04-29,39,20
2020-04-30,37,22
2020-05-01,36,23
2020-05-02,34,25
2020-05-03,34,25
2020-05-04,35,24
2020-05-05,36,23
2020-05-06,29,29
2020-05-07,37,21
2020-05-08,38,21
2020-05-09,35,23
2020-05-10,35,23
2020-05-11,34,24
2020-05-12,33,25
2020-05-13,37,22
2020-05-14,36,30
2020-05-15,39,27
2020-05-16,39,27
2020-05-17,41,25
2020-05-18,43,23
2020-05-19,46,20
2020-05-20,36,30
2020-05-21,37,30
2020-05-22,43,26
2020-05-23,38,28
2020-05-24,37,29
2020-05-25,40,26
2020-05-26,33,33
2020-05-27,34,32
2020-05-28,42,24
2020-05-29,41,25
2020-05-30,41,25
2020-05-31,40,26
2020-06-01,41,25
2020-06-02,41,25
2020-06-03,42,25
2020-06-04,44,23
2020-06-05,43,24
2020-06-06,38,28
2020-06-07,33,33
2020-06-08,36,30
2020-06-09,39,25
2020-06-10,41,25
2020-06-11,42,24
2020-06-12,44,22
2020-06-13,43,23
2020-06-14,36,30
2020-06-15,38,28
2020-06-16,43,23
2020-06-17,46,20
2020-06-18,39,27
2020-06-19,44,22
2020-06-20,44,22
2020-06-21,41,25
2020-06-22,37,28
2020-06-23,42,22
2020-06-24,44,21
2020-06-25,48,18
2020-06-26,36,22
2020-06-27,39,17
2020-06-28,36,22
2020-06-29,37,20
2020-06-30,39,18
2020-07-01,36,21
2020-07-02,42,16
2020-07-03,42,16
2020-07-04,42,13
2020-07-05,43,12
2020-07-06,43,13
2020-07-07,42,15
2020-07-08,47,15
2020-07-09,44,18
2020-07-10,43,19
2020-07-11,44,19
2020-07-12,37,25
2020-07-13,43,20
2020-07-14,45,18
2020-07-15,40,23
2020-07-16,42,22
2020-07-17,37,27
2020-07-18,39,25
2020-07-19,40,24
2020-07-20,42,22
2020-07-21,43,21
2020-07-22,39,25
2020-07-23,49,15
2020-07-24,50,12
2020-07-25,47,17
2020-07-26,42,22
2020-07-27,38,24
2020-07-28,45,16
2020-07-29,35,27
2020-07-30,34,30
2020-07-31,36,28
2020-08-01,38,26
2020-08-02,38,26
2020-08-03,43,20
2020-08-04,43,17
2020-08-05,39,23
2020-08-06,37,25
2020-08-07,38,24
2020-08-08,36,24
2020-08-09,40,20
2020-08-10,44,15
2020-08-11,39,21
2020-08-12,40,20
2020-08-13,43,16
2020-08-14,39,19
2020-08-15,40,18
2020-08-16,37,23
2020-08-17,34,26
2020-08-18,34,26
2020-08-19,40,19
2020-08-20,36,23
2020-08-21,46,15
2020-08-22,47,14
2020-08-23,48,13
2020-08-24,43,18
2020-08-25,48,13
2020-08-26,49,13
2020-08-27,44,18
2020-08-28,42,20
2020-08-29,45,17
2020-08-30,42,20
2020-08-31,45,17
2020-09-01,41,21
2020-09-02,44,24
2020-09-03,45,23
2020-09-04,46,22
2020-09-05,44,24
2020-09-06,45,23
2020-09-07,45,23
2020-09-08,46,22
2020-09-09,48,20
2020-09-10,55,13
2020-09-11,50,18
2020-09-12,49,19
2020-09-13,47,21
2020-09-14,45,23
2020-09-15,42,26
2020-09-16,47,21
2020-09-17,50,18
2020-09-18,46,22
2020-09-19,44,24
2020-09-20,53,15
2020-09-21,52,16
2020-09-22,56,12
2020-09-23,55,13
2020-09-24,48,20
2020-09-25,48,20
2020-09-26,46,20
2020-09-27,42,24
2020-09-28,38,28
2020-09-29,40,25
2020-09-30,46,22
2020-10-01,45,23
2020-10-02,45,23
2020-10-03,44,24
2020-10-04,35,33
2020-10-05,34,32
2020-10-06,39,27
2020-10-07,47,22
2020-10-08,48,22
2020-10-09,49,21
2020-10-10,43,27
2020-10-11,41,29
2020-10-12,49,21
2020-10-13,50,20
2020-10-14,53,17
2020-10-15,59,11
2020-10-16,49,21
2020-10-17,46,20
2020-10-18,43,23
2020-10-19,48,18
