date,betten_belegt,betten_frei
2020-04-24,50,17
2020-04-25,50,17
2020-04-26,45,22
2020-04-27,43,24
2020-04-28,46,22
2020-04-29,46,21
2020-04-30,45,22
2020-05-01,48,19
2020-05-02,47,20
2020-05-03,46,21
2020-05-04,47,20
2020-05-05,44,23
2020-05-06,50,17
2020-05-07,44,23
2020-05-08,47,20
2020-05-09,49,18
2020-05-10,42,25
2020-05-11,44,23
2020-05-12,46,21
2020-05-13,50,19
2020-05-14,51,16
2020-05-15,48,19
2020-05-16,48,23
2020-05-17,43,29
2020-05-18,43,28
2020-05-19,50,21
2020-05-20,50,21
2020-05-21,53,18
2020-05-22,45,26
2020-05-23,44,27
2020-05-24,42,29
2020-05-25,40,31
2020-05-26,41,30
2020-05-27,45,26
2020-05-28,54,17
2020-05-29,51,20
2020-05-30,55,16
2020-05-31,50,21
2020-06-01,43,28
2020-06-02,45,26
2020-06-03,48,23
2020-06-04,55,16
2020-06-05,55,16
2020-06-06,57,14
2020-06-07,50,21
2020-06-08,45,26
2020-06-09,51,20
2020-06-10,55,16
2020-06-11,51,20
2020-06-12,49,22
2020-06-13,50,21
2020-06-14,46,25
2020-06-15,49,22
2020-06-16,50,21
2020-06-17,51,20
2020-06-18,52,19
2020-06-19,55,16
2020-06-20,48,23
2020-06-21,42,30
2020-06-22,42,29
2020-06-23,46,25
2020-06-24,44,27
2020-06-25,45,26
2020-06-26,48,23
2020-06-27,45,26
2020-06-28,43,28
2020-06-29,45,26
2020-06-30,46,25
2020-07-01,48,24
2020-07-02,44,27
2020-07-03,52,19
2020-07-04,49,22
2020-07-05,49,22
2020-07-06,44,29
2020-07-07,52,19
2020-07-08,50,21
2020-07-09,51,20
2020-07-10,52,19
2020-07-11,53,18
2020-07-12,51,20
2020-07-13,63,14
2020-07-14,55,16
2020-07-15,49,22
2020-07-16,57,14
2020-07-17,59,12
2020-07-18,55,16
2020-07-19,49,22
2020-07-20,49,22
2020-07-21,51,20
2020-07-22,45,25
2020-07-23,49,21
2020-07-24,49,20
2020-07-25,46,23
2020-07-26,49,20
2020-07-27,50,19
2020-07-28,54,14
2020-07-29,57,11
2020-07-30,49,18
2020-07-31,52,15
2020-08-01,45,22
2020-08-02,49,18
2020-08-03,50,17
2020-08-04,53,10
2020-08-05,66,10
2020-08-06,49,14
2020-08-07,51,12
2020-08-08,47,16
2020-08-09,44,19
2020-08-10,49,14
2020-08-11,43,20
2020-08-12,50,12
2020-08-13,47,15
2020-08-14,44,18
2020-08-15,45,17
2020-08-16,41,21
2020-08-17,40,22
2020-08-18,40,22
2020-08-19,37,25
2020-08-20,47,15
2020-08-21,48,14
2020-08-22,42,20
2020-08-23,40,22
2020-08-24,46,16
2020-08-25,43,19
2020-08-26,49,13
2020-08-27,52,10
2020-08-28,55,7
2020-08-29,51,11
2020-08-30,54,8
2020-08-31,46,16
2020-09-01,48,14
2020-09-02,54,8
2020-09-03,59,3
2020-09-04,57,5
2020-09-05,56,6
2020-09-06,49,13
2020-09-07,47,15
2020-09-08,48,14
2020-09-09,49,13
2020-09-10,56,6
2020-09-11,57,5
2020-09-12,53,9
2020-09-13,50,12
2020-09-14,53,8
2020-09-15,53,9
2020-09-16,46,16
2020-09-17,50,12
2020-09-18,48,14
2020-09-19,44,18
2020-09-20,50,12
2020-09-21,46,16
2020-09-22,49,13
2020-09-23,53,9
2020-09-24,54,8
2020-09-25,47,15
2020-09-26,49,13
2020-09-27,42,20
2020-09-28,43,19
2020-09-29,47,15
2020-09-30,52,10
2020-10-01,55,7
2020-10-02,54,8
2020-10-03,51,11
2020-10-04,52,10
2020-10-05,52,10
2020-10-06,46,16
2020-10-07,55,7
2020-10-08,48,14
2020-10-09,53,9
2020-10-10,50,11
2020-10-11,46,15
2020-10-12,44,18
2020-10-13,50,12
2020-10-14,47,11
2020-10-15,47,11
2020-10-16,50,8
2020-10-17,46,12
2020-10-18,44,14
2020-10-19,45,13
2020-10-20,47,11
2020-10-21,45,13
2020-10-22,46,10
2020-10-23,44,12
2020-10-24,44,16
2020-10-25,37,23
2020-10-26,37,23
2020-10-27,43,15
2020-10-28,49,11
2020-10-29,51,9
2020-10-30,47,15
2020-10-31,52,8
2020-11-01,48,12
2020-11-02,43,17
2020-11-03,51,9
2020-11-04,53,8
2020-11-05,53,7
2020-11-06,51,9
2020-11-07,48,12
2020-11-08,47,13
2020-11-09,49,11
2020-11-10,51,9
2020-11-11,51,9
2020-11-12,52,8
2020-11-13,58,2
2020-11-14,49,10
2020-11-15,49,10
2020-11-16,48,11
2020-11-17,45,15
2020-11-18,54,6
2020-11-19,49,10
2020-11-20,45,12
2020-11-21,52,5
2020-11-22,49,9
2020-11-23,50,8
2020-11-24,52,7
2020-11-25,48,11
2020-11-26,46,15
2020-11-27,53,6
2020-11-28,49,10
2020-11-29,48,11
2020-11-30,42,19
2020-12-01,45,14
2020-12-02,40,19
2020-12-03,47,12
2020-12-04,44,11
2020-12-05,42,13
2020-12-06,43,12
2020-12-07,43,17
2020-12-08,50,9
2020-12-09,49,10
2020-12-10,51,9
2020-12-11,52,8
2020-12-12,43,15
2020-12-13,41,17
2020-12-14,47,11
2020-12-15,52,6
2020-12-16,50,10
2020-12-17,55,5
2020-12-18,47,14
2020-12-19,52,9
2020-12-20,51,10
2020-12-21,51,10
2020-12-22,53,7
2020-12-23,52,7
2020-12-24,52,7
2020-12-25,52,7
2020-12-26,52,6
2020-12-27,48,9
2020-12-28,54,6
2020-12-29,56,3
2020-12-30,43,5
2020-12-31,41,8
2021-01-01,41,8
2021-01-02,44,5
2021-01-03,44,5
2021-01-04,47,2
2021-01-05,46,3
2021-01-06,45,5
2021-01-07,44,6
2021-01-08,41,9
2021-01-09,41,9
2021-01-10,41,9
2021-01-11,45,5
2021-01-12,45,5
2021-01-13,44,5
2021-01-14,42,7
2021-01-15,43,6
2021-01-16,40,10
2021-01-17,43,7
2021-01-18,45,5
2021-01-19,41,7
2021-01-20,44,2
2021-01-21,42,5
2021-01-22,40,7
2021-01-23,40,9
2021-01-24,44,5
2021-01-25,41,7
2021-01-26,36,12
2021-01-27,38,11
2021-01-28,42,6
2021-01-29,38,10
2021-01-30,39,8
2021-01-31,39,8
2021-02-01,40,7
2021-02-02,39,9
2021-02-03,39,9
2021-02-04,36,12
2021-02-05,34,14
2021-02-06,36,12
2021-02-07,29,19
2021-02-08,29,19
2021-02-09,33,15
2021-02-10,37,11
2021-02-11,41,7
2021-02-12,41,7
2021-02-13,39,9
2021-02-14,39,9
2021-02-15,37,11
2021-02-16,38,10
2021-02-17,39,8
2021-02-18,40,7
2021-02-19,42,5
2021-02-20,40,7
2021-02-21,38,9
2021-02-22,32,15
2021-02-23,31,16
2021-02-24,42,4
2021-02-25,41,4
2021-02-26,44,2
2021-02-27,43,3
2021-02-28,40,6
2021-03-01,45,3
2021-03-02,43,5
2021-03-03,43,5
2021-03-04,40,8
2021-03-05,38,10
2021-03-06,39,9
2021-03-07,42,6
2021-03-08,40,8
2021-03-09,43,5
2021-03-10,42,2
2021-03-11,43,5
2021-03-12,41,7
2021-03-13,38,10
2021-03-14,37,11
2021-03-15,36,12
2021-03-16,34,14
2021-03-17,34,14
2021-03-18,34,14
2021-03-19,34,14
2021-03-20,39,9
2021-03-21,40,8
2021-03-22,38,10
2021-03-23,43,5
2021-03-24,37,11
2021-03-25,40,8
2021-03-26,43,4
2021-03-27,44,2
2021-03-28,43,3
2021-03-29,44,1
2021-03-30,42,4
2021-03-31,41,5
2021-04-01,41,5
2021-04-02,38,8
2021-04-03,33,14
2021-04-04,37,10
2021-04-05,40,7
2021-04-06,40,7
2021-04-07,39,8
2021-04-08,43,5
2021-04-09,41,7
2021-04-10,40,8
2021-04-11,39,8
2021-04-12,40,7
2021-04-13,39,6
2021-04-14,39,8
2021-04-15,41,6
2021-04-16,38,8
2021-04-17,38,8
2021-04-18,35,11
2021-04-19,38,7
2021-04-20,37,9
2021-04-21,43,3
2021-04-22,43,4
2021-04-23,37,10
2021-04-24,38,8
2021-04-25,34,13
2021-04-26,36,11
2021-04-27,41,6
2021-04-28,42,4
2021-04-29,44,2
2021-04-30,44,3
2021-05-01,40,7
2021-05-02,38,8
2021-05-03,37,11
2021-05-04,40,7
2021-05-05,41,7
2021-05-06,40,8
2021-05-07,39,9
2021-05-08,40,8
2021-05-09,39,8
2021-05-10,40,9
2021-05-11,44,5
2021-05-12,44,6
2021-05-13,44,6
2021-05-14,41,9
2021-05-15,45,3
2021-05-16,45,3
2021-05-17,45,3
2021-05-18,44,4
2021-05-19,44,4
2021-05-20,42,4
2021-05-21,41,5
2021-05-22,40,5
2021-05-23,36,9
2021-05-24,32,13
2021-05-25,39,6
2021-05-26,39,6
2021-05-27,40,6
2021-05-28,41,5
2021-05-29,38,8
2021-05-30,40,5
2021-05-31,40,5
2021-06-01,42,3
2021-06-02,42,3
2021-06-03,39,7
2021-06-04,38,8
2021-06-05,34,12
2021-06-06,35,11
2021-06-07,33,13
2021-06-08,35,10
2021-06-09,33,12
2021-06-10,37,9
2021-06-11,34,12
2021-06-12,33,12
2021-06-13,31,14
2021-06-14,35,11
2021-06-15,34,12
2021-06-16,38,8
2021-06-17,36,10
2021-06-18,31,15
2021-06-19,34,12
2021-06-20,33,13
2021-06-21,39,7
2021-06-22,41,5
2021-06-23,42,4
2021-06-24,38,8
2021-06-25,31,15
2021-06-26,32,14
2021-06-27,31,15
2021-06-28,32,14
2021-06-29,38,8
2021-06-30,32,13
2021-07-01,34,11
2021-07-02,37,8
2021-07-03,30,14
2021-07-04,31,12
2021-07-05,32,11
2021-07-06,35,8
2021-07-07,37,6
2021-07-08,39,5
2021-07-09,35,9
2021-07-10,30,14
2021-07-11,30,14
2021-07-12,28,16
2021-07-13,33,11
2021-07-14,37,7
2021-07-15,36,8
2021-07-16,30,14
2021-07-17,33,11
2021-07-18,28,16
2021-07-19,30,14
2021-07-20,36,8
2021-07-21,38,6
2021-07-22,41,3
2021-07-23,39,5
2021-07-24,40,4
2021-07-25,32,12
2021-07-26,32,12
2021-07-27,32,12
2021-07-28,35,9
2021-07-29,34,10
2021-07-30,36,8
2021-07-31,29,15
2021-08-01,30,14
2021-08-02,29,17
2021-08-03,31,15
2021-08-04,36,10
2021-08-05,33,13
2021-08-06,32,14
2021-08-07,33,13
2021-08-08,35,9
2021-08-09,38,8
2021-08-10,39,7
2021-08-11,36,10
2021-08-12,41,5
2021-08-13,40,6
2021-08-14,38,8
2021-08-15,37,9
2021-08-16,40,6
2021-08-17,41,5
2021-08-18,40,6
2021-08-19,41,5
2021-08-20,41,4
2021-08-21,38,4
2021-08-22,37,4
2021-08-23,36,7
2021-08-24,34,9
2021-08-25,35,8
2021-08-26,34,12
2021-08-27,37,9
2021-08-28,40,5
2021-08-29,41,4
2021-08-30,41,6
2021-08-31,40,8
2021-09-01,43,5
2021-09-02,37,9
2021-09-03,41,5
2021-09-04,38,10
2021-09-05,38,10
2021-09-06,40,8
2021-09-07,35,11
2021-09-08,36,10
2021-09-09,37,9
2021-09-10,41,5
2021-09-11,41,7
2021-09-12,40,8
2021-09-13,40,8
2021-09-14,37,9
2021-09-15,40,6
2021-09-16,42,4
2021-09-17,39,5
2021-09-18,39,5
2021-09-19,38,8
2021-09-20,40,10
2021-09-21,42,8
2021-09-22,41,9
2021-09-23,39,11
2021-09-24,35,14
2021-09-25,38,11
2021-09-26,35,14
2021-09-27,40,9
2021-09-28,40,8
2021-09-29,41,5
2021-09-30,43,5
2021-10-01,42,6
2021-10-02,42,5
2021-10-03,40,9
2021-10-04,42,7
2021-10-05,40,10
2021-10-06,43,5
2021-10-07,43,5
2021-10-08,43,5
