date,betten_belegt,betten_frei
2020-04-24,37,50
2020-04-25,31,47
2020-04-26,38,49
2020-04-27,40,47
2020-04-28,38,38
2020-04-29,41,37
2020-04-30,51,39
2020-05-01,40,48
2020-05-02,42,50
2020-05-03,47,43
2020-05-04,39,50
2020-05-05,36,52
2020-05-06,39,50
2020-05-07,46,41
2020-05-08,45,41
2020-05-09,46,40
2020-05-10,36,48
2020-05-11,34,50
2020-05-12,31,51
2020-05-13,39,45
2020-05-14,47,46
2020-05-15,45,43
2020-05-16,40,49
2020-05-17,42,53
2020-05-18,40,54
2020-05-19,48,39
2020-05-20,42,44
2020-05-21,37,51
2020-05-22,46,43
2020-05-23,53,35
2020-05-24,39,49
2020-05-25,37,42
2020-05-26,46,42
2020-05-27,51,37
2020-05-28,46,42
2020-05-29,48,40
2020-05-30,49,39
2020-05-31,50,38
2020-06-01,54,34
2020-06-02,48,35
2020-06-03,47,41
2020-06-04,46,42
2020-06-05,49,38
2020-06-06,48,39
2020-06-07,51,37
2020-06-08,51,37
2020-06-09,50,38
2020-06-10,50,38
2020-06-11,50,38
2020-06-12,54,40
2020-06-13,53,36
2020-06-14,50,38
2020-06-15,48,40
2020-06-16,50,37
2020-06-17,51,37
2020-06-18,52,35
2020-06-19,51,37
2020-06-20,48,40
2020-06-21,47,41
2020-06-22,49,39
2020-06-23,57,31
2020-06-24,58,30
2020-06-25,59,29
2020-06-26,60,28
2020-06-27,57,32
2020-06-28,53,31
2020-06-29,62,25
2020-06-30,60,27
2020-07-01,60,28
2020-07-02,61,27
2020-07-03,55,33
2020-07-04,58,30
2020-07-05,54,34
2020-07-06,58,30
2020-07-07,51,37
2020-07-08,41,47
2020-07-09,45,43
2020-07-10,54,42
2020-07-11,46,40
2020-07-12,47,39
2020-07-13,40,42
2020-07-14,51,37
2020-07-15,50,38
2020-07-16,55,33
2020-07-17,52,37
2020-07-18,49,36
2020-07-19,55,30
2020-07-20,61,25
2020-07-21,62,27
2020-07-22,60,29
2020-07-23,59,39
2020-07-24,61,37
2020-07-25,66,29
2020-07-26,59,36
2020-07-27,51,47
2020-07-28,56,42
2020-07-29,57,37
2020-07-30,54,41
2020-07-31,55,43
2020-08-01,54,41
2020-08-02,51,42
2020-08-03,50,42
2020-08-04,46,24
2020-08-05,51,31
2020-08-06,48,34
2020-08-07,48,31
2020-08-08,49,24
2020-08-09,40,33
2020-08-10,47,35
2020-08-11,52,42
2020-08-12,52,42
2020-08-13,47,41
2020-08-14,45,43
2020-08-15,48,40
2020-08-16,46,42
2020-08-17,58,27
2020-08-18,60,26
2020-08-19,48,31
2020-08-20,58,27
2020-08-21,59,24
2020-08-22,54,29
2020-08-23,52,33
2020-08-24,49,36
2020-08-25,53,32
2020-08-26,61,24
2020-08-27,56,23
2020-08-28,54,31
2020-08-29,60,25
2020-08-30,56,23
2020-08-31,51,28
2020-09-01,59,20
2020-09-02,60,19
2020-09-03,59,20
2020-09-04,56,23
2020-09-05,55,24
2020-09-06,56,23
2020-09-07,54,31
2020-09-08,54,25
2020-09-09,50,29
2020-09-10,49,30
2020-09-11,54,25
2020-09-12,51,28
2020-09-13,48,31
2020-09-14,42,37
2020-09-15,52,27
2020-09-16,54,25
2020-09-17,53,26
2020-09-18,60,19
2020-09-19,56,23
2020-09-20,58,21
2020-09-21,55,24
2020-09-22,50,29
2020-09-23,57,22
2020-09-24,54,31
2020-09-25,58,27
2020-09-26,56,29
2020-09-27,50,35
2020-09-28,58,27
2020-09-29,59,20
2020-09-30,50,35
2020-10-01,56,29
2020-10-02,58,21
2020-10-03,57,26
2020-10-04,55,28
2020-10-05,53,32
2020-10-06,51,34
2020-10-07,56,23
2020-10-08,52,26
2020-10-09,50,28
2020-10-10,52,24
2020-10-11,57,20
2020-10-12,55,22
2020-10-13,61,24
2020-10-14,59,26
2020-10-15,59,20
2020-10-16,55,29
2020-10-17,46,35
2020-10-18,49,32
2020-10-19,51,29
2020-10-20,57,17
2020-10-21,58,16
2020-10-22,59,15
2020-10-23,54,14
2020-10-24,54,12
2020-10-25,50,15
2020-10-26,54,15
2020-10-27,53,24
2020-10-28,66,19
2020-10-29,67,18
2020-10-30,70,15
2020-10-31,70,25
2020-11-01,66,28
2020-11-02,73,23
2020-11-03,71,17
2020-11-04,74,14
2020-11-05,70,24
2020-11-06,69,19
2020-11-07,65,18
2020-11-08,65,16
2020-11-09,71,14
2020-11-10,70,14
2020-11-11,71,15
2020-11-12,75,13
2020-11-13,71,17
2020-11-14,70,19
2020-11-15,66,23
2020-11-16,69,21
2020-11-17,72,18
2020-11-18,74,16
2020-11-19,73,17
2020-11-20,73,16
2020-11-21,64,21
2020-11-22,65,17
2020-11-23,61,22
2020-11-24,60,23
2020-11-25,62,21
2020-11-26,60,23
2020-11-27,56,27
2020-11-28,57,30
2020-11-29,59,24
2020-11-30,57,30
2020-12-01,64,27
2020-12-02,71,20
2020-12-03,64,27
2020-12-04,69,22
2020-12-05,68,17
2020-12-06,63,20
2020-12-07,66,16
2020-12-08,70,12
2020-12-09,67,13
2020-12-10,67,13
2020-12-11,64,18
2020-12-12,68,14
2020-12-13,67,17
2020-12-14,69,15
2020-12-15,60,19
2020-12-16,62,17
2020-12-17,64,16
2020-12-18,60,20
2020-12-19,62,18
2020-12-20,54,20
2020-12-21,58,25
2020-12-22,61,22
2020-12-23,62,21
2020-12-24,66,16
2020-12-25,61,19
2020-12-26,60,20
2020-12-27,63,18
2020-12-28,62,17
2020-12-29,66,13
2020-12-30,64,14
2020-12-31,58,20
2021-01-01,61,18
2021-01-02,61,16
2021-01-03,63,14
2021-01-04,63,13
2021-01-05,67,8
2021-01-06,62,15
2021-01-07,65,13
2021-01-08,64,13
2021-01-09,60,18
2021-01-10,63,17
2021-01-11,62,23
2021-01-12,72,11
2021-01-13,65,18
2021-01-14,68,17
2021-01-15,69,16
2021-01-16,67,17
2021-01-17,71,12
2021-01-18,69,16
2021-01-19,72,15
2021-01-20,71,14
2021-01-21,73,12
2021-01-22,75,10
2021-01-23,75,10
2021-01-24,66,17
2021-01-25,67,19
2021-01-26,69,17
2021-01-27,69,17
2021-01-28,70,16
2021-01-29,66,20
2021-01-30,66,20
2021-01-31,66,20
2021-02-01,67,17
2021-02-02,70,14
2021-02-03,67,14
2021-02-04,65,16
2021-02-05,64,22
2021-02-06,62,21
2021-02-07,49,37
2021-02-08,63,24
2021-02-09,70,21
2021-02-10,69,20
2021-02-11,72,16
2021-02-12,69,19
2021-02-13,66,21
2021-02-14,65,21
2021-02-15,68,18
2021-02-16,73,13
2021-02-17,76,12
2021-02-18,75,13
2021-02-19,73,15
2021-02-20,76,10
2021-02-21,75,11
2021-02-22,78,11
2021-02-23,79,12
2021-02-24,78,15
2021-02-25,78,15
2021-02-26,71,19
2021-02-27,75,15
2021-02-28,75,15
2021-03-01,72,19
2021-03-02,78,15
2021-03-03,79,14
2021-03-04,76,15
2021-03-05,79,12
2021-03-06,76,13
2021-03-07,76,13
2021-03-08,78,13
2021-03-09,79,12
2021-03-10,73,18
2021-03-11,73,18
2021-03-12,74,17
2021-03-13,72,16
2021-03-14,71,15
2021-03-15,75,16
2021-03-16,76,15
2021-03-17,75,16
2021-03-18,79,14
2021-03-19,81,12
2021-03-20,74,15
2021-03-21,75,14
2021-03-22,74,19
2021-03-23,78,15
2021-03-24,77,14
2021-03-25,74,19
2021-03-26,78,15
2021-03-27,72,16
2021-03-28,72,18
2021-03-29,75,18
2021-03-30,75,18
2021-03-31,78,15
2021-04-01,81,10
2021-04-02,81,10
2021-04-03,81,10
2021-04-04,82,9
2021-04-05,79,12
2021-04-06,81,11
2021-04-07,80,11
2021-04-08,76,14
2021-04-09,77,13
2021-04-10,74,12
2021-04-11,70,14
2021-04-12,76,13
2021-04-13,78,13
2021-04-14,81,11
2021-04-15,82,10
2021-04-16,80,12
2021-04-17,82,8
2021-04-18,81,9
2021-04-19,77,13
2021-04-20,76,14
2021-04-21,72,21
2021-04-22,74,17
2021-04-23,74,17
2021-04-24,72,17
2021-04-25,71,20
2021-04-26,75,16
2021-04-27,73,18
2021-04-28,72,19
2021-04-29,75,16
2021-04-30,71,20
2021-05-01,66,21
2021-05-02,68,20
2021-05-03,75,17
2021-05-04,77,17
2021-05-05,78,16
2021-05-06,82,8
2021-05-07,77,11
2021-05-08,80,8
2021-05-09,75,15
2021-05-10,81,7
2021-05-11,77,11
2021-05-12,81,7
2021-05-13,80,8
2021-05-14,76,12
2021-05-15,73,12
2021-05-16,75,12
2021-05-17,73,14
2021-05-18,73,16
2021-05-19,77,10
2021-05-20,72,15
2021-05-21,77,10
2021-05-22,76,11
2021-05-23,76,11
2021-05-24,73,13
2021-05-25,81,6
2021-05-26,81,6
2021-05-27,75,11
2021-05-28,73,14
2021-05-29,75,11
2021-05-30,72,14
2021-05-31,79,9
2021-06-01,75,13
2021-06-02,74,14
2021-06-03,68,20
2021-06-04,72,16
2021-06-05,66,21
2021-06-06,68,17
2021-06-07,78,7
2021-06-08,76,9
2021-06-09,79,7
2021-06-10,78,8
2021-06-11,69,17
2021-06-12,66,20
2021-06-13,63,23
2021-06-14,67,19
2021-06-15,62,24
2021-06-16,65,21
2021-06-17,76,10
2021-06-18,73,15
2021-06-19,74,13
2021-06-20,74,13
2021-06-21,73,13
2021-06-22,73,17
2021-06-23,80,10
2021-06-24,80,8
2021-06-25,82,6
2021-06-26,74,11
2021-06-27,78,7
2021-06-28,78,7
2021-06-29,74,13
2021-06-30,68,19
2021-07-01,69,19
2021-07-02,71,15
2021-07-03,70,18
2021-07-04,68,20
2021-07-05,68,20
2021-07-06,71,17
2021-07-07,71,18
2021-07-08,71,18
2021-07-09,72,16
2021-07-10,72,16
2021-07-11,69,19
2021-07-12,77,10
2021-07-13,78,8
2021-07-14,78,9
2021-07-15,78,10
2021-07-16,77,10
2021-07-17,69,16
2021-07-18,71,16
2021-07-19,76,10
2021-07-20,75,11
2021-07-21,78,9
2021-07-22,79,7
2021-07-23,75,11
2021-07-24,72,14
2021-07-25,76,11
2021-07-26,77,10
2021-07-27,80,8
2021-07-28,80,9
2021-07-29,79,9
2021-07-30,82,5
2021-07-31,78,7
2021-08-01,77,8
2021-08-02,74,11
2021-08-03,76,11
2021-08-04,73,14
2021-08-05,71,14
2021-08-06,73,14
2021-08-07,71,16
2021-08-08,72,13
2021-08-09,74,13
2021-08-10,71,16
2021-08-11,75,12
2021-08-12,74,13
2021-08-13,75,12
2021-08-14,72,12
2021-08-15,72,11
2021-08-16,77,8
2021-08-17,71,16
2021-08-18,73,12
2021-08-19,73,12
2021-08-20,73,12
2021-08-21,70,15
2021-08-22,70,13
2021-08-23,71,12
2021-08-24,75,10
2021-08-25,73,12
2021-08-26,70,15
2021-08-27,74,8
2021-08-28,70,14
2021-08-29,69,13
2021-08-30,74,13
2021-08-31,79,8
2021-09-01,74,14
2021-09-02,75,13
2021-09-03,76,8
2021-09-04,74,13
2021-09-05,74,13
2021-09-06,79,9
2021-09-07,80,9
2021-09-08,78,11
2021-09-09,80,9
2021-09-10,79,6
2021-09-11,80,7
2021-09-12,78,7
2021-09-13,77,9
2021-09-14,78,10
2021-09-15,77,9
2021-09-16,75,11
2021-09-17,74,13
2021-09-18,67,11
2021-09-19,66,12
2021-09-20,68,11
2021-09-21,68,13
2021-09-22,69,12
2021-09-23,72,10
2021-09-24,71,10
2021-09-25,68,13
2021-09-26,70,10
2021-09-27,70,10
2021-09-28,69,12
2021-09-29,72,9
2021-09-30,73,8
2021-10-01,74,6
2021-10-02,74,6
2021-10-03,75,5
2021-10-04,74,6
2021-10-05,79,2
2021-10-06,71,12
2021-10-07,77,6
2021-10-08,76,7
2021-10-09,75,7
2021-10-10,75,7
2021-10-11,75,7
2021-10-12,72,10
2021-10-13,74,8
2021-10-14,75,7
2021-10-15,75,7
2021-10-16,75,5
2021-10-17,73,9
2021-10-18,71,9
2021-10-19,72,8
2021-10-20,69,9
2021-10-21,72,8
2021-10-22,70,9
2021-10-23,69,7
2021-10-24,60,9
2021-10-25,69,15
2021-10-26,71,12
2021-10-27,78,4
2021-10-28,78,6
2021-10-29,78,7
2021-10-30,76,8
2021-10-31,77,6
2021-11-01,78,5
2021-11-02,77,6
2021-11-03,74,8
2021-11-04,77,7
2021-11-05,73,10
2021-11-06,76,5
2021-11-07,74,7
2021-11-08,64,8
2021-11-09,66,5
2021-11-10,63,9
2021-11-11,61,9
2021-11-12,60,12
2021-11-13,52,18
2021-11-14,57,14
2021-11-15,71,13
2021-11-16,78,8
2021-11-17,76,10
2021-11-18,77,10
2021-11-19,74,11
2021-11-20,69,14
2021-11-21,67,15
2021-11-22,73,11
2021-11-23,74,9
2021-11-24,74,9
2021-11-25,76,7
2021-11-26,73,9
2021-11-27,70,12
2021-11-28,70,12
2021-11-29,73,9
2021-11-30,69,13
2021-12-01,69,13
2021-12-02,71,11
2021-12-03,72,10
2021-12-04,70,8
2021-12-05,72,6
2021-12-06,70,12
2021-12-07,70,9
2021-12-08,71,8
2021-12-09,72,7
2021-12-10,74,6
2021-12-11,76,4
2021-12-12,72,8
2021-12-13,77,4
2021-12-14,78,3
2021-12-15,77,5
2021-12-16,78,5
2021-12-17,76,8
2021-12-18,74,9
2021-12-19,73,8
2021-12-20,76,6
2021-12-21,73,8
2021-12-22,76,6
2021-12-23,74,8
2021-12-24,69,13
2021-12-25,72,10
2021-12-26,73,9
2021-12-27,74,8
2021-12-28,74,9
2021-12-29,75,8
2021-12-30,73,9
2021-12-31,72,10
2022-01-01,73,9
2022-01-02,68,12
2022-01-03,68,15
2022-01-04,73,12
2022-01-05,71,12
2022-01-06,72,11
2022-01-07,72,11
2022-01-08,71,11
2022-01-09,70,12
2022-01-10,73,9
2022-01-11,75,7
2022-01-12,73,9
2022-01-13,70,14
2022-01-14,74,9
2022-01-15,70,15
2022-01-16,72,13
2022-01-17,73,12
2022-01-18,76,7
2022-01-19,75,8
2022-01-20,72,11
2022-01-21,69,15
2022-01-22,67,16
2022-01-23,64,19
2022-01-24,72,16
2022-01-25,71,16
2022-01-26,73,12
2022-01-27,74,14
2022-01-28,74,14
2022-01-29,73,13
2022-01-30,72,14
2022-01-31,73,13
2022-02-01,68,19
2022-02-02,76,10
2022-02-03,76,9
2022-02-04,79,8
2022-02-05,74,10
2022-02-06,78,3
2022-02-07,73,6
2022-02-08,71,9
2022-02-09,70,12
2022-02-10,71,10
2022-02-11,71,8
2022-02-12,66,10
2022-02-13,67,10
2022-02-14,70,9
2022-02-15,70,7
2022-02-16,78,5
2022-02-17,75,7
2022-02-18,73,5
2022-02-19,71,8
2022-02-20,68,11
2022-02-21,66,16
2022-02-22,72,10
2022-02-23,74,5
2022-02-24,75,5
2022-02-25,78,3
2022-02-26,70,10
