date,betten_belegt,betten_frei
2020-04-24,549,338
2020-04-25,550,327
2020-04-26,526,332
2020-04-27,520,365
2020-04-28,541,395
2020-04-29,563,378
2020-04-30,561,366
2020-05-01,581,338
2020-05-02,573,344
2020-05-03,563,353
2020-05-04,564,372
2020-05-05,605,342
2020-05-06,581,346
2020-05-07,596,311
2020-05-08,602,341
2020-05-09,595,342
2020-05-10,576,365
2020-05-11,576,369
2020-05-12,572,369
2020-05-13,591,365
2020-05-14,587,343
2020-05-15,601,330
2020-05-16,594,346
2020-05-17,570,374
2020-05-18,569,369
2020-05-19,570,370
2020-05-20,590,352
2020-05-21,604,336
2020-05-22,571,367
2020-05-23,576,390
2020-05-24,557,400
2020-05-25,555,384
2020-05-26,560,382
2020-05-27,580,366
2020-05-28,582,365
2020-05-29,586,356
2020-05-30,593,357
2020-05-31,558,390
2020-06-01,580,362
2020-06-02,556,379
2020-06-03,567,366
2020-06-04,581,350
2020-06-05,573,355
2020-06-06,573,356
2020-06-07,540,388
2020-06-08,564,370
2020-06-09,571,363
2020-06-10,596,335
2020-06-11,574,353
2020-06-12,589,343
2020-06-13,585,341
2020-06-14,564,358
2020-06-15,559,361
2020-06-16,554,384
2020-06-17,584,348
2020-06-18,558,371
2020-06-19,573,354
2020-06-20,589,346
2020-06-21,573,364
2020-06-22,556,375
2020-06-23,582,347
2020-06-24,590,338
2020-06-25,571,357
2020-06-26,577,352
2020-06-27,594,353
2020-06-28,548,387
2020-06-29,566,368
2020-06-30,580,353
2020-07-01,588,351
2020-07-02,582,357
2020-07-03,576,364
2020-07-04,566,369
2020-07-05,542,387
2020-07-06,541,389
2020-07-07,568,367
2020-07-08,572,369
2020-07-09,580,364
2020-07-10,572,368
2020-07-11,594,343
2020-07-12,569,369
2020-07-13,560,372
2020-07-14,607,316
2020-07-15,609,324
2020-07-16,613,324
2020-07-17,622,290
2020-07-18,615,296
2020-07-19,576,333
2020-07-20,572,342
2020-07-21,593,342
2020-07-22,609,347
2020-07-23,597,359
2020-07-24,609,344
2020-07-25,617,344
2020-07-26,592,370
2020-07-27,560,392
2020-07-28,615,342
2020-07-29,622,351
2020-07-30,626,345
2020-07-31,620,347
2020-08-01,613,351
2020-08-02,605,365
2020-08-03,599,371
2020-08-04,591,270
2020-08-05,619,279
2020-08-06,624,258
2020-08-07,623,259
2020-08-08,592,290
2020-08-09,563,319
2020-08-10,571,308
2020-08-11,616,263
2020-08-12,617,258
2020-08-13,626,249
2020-08-14,621,249
2020-08-15,596,279
2020-08-16,579,296
2020-08-17,567,288
2020-08-18,597,257
2020-08-19,594,259
2020-08-20,601,252
2020-08-21,605,270
2020-08-22,597,278
2020-08-23,574,301
2020-08-24,579,296
2020-08-25,607,268
2020-08-26,590,285
2020-08-27,580,293
2020-08-28,581,292
2020-08-29,594,280
2020-08-30,538,335
2020-08-31,546,327
2020-09-01,572,301
2020-09-02,575,300
2020-09-03,575,302
2020-09-04,580,295
2020-09-05,571,304
2020-09-06,558,317
2020-09-07,561,315
2020-09-08,593,283
2020-09-09,595,281
2020-09-10,594,281
2020-09-11,589,283
2020-09-12,580,292
2020-09-13,563,287
2020-09-14,541,301
2020-09-15,597,225
2020-09-16,600,224
2020-09-17,607,221
2020-09-18,607,226
2020-09-19,596,235
2020-09-20,570,263
2020-09-21,575,258
2020-09-22,588,245
2020-09-23,608,225
2020-09-24,619,216
2020-09-25,626,209
2020-09-26,603,210
2020-09-27,561,254
2020-09-28,568,270
2020-09-29,589,249
2020-09-30,598,240
2020-10-01,597,234
2020-10-02,613,218
2020-10-03,598,233
2020-10-04,568,264
2020-10-05,567,264
2020-10-06,575,256
2020-10-07,594,237
2020-10-08,597,234
2020-10-09,589,242
2020-10-10,575,256
2020-10-11,558,271
2020-10-12,566,265
2020-10-13,578,253
2020-10-14,595,236
2020-10-15,586,245
2020-10-16,600,231
2020-10-17,578,253
2020-10-18,560,271
2020-10-19,555,276
2020-10-20,554,277
2020-10-21,574,257
2020-10-22,587,244
2020-10-23,583,246
2020-10-24,584,238
2020-10-25,551,272
2020-10-26,550,277
2020-10-27,579,251
2020-10-28,577,232
2020-10-29,573,238
2020-10-30,578,229
2020-10-31,566,241
2020-11-01,562,244
2020-11-02,569,227
2020-11-03,584,211
2020-11-04,581,219
2020-11-05,594,164
2020-11-06,596,147
2020-11-07,586,154
2020-11-08,574,167
2020-11-09,566,170
2020-11-10,566,175
2020-11-11,595,146
2020-11-12,571,159
2020-11-13,582,146
2020-11-14,591,135
2020-11-15,573,150
2020-11-16,582,146
2020-11-17,585,140
2020-11-18,593,128
2020-11-19,582,139
2020-11-20,586,132
2020-11-21,579,138
2020-11-22,547,163
2020-11-23,551,167
2020-11-24,574,152
2020-11-25,558,163
2020-11-26,571,148
2020-11-27,565,144
2020-11-28,565,138
2020-11-29,540,165
2020-11-30,541,167
2020-12-01,594,116
2020-12-02,591,118
2020-12-03,587,118
2020-12-04,591,108
2020-12-05,592,109
2020-12-06,567,135
2020-12-07,537,141
2020-12-08,565,118
2020-12-09,550,129
2020-12-10,550,131
2020-12-11,559,119
2020-12-12,555,121
2020-12-13,540,137
2020-12-14,538,141
2020-12-15,546,140
2020-12-16,566,123
2020-12-17,558,118
2020-12-18,548,126
2020-12-19,551,122
2020-12-20,520,122
2020-12-21,539,119
2020-12-22,525,134
2020-12-23,525,134
2020-12-24,516,135
2020-12-25,488,156
2020-12-26,507,140
2020-12-27,505,144
2020-12-28,510,138
2020-12-29,523,121
2020-12-30,508,133
2020-12-31,507,132
2021-01-01,511,128
2021-01-02,518,121
2021-01-03,516,127
2021-01-04,532,122
2021-01-05,542,124
2021-01-06,538,132
2021-01-07,545,125
2021-01-08,560,113
2021-01-09,561,112
2021-01-10,519,142
2021-01-11,530,133
2021-01-12,552,121
2021-01-13,552,123
2021-01-14,548,127
2021-01-15,533,135
2021-01-16,533,136
2021-01-17,511,148
2021-01-18,530,129
2021-01-19,555,123
2021-01-20,563,112
2021-01-21,558,116
2021-01-22,572,103
2021-01-23,559,116
2021-01-24,545,119
2021-01-25,536,134
2021-01-26,556,127
2021-01-27,556,125
2021-01-28,550,129
2021-01-29,557,117
2021-01-30,561,116
2021-01-31,538,129
2021-02-01,543,124
2021-02-02,550,122
2021-02-03,581,104
2021-02-04,569,116
2021-02-05,559,123
2021-02-06,559,120
2021-02-07,536,133
2021-02-08,538,136
2021-02-09,543,151
2021-02-10,553,140
2021-02-11,541,148
2021-02-12,542,149
2021-02-13,547,141
2021-02-14,543,133
2021-02-15,556,123
2021-02-16,564,130
2021-02-17,568,121
2021-02-18,564,124
2021-02-19,563,126
2021-02-20,581,104
2021-02-21,569,114
2021-02-22,542,134
2021-02-23,569,121
2021-02-24,584,105
2021-02-25,586,99
2021-02-26,580,103
2021-02-27,574,109
2021-02-28,555,122
2021-03-01,540,141
2021-03-02,558,130
2021-03-03,561,125
2021-03-04,573,112
2021-03-05,572,109
2021-03-06,595,95
2021-03-07,542,119
2021-03-08,547,132
2021-03-09,557,132
2021-03-10,589,108
2021-03-11,596,98
2021-03-12,574,112
2021-03-13,583,108
2021-03-14,558,114
2021-03-15,564,113
2021-03-16,570,123
2021-03-17,572,122
2021-03-18,581,115
2021-03-19,575,115
