date,betten_belegt,betten_frei
2020-04-24,52,38
2020-04-25,51,38
2020-04-26,50,39
2020-04-27,49,40
2020-04-28,55,40
2020-04-29,55,39
2020-04-30,52,40
2020-05-01,53,42
2020-05-02,54,39
2020-05-03,53,35
2020-05-04,52,39
2020-05-05,56,36
2020-05-06,58,33
2020-05-07,53,38
2020-05-08,52,37
2020-05-09,51,40
2020-05-10,53,38
2020-05-11,51,40
2020-05-12,58,33
2020-05-13,55,34
2020-05-14,55,34
2020-05-15,54,35
2020-05-16,48,41
2020-05-17,47,41
2020-05-18,53,35
2020-05-19,56,32
2020-05-20,58,32
2020-05-21,51,38
2020-05-22,48,41
2020-05-23,53,40
2020-05-24,52,41
2020-05-25,43,47
2020-05-26,49,38
2020-05-27,56,38
2020-05-28,62,38
2020-05-29,49,47
2020-05-30,54,43
2020-05-31,52,43
2020-06-01,48,49
2020-06-02,50,48
2020-06-03,52,45
2020-06-04,59,38
2020-06-05,62,34
2020-06-06,58,36
2020-06-07,58,35
2020-06-08,54,39
2020-06-09,60,30
2020-06-10,64,35
2020-06-11,53,37
2020-06-12,47,47
2020-06-13,60,37
2020-06-14,56,39
2020-06-15,62,34
2020-06-16,59,37
2020-06-17,57,42
2020-06-18,64,35
2020-06-19,64,34
2020-06-20,51,47
2020-06-21,48,52
2020-06-22,60,39
2020-06-23,60,39
2020-06-24,64,35
2020-06-25,65,30
2020-06-26,64,35
2020-06-27,61,33
2020-06-28,63,32
2020-06-29,64,34
2020-06-30,68,30
2020-07-01,62,34
2020-07-02,67,31
2020-07-03,59,38
2020-07-04,55,39
2020-07-05,54,44
2020-07-06,49,49
2020-07-07,57,38
2020-07-08,55,39
2020-07-09,59,39
2020-07-10,66,32
2020-07-11,57,42
2020-07-12,60,37
2020-07-13,57,38
2020-07-14,63,35
2020-07-15,64,34
2020-07-16,62,35
2020-07-17,67,33
2020-07-18,64,31
2020-07-19,46,48
2020-07-20,45,53
2020-07-21,42,52
2020-07-22,43,49
2020-07-23,53,56
2020-07-24,48,61
2020-07-25,50,59
2020-07-26,56,55
2020-07-27,56,54
2020-07-28,51,60
2020-07-29,62,50
2020-07-30,66,48
2020-07-31,63,49
2020-08-01,69,43
2020-08-02,76,39
2020-08-03,64,47
2020-08-04,73,37
2020-08-05,66,48
2020-08-06,64,50
2020-08-07,61,53
2020-08-08,64,50
2020-08-09,62,52
2020-08-10,68,46
2020-08-11,72,42
2020-08-12,76,39
2020-08-13,75,40
2020-08-14,64,51
2020-08-15,67,48
2020-08-16,66,49
2020-08-17,65,50
2020-08-18,69,46
2020-08-19,76,38
2020-08-20,69,45
2020-08-21,63,51
2020-08-22,62,52
2020-08-23,63,51
2020-08-24,55,59
2020-08-25,64,50
2020-08-26,65,49
2020-08-27,70,44
2020-08-28,72,42
2020-08-29,66,48
2020-08-30,65,49
2020-08-31,64,50
2020-09-01,74,40
2020-09-02,70,44
2020-09-03,69,45
2020-09-04,67,47
2020-09-05,65,49
2020-09-06,69,45
2020-09-07,70,44
2020-09-08,71,43
2020-09-09,66,48
2020-09-10,66,48
2020-09-11,78,36
2020-09-12,72,41
2020-09-13,77,36
2020-09-14,71,43
2020-09-15,75,39
2020-09-16,74,40
2020-09-17,70,44
2020-09-18,73,41
2020-09-19,69,45
2020-09-20,69,45
2020-09-21,67,47
2020-09-22,71,43
2020-09-23,70,44
2020-09-24,70,44
2020-09-25,69,45
2020-09-26,66,48
2020-09-27,66,48
2020-09-28,67,47
2020-09-29,62,52
2020-09-30,66,48
2020-10-01,72,42
2020-10-02,66,48
2020-10-03,72,42
2020-10-04,66,48
2020-10-05,59,55
2020-10-06,64,50
2020-10-07,69,45
2020-10-08,60,54
2020-10-09,64,50
2020-10-10,67,47
2020-10-11,68,46
2020-10-12,63,51
2020-10-13,64,50
2020-10-14,62,52
2020-10-15,55,59
2020-10-16,62,52
2020-10-17,57,55
2020-10-18,54,59
2020-10-19,51,63
2020-10-20,59,55
2020-10-21,68,47
2020-10-22,67,37
2020-10-23,69,35
2020-10-24,74,32
2020-10-25,67,39
2020-10-26,60,46
2020-10-27,64,39
2020-10-28,70,33
2020-10-29,66,37
2020-10-30,82,21
2020-10-31,73,30
2020-11-01,58,45
2020-11-02,61,42
2020-11-03,69,36
2020-11-04,75,29
2020-11-05,77,27
2020-11-06,69,34
2020-11-07,72,27
2020-11-08,66,33
2020-11-09,59,40
2020-11-10,62,37
2020-11-11,67,33
2020-11-12,76,26
2020-11-13,75,27
2020-11-14,60,43
2020-11-15,56,46
2020-11-16,55,47
2020-11-17,64,39
2020-11-18,59,44
2020-11-19,68,37
2020-11-20,72,34
2020-11-21,63,41
2020-11-22,65,38
2020-11-23,62,34
2020-11-24,68,28
2020-11-25,66,27
2020-11-26,68,22
2020-11-27,66,22
2020-11-28,62,27
2020-11-29,57,32
2020-11-30,60,29
2020-12-01,69,20
2020-12-02,65,24
2020-12-03,66,23
2020-12-04,74,18
2020-12-05,67,23
2020-12-06,72,20
2020-12-07,70,21
2020-12-08,70,21
2020-12-09,73,16
2020-12-10,70,21
2020-12-11,76,17
2020-12-12,63,25
2020-12-13,61,27
2020-12-14,66,22
2020-12-15,71,18
2020-12-16,74,16
2020-12-17,71,17
2020-12-18,66,23
2020-12-19,66,16
2020-12-20,63,19
2020-12-21,62,21
2020-12-22,61,23
2020-12-23,64,20
2020-12-24,60,22
2020-12-25,52,31
2020-12-26,59,24
2020-12-27,56,27
2020-12-28,57,26
2020-12-29,62,20
2020-12-30,59,23
2020-12-31,58,24
2021-01-01,64,20
2021-01-02,67,17
2021-01-03,63,20
2021-01-04,67,18
2021-01-05,68,18
2021-01-06,69,18
2021-01-07,72,14
2021-01-08,70,18
2021-01-09,72,14
2021-01-10,63,17
2021-01-11,64,18
2021-01-12,65,18
2021-01-13,73,13
2021-01-14,65,20
2021-01-15,65,21
2021-01-16,69,18
2021-01-17,69,17
2021-01-18,67,20
2021-01-19,68,19
2021-01-20,70,19
2021-01-21,77,12
2021-01-22,76,11
2021-01-23,69,13
2021-01-24,69,15
2021-01-25,64,21
2021-01-26,71,18
2021-01-27,69,19
2021-01-28,77,12
2021-01-29,73,14
2021-01-30,67,18
2021-01-31,68,19
2021-02-01,66,20
2021-02-02,68,20
2021-02-03,74,16
2021-02-04,74,14
2021-02-05,64,20
2021-02-06,67,18
2021-02-07,66,18
2021-02-08,67,17
2021-02-09,63,22
2021-02-10,62,24
2021-02-11,70,16
2021-02-12,69,18
2021-02-13,65,19
2021-02-14,66,19
2021-02-15,70,18
2021-02-16,77,14
2021-02-17,71,17
2021-02-18,72,21
2021-02-19,70,19
2021-02-20,66,23
2021-02-21,73,22
2021-02-22,79,16
2021-02-23,80,15
2021-02-24,76,12
2021-02-25,74,16
2021-02-26,78,14
2021-02-27,79,12
2021-02-28,76,15
2021-03-01,71,19
2021-03-02,83,11
2021-03-03,73,20
2021-03-04,72,18
2021-03-05,76,15
2021-03-06,67,24
2021-03-07,70,22
2021-03-08,72,21
2021-03-09,69,22
2021-03-10,66,28
2021-03-11,67,29
2021-03-12,74,19
2021-03-13,65,25
2021-03-14,65,27
2021-03-15,75,18
2021-03-16,77,15
2021-03-17,74,19
2021-03-18,71,22
2021-03-19,69,22
2021-03-20,64,26
2021-03-21,63,27
2021-03-22,66,25
2021-03-23,66,28
2021-03-24,75,21
2021-03-25,62,25
2021-03-26,63,26
2021-03-27,61,30
2021-03-28,58,33
2021-03-29,56,35
2021-03-30,74,21
2021-03-31,69,25
2021-04-01,67,27
2021-04-02,66,27
2021-04-03,61,31
2021-04-04,57,34
2021-04-05,60,32
2021-04-06,64,28
2021-04-07,71,20
2021-04-08,70,23
2021-04-09,70,21
2021-04-10,70,19
2021-04-11,64,22
2021-04-12,62,30
2021-04-13,67,25
2021-04-14,71,18
2021-04-15,73,17
2021-04-16,75,17
2021-04-17,79,16
2021-04-18,76,16
2021-04-19,75,16
2021-04-20,76,17
2021-04-21,73,18
2021-04-22,70,21
2021-04-23,67,23
2021-04-24,66,26
2021-04-25,69,23
2021-04-26,74,17
2021-04-27,76,17
2021-04-28,73,19
2021-04-29,69,22
2021-04-30,73,19
2021-05-01,68,25
2021-05-02,67,26
2021-05-03,64,26
2021-05-04,70,22
2021-05-05,70,23
2021-05-06,72,21
2021-05-07,71,21
2021-05-08,68,23
2021-05-09,69,22
2021-05-10,71,21
2021-05-11,76,19
2021-05-12,68,25
2021-05-13,73,20
2021-05-14,68,22
2021-05-15,70,24
2021-05-16,65,26
2021-05-17,65,26
2021-05-18,75,19
2021-05-19,75,19
2021-05-20,82,14
2021-05-21,76,20
2021-05-22,73,20
2021-05-23,67,25
2021-05-24,70,25
2021-05-25,70,25
2021-05-26,70,22
2021-05-27,71,17
2021-05-28,64,26
2021-05-29,65,25
2021-05-30,67,23
2021-05-31,63,27
2021-06-01,74,20
2021-06-02,77,15
2021-06-03,69,23
2021-06-04,66,26
2021-06-05,67,25
2021-06-06,64,26
2021-06-07,71,22
2021-06-08,65,26
2021-06-09,64,26
2021-06-10,69,21
2021-06-11,66,25
2021-06-12,72,20
2021-06-13,61,29
2021-06-14,61,29
2021-06-15,66,24
2021-06-16,68,24
2021-06-17,64,28
2021-06-18,66,26
2021-06-19,62,30
2021-06-20,65,27
2021-06-21,63,30
2021-06-22,62,31
2021-06-23,54,40
2021-06-24,61,32
2021-06-25,65,30
2021-06-26,68,27
2021-06-27,61,34
2021-06-28,63,32
2021-06-29,67,28
2021-06-30,61,25
2021-07-01,66,25
2021-07-02,67,27
2021-07-03,67,25
2021-07-04,64,28
2021-07-05,71,23
2021-07-06,70,26
2021-07-07,71,25
2021-07-08,66,28
2021-07-09,68,26
2021-07-10,65,29
2021-07-11,64,30
2021-07-12,58,38
2021-07-13,64,32
2021-07-14,63,32
2021-07-15,65,30
2021-07-16,60,35
2021-07-17,59,36
2021-07-18,60,35
2021-07-19,63,32
2021-07-20,67,28
2021-07-21,64,32
2021-07-22,62,34
2021-07-23,62,34
2021-07-24,63,33
2021-07-25,60,36
2021-07-26,58,38
2021-07-27,62,34
2021-07-28,62,34
2021-07-29,68,28
2021-07-30,66,30
2021-07-31,66,27
2021-08-01,69,24
