date,betten_belegt,betten_frei
2020-04-24,40,24
2020-04-25,39,25
2020-04-26,32,32
2020-04-27,32,32
2020-04-28,33,31
2020-04-29,33,31
2020-04-30,39,25
2020-05-01,36,28
2020-05-02,36,28
2020-05-03,40,24
2020-05-04,40,24
2020-05-05,39,25
2020-05-06,36,28
2020-05-07,37,27
2020-05-08,40,24
2020-05-09,39,23
2020-05-10,37,27
2020-05-11,38,26
2020-05-12,40,24
2020-05-13,43,21
2020-05-14,43,21
2020-05-15,39,24
2020-05-16,42,21
2020-05-17,44,21
2020-05-18,38,26
2020-05-19,39,25
2020-05-20,41,21
2020-05-21,38,24
2020-05-22,42,20
2020-05-23,44,18
2020-05-24,44,18
2020-05-25,44,18
2020-05-26,43,19
2020-05-27,47,15
2020-05-28,43,19
2020-05-29,43,23
2020-05-30,39,27
2020-05-31,39,27
2020-06-01,42,24
2020-06-02,41,25
2020-06-03,45,21
2020-06-04,44,22
2020-06-05,42,24
2020-06-06,42,24
2020-06-07,35,31
2020-06-08,39,27
2020-06-09,35,31
2020-06-10,41,25
2020-06-11,44,22
2020-06-12,46,20
2020-06-13,42,24
2020-06-14,38,28
2020-06-15,41,25
2020-06-16,40,26
2020-06-17,40,26
2020-06-18,39,27
2020-06-19,40,26
2020-06-20,41,25
2020-06-21,45,21
2020-06-22,46,20
2020-06-23,44,22
2020-06-24,47,19
2020-06-25,46,20
2020-06-26,46,20
2020-06-27,42,24
2020-06-28,44,22
2020-06-29,42,24
2020-06-30,44,22
2020-07-01,46,20
2020-07-02,47,19
2020-07-03,45,21
2020-07-04,39,27
2020-07-05,41,25
2020-07-06,39,27
2020-07-07,44,22
2020-07-08,47,19
2020-07-09,47,19
2020-07-10,44,22
2020-07-11,42,24
2020-07-12,46,20
2020-07-13,42,24
2020-07-14,42,24
2020-07-15,46,20
2020-07-16,40,26
2020-07-17,44,22
2020-07-18,43,23
2020-07-19,41,24
2020-07-20,41,25
2020-07-21,49,17
2020-07-22,42,24
2020-07-23,41,25
2020-07-24,42,24
2020-07-25,41,25
2020-07-26,46,20
2020-07-27,44,22
2020-07-28,45,21
2020-07-29,45,21
2020-07-30,48,18
