date,betten_belegt,betten_frei
2020-04-24,12,13
2020-04-25,13,12
2020-04-26,11,14
2020-04-27,10,11
2020-04-28,12,13
2020-04-29,12,14
2020-04-30,13,13
2020-05-01,12,14
2020-05-02,12,14
2020-05-03,11,14
2020-05-04,13,12
2020-05-05,15,12
2020-05-06,12,15
2020-05-07,14,13
2020-05-08,14,13
2020-05-09,10,17
2020-05-10,12,16
2020-05-11,12,15
2020-05-12,14,13
2020-05-13,9,18
2020-05-14,10,17
2020-05-15,15,10
2020-05-16,12,15
2020-05-17,11,16
2020-05-18,11,16
2020-05-19,14,13
2020-05-20,12,15
2020-05-21,11,15
2020-05-22,11,16
2020-05-23,10,18
2020-05-24,12,15
2020-05-25,12,15
2020-05-26,9,18
2020-05-27,12,17
2020-05-28,12,17
2020-05-29,15,14
2020-05-30,14,15
2020-05-31,13,16
2020-06-01,11,18
2020-06-02,8,21
2020-06-03,8,21
2020-06-04,9,20
2020-06-05,12,17
2020-06-06,15,14
2020-06-07,13,16
2020-06-08,15,14
2020-06-09,15,14
2020-06-10,14,15
2020-06-11,16,13
2020-06-12,15,14
2020-06-13,15,14
2020-06-14,14,16
2020-06-15,15,15
2020-06-16,15,14
2020-06-17,14,15
2020-06-18,11,18
2020-06-19,12,16
2020-06-20,12,16
2020-06-21,12,16
2020-06-22,13,16
2020-06-23,12,17
2020-06-24,14,15
2020-06-25,12,17
2020-06-26,14,15
2020-06-27,12,17
2020-06-28,12,17
2020-06-29,13,16
2020-06-30,13,16
2020-07-01,15,14
2020-07-02,13,16
2020-07-03,12,17
2020-07-04,12,17
2020-07-05,14,15
2020-07-06,14,15
2020-07-07,13,16
2020-07-08,12,17
2020-07-09,12,17
2020-07-10,11,18
2020-07-11,12,17
2020-07-12,12,17
2020-07-13,12,17
2020-07-14,13,16
2020-07-15,15,14
2020-07-16,12,17
2020-07-17,13,16
2020-07-18,14,15
2020-07-19,16,13
2020-07-20,10,19
2020-07-21,13,16
2020-07-22,14,15
2020-07-23,13,16
2020-07-24,13,16
2020-07-25,10,19
2020-07-26,13,16
2020-07-27,10,19
2020-07-28,11,18
2020-07-29,13,16
2020-07-30,10,19
2020-07-31,8,21
2020-08-01,14,15
2020-08-02,14,15
2020-08-03,12,17
2020-08-04,12,17
2020-08-05,13,16
2020-08-06,12,17
2020-08-07,12,17
2020-08-08,12,17
2020-08-09,11,18
2020-08-10,10,19
2020-08-11,10,19
2020-08-12,9,20
2020-08-13,11,18
2020-08-14,10,19
2020-08-15,13,16
2020-08-16,10,18
2020-08-17,7,21
2020-08-18,11,17
2020-08-19,10,18
2020-08-20,13,15
2020-08-21,10,18
2020-08-22,10,18
2020-08-23,8,21
2020-08-24,8,21
2020-08-25,14,15
2020-08-26,12,17
2020-08-27,11,18
2020-08-28,10,19
2020-08-29,9,20
2020-08-30,11,18
2020-08-31,10,19
2020-09-01,10,19
2020-09-02,11,18
2020-09-03,11,18
2020-09-04,12,17
2020-09-05,13,16
2020-09-06,13,16
2020-09-07,10,19
2020-09-08,11,18
2020-09-09,13,16
2020-09-10,13,16
2020-09-11,15,14
2020-09-12,13,15
2020-09-13,13,16
2020-09-14,13,16
2020-09-15,14,15
2020-09-16,16,13
2020-09-17,11,18
2020-09-18,13,16
2020-09-19,13,16
2020-09-20,17,12
2020-09-21,17,12
2020-09-22,13,16
2020-09-23,15,14
2020-09-24,14,15
2020-09-25,15,14
2020-09-26,17,12
2020-09-27,14,15
2020-09-28,13,16
2020-09-29,16,13
2020-09-30,13,16
2020-10-01,17,12
2020-10-02,13,16
2020-10-03,14,7
2020-10-04,14,7
2020-10-05,15,6
2020-10-06,14,7
2020-10-07,15,6
2020-10-08,13,8
2020-10-09,10,11
2020-10-10,11,10
2020-10-11,12,9
2020-10-12,12,9
2020-10-13,15,6
2020-10-14,12,9
2020-10-15,13,8
2020-10-16,12,9
2020-10-17,16,5
2020-10-18,16,5
2020-10-19,13,8
2020-10-20,14,7
2020-10-21,14,7
2020-10-22,16,5
2020-10-23,14,7
2020-10-24,13,8
2020-10-25,12,9
2020-10-26,14,7
2020-10-27,16,5
2020-10-28,17,4
2020-10-29,15,6
2020-10-30,10,11
2020-10-31,14,7
2020-11-01,14,7
2020-11-02,14,7
2020-11-03,15,6
2020-11-04,16,5
2020-11-05,15,6
2020-11-06,15,6
2020-11-07,15,6
2020-11-08,12,9
2020-11-09,15,6
2020-11-10,16,7
2020-11-11,17,6
2020-11-12,14,9
2020-11-13,15,8
2020-11-14,14,9
2020-11-15,15,8
2020-11-16,16,7
2020-11-17,17,4
2020-11-18,16,5
2020-11-19,10,6
2020-11-20,12,4
2020-11-21,11,5
2020-11-22,8,14
2020-11-23,11,11
2020-11-24,11,10
2020-11-25,12,9
2020-11-26,16,5
2020-11-27,15,6
2020-11-28,16,5
2020-11-29,15,6
2020-11-30,16,5
2020-12-01,16,5
2020-12-02,15,6
2020-12-03,14,7
2020-12-04,16,5
2020-12-05,16,5
2020-12-06,17,4
2020-12-07,16,5
2020-12-08,17,5
2020-12-09,18,3
2020-12-10,18,3
2020-12-11,17,4
2020-12-12,16,5
2020-12-13,19,2
2020-12-14,18,3
2020-12-15,15,6
2020-12-16,14,7
2020-12-17,13,8
2020-12-18,12,9
2020-12-19,15,6
2020-12-20,14,7
2020-12-21,14,7
2020-12-22,15,6
2020-12-23,15,6
2020-12-24,15,4
2020-12-25,13,6
2020-12-26,10,9
2020-12-27,16,4
2020-12-28,16,4
2020-12-29,18,3
2020-12-30,17,4
2020-12-31,13,7
2021-01-01,15,5
2021-01-02,17,4
2021-01-03,15,6
2021-01-04,18,4
2021-01-05,18,2
2021-01-06,17,4
2021-01-07,19,2
2021-01-08,18,3
2021-01-09,17,4
2021-01-10,14,7
2021-01-11,15,6
2021-01-12,16,5
2021-01-13,15,6
2021-01-14,19,2
2021-01-15,15,6
2021-01-16,11,10
2021-01-17,10,11
2021-01-18,11,10
2021-01-19,16,5
2021-01-20,17,4
2021-01-21,14,9
2021-01-22,15,8
2021-01-23,13,10
2021-01-24,15,8
2021-01-25,16,7
2021-01-26,17,5
2021-01-27,18,4
2021-01-28,16,7
2021-01-29,13,10
2021-01-30,15,8
2021-01-31,15,8
2021-02-01,19,3
2021-02-02,19,3
2021-02-03,15,8
2021-02-04,18,5
2021-02-05,16,7
2021-02-06,16,7
2021-02-07,14,9
2021-02-08,14,9
2021-02-09,14,9
2021-02-10,15,8
2021-02-11,14,9
2021-02-12,14,9
2021-02-13,14,9
2021-02-14,16,7
2021-02-15,16,5
2021-02-16,15,4
2021-02-17,15,4
2021-02-18,14,5
2021-02-19,13,6
2021-02-20,11,5
2021-02-21,11,4
2021-02-22,9,10
2021-02-23,15,4
2021-02-24,15,4
2021-02-25,15,4
2021-02-26,14,5
2021-02-27,13,6
2021-02-28,10,9
2021-03-01,13,6
2021-03-02,13,6
2021-03-03,14,5
2021-03-04,14,5
2021-03-05,13,7
2021-03-06,10,9
2021-03-07,14,5
2021-03-08,15,4
2021-03-09,16,3
2021-03-10,16,3
2021-03-11,17,4
2021-03-12,16,5
2021-03-13,16,5
2021-03-14,16,5
2021-03-15,13,8
2021-03-16,14,7
2021-03-17,12,9
2021-03-18,11,10
2021-03-19,11,10
2021-03-20,9,12
2021-03-21,11,10
2021-03-22,11,10
2021-03-23,14,7
2021-03-24,16,5
2021-03-25,14,7
2021-03-26,12,9
2021-03-27,12,9
2021-03-28,15,6
2021-03-29,13,8
2021-03-30,16,6
2021-03-31,13,10
2021-04-01,17,6
2021-04-02,12,11
2021-04-03,13,10
2021-04-04,10,13
2021-04-05,12,11
2021-04-06,13,10
2021-04-07,16,7
2021-04-08,17,5
2021-04-09,16,7
2021-04-10,13,10
2021-04-11,17,5
2021-04-12,17,5
2021-04-13,19,3
2021-04-14,19,4
2021-04-15,17,6
2021-04-16,14,9
2021-04-17,15,8
2021-04-18,19,4
2021-04-19,19,4
2021-04-20,19,4
2021-04-21,17,5
2021-04-22,18,4
2021-04-23,16,6
2021-04-24,17,5
2021-04-25,18,4
2021-04-26,18,4
2021-04-27,16,6
2021-04-28,17,4
2021-04-29,15,6
2021-04-30,16,5
2021-05-01,15,7
2021-05-02,15,7
2021-05-03,15,6
2021-05-04,17,4
2021-05-05,14,8
2021-05-06,15,7
2021-05-07,15,7
2021-05-08,13,9
2021-05-09,12,10
2021-05-10,15,7
2021-05-11,15,7
2021-05-12,15,7
2021-05-13,13,8
2021-05-14,13,8
2021-05-15,16,5
2021-05-16,15,6
2021-05-17,14,7
2021-05-18,13,8
2021-05-19,16,3
2021-05-20,17,4
2021-05-21,17,4
2021-05-22,15,6
2021-05-23,10,11
2021-05-24,13,8
2021-05-25,13,8
2021-05-26,12,9
2021-05-27,11,10
2021-05-28,14,7
2021-05-29,13,8
