date,betten_belegt,betten_frei
2020-04-24,8,23
2020-04-25,15,20
2020-04-26,15,20
2020-04-27,15,18
2020-04-28,14,19
2020-04-29,17,16
2020-04-30,16,17
2020-05-01,17,17
2020-05-02,17,17
2020-05-03,20,14
2020-05-04,16,18
2020-05-05,15,18
2020-05-06,13,20
2020-05-07,12,21
2020-05-08,13,20
2020-05-09,11,22
2020-05-10,15,18
2020-05-11,10,23
2020-05-12,11,17
2020-05-13,16,17
2020-05-14,12,20
2020-05-15,16,16
2020-05-16,16,16
2020-05-17,17,14
2020-05-18,5,20
2020-05-19,6,19
2020-05-20,8,17
2020-05-21,8,17
2020-05-22,11,14
2020-05-23,9,16
2020-05-24,9,16
2020-05-25,8,17
2020-05-26,13,12
2020-05-27,10,15
2020-05-28,11,14
2020-05-29,7,18
2020-05-30,5,20
2020-05-31,7,18
2020-06-01,10,15
2020-06-02,13,12
2020-06-03,7,18
2020-06-04,13,12
2020-06-05,8,17
2020-06-06,7,18
2020-06-07,16,15
2020-06-08,9,16
2020-06-09,6,19
2020-06-10,6,19
2020-06-11,11,14
2020-06-12,10,15
2020-06-13,6,19
2020-06-14,11,14
2020-06-15,6,19
2020-06-16,13,14
2020-06-17,16,9
2020-06-18,15,10
2020-06-19,13,12
2020-06-20,15,10
2020-06-21,12,13
2020-06-22,7,18
2020-06-23,6,19
2020-06-24,5,20
2020-06-25,8,17
2020-06-26,9,16
2020-06-27,9,16
2020-06-28,11,6
2020-06-29,11,6
2020-06-30,9,8
2020-07-01,6,12
2020-07-02,10,8
2020-07-03,9,10
2020-07-04,4,20
2020-07-05,4,21
2020-07-06,5,14
2020-07-07,4,15
2020-07-08,7,12
2020-07-09,13,6
2020-07-10,13,6
2020-07-11,12,7
2020-07-12,10,9
2020-07-13,7,12
2020-07-14,10,9
2020-07-15,11,8
2020-07-16,8,11
2020-07-17,9,10
2020-07-18,11,8
2020-07-19,11,8
2020-07-20,10,9
2020-07-21,8,11
2020-07-22,9,10
2020-07-23,14,5
2020-07-24,11,8
2020-07-25,7,12
2020-07-26,8,11
2020-07-27,13,6
2020-07-28,11,8
2020-07-29,10,7
2020-07-30,9,9
2020-07-31,9,9
2020-08-01,9,9
2020-08-02,13,5
2020-08-03,14,9
2020-08-04,11,13
2020-08-05,12,12
2020-08-06,19,5
2020-08-07,20,4
2020-08-08,19,5
2020-08-09,20,4
2020-08-10,18,6
2020-08-11,16,8
2020-08-12,15,9
2020-08-13,18,6
2020-08-14,16,8
2020-08-15,15,9
2020-08-16,15,9
2020-08-17,17,7
2020-08-18,18,6
2020-08-19,17,7
2020-08-20,10,14
2020-08-21,18,6
2020-08-22,16,8
2020-08-23,15,9
2020-08-24,20,4
2020-08-25,14,10
2020-08-26,14,10
2020-08-27,12,12
2020-08-28,13,11
2020-08-29,16,8
2020-08-30,14,9
2020-08-31,13,9
2020-09-01,19,3
2020-09-02,19,4
2020-09-03,19,4
2020-09-04,18,4
2020-09-05,19,3
2020-09-06,16,7
2020-09-07,18,5
2020-09-08,17,6
2020-09-09,19,4
2020-09-10,19,4
2020-09-11,18,5
2020-09-12,13,10
2020-09-13,16,7
2020-09-14,17,6
2020-09-15,20,3
2020-09-16,18,5
2020-09-17,16,7
2020-09-18,15,8
2020-09-19,14,9
2020-09-20,18,5
2020-09-21,19,4
2020-09-22,19,4
2020-09-23,21,2
2020-09-24,19,4
2020-09-25,19,4
2020-09-26,21,2
2020-09-27,19,4
2020-09-28,18,5
2020-09-29,14,9
2020-09-30,20,3
2020-10-01,18,5
2020-10-02,16,7
2020-10-03,15,8
2020-10-04,19,4
2020-10-05,19,4
2020-10-06,20,3
2020-10-07,21,2
2020-10-08,20,3
2020-10-09,16,7
2020-10-10,13,10
2020-10-11,16,7
2020-10-12,16,7
2020-10-13,17,6
2020-10-14,15,8
2020-10-15,13,10
2020-10-16,12,11
2020-10-17,14,9
2020-10-18,20,3
2020-10-19,18,5
2020-10-20,15,8
2020-10-21,12,11
2020-10-22,15,8
2020-10-23,19,4
2020-10-24,15,8
2020-10-25,13,9
2020-10-26,15,9
2020-10-27,17,7
2020-10-28,15,9
2020-10-29,18,6
2020-10-30,16,8
2020-10-31,11,13
2020-11-01,13,11
2020-11-02,16,8
2020-11-03,14,7
2020-11-04,13,7
2020-11-05,17,3
2020-11-06,16,4
2020-11-07,19,0
2020-11-08,15,4
2020-11-09,14,5
2020-11-10,16,3
2020-11-11,16,4
2020-11-12,17,3
2020-11-13,16,4
2020-11-14,13,7
2020-11-15,14,6
2020-11-16,14,6
2020-11-17,11,9
2020-11-18,14,6
2020-11-19,17,3
2020-11-20,20,0
2020-11-21,17,3
2020-11-22,17,3
2020-11-23,17,3
2020-11-24,17,3
2020-11-25,19,1
2020-11-26,13,7
2020-11-27,15,5
2020-11-28,16,4
2020-11-29,16,4
2020-11-30,16,4
2020-12-01,18,2
2020-12-02,17,3
2020-12-03,19,1
2020-12-04,17,3
2020-12-05,13,7
2020-12-06,15,5
2020-12-07,15,5
2020-12-08,13,7
2020-12-09,14,6
2020-12-10,12,8
2020-12-11,17,3
2020-12-12,18,2
2020-12-13,17,1
2020-12-14,18,2
2020-12-15,18,2
2020-12-16,17,3
2020-12-17,18,2
