date,betten_belegt,betten_frei
2020-04-24,45,59
2020-04-25,40,64
2020-04-26,40,64
2020-04-27,38,66
2020-04-28,39,65
2020-04-29,42,62
2020-04-30,41,63
2020-05-01,39,65
2020-05-02,34,70
2020-05-03,36,68
2020-05-04,36,68
2020-05-05,38,66
2020-05-06,38,66
2020-05-07,39,64
2020-05-08,38,66
2020-05-09,41,63
2020-05-10,36,68
2020-05-11,40,64
2020-05-12,40,64
2020-05-13,41,63
2020-05-14,37,67
2020-05-15,41,63
2020-05-16,39,65
2020-05-17,37,67
2020-05-18,32,72
2020-05-19,35,29
2020-05-20,35,29
2020-05-21,39,25
2020-05-22,40,24
2020-05-23,38,26
2020-05-24,32,32
2020-05-25,34,30
2020-05-26,34,30
2020-05-27,33,31
2020-05-28,33,31
2020-05-29,35,29
2020-05-30,33,31
2020-05-31,30,34
2020-06-01,30,34
2020-06-02,41,23
2020-06-03,41,23
2020-06-04,41,23
2020-06-05,37,27
2020-06-06,36,28
2020-06-07,36,28
2020-06-08,36,28
2020-06-09,38,26
2020-06-10,35,29
2020-06-11,35,29
2020-06-12,35,29
2020-06-13,37,27
2020-06-14,37,25
2020-06-15,39,23
2020-06-16,36,28
2020-06-17,37,27
2020-06-18,34,30
2020-06-19,33,31
2020-06-20,47,36
2020-06-21,40,43
2020-06-22,43,40
2020-06-23,40,41
2020-06-24,45,36
2020-06-25,43,38
2020-06-26,46,34
2020-06-27,45,35
2020-06-28,47,34
2020-06-29,42,39
2020-06-30,47,34
2020-07-01,54,25
2020-07-02,49,30
2020-07-03,46,25
2020-07-04,47,24
2020-07-05,48,23
2020-07-06,46,37
2020-07-07,46,37
2020-07-08,47,36
2020-07-09,49,34
2020-07-10,46,37
2020-07-11,47,36
2020-07-12,52,41
2020-07-13,50,33
2020-07-14,41,42
2020-07-15,45,38
2020-07-16,47,36
2020-07-17,45,38
2020-07-18,46,37
2020-07-19,43,40
2020-07-20,43,40
2020-07-21,50,33
2020-07-22,47,36
2020-07-23,46,44
2020-07-24,50,39
2020-07-25,45,45
2020-07-26,45,45
2020-07-27,44,46
2020-07-28,50,38
2020-07-29,50,39
2020-07-30,47,44
2020-07-31,41,50
2020-08-01,50,39
2020-08-02,48,42
2020-08-03,48,42
2020-08-04,44,39
2020-08-05,47,36
2020-08-06,47,36
2020-08-07,46,37
2020-08-08,47,36
2020-08-09,43,40
2020-08-10,38,45
2020-08-11,48,35
2020-08-12,35,48
2020-08-13,45,38
2020-08-14,44,39
2020-08-15,47,36
2020-08-16,47,36
2020-08-17,46,37
2020-08-18,47,36
2020-08-19,48,35
2020-08-20,49,34
2020-08-21,50,33
2020-08-22,50,33
2020-08-23,48,35
2020-08-24,44,39
2020-08-25,48,35
2020-08-26,47,36
2020-08-27,37,46
2020-08-28,36,47
2020-08-29,46,37
2020-08-30,46,37
2020-08-31,44,39
2020-09-01,46,37
2020-09-02,49,34
2020-09-03,41,42
2020-09-04,48,35
2020-09-05,48,35
2020-09-06,45,38
2020-09-07,47,36
2020-09-08,41,42
2020-09-09,46,37
2020-09-10,45,38
2020-09-11,49,34
2020-09-12,45,38
2020-09-13,43,40
2020-09-14,44,39
2020-09-15,46,37
2020-09-16,44,39
2020-09-17,38,45
2020-09-18,42,41
2020-09-19,47,36
2020-09-20,43,40
2020-09-21,45,38
2020-09-22,47,36
2020-09-23,45,38
2020-09-24,47,36
2020-09-25,51,32
2020-09-26,43,40
2020-09-27,44,39
2020-09-28,41,42
2020-09-29,44,39
2020-09-30,44,39
2020-10-01,50,33
2020-10-02,45,38
2020-10-03,47,36
2020-10-04,45,38
2020-10-05,51,32
2020-10-06,50,33
2020-10-07,43,40
2020-10-08,50,33
