date,betten_belegt,betten_frei
2020-04-24,35,23
2020-04-25,32,26
2020-04-26,32,28
2020-04-27,32,26
2020-04-28,42,16
2020-04-29,39,19
2020-04-30,39,19
2020-05-01,39,19
2020-05-02,35,23
2020-05-03,34,24
2020-05-04,33,15
2020-05-05,31,17
2020-05-06,33,15
2020-05-07,34,14
2020-05-08,33,15
2020-05-09,29,19
2020-05-10,30,18
2020-05-11,34,14
2020-05-12,28,20
2020-05-13,37,11
2020-05-14,37,11
2020-05-15,36,12
2020-05-16,43,11
2020-05-17,39,15
2020-05-18,35,17
2020-05-19,37,16
2020-05-20,39,14
2020-05-21,37,16
2020-05-22,41,12
2020-05-23,41,12
2020-05-24,38,13
2020-05-25,35,17
2020-05-26,39,14
2020-05-27,45,9
2020-05-28,44,10
2020-05-29,40,13
2020-05-30,45,7
2020-05-31,43,9
2020-06-01,42,10
2020-06-02,42,10
2020-06-03,43,9
2020-06-04,42,10
2020-06-05,42,10
2020-06-06,44,8
2020-06-07,40,11
2020-06-08,40,15
2020-06-09,45,7
2020-06-10,44,8
2020-06-11,40,12
2020-06-12,35,17
2020-06-13,35,17
2020-06-14,35,17
2020-06-15,34,18
2020-06-16,39,13
2020-06-17,42,10
2020-06-18,39,13
2020-06-19,41,11
2020-06-20,39,13
2020-06-21,38,14
2020-06-22,33,19
2020-06-23,40,12
2020-06-24,39,13
2020-06-25,44,8
2020-06-26,44,8
2020-06-27,46,6
2020-06-28,45,7
2020-06-29,39,13
2020-06-30,42,8
2020-07-01,49,4
2020-07-02,43,9
2020-07-03,46,6
2020-07-04,44,8
2020-07-05,41,11
2020-07-06,39,13
2020-07-07,41,9
2020-07-08,41,9
2020-07-09,39,11
2020-07-10,41,11
2020-07-11,43,9
2020-07-12,42,10
2020-07-13,41,11
2020-07-14,43,9
2020-07-15,41,11
2020-07-16,42,10
2020-07-17,42,10
2020-07-18,45,7
2020-07-19,45,5
2020-07-20,48,4
2020-07-21,45,7
2020-07-22,42,10
2020-07-23,46,8
2020-07-24,44,8
2020-07-25,39,13
2020-07-26,36,11
2020-07-27,39,13
2020-07-28,37,15
2020-07-29,39,13
2020-07-30,38,14
2020-07-31,44,8
2020-08-01,39,13
2020-08-02,42,10
2020-08-03,37,15
2020-08-04,41,11
2020-08-05,43,9
2020-08-06,43,9
2020-08-07,44,8
2020-08-08,42,10
2020-08-09,41,11
2020-08-10,45,7
2020-08-11,40,12
2020-08-12,41,11
2020-08-13,42,10
2020-08-14,41,11
2020-08-15,43,9
2020-08-16,45,7
2020-08-17,43,9
2020-08-18,41,11
2020-08-19,40,12
2020-08-20,44,8
2020-08-21,44,8
2020-08-22,40,12
2020-08-23,38,14
2020-08-24,40,12
2020-08-25,37,15
2020-08-26,40,12
2020-08-27,38,14
2020-08-28,34,18
2020-08-29,36,16
2020-08-30,40,12
2020-08-31,33,19
2020-09-01,38,14
2020-09-02,37,15
2020-09-03,36,16
2020-09-04,41,11
2020-09-05,38,14
2020-09-06,39,13
2020-09-07,41,11
2020-09-08,36,16
2020-09-09,44,8
2020-09-10,43,9
2020-09-11,38,14
2020-09-12,35,17
2020-09-13,35,17
2020-09-14,37,15
2020-09-15,40,12
2020-09-16,46,6
2020-09-17,39,13
2020-09-18,41,11
2020-09-19,43,9
2020-09-20,37,15
2020-09-21,43,9
2020-09-22,38,14
2020-09-23,39,13
2020-09-24,47,5
2020-09-25,46,6
2020-09-26,46,6
2020-09-27,46,6
2020-09-28,43,9
2020-09-29,44,8
2020-09-30,42,10
2020-10-01,45,7
2020-10-02,46,6
2020-10-03,42,6
2020-10-04,41,7
2020-10-05,40,12
2020-10-06,41,11
2020-10-07,43,9
2020-10-08,40,12
2020-10-09,43,9
