date,betten_belegt,betten_frei
2020-04-24,28,6
2020-04-25,28,7
2020-04-26,28,9
2020-04-27,24,10
2020-04-28,18,2
2020-04-29,15,3
2020-04-30,16,4
2020-05-01,26,7
2020-05-02,29,7
2020-05-03,29,8
2020-05-04,27,10
2020-05-05,30,7
2020-05-06,28,10
2020-05-07,30,6
2020-05-08,32,4
2020-05-09,27,4
2020-05-10,28,6
2020-05-11,31,4
2020-05-12,33,4
2020-05-13,32,4
2020-05-14,21,15
2020-05-15,28,8
2020-05-16,22,9
2020-05-17,21,10
2020-05-18,29,7
2020-05-19,31,5
2020-05-20,22,14
2020-05-21,31,4
2020-05-22,29,8
2020-05-23,30,5
2020-05-24,32,3
2020-05-25,31,7
2020-05-26,17,3
2020-05-27,25,13
2020-05-28,22,14
2020-05-29,27,9
2020-05-30,25,11
2020-05-31,22,14
2020-06-01,26,10
2020-06-02,23,13
2020-06-03,22,14
2020-06-04,22,14
2020-06-05,24,12
2020-06-06,27,9
2020-06-07,24,12
2020-06-08,22,17
2020-06-09,13,6
2020-06-10,30,6
2020-06-11,31,5
2020-06-12,31,5
2020-06-13,25,11
2020-06-14,28,8
2020-06-15,28,8
2020-06-16,23,13
2020-06-17,24,12
2020-06-18,23,13
2020-06-19,28,8
2020-06-20,25,4
2020-06-21,23,9
2020-06-22,24,9
2020-06-23,25,8
2020-06-24,28,5
2020-06-25,26,5
2020-06-26,23,8
2020-06-27,22,14
2020-06-28,22,14
2020-06-29,22,14
2020-06-30,23,9
2020-07-01,19,13
2020-07-02,23,8
2020-07-03,20,11
2020-07-04,22,8
2020-07-05,22,8
2020-07-06,28,8
2020-07-07,30,5
2020-07-08,30,6
2020-07-09,30,6
2020-07-10,30,6
2020-07-11,29,7
2020-07-12,24,12
2020-07-13,29,7
2020-07-14,30,6
2020-07-15,29,7
2020-07-16,33,4
2020-07-17,33,5
2020-07-18,24,12
2020-07-19,26,10
2020-07-20,25,11
2020-07-21,22,14
2020-07-22,21,15
2020-07-23,26,10
2020-07-24,30,6
2020-07-25,31,2
2020-07-26,28,5
2020-07-27,29,5
2020-07-28,29,5
2020-07-29,25,11
2020-07-30,27,9
2020-07-31,26,10
2020-08-01,28,7
2020-08-02,28,7
2020-08-03,26,10
2020-08-04,24,12
2020-08-05,31,5
2020-08-06,30,6
2020-08-07,34,2
2020-08-08,33,3
2020-08-09,33,3
2020-08-10,27,9
2020-08-11,26,10
2020-08-12,32,4
2020-08-13,30,6
2020-08-14,34,2
2020-08-15,31,5
2020-08-16,33,3
2020-08-17,30,6
2020-08-18,26,10
2020-08-19,20,16
2020-08-20,21,15
2020-08-21,24,12
2020-08-22,24,12
2020-08-23,20,16
2020-08-24,27,9
2020-08-25,30,6
2020-08-26,29,7
2020-08-27,27,9
2020-08-28,31,5
2020-08-29,31,3
2020-08-30,27,9
2020-08-31,31,5
2020-09-01,28,8
2020-09-02,25,11
2020-09-03,24,12
2020-09-04,27,9
2020-09-05,30,6
2020-09-06,26,10
2020-09-07,25,11
2020-09-08,24,12
2020-09-09,29,7
2020-09-10,28,8
2020-09-11,26,10
2020-09-12,29,7
2020-09-13,26,10
2020-09-14,29,7
2020-09-15,33,3
2020-09-16,31,5
2020-09-17,33,3
2020-09-18,33,3
2020-09-19,31,5
2020-09-20,30,6
2020-09-21,33,3
2020-09-22,28,8
2020-09-23,29,7
2020-09-24,28,8
2020-09-25,29,7
2020-09-26,29,7
2020-09-27,24,12
2020-09-28,27,9
2020-09-29,30,6
2020-09-30,29,7
2020-10-01,30,6
2020-10-02,28,8
2020-10-03,30,6
2020-10-04,27,9
2020-10-05,30,6
2020-10-06,31,5
2020-10-07,25,11
2020-10-08,30,6
2020-10-09,31,5
2020-10-10,30,6
2020-10-11,31,5
2020-10-12,26,10
2020-10-13,30,6
2020-10-14,27,9
2020-10-15,28,8
2020-10-16,23,13
2020-10-17,25,11
2020-10-18,26,10
2020-10-19,27,9
2020-10-20,28,8
2020-10-21,23,13
2020-10-22,27,9
2020-10-23,24,12
2020-10-24,21,15
2020-10-25,24,12
2020-10-26,23,13
2020-10-27,19,17
2020-10-28,27,9
2020-10-29,26,10
2020-10-30,24,12
2020-10-31,29,7
2020-11-01,31,5
2020-11-02,34,2
2020-11-03,30,6
2020-11-04,31,5
2020-11-05,33,3
2020-11-06,32,4
2020-11-07,34,2
2020-11-08,31,5
2020-11-09,29,7
2020-11-10,29,7
2020-11-11,30,6
2020-11-12,26,10
2020-11-13,29,7
2020-11-14,29,7
2020-11-15,25,11
2020-11-16,29,7
2020-11-17,28,8
2020-11-18,28,8
2020-11-19,26,10
2020-11-20,32,4
2020-11-21,29,7
2020-11-22,28,8
2020-11-23,30,6
2020-11-24,29,7
2020-11-25,27,9
2020-11-26,33,3
2020-11-27,30,6
2020-11-28,31,5
2020-11-29,27,9
2020-11-30,30,6
2020-12-01,33,3
2020-12-02,32,4
2020-12-03,31,5
2020-12-04,32,4
2020-12-05,30,6
2020-12-06,29,7
2020-12-07,28,8
2020-12-08,29,7
2020-12-09,32,4
2020-12-10,33,3
2020-12-11,33,3
2020-12-12,33,3
2020-12-13,32,4
2020-12-14,33,3
2020-12-15,34,2
2020-12-16,35,1
2020-12-17,35,1
2020-12-18,31,5
2020-12-19,33,3
2020-12-20,32,4
2020-12-21,35,1
2020-12-22,32,4
2020-12-23,32,4
2020-12-24,33,3
2020-12-25,33,3
2020-12-26,34,2
2020-12-27,34,2
2020-12-28,31,5
2020-12-29,32,4
2020-12-30,32,4
2020-12-31,33,3
2021-01-01,32,4
2021-01-02,34,2
2021-01-03,33,3
2021-01-04,33,3
2021-01-05,30,6
2021-01-06,34,2
2021-01-07,34,2
2021-01-08,34,2
2021-01-09,33,3
2021-01-10,31,5
2021-01-11,32,4
2021-01-12,35,1
2021-01-13,36,0
2021-01-14,35,1
2021-01-15,35,1
2021-01-16,31,5
2021-01-17,31,5
2021-01-18,32,4
2021-01-19,34,2
2021-01-20,34,2
2021-01-21,34,2
2021-01-22,35,1
2021-01-23,31,1
2021-01-24,27,5
2021-01-25,31,1
2021-01-26,25,7
2021-01-27,26,6
2021-01-28,31,1
2021-01-29,30,2
2021-01-30,31,1
2021-01-31,28,4
2021-02-01,30,2
2021-02-02,30,2
2021-02-03,33,1
2021-02-04,33,1
2021-02-05,34,0
2021-02-06,33,1
2021-02-07,32,2
2021-02-08,31,5
2021-02-09,32,4
2021-02-10,34,2
2021-02-11,33,3
2021-02-12,31,5
2021-02-13,30,6
2021-02-14,29,7
2021-02-15,33,4
2021-02-16,34,3
2021-02-17,33,4
2021-02-18,34,3
2021-02-19,35,2
2021-02-20,33,4
2021-02-21,32,5
2021-02-22,31,4
2021-02-23,34,3
2021-02-24,32,5
2021-02-25,34,3
2021-02-26,35,2
2021-02-27,35,2
2021-02-28,32,4
2021-03-01,33,4
2021-03-02,33,4
2021-03-03,34,3
2021-03-04,31,6
2021-03-05,31,6
2021-03-06,25,12
2021-03-07,25,12
2021-03-08,27,10
2021-03-09,29,8
2021-03-10,32,5
2021-03-11,34,3
2021-03-12,33,4
2021-03-13,29,8
2021-03-14,27,10
2021-03-15,30,7
2021-03-16,35,2
2021-03-17,31,6
2021-03-18,32,5
2021-03-19,33,4
2021-03-20,33,4
2021-03-21,32,5
2021-03-22,29,8
2021-03-23,34,3
2021-03-24,34,3
2021-03-25,32,5
2021-03-26,34,3
2021-03-27,33,4
2021-03-28,27,10
2021-03-29,29,8
2021-03-30,27,10
2021-03-31,35,2
2021-04-01,35,2
2021-04-02,34,3
2021-04-03,34,3
2021-04-04,33,4
2021-04-05,33,4
2021-04-06,31,6
2021-04-07,33,4
2021-04-08,36,1
2021-04-09,36,1
2021-04-10,36,1
2021-04-11,35,2
2021-04-12,34,3
2021-04-13,33,4
2021-04-14,36,1
2021-04-15,35,2
2021-04-16,37,0
2021-04-17,37,0
2021-04-18,37,0
2021-04-19,37,0
2021-04-20,35,2
2021-04-21,33,4
2021-04-22,30,7
2021-04-23,34,3
2021-04-24,32,5
2021-04-25,32,5
2021-04-26,34,3
2021-04-27,35,2
2021-04-28,37,0
2021-04-29,37,0
2021-04-30,36,1
2021-05-01,35,2
2021-05-02,36,1
2021-05-03,35,2
2021-05-04,32,5
2021-05-05,33,4
2021-05-06,34,3
2021-05-07,31,6
2021-05-08,34,3
2021-05-09,30,7
2021-05-10,33,4
2021-05-11,33,4
2021-05-12,32,5
2021-05-13,35,2
2021-05-14,31,6
2021-05-15,34,3
2021-05-16,32,5
2021-05-17,31,6
2021-05-18,34,3
2021-05-19,31,6
2021-05-20,30,7
2021-05-21,30,7
2021-05-22,30,7
2021-05-23,28,9
2021-05-24,29,8
2021-05-25,33,4
2021-05-26,34,3
2021-05-27,32,5
2021-05-28,33,4
2021-05-29,30,7
2021-05-30,29,8
2021-05-31,35,2
2021-06-01,34,3
2021-06-02,34,3
2021-06-03,34,3
2021-06-04,35,2
2021-06-05,34,3
2021-06-06,35,2
2021-06-07,29,6
2021-06-08,34,3
2021-06-09,33,4
2021-06-10,35,2
2021-06-11,34,3
2021-06-12,32,5
2021-06-13,29,8
2021-06-14,32,5
2021-06-15,31,6
2021-06-16,31,6
2021-06-17,36,1
2021-06-18,33,4
2021-06-19,35,2
2021-06-20,34,3
2021-06-21,35,2
2021-06-22,34,3
2021-06-23,36,1
2021-06-24,33,4
2021-06-25,34,3
2021-06-26,34,3
2021-06-27,36,1
2021-06-28,35,2
2021-06-29,36,1
2021-06-30,37,0
2021-07-01,35,2
2021-07-02,33,4
2021-07-03,30,7
2021-07-04,32,5
2021-07-05,34,3
2021-07-06,34,3
2021-07-07,33,4
2021-07-08,31,6
2021-07-09,33,4
2021-07-10,33,4
2021-07-11,33,4
2021-07-12,32,5
2021-07-13,29,8
2021-07-14,37,0
2021-07-15,33,4
2021-07-16,34,3
2021-07-17,33,4
2021-07-18,33,4
2021-07-19,34,3
2021-07-20,37,0
2021-07-21,34,3
2021-07-22,34,3
2021-07-23,31,6
2021-07-24,32,5
2021-07-25,36,1
2021-07-26,34,3
2021-07-27,31,6
2021-07-28,34,3
2021-07-29,34,3
2021-07-30,33,4
2021-07-31,33,4
2021-08-01,33,4
2021-08-02,32,5
2021-08-03,36,1
2021-08-04,35,2
2021-08-05,31,6
2021-08-06,31,6
2021-08-07,24,12
2021-08-08,26,10
2021-08-09,31,5
2021-08-10,33,3
2021-08-11,32,4
2021-08-12,30,10
2021-08-13,35,4
2021-08-14,37,2
2021-08-15,33,6
