date,betten_belegt,betten_frei
2020-04-24,19,15
2020-04-25,19,15
2020-04-26,19,15
2020-04-27,18,16
2020-04-28,18,16
2020-04-29,20,14
2020-04-30,20,14
2020-05-01,18,16
2020-05-02,17,17
2020-05-03,18,16
2020-05-04,10,24
2020-05-05,11,23
2020-05-06,11,23
2020-05-07,11,23
2020-05-08,16,18
2020-05-09,16,18
2020-05-10,16,18
2020-05-11,16,18
2020-05-12,16,18
2020-05-13,16,18
2020-05-14,13,21
2020-05-15,16,18
2020-05-16,12,22
2020-05-17,12,22
2020-05-18,14,20
2020-05-19,20,18
2020-05-20,20,18
2020-05-21,18,19
2020-05-22,15,21
2020-05-23,17,20
2020-05-24,17,20
2020-05-25,13,22
2020-05-26,18,16
2020-05-27,18,16
2020-05-28,15,19
2020-05-29,16,18
2020-05-30,16,18
2020-05-31,13,21
2020-06-01,18,18
2020-06-02,18,18
2020-06-03,18,18
2020-06-04,19,15
2020-06-05,21,13
2020-06-06,19,15
2020-06-07,19,15
2020-06-08,18,16
2020-06-09,21,13
2020-06-10,21,13
2020-06-11,21,13
2020-06-12,20,14
2020-06-13,15,19
2020-06-14,15,19
2020-06-15,18,16
2020-06-16,21,13
2020-06-17,22,12
2020-06-18,22,12
2020-06-19,28,6
2020-06-20,28,6
2020-06-21,28,6
2020-06-22,26,8
2020-06-23,26,8
2020-06-24,22,12
2020-06-25,26,8
2020-06-26,25,9
2020-06-27,21,13
2020-06-28,23,11
2020-06-29,24,10
2020-06-30,25,9
2020-07-01,30,4
2020-07-02,30,4
2020-07-03,27,7
2020-07-04,27,7
2020-07-05,27,7
2020-07-06,24,10
2020-07-07,24,10
2020-07-08,24,10
2020-07-09,24,10
2020-07-10,23,11
2020-07-11,23,11
2020-07-12,23,11
2020-07-13,22,12
2020-07-14,23,11
2020-07-15,23,11
2020-07-16,20,14
2020-07-17,20,14
2020-07-18,19,15
2020-07-19,19,15
2020-07-20,19,15
2020-07-21,19,15
2020-07-22,25,9
2020-07-23,25,9
2020-07-24,24,10
2020-07-25,24,10
2020-07-26,25,10
2020-07-27,28,10
2020-07-28,28,10
2020-07-29,26,10
2020-07-30,24,10
2020-07-31,24,10
2020-08-01,24,10
2020-08-02,25,10
2020-08-03,25,10
2020-08-04,22,12
2020-08-05,19,15
2020-08-06,19,15
2020-08-07,21,13
2020-08-08,19,15
2020-08-09,19,15
2020-08-10,20,14
2020-08-11,22,12
2020-08-12,20,14
2020-08-13,20,14
2020-08-14,19,15
2020-08-15,19,15
2020-08-16,21,13
2020-08-17,22,12
2020-08-18,19,15
2020-08-19,19,15
2020-08-20,18,16
2020-08-21,17,17
2020-08-22,18,16
2020-08-23,20,14
2020-08-24,18,16
2020-08-25,21,13
2020-08-26,22,12
2020-08-27,22,12
2020-08-28,16,18
2020-08-29,18,16
2020-08-30,18,16
2020-08-31,22,12
2020-09-01,19,15
2020-09-02,16,18
2020-09-03,19,15
2020-09-04,16,18
2020-09-05,19,15
2020-09-06,19,15
2020-09-07,18,16
2020-09-08,20,14
2020-09-09,19,15
2020-09-10,18,16
2020-09-11,18,16
2020-09-12,18,16
2020-09-13,18,16
2020-09-14,18,16
2020-09-15,21,13
2020-09-16,19,15
2020-09-17,21,13
2020-09-18,20,14
2020-09-19,20,14
2020-09-20,23,11
2020-09-21,22,12
2020-09-22,24,10
2020-09-23,24,10
2020-09-24,24,10
2020-09-25,24,10
2020-09-26,24,10
2020-09-27,24,10
2020-09-28,23,11
2020-09-29,25,9
2020-09-30,23,11
2020-10-01,20,14
2020-10-02,21,13
2020-10-03,20,14
2020-10-04,20,14
2020-10-05,20,14
2020-10-06,22,12
2020-10-07,22,12
2020-10-08,24,10
2020-10-09,22,12
2020-10-10,20,14
2020-10-11,20,14
2020-10-12,17,17
2020-10-13,22,12
2020-10-14,21,13
2020-10-15,22,12
2020-10-16,22,12
2020-10-17,23,11
2020-10-18,23,11
2020-10-19,22,12
2020-10-20,23,11
2020-10-21,23,11
2020-10-22,23,11
2020-10-23,20,14
2020-10-24,20,14
2020-10-25,20,14
2020-10-26,21,13
2020-10-27,20,14
2020-10-28,21,13
2020-10-29,21,13
2020-10-30,21,13
2020-10-31,19,15
2020-11-01,19,15
2020-11-02,18,16
2020-11-03,18,16
2020-11-04,22,12
2020-11-05,17,9
2020-11-06,15,11
2020-11-07,16,10
2020-11-08,14,12
2020-11-09,15,11
2020-11-10,14,12
2020-11-11,16,10
2020-11-12,15,11
2020-11-13,12,14
2020-11-14,15,11
2020-11-15,15,11
2020-11-16,14,12
2020-11-17,15,11
2020-11-18,15,11
2020-11-19,15,11
2020-11-20,14,12
2020-11-21,14,12
2020-11-22,12,14
2020-11-23,13,13
2020-11-24,15,11
2020-11-25,15,11
2020-11-26,16,10
2020-11-27,12,14
2020-11-28,15,11
2020-11-29,14,12
2020-11-30,14,12
2020-12-01,14,12
2020-12-02,12,14
2020-12-03,14,12
2020-12-04,14,12
2020-12-05,15,11
2020-12-06,14,12
2020-12-07,15,11
2020-12-08,14,12
2020-12-09,14,12
2020-12-10,15,11
2020-12-11,14,12
2020-12-12,14,12
2020-12-13,15,11
2020-12-14,15,11
2020-12-15,15,11
2020-12-16,13,2
2020-12-17,14,1
2020-12-18,14,1
2020-12-19,14,1
2020-12-20,11,4
2020-12-21,13,2
2020-12-22,14,1
2020-12-23,15,0
2020-12-24,15,0
2020-12-25,13,2
2020-12-26,12,3
2020-12-27,15,0
2020-12-28,13,2
2020-12-29,15,0
2020-12-30,15,0
2020-12-31,15,0
2021-01-01,14,1
2021-01-02,18,2
2021-01-03,19,1
2021-01-04,18,2
2021-01-05,19,1
2021-01-06,19,1
2021-01-07,20,0
2021-01-08,17,3
2021-01-09,17,3
2021-01-10,18,2
2021-01-11,17,3
2021-01-12,19,1
2021-01-13,19,1
2021-01-14,18,0
2021-01-15,18,0
2021-01-16,18,1
2021-01-17,18,1
2021-01-18,18,1
2021-01-19,19,1
2021-01-20,17,1
2021-01-21,17,1
2021-01-22,16,2
2021-01-23,17,1
2021-01-24,17,1
2021-01-25,16,2
2021-01-26,15,3
2021-01-27,15,3
2021-01-28,16,2
2021-01-29,16,2
2021-01-30,17,1
2021-01-31,16,2
2021-02-01,18,0
2021-02-02,17,1
2021-02-03,17,1
2021-02-04,18,0
2021-02-05,19,0
2021-02-06,18,0
2021-02-07,18,0
2021-02-08,17,1
2021-02-09,17,1
2021-02-10,16,2
2021-02-11,15,3
2021-02-12,16,2
2021-02-13,15,3
2021-02-14,15,1
2021-02-15,16,0
2021-02-16,16,0
