date,betten_belegt,betten_frei
2020-04-24,48,19
2020-04-25,44,24
2020-04-26,49,19
2020-04-27,45,23
2020-04-28,48,24
2020-04-29,41,27
2020-04-30,40,28
2020-05-01,42,28
2020-05-02,39,31
2020-05-03,44,24
2020-05-04,47,23
2020-05-05,49,21
2020-05-06,50,20
2020-05-07,47,23
2020-05-08,49,21
2020-05-09,52,18
2020-05-10,50,20
2020-05-11,49,21
2020-05-12,48,22
2020-05-13,44,26
2020-05-14,45,25
2020-05-15,45,25
2020-05-16,42,28
2020-05-17,43,27
2020-05-18,47,23
2020-05-19,47,23
2020-05-20,48,21
2020-05-21,44,26
2020-05-22,48,22
2020-05-23,47,23
2020-05-24,45,25
2020-05-25,41,29
2020-05-26,40,30
2020-05-27,45,25
2020-05-28,46,20
2020-05-29,43,23
2020-05-30,40,26
2020-05-31,44,23
2020-06-01,43,23
2020-06-02,42,24
2020-06-03,49,17
2020-06-04,50,16
2020-06-05,51,15
2020-06-06,37,29
2020-06-07,47,19
2020-06-08,48,19
2020-06-09,47,19
2020-06-10,45,21
2020-06-11,47,19
2020-06-12,38,28
2020-06-13,47,19
2020-06-14,46,20
2020-06-15,44,22
2020-06-16,47,19
2020-06-17,50,16
2020-06-18,48,18
2020-06-19,47,19
2020-06-20,45,21
2020-06-21,41,26
2020-06-22,38,28
2020-06-23,45,22
2020-06-24,46,16
2020-06-25,48,18
2020-06-26,48,18
2020-06-27,44,22
2020-06-28,44,22
2020-06-29,50,16
2020-06-30,48,20
2020-07-01,43,27
2020-07-02,44,24
2020-07-03,47,19
2020-07-04,45,21
2020-07-05,42,24
2020-07-06,40,26
2020-07-07,42,26
2020-07-08,46,20
2020-07-09,47,19
2020-07-10,44,22
2020-07-11,42,23
2020-07-12,45,21
2020-07-13,47,19
2020-07-14,48,18
2020-07-15,46,20
2020-07-16,44,22
2020-07-17,46,20
2020-07-18,45,21
2020-07-19,41,25
2020-07-20,46,20
2020-07-21,45,21
2020-07-22,46,22
2020-07-23,39,31
2020-07-24,56,21
2020-07-25,45,32
2020-07-26,45,32
2020-07-27,44,33
2020-07-28,41,36
2020-07-29,48,29
2020-07-30,55,22
2020-07-31,56,21
2020-08-01,58,19
2020-08-02,53,24
2020-08-03,51,26
2020-08-04,51,25
2020-08-05,47,29
2020-08-06,54,22
2020-08-07,53,23
2020-08-08,53,23
2020-08-09,45,31
2020-08-10,45,31
2020-08-11,49,27
2020-08-12,51,25
2020-08-13,52,24
2020-08-14,53,23
2020-08-15,53,23
2020-08-16,53,23
2020-08-17,48,28
2020-08-18,47,29
2020-08-19,46,30
2020-08-20,48,28
2020-08-21,46,30
2020-08-22,53,23
2020-08-23,54,22
2020-08-24,50,26
2020-08-25,51,25
2020-08-26,45,31
2020-08-27,50,26
2020-08-28,57,19
2020-08-29,55,21
2020-08-30,53,23
2020-08-31,52,24
2020-09-01,54,22
2020-09-02,48,28
2020-09-03,49,27
2020-09-04,52,24
2020-09-05,46,30
2020-09-06,47,29
2020-09-07,48,28
2020-09-08,48,28
2020-09-09,48,28
2020-09-10,51,25
2020-09-11,55,21
2020-09-12,53,23
2020-09-13,51,25
2020-09-14,46,30
2020-09-15,45,31
2020-09-16,49,27
2020-09-17,49,27
2020-09-18,54,22
2020-09-19,51,25
2020-09-20,51,25
2020-09-21,50,26
2020-09-22,51,25
2020-09-23,51,25
2020-09-24,52,24
2020-09-25,49,27
2020-09-26,52,24
2020-09-27,50,26
2020-09-28,49,27
2020-09-29,51,25
2020-09-30,49,27
2020-10-01,52,24
2020-10-02,52,24
2020-10-03,46,30
2020-10-04,46,30
2020-10-05,43,33
2020-10-06,50,26
2020-10-07,53,23
2020-10-08,52,24
2020-10-09,53,23
2020-10-10,47,29
2020-10-11,47,29
2020-10-12,47,29
2020-10-13,51,25
2020-10-14,53,23
2020-10-15,53,23
