date,betten_belegt,betten_frei
2020-04-24,51,16
2020-04-25,47,20
2020-04-26,50,17
2020-04-27,49,18
2020-04-28,44,24
2020-04-29,47,22
2020-04-30,45,22
2020-05-01,46,20
2020-05-02,45,22
2020-05-03,46,21
2020-05-04,45,22
2020-05-05,44,23
2020-05-06,47,20
2020-05-07,45,22
2020-05-08,43,24
2020-05-09,43,23
2020-05-10,47,19
2020-05-11,53,13
2020-05-12,48,19
2020-05-13,44,22
2020-05-14,44,23
2020-05-15,46,21
2020-05-16,45,22
2020-05-17,47,20
2020-05-18,43,23
2020-05-19,44,23
2020-05-20,42,26
2020-05-21,44,26
2020-05-22,48,19
2020-05-23,48,19
2020-05-24,45,22
2020-05-25,43,24
2020-05-26,42,24
2020-05-27,48,17
2020-05-28,45,22
2020-05-29,48,19
2020-05-30,57,10
2020-05-31,45,21
2020-06-01,40,26
2020-06-02,39,27
2020-06-03,40,27
2020-06-04,40,27
2020-06-05,41,27
2020-06-06,43,25
2020-06-07,42,27
2020-06-08,41,25
2020-06-09,42,24
2020-06-10,42,24
2020-06-11,42,24
2020-06-12,45,21
2020-06-13,43,23
2020-06-14,43,23
2020-06-15,43,23
2020-06-16,45,22
2020-06-17,47,20
2020-06-18,45,22
2020-06-19,46,21
2020-06-20,49,18
2020-06-21,49,18
2020-06-22,48,19
2020-06-23,54,12
2020-06-24,53,14
2020-06-25,52,15
2020-06-26,47,20
2020-06-27,47,17
2020-06-28,49,16
2020-06-29,51,16
2020-06-30,52,15
2020-07-01,51,16
2020-07-02,51,16
2020-07-03,52,15
2020-07-04,48,19
2020-07-05,51,18
2020-07-06,48,18
2020-07-07,47,19
2020-07-08,45,22
2020-07-09,44,23
2020-07-10,45,22
2020-07-11,43,24
2020-07-12,43,24
2020-07-13,42,25
2020-07-14,45,22
2020-07-15,46,21
2020-07-16,50,27
2020-07-17,47,20
2020-07-18,46,21
2020-07-19,44,22
2020-07-20,46,20
2020-07-21,46,21
2020-07-22,42,25
2020-07-23,45,22
2020-07-24,45,22
2020-07-25,43,22
2020-07-26,43,22
2020-07-27,45,22
2020-07-28,46,21
2020-07-29,47,19
2020-07-30,44,23
2020-07-31,46,21
2020-08-01,46,21
2020-08-02,52,15
2020-08-03,47,19
2020-08-04,51,16
2020-08-05,51,15
2020-08-06,51,15
2020-08-07,52,14
2020-08-08,45,21
2020-08-09,45,21
2020-08-10,45,21
2020-08-11,46,20
2020-08-12,49,17
2020-08-13,50,16
2020-08-14,51,15
2020-08-15,54,12
2020-08-16,51,15
2020-08-17,51,15
2020-08-18,52,14
2020-08-19,55,11
2020-08-20,56,10
2020-08-21,60,6
2020-08-22,57,9
2020-08-23,59,7
2020-08-24,57,8
2020-08-25,58,7
2020-08-26,60,5
2020-08-27,53,12
2020-08-28,53,12
2020-08-29,55,10
2020-08-30,52,13
2020-08-31,49,16
2020-09-01,48,17
2020-09-02,46,19
2020-09-03,43,22
2020-09-04,44,21
2020-09-05,43,22
2020-09-06,44,21
2020-09-07,42,23
2020-09-08,39,26
2020-09-09,39,26
2020-09-10,43,22
2020-09-11,44,21
2020-09-12,42,23
2020-09-13,41,24
2020-09-14,39,26
2020-09-15,42,23
2020-09-16,44,21
2020-09-17,56,9
2020-09-18,56,9
2020-09-19,50,15
2020-09-20,51,15
2020-09-21,49,17
2020-09-22,47,19
2020-09-23,48,18
2020-09-24,48,18
2020-09-25,51,15
2020-09-26,47,19
2020-09-27,48,18
2020-09-28,47,19
2020-09-29,45,22
2020-09-30,48,19
2020-10-01,47,19
2020-10-02,44,22
2020-10-03,46,20
2020-10-04,43,23
2020-10-05,46,20
2020-10-06,49,17
2020-10-07,52,14
2020-10-08,54,12
2020-10-09,47,19
2020-10-10,50,16
2020-10-11,51,15
2020-10-12,51,15
2020-10-13,52,14
2020-10-14,50,16
2020-10-15,55,11
2020-10-16,56,10
2020-10-17,52,14
2020-10-18,53,13
2020-10-19,52,14
2020-10-20,56,10
2020-10-21,53,13
2020-10-22,53,13
2020-10-23,54,11
2020-10-24,46,19
2020-10-25,45,20
2020-10-26,48,17
2020-10-27,49,16
2020-10-28,52,13
2020-10-29,52,13
2020-10-30,49,16
2020-10-31,49,16
2020-11-01,45,20
2020-11-02,48,17
2020-11-03,48,17
2020-11-04,51,14
2020-11-05,53,13
2020-11-06,52,14
2020-11-07,52,14
2020-11-08,46,20
2020-11-09,48,18
2020-11-10,52,14
2020-11-11,53,13
2020-11-12,49,15
2020-11-13,51,15
2020-11-14,54,12
2020-11-15,52,14
2020-11-16,51,15
2020-11-17,56,10
2020-11-18,57,9
2020-11-19,60,6
2020-11-20,59,7
2020-11-21,59,7
2020-11-22,58,8
2020-11-23,60,6
2020-11-24,56,10
2020-11-25,57,9
2020-11-26,53,13
2020-11-27,52,14
2020-11-28,54,12
2020-11-29,54,12
2020-11-30,53,13
2020-12-01,57,9
2020-12-02,56,10
2020-12-03,58,8
2020-12-04,55,11
2020-12-05,57,9
2020-12-06,57,9
2020-12-07,57,9
2020-12-08,55,11
2020-12-09,57,9
2020-12-10,55,11
2020-12-11,59,7
2020-12-12,56,10
2020-12-13,58,8
2020-12-14,52,14
2020-12-15,54,12
2020-12-16,57,9
2020-12-17,54,12
2020-12-18,55,11
2020-12-19,52,14
2020-12-20,50,16
2020-12-21,51,15
2020-12-22,63,3
2020-12-23,57,9
2020-12-24,55,11
2020-12-25,60,6
2020-12-26,59,7
2020-12-27,57,9
2020-12-28,55,11
2020-12-29,49,17
2020-12-30,49,17
2020-12-31,50,17
2021-01-01,56,10
2021-01-02,57,9
2021-01-03,52,14
2021-01-04,58,8
2021-01-05,60,7
2021-01-06,58,9
2021-01-07,63,4
2021-01-08,62,5
2021-01-09,57,7
2021-01-10,55,9
2021-01-11,56,8
2021-01-12,55,9
2021-01-13,58,6
2021-01-14,55,9
2021-01-15,57,7
2021-01-16,57,7
2021-01-17,56,8
2021-01-18,53,10
2021-01-19,57,7
2021-01-20,57,7
2021-01-21,54,9
2021-01-22,55,8
2021-01-23,55,8
2021-01-24,55,8
2021-01-25,48,15
2021-01-26,49,14
2021-01-27,53,10
2021-01-28,54,9
2021-01-29,57,6
2021-01-30,56,7
2021-01-31,55,8
2021-02-01,55,8
2021-02-02,60,3
2021-02-03,60,3
2021-02-04,60,3
2021-02-05,60,3
2021-02-06,60,3
2021-02-07,58,5
