date,betten_belegt,betten_frei
2020-04-24,30,38
2020-04-25,32,36
2020-04-26,35,34
2020-04-27,34,35
2020-04-28,43,28
2020-04-29,41,28
2020-04-30,37,34
2020-05-01,38,33
2020-05-02,34,37
2020-05-03,33,38
2020-05-04,35,36
2020-05-05,44,29
2020-05-06,43,28
2020-05-07,47,23
2020-05-08,46,25
2020-05-09,44,26
2020-05-10,40,31
2020-05-11,43,28
2020-05-12,40,31
2020-05-13,40,31
2020-05-14,44,28
2020-05-15,42,30
2020-05-16,39,33
2020-05-17,39,33
2020-05-18,44,28
2020-05-19,47,25
2020-05-20,46,26
2020-05-21,46,26
2020-05-22,38,36
2020-05-23,46,28
2020-05-24,36,38
2020-05-25,38,35
2020-05-26,43,31
2020-05-27,45,31
2020-05-28,49,25
2020-05-29,48,26
2020-05-30,50,25
2020-05-31,43,30
2020-06-01,41,32
2020-06-02,48,28
2020-06-03,42,32
2020-06-04,46,28
2020-06-05,46,28
2020-06-06,48,26
2020-06-07,42,32
2020-06-08,39,35
2020-06-09,45,30
2020-06-10,43,34
2020-06-11,37,37
2020-06-12,41,33
2020-06-13,39,35
2020-06-14,38,36
2020-06-15,38,36
2020-06-16,39,35
2020-06-17,48,26
2020-06-18,40,34
2020-06-19,45,29
2020-06-20,42,31
2020-06-21,37,36
2020-06-22,44,30
2020-06-23,42,32
2020-06-24,41,33
2020-06-25,48,27
2020-06-26,37,37
2020-06-27,32,42
2020-06-28,35,39
2020-06-29,43,31
2020-06-30,48,26
2020-07-01,42,32
2020-07-02,44,29
2020-07-03,39,35
2020-07-04,45,29
2020-07-05,40,34
2020-07-06,42,32
2020-07-07,47,27
2020-07-08,42,32
2020-07-09,46,28
2020-07-10,36,38
2020-07-11,42,32
2020-07-12,36,38
2020-07-13,39,35
2020-07-14,41,30
2020-07-15,43,29
2020-07-16,45,29
2020-07-17,51,23
2020-07-18,53,21
2020-07-19,52,22
2020-07-20,44,30
2020-07-21,49,25
2020-07-22,52,22
2020-07-23,52,22
2020-07-24,50,24
2020-07-25,47,27
2020-07-26,41,31
2020-07-27,42,32
2020-07-28,46,28
2020-07-29,49,25
2020-07-30,42,32
2020-07-31,41,33
2020-08-01,45,29
2020-08-02,37,37
2020-08-03,41,33
2020-08-04,42,34
2020-08-05,50,26
2020-08-06,42,34
2020-08-07,42,34
2020-08-08,42,34
2020-08-09,37,39
2020-08-10,42,34
2020-08-11,43,33
2020-08-12,49,27
2020-08-13,49,27
2020-08-14,50,26
2020-08-15,45,31
2020-08-16,42,34
2020-08-17,42,34
2020-08-18,42,34
2020-08-19,44,32
2020-08-20,48,28
2020-08-21,49,27
2020-08-22,44,32
2020-08-23,37,39
2020-08-24,31,45
2020-08-25,41,35
2020-08-26,47,29
2020-08-27,49,27
2020-08-28,44,32
2020-08-29,44,32
2020-08-30,40,36
2020-08-31,42,34
2020-09-01,44,32
2020-09-02,47,29
2020-09-03,46,30
2020-09-04,44,32
2020-09-05,48,28
2020-09-06,41,35
2020-09-07,44,32
2020-09-08,45,31
2020-09-09,48,28
2020-09-10,43,33
2020-09-11,46,30
2020-09-12,49,27
2020-09-13,43,33
2020-09-14,39,37
2020-09-15,44,32
2020-09-16,50,26
2020-09-17,48,28
2020-09-18,48,28
2020-09-19,49,27
2020-09-20,44,32
2020-09-21,45,31
2020-09-22,42,34
2020-09-23,43,33
2020-09-24,42,34
2020-09-25,50,26
2020-09-26,46,30
2020-09-27,46,30
2020-09-28,42,34
2020-09-29,48,28
2020-09-30,49,27
2020-10-01,46,30
2020-10-02,48,28
2020-10-03,45,31
2020-10-04,44,32
2020-10-05,47,29
2020-10-06,47,29
2020-10-07,50,26
2020-10-08,47,29
2020-10-09,48,28
2020-10-10,47,29
2020-10-11,46,30
2020-10-12,47,29
2020-10-13,51,25
2020-10-14,55,21
2020-10-15,45,31
2020-10-16,43,33
2020-10-17,44,32
2020-10-18,39,37
2020-10-19,45,31
2020-10-20,44,32
2020-10-21,49,24
2020-10-22,50,10
2020-10-23,51,9
2020-10-24,49,7
2020-10-25,45,11
2020-10-26,41,19
2020-10-27,42,18
2020-10-28,54,6
2020-10-29,50,10
2020-10-30,48,11
2020-10-31,49,8
2020-11-01,49,8
2020-11-02,43,16
2020-11-03,43,14
2020-11-04,47,10
2020-11-05,47,8
2020-11-06,51,4
2020-11-07,45,6
2020-11-08,41,11
2020-11-09,45,7
2020-11-10,47,6
2020-11-11,46,6
2020-11-12,44,8
2020-11-13,48,4
2020-11-14,43,6
2020-11-15,41,4
2020-11-16,44,5
2020-11-17,47,4
2020-11-18,50,3
2020-11-19,48,5
2020-11-20,48,5
2020-11-21,47,6
2020-11-22,45,8
2020-11-23,46,14
2020-11-24,51,9
2020-11-25,49,11
2020-11-26,51,9
2020-11-27,51,9
2020-11-28,50,12
2020-11-29,46,16
2020-11-30,51,11
2020-12-01,55,8
2020-12-02,52,10
2020-12-03,48,15
2020-12-04,48,15
2020-12-05,48,15
2020-12-06,45,16
2020-12-07,44,17
2020-12-08,48,13
2020-12-09,48,13
2020-12-10,50,13
2020-12-11,52,11
2020-12-12,52,8
2020-12-13,53,8
2020-12-14,50,12
2020-12-15,46,16
2020-12-16,47,16
2020-12-17,53,7
2020-12-18,47,15
2020-12-19,45,16
2020-12-20,45,14
2020-12-21,45,14
2020-12-22,44,18
2020-12-23,51,12
2020-12-24,51,10
2020-12-25,50,11
2020-12-26,46,12
2020-12-27,45,13
2020-12-28,47,11
2020-12-29,45,14
2020-12-30,49,11
2020-12-31,46,16
2021-01-01,46,17
2021-01-02,45,14
2021-01-03,45,15
2021-01-04,49,11
2021-01-05,49,12
2021-01-06,48,11
2021-01-07,48,11
2021-01-08,46,13
2021-01-09,44,15
2021-01-10,52,9
2021-01-11,46,14
2021-01-12,49,14
2021-01-13,51,13
2021-01-14,45,17
2021-01-15,51,13
2021-01-16,47,14
2021-01-17,46,14
2021-01-18,43,20
2021-01-19,46,17
2021-01-20,47,16
2021-01-21,46,13
