date,betten_belegt,betten_frei
2020-04-24,10,8
2020-04-25,9,9
2020-04-26,7,12
2020-04-27,9,11
2020-04-28,10,10
2020-04-29,10,8
2020-04-30,17,7
2020-05-01,16,8
2020-05-02,14,10
2020-05-03,16,8
2020-05-04,11,11
2020-05-05,12,10
2020-05-06,10,12
2020-05-07,12,12
2020-05-08,11,13
2020-05-09,8,15
2020-05-10,11,12
2020-05-11,13,11
2020-05-12,14,10
2020-05-13,12,12
2020-05-14,16,8
2020-05-15,18,6
2020-05-16,14,8
2020-05-17,14,10
2020-05-18,14,10
2020-05-19,20,4
2020-05-20,16,8
2020-05-21,15,9
2020-05-22,16,8
2020-05-23,15,9
2020-05-24,17,7
2020-05-25,13,11
2020-05-26,15,9
2020-05-27,17,7
2020-05-28,17,7
2020-05-29,17,7
2020-05-30,16,8
2020-05-31,11,18
2020-06-01,14,15
2020-06-02,15,9
2020-06-03,13,11
2020-06-04,20,4
2020-06-05,18,6
2020-06-06,14,10
2020-06-07,10,14
2020-06-08,9,15
2020-06-09,11,13
2020-06-10,14,10
2020-06-11,16,8
2020-06-12,13,11
2020-06-13,16,8
2020-06-14,12,12
2020-06-15,14,10
2020-06-16,19,5
2020-06-17,20,4
2020-06-18,17,7
2020-06-19,18,6
2020-06-20,17,7
2020-06-21,16,8
2020-06-22,17,7
2020-06-23,8,14
2020-06-24,8,6
2020-06-25,13,11
2020-06-26,14,10
2020-06-27,13,11
2020-06-28,10,14
2020-06-29,13,11
2020-06-30,14,7
2020-07-01,19,5
2020-07-02,14,10
2020-07-03,16,8
2020-07-04,19,5
2020-07-05,15,9
2020-07-06,18,20
2020-07-07,15,17
2020-07-08,14,16
2020-07-09,14,16
2020-07-10,17,11
2020-07-11,16,12
2020-07-12,14,14
2020-07-13,19,9
2020-07-14,15,13
2020-07-15,24,4
2020-07-16,20,8
2020-07-17,17,8
2020-07-18,16,11
2020-07-19,16,11
2020-07-20,22,5
2020-07-21,25,3
2020-07-22,25,3
2020-07-23,22,6
2020-07-24,25,3
2020-07-25,23,5
2020-07-26,25,3
2020-07-27,18,11
2020-07-28,15,9
2020-07-29,16,8
2020-07-30,14,10
2020-07-31,12,12
2020-08-01,11,13
2020-08-02,12,12
2020-08-03,10,14
2020-08-04,15,9
2020-08-05,12,12
2020-08-06,9,15
2020-08-07,13,11
2020-08-08,17,7
2020-08-09,16,8
2020-08-10,11,13
2020-08-11,15,9
2020-08-12,16,8
2020-08-13,14,10
2020-08-14,15,3
2020-08-15,13,5
2020-08-16,13,5
2020-08-17,12,6
2020-08-18,14,4
2020-08-19,18,6
2020-08-20,17,7
2020-08-21,16,8
2020-08-22,16,8
2020-08-23,12,12
2020-08-24,11,13
2020-08-25,13,11
2020-08-26,16,8
2020-08-27,12,12
2020-08-28,12,12
2020-08-29,16,8
2020-08-30,13,11
2020-08-31,8,16
2020-09-01,13,11
2020-09-02,11,13
2020-09-03,13,11
2020-09-04,17,7
2020-09-05,15,9
2020-09-06,13,11
2020-09-07,12,12
2020-09-08,15,9
2020-09-09,12,12
2020-09-10,15,9
2020-09-11,12,12
2020-09-12,12,12
2020-09-13,10,14
2020-09-14,14,10
2020-09-15,15,9
2020-09-16,13,11
2020-09-17,10,14
2020-09-18,11,13
2020-09-19,11,13
2020-09-20,14,10
2020-09-21,11,13
2020-09-22,12,12
2020-09-23,16,6
2020-09-24,15,7
2020-09-25,15,9
2020-09-26,14,10
2020-09-27,14,10
2020-09-28,15,9
2020-09-29,17,7
2020-09-30,16,8
2020-10-01,17,7
2020-10-02,17,7
2020-10-03,16,8
2020-10-04,15,9
2020-10-05,14,10
2020-10-06,18,6
2020-10-07,17,7
2020-10-08,18,6
2020-10-09,18,6
2020-10-10,13,11
2020-10-11,14,10
2020-10-12,14,10
2020-10-13,12,12
2020-10-14,11,13
2020-10-15,13,11
2020-10-16,13,11
2020-10-17,15,9
2020-10-18,9,15
2020-10-19,12,12
2020-10-20,13,11
2020-10-21,15,9
2020-10-22,15,5
2020-10-23,16,4
2020-10-24,14,6
2020-10-25,14,6
2020-10-26,13,7
2020-10-27,12,8
2020-10-28,10,10
2020-10-29,11,9
2020-10-30,12,8
2020-10-31,11,9
2020-11-01,9,8
2020-11-02,13,7
2020-11-03,11,9
2020-11-04,11,9
2020-11-05,11,6
2020-11-06,13,7
2020-11-07,10,10
2020-11-08,8,12
2020-11-09,12,8
2020-11-10,14,6
2020-11-11,15,5
2020-11-12,15,5
2020-11-13,15,5
2020-11-14,14,6
2020-11-15,14,6
2020-11-16,13,7
2020-11-17,14,6
2020-11-18,15,5
2020-11-19,11,9
2020-11-20,13,7
2020-11-21,14,3
2020-11-22,10,7
2020-11-23,12,8
2020-11-24,14,6
2020-11-25,16,4
2020-11-26,15,5
2020-11-27,15,5
2020-11-28,12,5
2020-11-29,10,7
2020-11-30,14,6
2020-12-01,16,4
2020-12-02,18,2
2020-12-03,16,4
2020-12-04,15,5
2020-12-05,9,11
2020-12-06,11,9
2020-12-07,12,5
2020-12-08,14,6
2020-12-09,14,6
2020-12-10,14,6
2020-12-11,14,3
2020-12-12,11,6
2020-12-13,13,1
2020-12-14,12,5
2020-12-15,14,3
2020-12-16,12,8
2020-12-17,15,5
2020-12-18,13,4
