date,betten_belegt,betten_frei
2020-04-24,68,42
2020-04-25,62,48
2020-04-26,55,56
2020-04-27,49,61
2020-04-28,51,59
2020-04-29,62,48
2020-04-30,71,39
2020-05-01,68,42
2020-05-02,62,48
2020-05-03,56,54
2020-05-04,60,50
2020-05-05,61,49
2020-05-06,44,30
2020-05-07,63,47
2020-05-08,63,47
2020-05-09,55,55
2020-05-10,61,49
2020-05-11,52,46
2020-05-12,51,47
2020-05-13,58,42
2020-05-14,54,56
2020-05-15,52,47
2020-05-16,61,39
2020-05-17,59,41
2020-05-18,54,42
2020-05-19,62,34
2020-05-20,58,38
2020-05-21,52,36
2020-05-22,57,36
2020-05-23,54,39
2020-05-24,48,45
2020-05-25,53,43
2020-05-26,65,31
2020-05-27,58,38
2020-05-28,60,36
2020-05-29,56,40
2020-05-30,59,37
2020-05-31,53,43
2020-06-01,55,41
2020-06-02,56,42
2020-06-03,61,37
2020-06-04,66,32
2020-06-05,60,38
2020-06-06,61,37
2020-06-07,55,43
2020-06-08,52,46
2020-06-09,58,40
2020-06-10,67,31
2020-06-11,63,35
2020-06-12,60,38
2020-06-13,63,35
2020-06-14,54,44
2020-06-15,47,51
2020-06-16,50,48
2020-06-17,61,37
2020-06-18,57,41
2020-06-19,62,38
2020-06-20,65,35
2020-06-21,59,41
2020-06-22,59,41
2020-06-23,64,36
2020-06-24,66,34
2020-06-25,62,38
2020-06-26,60,40
2020-06-27,57,43
2020-06-28,50,50
2020-06-29,46,54
2020-06-30,52,48
2020-07-01,54,49
2020-07-02,65,38
2020-07-03,59,44
2020-07-04,54,43
2020-07-05,54,47
2020-07-06,56,47
2020-07-07,61,42
2020-07-08,67,36
2020-07-09,61,42
2020-07-10,59,44
2020-07-11,61,42
2020-07-12,63,40
2020-07-13,65,38
2020-07-14,68,35
2020-07-15,63,40
2020-07-16,59,44
2020-07-17,64,39
2020-07-18,59,44
2020-07-19,55,48
2020-07-20,55,48
2020-07-21,54,49
2020-07-22,60,43
2020-07-23,63,40
2020-07-24,63,40
2020-07-25,72,45
2020-07-26,72,45
2020-07-27,70,47
2020-07-28,76,37
2020-07-29,76,37
2020-07-30,77,36
2020-07-31,65,48
2020-08-01,70,43
2020-08-02,64,49
2020-08-03,68,45
2020-08-04,57,22
2020-08-05,58,21
2020-08-06,54,38
2020-08-07,53,39
2020-08-08,52,40
2020-08-09,50,42
2020-08-10,47,45
2020-08-11,49,43
2020-08-12,54,38
2020-08-13,51,41
