date,betten_belegt,betten_frei
2020-04-24,9,5
2020-04-25,11,3
2020-04-26,12,2
2020-04-27,12,2
2020-04-28,11,3
2020-04-29,10,4
2020-04-30,6,8
2020-05-01,10,4
2020-05-02,9,5
2020-05-03,8,6
2020-05-04,9,5
2020-05-05,9,5
2020-05-06,7,7
2020-05-07,6,8
2020-05-08,12,2
2020-05-09,12,2
2020-05-10,11,3
2020-05-11,11,3
2020-05-12,10,4
2020-05-13,10,4
2020-05-14,9,5
2020-05-15,8,6
2020-05-16,9,5
2020-05-17,9,5
2020-05-18,7,7
2020-05-19,8,6
2020-05-20,10,4
2020-05-21,10,4
2020-05-22,10,4
2020-05-23,10,4
2020-05-24,8,6
2020-05-25,11,3
2020-05-26,11,3
2020-05-27,9,5
2020-05-28,6,8
2020-05-29,9,5
2020-05-30,10,4
2020-05-31,10,4
2020-06-01,10,4
2020-06-02,10,4
2020-06-03,10,4
2020-06-04,10,5
2020-06-05,10,4
2020-06-06,10,6
2020-06-07,10,4
2020-06-08,8,6
2020-06-09,10,4
2020-06-10,8,6
2020-06-11,8,6
2020-06-12,10,4
2020-06-13,10,4
2020-06-14,10,4
2020-06-15,10,4
2020-06-16,10,4
2020-06-17,10,4
2020-06-18,10,4
2020-06-19,6,8
2020-06-20,10,4
2020-06-21,9,5
2020-06-22,9,5
2020-06-23,9,5
2020-06-24,6,8
2020-06-25,10,4
2020-06-26,10,4
2020-06-27,8,6
2020-06-28,6,8
2020-06-29,7,7
2020-06-30,10,4
2020-07-01,10,4
2020-07-02,10,4
2020-07-03,10,4
2020-07-04,9,5
2020-07-05,6,8
2020-07-06,6,8
2020-07-07,10,4
2020-07-08,9,5
2020-07-09,8,6
2020-07-10,10,4
2020-07-11,8,6
2020-07-12,8,6
2020-07-13,10,4
2020-07-14,10,4
2020-07-15,9,5
2020-07-16,10,4
2020-07-17,10,4
2020-07-18,11,3
2020-07-19,12,2
2020-07-20,9,5
2020-07-21,8,6
2020-07-22,12,2
2020-07-23,10,4
2020-07-24,10,4
2020-07-25,12,2
2020-07-26,12,2
2020-07-27,8,6
2020-07-28,8,6
2020-07-29,11,3
2020-07-30,11,3
2020-07-31,11,3
2020-08-01,11,3
2020-08-02,10,1
2020-08-03,10,4
2020-08-04,8,6
2020-08-05,9,5
2020-08-06,11,3
2020-08-07,9,5
2020-08-08,8,6
2020-08-09,8,6
2020-08-10,8,6
2020-08-11,10,4
2020-08-12,9,5
2020-08-13,12,2
2020-08-14,10,4
2020-08-15,11,3
2020-08-16,11,3
2020-08-17,12,2
2020-08-18,11,3
2020-08-19,10,1
2020-08-20,10,1
2020-08-21,6,5
2020-08-22,9,2
2020-08-23,9,2
2020-08-24,9,2
2020-08-25,11,3
2020-08-26,12,2
2020-08-27,9,5
2020-08-28,8,6
2020-08-29,10,4
2020-08-30,12,2
2020-08-31,8,6
2020-09-01,8,6
2020-09-02,7,7
2020-09-03,11,3
2020-09-04,8,6
2020-09-05,12,2
2020-09-06,11,3
2020-09-07,11,3
2020-09-08,9,5
2020-09-09,9,5
2020-09-10,8,6
2020-09-11,11,3
2020-09-12,10,1
2020-09-13,9,2
2020-09-14,10,4
2020-09-15,13,1
2020-09-16,8,6
2020-09-17,12,2
2020-09-18,11,3
2020-09-19,9,5
2020-09-20,7,4
2020-09-21,6,8
2020-09-22,5,9
2020-09-23,6,8
2020-09-24,7,4
2020-09-25,11,0
2020-09-26,10,1
2020-09-27,10,1
