date,betten_belegt,betten_frei
2020-04-24,7,9
2020-04-25,7,9
2020-04-26,7,9
2020-04-27,9,7
2020-04-28,9,7
2020-04-29,9,7
2020-04-30,9,7
2020-05-01,9,7
2020-05-02,9,7
2020-05-03,8,8
2020-05-04,9,7
2020-05-05,9,7
2020-05-06,9,7
2020-05-07,6,10
2020-05-08,6,10
2020-05-09,6,10
2020-05-10,6,10
2020-05-11,8,8
2020-05-12,6,10
2020-05-13,5,13
2020-05-14,9,7
2020-05-15,9,7
2020-05-16,9,7
2020-05-17,10,6
2020-05-18,10,6
2020-05-19,10,6
2020-05-20,8,8
2020-05-21,6,10
2020-05-22,8,8
2020-05-23,8,8
2020-05-24,7,9
2020-05-25,7,9
2020-05-26,6,10
2020-05-27,6,10
2020-05-28,10,6
2020-05-29,9,7
2020-05-30,9,7
2020-05-31,10,6
2020-06-01,10,6
2020-06-02,8,8
2020-06-03,10,6
2020-06-04,10,7
2020-06-05,11,7
2020-06-06,7,11
2020-06-07,6,12
2020-06-08,8,10
2020-06-09,10,6
2020-06-10,10,6
2020-06-11,7,9
2020-06-12,7,9
2020-06-13,7,9
2020-06-14,8,8
2020-06-15,9,7
2020-06-16,9,7
2020-06-17,8,8
2020-06-18,7,9
2020-06-19,6,10
2020-06-20,5,11
2020-06-21,7,9
2020-06-22,6,10
2020-06-23,6,10
2020-06-24,6,10
2020-06-25,6,10
2020-06-26,5,11
2020-06-27,4,12
2020-06-28,6,10
2020-06-29,7,11
2020-06-30,8,10
2020-07-01,8,10
2020-07-02,9,9
2020-07-03,9,9
2020-07-04,13,5
2020-07-05,11,7
2020-07-06,10,8
2020-07-07,10,8
2020-07-08,12,6
2020-07-09,12,6
2020-07-10,10,8
2020-07-11,12,6
2020-07-12,11,7
2020-07-13,12,4
2020-07-14,9,7
2020-07-15,8,8
2020-07-16,9,7
2020-07-17,10,6
2020-07-18,8,8
2020-07-19,8,8
2020-07-20,7,9
2020-07-21,8,8
2020-07-22,7,9
2020-07-23,9,7
2020-07-24,7,9
2020-07-25,7,9
2020-07-26,7,9
2020-07-27,8,8
2020-07-28,10,6
2020-07-29,9,7
2020-07-30,7,9
2020-07-31,7,9
2020-08-01,7,9
2020-08-02,7,9
2020-08-03,9,7
2020-08-04,10,6
2020-08-05,9,7
2020-08-06,11,5
2020-08-07,8,8
2020-08-08,8,8
2020-08-09,8,8
2020-08-10,9,7
2020-08-11,12,4
2020-08-12,9,7
2020-08-13,10,6
2020-08-14,7,9
2020-08-15,11,5
2020-08-16,13,3
2020-08-17,12,4
2020-08-18,12,4
2020-08-19,13,4
2020-08-20,11,6
2020-08-21,13,4
2020-08-22,13,4
2020-08-23,11,6
2020-08-24,10,7
2020-08-25,8,9
2020-08-26,10,7
2020-08-27,10,7
2020-08-28,11,6
2020-08-29,11,6
2020-08-30,9,8
2020-08-31,10,7
2020-09-01,10,7
2020-09-02,9,8
2020-09-03,13,4
2020-09-04,14,3
2020-09-05,14,3
2020-09-06,14,3
2020-09-07,12,5
2020-09-08,13,4
2020-09-09,9,8
2020-09-10,10,7
2020-09-11,11,6
2020-09-12,11,6
2020-09-13,11,6
2020-09-14,10,7
2020-09-15,12,5
2020-09-16,9,8
2020-09-17,8,9
2020-09-18,9,8
2020-09-19,14,3
2020-09-20,12,5
2020-09-21,13,4
2020-09-22,12,5
2020-09-23,14,3
2020-09-24,12,5
2020-09-25,10,7
2020-09-26,10,7
2020-09-27,10,7
2020-09-28,10,7
2020-09-29,14,3
2020-09-30,13,4
2020-10-01,11,6
2020-10-02,11,6
2020-10-03,10,7
2020-10-04,12,5
2020-10-05,12,5
2020-10-06,9,8
2020-10-07,9,8
2020-10-08,11,6
