date,betten_belegt,betten_frei
2020-04-24,13,18
2020-04-25,13,17
2020-04-26,12,16
2020-04-27,13,17
2020-04-28,17,12
2020-04-29,20,13
2020-04-30,14,21
2020-05-01,12,24
2020-05-02,12,24
2020-05-03,12,24
2020-05-04,17,18
2020-05-05,17,14
2020-05-06,14,17
2020-05-07,14,16
2020-05-08,15,14
2020-05-09,15,14
2020-05-10,16,14
2020-05-11,21,9
2020-05-12,17,14
2020-05-13,15,16
2020-05-14,13,18
2020-05-15,22,10
2020-05-16,22,8
2020-05-17,22,8
2020-05-18,17,15
2020-05-19,13,19
2020-05-20,19,13
2020-05-21,19,12
2020-05-22,17,15
2020-05-23,16,12
2020-05-24,19,12
2020-05-25,14,18
2020-05-26,16,16
2020-05-27,17,15
2020-05-28,21,11
2020-05-29,16,16
2020-05-30,16,14
2020-05-31,17,13
2020-06-01,20,13
2020-06-02,21,12
2020-06-03,15,17
2020-06-04,20,12
2020-06-05,21,12
2020-06-06,20,12
2020-06-07,17,13
2020-06-08,24,8
2020-06-09,23,9
2020-06-10,20,13
2020-06-11,20,13
2020-06-12,21,12
2020-06-13,23,9
2020-06-14,17,12
2020-06-15,21,12
2020-06-16,21,12
2020-06-17,22,10
2020-06-18,21,11
2020-06-19,23,9
2020-06-20,22,9
2020-06-21,19,12
2020-06-22,20,12
2020-06-23,19,13
2020-06-24,11,21
2020-06-25,21,11
2020-06-26,27,5
2020-06-27,21,8
2020-06-28,21,8
2020-06-29,24,8
2020-06-30,28,4
2020-07-01,21,11
2020-07-02,28,4
2020-07-03,24,8
2020-07-04,27,5
2020-07-05,23,9
2020-07-06,20,11
2020-07-07,24,8
2020-07-08,24,8
2020-07-09,24,8
2020-07-10,24,6
2020-07-11,26,4
2020-07-12,20,10
2020-07-13,22,8
2020-07-14,24,8
2020-07-15,18,14
2020-07-16,20,12
2020-07-17,20,12
2020-07-18,17,12
2020-07-19,15,14
2020-07-20,15,14
2020-07-21,18,13
2020-07-22,22,8
2020-07-23,22,9
2020-07-24,22,7
2020-07-25,19,8
2020-07-26,19,8
2020-07-27,19,8
2020-07-28,24,8
