date,betten_belegt,betten_frei
2020-04-24,81,66
2020-04-25,83,64
2020-04-26,75,71
2020-04-27,71,76
2020-04-28,90,57
2020-04-29,102,54
2020-04-30,94,62
2020-05-01,99,57
2020-05-02,85,71
2020-05-03,102,54
2020-05-04,95,61
2020-05-05,89,67
2020-05-06,101,63
2020-05-07,112,58
2020-05-08,116,54
2020-05-09,109,61
2020-05-10,116,54
2020-05-11,118,52
2020-05-12,119,51
2020-05-13,120,50
2020-05-14,112,58
2020-05-15,120,50
2020-05-16,111,59
2020-05-17,116,54
2020-05-18,123,47
2020-05-19,120,50
2020-05-20,110,60
2020-05-21,114,57
2020-05-22,115,56
2020-05-23,109,62
2020-05-24,100,71
2020-05-25,96,75
2020-05-26,97,74
2020-05-27,97,74
2020-05-28,96,69
2020-05-29,95,66
2020-05-30,87,63
2020-05-31,105,49
2020-06-01,109,58
2020-06-02,80,68
2020-06-03,91,70
2020-06-04,95,66
2020-06-05,93,68
2020-06-06,94,67
2020-06-07,88,73
2020-06-08,93,68
2020-06-09,100,61
2020-06-10,97,64
2020-06-11,101,60
2020-06-12,108,53
2020-06-13,94,67
2020-06-14,90,71
2020-06-15,93,68
2020-06-16,102,59
2020-06-17,100,61
2020-06-18,101,60
2020-06-19,102,59
2020-06-20,99,62
2020-06-21,91,70
2020-06-22,99,62
2020-06-23,101,60
2020-06-24,99,62
2020-06-25,104,57
2020-06-26,106,55
2020-06-27,111,50
2020-06-28,105,56
2020-06-29,111,50
2020-06-30,106,55
2020-07-01,107,54
2020-07-02,111,50
2020-07-03,104,57
2020-07-04,110,51
2020-07-05,100,61
2020-07-06,101,60
2020-07-07,100,61
2020-07-08,116,59
2020-07-09,114,61
2020-07-10,122,53
2020-07-11,115,60
2020-07-12,109,66
2020-07-13,108,67
2020-07-14,115,60
2020-07-15,112,63
2020-07-16,105,66
2020-07-17,113,58
2020-07-18,103,68
2020-07-19,102,69
2020-07-20,105,66
2020-07-21,86,28
2020-07-22,82,33
2020-07-23,81,34
2020-07-24,95,38
2020-07-25,89,44
2020-07-26,85,45
2020-07-27,110,61
2020-07-28,115,56
2020-07-29,116,55
2020-07-30,114,57
2020-07-31,105,66
2020-08-01,88,83
2020-08-02,89,82
2020-08-03,98,73
2020-08-04,99,70
2020-08-05,104,65
2020-08-06,103,66
2020-08-07,106,63
2020-08-08,106,63
2020-08-09,88,81
2020-08-10,93,76
2020-08-11,106,63
2020-08-12,115,54
2020-08-13,104,65
2020-08-14,112,57
2020-08-15,108,61
2020-08-16,105,64
2020-08-17,107,62
2020-08-18,105,64
2020-08-19,112,57
2020-08-20,119,50
2020-08-21,106,63
2020-08-22,100,69
2020-08-23,103,66
2020-08-24,100,69
2020-08-25,112,57
2020-08-26,107,62
2020-08-27,107,62
2020-08-28,107,62
2020-08-29,107,62
2020-08-30,98,71
2020-08-31,92,77
2020-09-01,95,74
2020-09-02,103,66
2020-09-03,114,55
2020-09-04,109,60
2020-09-05,97,72
2020-09-06,91,78
2020-09-07,94,75
2020-09-08,96,79
2020-09-09,101,74
2020-09-10,103,72
2020-09-11,91,84
2020-09-12,95,80
2020-09-13,93,82
2020-09-14,87,88
2020-09-15,97,78
2020-09-16,105,70
2020-09-17,103,72
2020-09-18,105,70
2020-09-19,102,73
2020-09-20,102,73
2020-09-21,100,75
2020-09-22,106,69
2020-09-23,104,72
2020-09-24,109,67
2020-09-25,108,68
2020-09-26,95,81
2020-09-27,95,81
2020-09-28,105,71
2020-09-29,114,62
2020-09-30,107,69
2020-10-01,101,75
2020-10-02,106,67
2020-10-03,99,74
2020-10-04,93,80
2020-10-05,95,78
2020-10-06,104,69
2020-10-07,109,64
2020-10-08,111,63
2020-10-09,103,70
2020-10-10,96,77
2020-10-11,97,76
2020-10-12,101,72
2020-10-13,99,74
2020-10-14,99,74
2020-10-15,94,79
2020-10-16,109,64
2020-10-17,99,74
2020-10-18,86,87
2020-10-19,90,83
2020-10-20,102,71
2020-10-21,97,76
2020-10-22,120,53
2020-10-23,89,84
2020-10-24,93,80
2020-10-25,83,90
2020-10-26,79,94
2020-10-27,89,84
2020-10-28,94,79
2020-10-29,87,86
2020-10-30,89,84
2020-10-31,87,86
2020-11-01,87,86
2020-11-02,84,89
2020-11-03,81,92
2020-11-04,89,80
2020-11-05,106,63
2020-11-06,104,65
2020-11-07,97,72
2020-11-08,91,78
2020-11-09,98,71
2020-11-10,101,68
2020-11-11,107,62
2020-11-12,113,56
2020-11-13,108,61
2020-11-14,104,65
2020-11-15,101,68
2020-11-16,95,61
2020-11-17,102,54
2020-11-18,87,31
2020-11-19,92,26
2020-11-20,98,20
2020-11-21,97,21
2020-11-22,95,23
2020-11-23,93,25
2020-11-24,91,27
2020-11-25,92,26
2020-11-26,90,28
2020-11-27,90,28
2020-11-28,85,33
2020-11-29,84,34
2020-11-30,84,34
2020-12-01,87,31
2020-12-02,83,35
2020-12-03,90,28
2020-12-04,97,15
2020-12-05,85,27
2020-12-06,85,27
2020-12-07,95,20
2020-12-08,98,20
2020-12-09,94,24
2020-12-10,98,20
2020-12-11,104,14
2020-12-12,102,16
2020-12-13,93,25
2020-12-14,95,23
2020-12-15,103,15
2020-12-16,101,17
2020-12-17,101,17
2020-12-18,104,14
2020-12-19,92,26
2020-12-20,90,28
2020-12-21,93,22
2020-12-22,94,21
2020-12-23,90,25
2020-12-24,101,14
2020-12-25,91,24
2020-12-26,86,29
2020-12-27,86,29
2020-12-28,82,33
2020-12-29,86,24
2020-12-30,84,26
2020-12-31,86,21
2021-01-01,81,26
2021-01-02,77,30
2021-01-03,81,26
2021-01-04,83,24
2021-01-05,97,13
2021-01-06,100,10
2021-01-07,98,12
2021-01-08,94,16
2021-01-09,84,26
2021-01-10,83,27
2021-01-11,90,20
2021-01-12,94,19
2021-01-13,97,16
2021-01-14,105,8
2021-01-15,101,12
2021-01-16,100,13
2021-01-17,104,9
2021-01-18,95,18
2021-01-19,92,21
2021-01-20,99,14
2021-01-21,96,17
2021-01-22,92,21
2021-01-23,95,18
2021-01-24,93,20
2021-01-25,92,21
2021-01-26,87,26
2021-01-27,95,18
2021-01-28,92,21
2021-01-29,93,20
2021-01-30,91,22
2021-01-31,92,21
2021-02-01,86,27
2021-02-02,90,23
2021-02-03,94,19
2021-02-04,92,21
2021-02-05,93,20
2021-02-06,89,24
2021-02-07,92,18
2021-02-08,89,24
2021-02-09,87,26
2021-02-10,96,17
2021-02-11,102,11
2021-02-12,96,17
2021-02-13,99,14
2021-02-14,98,15
2021-02-15,96,17
2021-02-16,97,16
2021-02-17,93,20
2021-02-18,96,17
2021-02-19,94,19
2021-02-20,96,17
2021-02-21,89,24
2021-02-22,93,20
2021-02-23,93,20
2021-02-24,94,20
2021-02-25,89,24
2021-02-26,92,21
2021-02-27,95,18
2021-02-28,95,15
2021-03-01,97,16
2021-03-02,91,22
2021-03-03,91,22
2021-03-04,90,23
2021-03-05,91,22
2021-03-06,89,24
2021-03-07,83,27
2021-03-08,88,25
2021-03-09,95,18
2021-03-10,96,17
2021-03-11,90,23
2021-03-12,98,15
2021-03-13,96,17
2021-03-14,96,17
2021-03-15,93,20
2021-03-16,94,19
2021-03-17,95,18
2021-03-18,88,25
2021-03-19,97,16
2021-03-20,94,19
2021-03-21,89,21
2021-03-22,78,35
2021-03-23,96,17
