date,betten_belegt,betten_frei
2020-04-24,81,66
2020-04-24,6,9
2020-04-25,83,64
2020-04-25,6,9
2020-04-26,75,71
2020-04-26,6,9
2020-04-27,71,76
2020-04-27,6,9
2020-04-28,90,57
2020-04-28,7,9
2020-04-29,102,54
2020-04-29,8,8
2020-04-30,94,62
2020-04-30,7,9
2020-05-01,99,57
2020-05-01,7,8
2020-05-02,85,71
2020-05-02,7,8
2020-05-03,102,54
2020-05-03,6,10
2020-05-04,95,61
2020-05-04,6,10
2020-05-05,89,67
2020-05-05,6,9
2020-05-06,101,63
2020-05-06,7,8
2020-05-07,112,58
2020-05-07,5,10
2020-05-08,116,54
2020-05-08,6,9
2020-05-09,109,61
2020-05-09,7,8
2020-05-10,116,54
2020-05-10,6,9
2020-05-11,118,52
2020-05-11,7,8
2020-05-12,119,51
2020-05-12,9,5
2020-05-13,120,50
2020-05-13,9,6
2020-05-14,112,58
2020-05-14,9,6
2020-05-15,120,50
2020-05-15,10,5
2020-05-16,111,59
2020-05-16,9,6
2020-05-17,116,54
2020-05-17,5,9
2020-05-18,123,47
2020-05-18,6,8
2020-05-19,120,50
2020-05-19,7,7
2020-05-20,110,60
2020-05-20,3,11
2020-05-21,114,57
2020-05-21,6,8
2020-05-22,115,56
2020-05-22,6,8
2020-05-23,109,62
2020-05-23,5,9
2020-05-24,100,71
2020-05-24,5,9
2020-05-25,96,75
2020-05-25,5,9
2020-05-26,97,74
2020-05-26,6,8
2020-05-27,97,74
2020-05-27,6,8
2020-05-28,96,69
2020-05-28,6,8
2020-05-29,95,66
2020-05-29,6,8
2020-05-30,87,63
2020-05-30,5,9
2020-05-31,105,49
2020-05-31,6,8
2020-06-01,109,58
2020-06-01,6,8
2020-06-02,80,68
2020-06-02,2,12
2020-06-03,91,70
2020-06-03,3,11
2020-06-04,95,66
2020-06-04,5,9
2020-06-05,93,68
2020-06-05,6,8
2020-06-06,94,67
2020-06-06,5,9
2020-06-07,88,73
2020-06-07,3,11
2020-06-08,93,68
2020-06-08,4,10
2020-06-09,100,61
2020-06-09,3,11
2020-06-10,97,64
2020-06-10,4,10
2020-06-11,101,60
2020-06-11,3,11
2020-06-12,108,53
2020-06-12,3,11
2020-06-13,94,67
2020-06-13,5,9
2020-06-14,90,71
2020-06-14,4,10
2020-06-15,93,68
2020-06-15,6,8
2020-06-16,102,59
2020-06-16,7,7
2020-06-17,100,61
2020-06-17,5,9
2020-06-18,101,60
2020-06-18,8,6
2020-06-19,102,59
2020-06-19,5,9
2020-06-20,99,62
2020-06-20,6,8
2020-06-21,91,70
2020-06-21,5,9
2020-06-22,99,62
2020-06-22,5,9
2020-06-23,101,60
2020-06-23,7,7
2020-06-24,99,62
2020-06-24,5,9
2020-06-25,104,57
2020-06-25,7,7
2020-06-26,106,55
2020-06-26,6,8
2020-06-27,111,50
2020-06-27,3,11
2020-06-28,105,56
2020-06-28,3,11
2020-06-29,111,50
2020-06-29,4,10
2020-06-30,106,55
2020-06-30,5,9
2020-07-01,107,54
2020-07-01,6,8
2020-07-02,111,50
2020-07-02,6,8
2020-07-03,104,57
2020-07-03,4,10
2020-07-04,110,51
2020-07-04,5,9
2020-07-05,100,61
2020-07-05,6,8
2020-07-06,101,60
2020-07-06,4,10
2020-07-07,100,61
2020-07-07,5,9
2020-07-08,116,59
2020-07-08,5,9
2020-07-09,114,61
2020-07-09,6,8
2020-07-10,122,53
2020-07-10,5,9
2020-07-11,115,60
2020-07-11,8,6
2020-07-12,109,66
2020-07-12,7,7
2020-07-13,108,67
2020-07-13,7,7
2020-07-14,115,60
2020-07-14,7,7
2020-07-15,112,63
2020-07-15,7,7
2020-07-16,105,66
2020-07-16,7,7
2020-07-17,113,58
2020-07-17,5,9
2020-07-18,103,68
2020-07-18,5,9
2020-07-19,102,69
2020-07-19,3,11
2020-07-20,105,66
2020-07-20,4,10
2020-07-21,86,28
2020-07-21,4,10
2020-07-22,82,33
2020-07-22,3,11
2020-07-23,81,34
2020-07-23,3,11
2020-07-24,95,38
2020-07-24,6,8
2020-07-25,89,44
2020-07-25,6,8
