date,betten_belegt,betten_frei
2020-04-24,117,64
2020-04-25,122,60
2020-04-26,116,66
2020-04-27,116,65
2020-04-28,123,58
2020-04-29,122,49
2020-04-30,131,38
2020-05-01,127,37
2020-05-02,125,46
2020-05-03,124,46
2020-05-04,126,45
2020-05-05,123,45
2020-05-06,120,51
2020-05-07,126,45
2020-05-08,128,43
2020-05-09,120,51
2020-05-10,112,59
2020-05-11,119,52
2020-05-12,119,53
2020-05-13,113,61
2020-05-14,112,64
2020-05-15,114,50
2020-05-16,123,41
2020-05-17,116,60
2020-05-18,119,53
2020-05-19,113,51
2020-05-20,121,43
2020-05-21,113,50
2020-05-22,107,57
2020-05-23,102,62
2020-05-24,98,66
2020-05-25,99,65
2020-05-26,110,54
2020-05-27,116,48
2020-05-28,115,49
2020-05-29,113,51
2020-05-30,111,61
2020-05-31,111,63
2020-06-01,111,63
2020-06-02,111,63
2020-06-03,112,62
2020-06-04,121,53
2020-06-05,115,59
2020-06-06,126,44
2020-06-07,114,60
2020-06-08,115,59
2020-06-09,118,56
2020-06-10,116,57
2020-06-11,117,56
2020-06-12,109,59
2020-06-13,111,54
2020-06-14,115,55
2020-06-15,115,54
2020-06-16,118,53
2020-06-17,116,55
2020-06-18,119,54
2020-06-19,118,53
2020-06-20,127,46
2020-06-21,112,59
2020-06-22,111,60
2020-06-23,116,55
2020-06-24,112,59
2020-06-25,114,57
2020-06-26,118,53
2020-06-27,119,52
2020-06-28,115,56
2020-06-29,116,55
2020-06-30,123,48
2020-07-01,123,48
2020-07-02,123,48
2020-07-03,122,48
2020-07-04,114,56
2020-07-05,116,55
2020-07-06,112,55
2020-07-07,121,46
2020-07-08,123,48
2020-07-09,122,49
2020-07-10,136,50
2020-07-11,131,55
2020-07-12,136,50
2020-07-13,127,59
2020-07-14,132,54
2020-07-15,130,46
2020-07-16,138,48
2020-07-17,132,54
2020-07-18,133,53
2020-07-19,129,57
2020-07-20,128,58
2020-07-21,128,50
2020-07-22,127,51
2020-07-23,125,53
2020-07-24,122,54
2020-07-25,119,57
2020-07-26,117,61
2020-07-27,121,57
2020-07-28,121,57
2020-07-29,122,56
2020-07-30,125,49
2020-07-31,124,50
2020-08-01,129,49
2020-08-02,121,57
2020-08-03,117,57
2020-08-04,111,63
2020-08-05,109,65
2020-08-06,106,68
2020-08-07,117,57
2020-08-08,109,65
2020-08-09,105,69
2020-08-10,114,60
2020-08-11,117,47
2020-08-12,116,48
2020-08-13,114,50
2020-08-14,120,44
2020-08-15,122,42
2020-08-16,111,53
2020-08-17,115,49
2020-08-18,113,51
2020-08-19,119,45
2020-08-20,126,38
2020-08-21,119,45
2020-08-22,117,47
2020-08-23,113,51
2020-08-24,114,50
2020-08-25,110,54
2020-08-26,115,49
2020-08-27,119,45
2020-08-28,111,53
2020-08-29,109,55
2020-08-30,107,57
2020-08-31,105,59
2020-09-01,112,52
2020-09-02,108,56
2020-09-03,117,47
2020-09-04,122,42
2020-09-05,124,40
2020-09-06,105,59
2020-09-07,112,52
