date,betten_belegt,betten_frei
2020-04-24,15,13
2020-04-24,124,47
2020-04-25,17,16
2020-04-25,122,50
2020-04-26,18,11
2020-04-26,119,51
2020-04-27,122,45
2020-04-27,18,11
2020-04-28,17,12
2020-04-28,119,49
2020-04-29,14,15
2020-04-29,111,64
2020-04-30,14,15
2020-04-30,115,56
2020-05-01,15,14
2020-05-01,133,44
2020-05-02,14,15
2020-05-02,129,52
2020-05-03,129,52
2020-05-03,15,14
2020-05-04,14,15
2020-05-04,130,51
2020-05-05,16,14
2020-05-05,125,57
2020-05-06,14,16
2020-05-06,127,59
2020-05-07,14,16
2020-05-07,132,57
2020-05-08,134,45
2020-05-08,15,15
2020-05-09,15,15
2020-05-09,133,47
2020-05-10,17,13
2020-05-10,130,50
2020-05-11,17,13
2020-05-11,122,46
2020-05-12,17,13
2020-05-12,132,48
2020-05-13,16,14
2020-05-13,131,50
2020-05-14,129,51
2020-05-14,16,14
2020-05-15,17,13
2020-05-15,134,46
2020-05-16,21,14
2020-05-16,137,43
2020-05-17,136,44
2020-05-17,20,15
2020-05-18,20,15
2020-05-18,139,41
2020-05-19,20,15
2020-05-19,137,44
2020-05-20,18,17
2020-05-20,142,39
2020-05-21,18,13
2020-05-21,139,41
2020-05-22,18,17
2020-05-22,140,40
2020-05-23,16,15
2020-05-23,140,40
2020-05-24,16,15
2020-05-24,139,41
2020-05-25,16,19
2020-05-25,140,40
2020-05-26,137,47
2020-05-26,18,17
2020-05-27,17,18
2020-05-27,137,47
2020-05-28,18,17
2020-05-28,144,40
2020-05-29,17,18
2020-05-29,142,42
2020-05-30,18,17
2020-05-30,142,38
2020-05-31,18,17
2020-05-31,135,45
2020-06-01,16,19
2020-06-01,140,40
2020-06-02,17,18
2020-06-02,142,38
2020-06-03,16,19
2020-06-03,142,42
2020-06-04,19,16
2020-06-04,143,41
2020-06-05,20,15
2020-06-05,144,40
2020-06-06,22,15
2020-06-06,141,39
2020-06-07,25,12
2020-06-07,140,40
2020-06-08,23,14
2020-06-08,139,41
2020-06-09,143,41
2020-06-09,22,17
2020-06-10,143,41
2020-06-10,22,17
2020-06-11,23,16
2020-06-11,146,38
2020-06-12,23,16
2020-06-12,139,40
2020-06-13,20,21
2020-06-13,133,46
2020-06-14,20,19
2020-06-14,128,51
2020-06-15,17,18
2020-06-15,140,43
2020-06-16,143,40
2020-06-16,22,15
2020-06-17,21,14
2020-06-17,136,47
2020-06-18,21,14
2020-06-18,139,44
2020-06-19,22,13
2020-06-19,133,50
2020-06-20,20,15
2020-06-20,135,44
2020-06-21,21,14
2020-06-21,133,46
2020-06-22,21,14
2020-06-22,133,50
2020-06-23,21,14
2020-06-23,136,47
2020-06-24,19,16
2020-06-24,136,47
2020-06-25,20,15
2020-06-25,137,46
2020-06-26,24,11
2020-06-26,134,49
2020-06-27,21,14
2020-06-27,132,41
2020-06-28,21,10
2020-06-28,131,40
2020-06-29,21,14
2020-06-29,132,43
2020-06-30,21,14
2020-06-30,132,45
2020-07-01,24,11
2020-07-01,129,50
2020-07-02,23,11
2020-07-02,132,47
2020-07-03,26,9
2020-07-03,132,46
2020-07-04,28,7
2020-07-04,131,45
2020-07-05,131,45
2020-07-05,28,7
2020-07-06,27,8
2020-07-06,136,43
2020-07-07,26,9
2020-07-07,135,44
2020-07-08,27,8
2020-07-08,136,43
2020-07-09,27,8
2020-07-09,136,45
2020-07-10,135,43
2020-07-10,26,9
2020-07-11,24,11
2020-07-11,136,43
2020-07-12,25,10
2020-07-12,130,46
2020-07-13,24,11
2020-07-13,131,48
2020-07-14,25,8
2020-07-14,137,42
2020-07-15,22,11
2020-07-15,134,42
2020-07-16,129,47
2020-07-16,23,11
2020-07-17,24,9
2020-07-17,136,40
2020-07-18,28,7
2020-07-18,128,45
2020-07-19,27,8
2020-07-19,129,44
2020-07-20,27,8
2020-07-20,134,43
2020-07-21,26,10
2020-07-21,136,43
2020-07-22,23,13
2020-07-22,135,46
2020-07-23,23,14
2020-07-23,134,50
2020-07-24,23,13
2020-07-24,138,46
2020-07-25,24,12
2020-07-25,133,46
2020-07-26,22,14
2020-07-26,132,47
2020-07-27,131,53
2020-07-27,21,15
2020-07-28,22,13
2020-07-28,136,48
2020-07-29,19,16
2020-07-29,143,41
2020-07-30,136,48
2020-07-30,19,16
2020-07-31,17,18
2020-07-31,141,43
2020-08-01,19,16
2020-08-01,136,48
2020-08-02,132,48
2020-08-02,19,16
2020-08-03,18,17
2020-08-03,135,49
2020-08-04,24,15
2020-08-04,162,43
2020-08-05,26,13
2020-08-05,163,42
2020-08-06,28,11
2020-08-06,160,45
2020-08-07,157,48
2020-08-07,25,14
2020-08-08,25,10
2020-08-08,157,48
2020-08-09,22,12
2020-08-09,161,44
2020-08-10,24,10
2020-08-10,158,47
2020-08-11,24,10
2020-08-11,156,45
2020-08-12,155,46
2020-08-12,19,15
2020-08-13,21,13
2020-08-13,153,48
2020-08-14,22,12
2020-08-14,154,47
2020-08-15,19,15
2020-08-15,151,50
2020-08-16,18,14
2020-08-16,154,47
