date,betten_belegt,betten_frei
2020-04-24,19,11
2020-04-25,15,15
2020-04-26,15,15
2020-04-27,15,15
2020-04-28,15,15
2020-04-29,20,10
2020-04-30,20,10
2020-05-01,10,20
2020-05-02,10,20
2020-05-03,14,16
2020-05-04,17,13
2020-05-05,20,10
2020-05-06,15,15
2020-05-07,18,12
2020-05-08,17,13
2020-05-09,19,11
2020-05-10,19,11
2020-05-11,16,14
2020-05-12,16,14
2020-05-13,17,3
2020-05-14,22,8
2020-05-15,22,8
2020-05-16,17,13
2020-05-17,15,15
2020-05-18,13,17
2020-05-19,20,10
2020-05-20,21,9
2020-05-21,24,6
2020-05-22,21,9
2020-05-23,20,10
2020-05-24,16,14
2020-05-25,18,12
2020-05-26,18,12
2020-05-27,16,14
2020-05-28,20,10
2020-05-29,30,0
2020-05-30,18,12
2020-05-31,15,15
2020-06-01,15,15
2020-06-02,11,19
2020-06-03,11,19
2020-06-04,11,19
2020-06-05,18,12
2020-06-06,17,13
2020-06-07,13,17
2020-06-08,9,21
2020-06-09,7,23
2020-06-10,9,21
2020-06-11,19,11
2020-06-12,13,17
2020-06-13,17,13
2020-06-14,17,13
2020-06-15,15,15
2020-06-16,12,15
2020-06-17,16,14
2020-06-18,16,14
2020-06-19,23,7
2020-06-20,14,16
2020-06-21,14,16
2020-06-22,8,12
2020-06-23,12,8
2020-06-24,10,10
2020-06-25,10,10
2020-06-26,14,6
2020-06-27,13,7
2020-06-28,14,6
2020-06-29,14,6
2020-06-30,14,6
2020-07-01,23,7
2020-07-02,25,5
2020-07-03,22,8
2020-07-04,18,12
2020-07-05,18,12
2020-07-06,19,11
2020-07-07,19,11
2020-07-08,17,13
2020-07-09,17,13
2020-07-10,17,13
2020-07-11,19,11
2020-07-12,19,11
2020-07-13,19,11
2020-07-14,19,11
2020-07-15,20,10
2020-07-16,19,11
2020-07-17,19,11
2020-07-18,20,10
2020-07-19,23,7
2020-07-20,26,4
2020-07-21,27,3
2020-07-22,25,5
2020-07-23,22,8
2020-07-24,21,9
2020-07-25,22,9
2020-07-26,12,18
2020-07-27,12,18
2020-07-28,15,5
2020-07-29,15,5
2020-07-30,11,9
2020-07-31,14,6
2020-08-01,11,9
2020-08-02,11,9
2020-08-03,20,10
2020-08-04,21,9
2020-08-05,26,4
2020-08-06,17,13
2020-08-07,17,13
2020-08-08,13,17
2020-08-09,13,17
2020-08-10,17,13
2020-08-11,21,9
2020-08-12,14,16
2020-08-13,17,13
2020-08-14,18,12
2020-08-15,20,10
2020-08-16,20,10
2020-08-17,20,10
2020-08-18,19,11
2020-08-19,18,12
2020-08-20,17,13
2020-08-21,23,7
2020-08-22,19,11
2020-08-23,14,16
2020-08-24,18,12
2020-08-25,18,12
2020-08-26,22,8
2020-08-27,26,4
2020-08-28,20,10
2020-08-29,26,4
2020-08-30,21,9
2020-08-31,24,6
2020-09-01,24,6
2020-09-02,21,9
2020-09-03,25,5
2020-09-04,22,8
2020-09-05,18,12
2020-09-06,20,10
2020-09-07,17,13
2020-09-08,21,9
2020-09-09,25,5
2020-09-10,23,7
2020-09-11,23,7
2020-09-12,20,10
2020-09-13,21,9
2020-09-14,18,12
2020-09-15,23,7
2020-09-16,26,4
2020-09-17,21,9
2020-09-18,22,8
2020-09-19,26,4
2020-09-20,27,3
2020-09-21,25,5
2020-09-22,25,5
2020-09-23,27,3
2020-09-24,25,5
2020-09-25,24,6
2020-09-26,25,5
2020-09-27,20,10
2020-09-28,21,9
2020-09-29,26,4
