date,betten_belegt,betten_frei
2020-04-24,9,17
2020-04-25,11,15
2020-04-26,10,16
2020-04-27,10,16
2020-04-28,10,16
2020-04-29,9,17
2020-04-30,9,17
2020-05-01,9,17
2020-05-02,10,16
2020-05-03,10,16
2020-05-04,8,18
2020-05-05,9,17
2020-05-06,7,17
2020-05-07,11,15
2020-05-08,9,17
2020-05-09,12,16
2020-05-10,11,17
2020-05-11,9,17
2020-05-12,10,22
2020-05-13,12,20
2020-05-14,9,23
2020-05-15,9,23
2020-05-16,7,25
2020-05-17,10,22
2020-05-18,11,21
2020-05-19,8,24
2020-05-20,7,25
2020-05-21,7,25
2020-05-22,7,25
2020-05-23,10,23
2020-05-24,11,22
2020-05-25,8,24
2020-05-26,9,23
2020-05-27,6,26
2020-05-28,6,26
2020-05-29,7,25
2020-05-30,9,23
2020-05-31,11,21
2020-06-01,10,22
2020-06-02,11,21
2020-06-03,9,23
2020-06-04,9,23
2020-06-05,8,24
2020-06-06,11,21
2020-06-07,12,20
2020-06-08,10,22
2020-06-09,10,22
2020-06-10,10,22
2020-06-11,8,24
2020-06-12,7,25
2020-06-13,8,24
2020-06-14,8,24
2020-06-15,9,23
2020-06-16,11,21
2020-06-17,10,22
2020-06-18,10,22
2020-06-19,10,22
2020-06-20,9,23
2020-06-21,11,21
2020-06-22,12,20
2020-06-23,8,24
2020-06-24,8,24
2020-06-25,9,23
2020-06-26,10,22
2020-06-27,9,23
2020-06-28,10,22
2020-06-29,11,25
2020-06-30,11,25
2020-07-01,13,23
2020-07-02,11,23
2020-07-03,14,20
2020-07-04,14,20
2020-07-05,13,21
2020-07-06,10,24
2020-07-07,9,25
2020-07-08,11,23
2020-07-09,13,21
2020-07-10,11,23
2020-07-11,12,22
2020-07-12,12,22
2020-07-13,11,23
2020-07-14,10,24
2020-07-15,13,21
2020-07-16,9,25
2020-07-17,14,20
2020-07-18,9,25
2020-07-19,11,23
2020-07-20,8,26
2020-07-21,9,25
2020-07-22,10,24
2020-07-23,11,23
2020-07-24,7,27
2020-07-25,8,26
2020-07-26,9,25
2020-07-27,9,25
2020-07-28,6,28
2020-07-29,9,25
2020-07-30,12,22
2020-07-31,8,26
2020-08-01,10,24
2020-08-02,10,24
2020-08-03,9,25
2020-08-04,8,26
2020-08-05,11,23
2020-08-06,7,21
2020-08-07,9,19
2020-08-08,12,16
2020-08-09,11,17
2020-08-10,9,19
2020-08-11,11,17
2020-08-12,12,16
2020-08-13,13,15
2020-08-14,10,4
2020-08-15,9,5
2020-08-16,11,3
2020-08-17,10,4
2020-08-18,9,19
2020-08-19,11,17
2020-08-20,8,20
2020-08-21,10,18
2020-08-22,12,16
2020-08-23,11,17
2020-08-24,11,17
2020-08-25,10,18
2020-08-26,10,18
2020-08-27,10,18
2020-08-28,11,17
2020-08-29,12,16
2020-08-30,15,13
2020-08-31,9,19
2020-09-01,4,20
2020-09-02,8,16
2020-09-03,8,16
2020-09-04,8,16
2020-09-05,8,16
