date,betten_belegt,betten_frei
2020-04-24,22,2
2020-04-25,24,0
2020-04-26,25,0
2020-04-27,24,0
2020-04-28,24,0
2020-04-29,21,3
2020-04-30,24,3
2020-05-01,24,3
2020-05-02,19,5
2020-05-03,20,4
2020-05-04,28,3
2020-05-05,26,5
2020-05-06,30,1
2020-05-07,31,0
2020-05-08,28,3
2020-05-09,27,4
2020-05-10,26,5
2020-05-11,30,1
2020-05-12,30,1
2020-05-13,28,3
2020-05-14,25,6
2020-05-15,28,3
2020-05-16,28,3
2020-05-17,27,4
2020-05-18,30,1
2020-05-19,30,1
2020-05-20,26,5
2020-05-21,29,2
2020-05-22,24,7
2020-05-23,25,6
2020-05-24,27,4
2020-05-25,24,7
2020-05-26,28,3
2020-05-27,28,3
2020-05-28,26,5
2020-05-29,25,6
2020-05-30,26,5
2020-05-31,25,6
2020-06-01,24,7
2020-06-02,24,7
2020-06-03,21,10
2020-06-04,24,7
2020-06-05,24,7
2020-06-06,25,6
2020-06-07,21,10
2020-06-08,25,6
2020-06-09,28,3
2020-06-10,27,4
2020-06-11,24,7
2020-06-12,27,4
2020-06-13,28,3
2020-06-14,25,6
2020-06-15,18,13
2020-06-16,20,11
2020-06-17,27,4
2020-06-18,27,4
2020-06-19,15,16
2020-06-20,23,8
2020-06-21,20,11
2020-06-22,20,11
2020-06-23,27,4
2020-06-24,27,4
2020-06-25,24,7
2020-06-26,22,9
2020-06-27,22,9
2020-06-28,24,7
2020-06-29,22,6
2020-06-30,21,6
2020-07-01,26,2
2020-07-02,28,1
2020-07-03,28,1
2020-07-04,24,5
2020-07-05,24,5
2020-07-06,23,7
2020-07-07,28,5
2020-07-08,26,3
2020-07-09,26,3
2020-07-10,23,6
2020-07-11,25,4
2020-07-12,26,3
2020-07-13,29,0
2020-07-14,28,1
2020-07-15,25,4
2020-07-16,28,1
2020-07-17,25,4
2020-07-18,26,3
2020-07-19,26,3
2020-07-20,28,1
2020-07-21,28,1
2020-07-22,28,1
2020-07-23,31,5
2020-07-24,30,6
2020-07-25,30,6
2020-07-26,30,6
2020-07-27,30,5
2020-07-28,33,3
2020-07-29,32,5
2020-07-30,28,8
2020-07-31,34,2
2020-08-01,30,6
2020-08-02,32,4
2020-08-03,32,4
2020-08-04,30,6
2020-08-05,27,7
2020-08-06,30,4
2020-08-07,30,4
2020-08-08,30,4
2020-08-09,30,4
2020-08-10,30,4
2020-08-11,25,9
2020-08-12,24,10
2020-08-13,28,6
2020-08-14,28,6
2020-08-15,28,14
2020-08-16,25,17
2020-08-17,30,12
2020-08-18,33,9
2020-08-19,35,7
2020-08-20,33,9
2020-08-21,31,11
2020-08-22,32,10
2020-08-23,33,9
2020-08-24,32,12
2020-08-25,34,10
2020-08-26,28,16
2020-08-27,29,15
2020-08-28,32,12
2020-08-29,31,13
2020-08-30,31,13
2020-08-31,35,9
2020-09-01,34,10
2020-09-02,34,10
2020-09-03,35,9
2020-09-04,35,9
2020-09-05,36,8
2020-09-06,36,8
2020-09-07,35,9
2020-09-08,33,11
2020-09-09,31,13
2020-09-10,33,11
2020-09-11,44,0
2020-09-12,43,1
2020-09-13,38,6
2020-09-14,40,4
2020-09-15,39,5
2020-09-16,40,4
2020-09-17,44,0
2020-09-18,39,5
2020-09-19,37,7
2020-09-20,37,7
2020-09-21,40,4
2020-09-22,36,8
2020-09-23,40,4
2020-09-24,35,9
2020-09-25,34,10
2020-09-26,34,10
2020-09-27,34,10
2020-09-28,35,9
2020-09-29,36,8
2020-09-30,37,7
2020-10-01,41,3
2020-10-02,42,2
2020-10-03,43,1
2020-10-04,43,1
2020-10-05,41,3
2020-10-06,37,7
2020-10-07,37,7
2020-10-08,41,3
2020-10-09,43,1
2020-10-10,38,6
2020-10-11,41,3
2020-10-12,38,6
2020-10-13,42,2
2020-10-14,41,3
2020-10-15,32,12
2020-10-16,35,9
2020-10-17,32,12
2020-10-18,32,14
2020-10-19,35,9
2020-10-20,32,12
2020-10-21,38,6
2020-10-22,35,9
2020-10-23,31,13
2020-10-24,32,12
2020-10-25,30,14
2020-10-26,33,11
2020-10-27,35,9
2020-10-28,33,11
2020-10-29,31,13
2020-10-30,34,10
2020-10-31,34,10
2020-11-01,37,7
2020-11-02,39,5
2020-11-03,40,4
2020-11-04,36,8
2020-11-05,36,8
2020-11-06,36,8
2020-11-07,37,7
2020-11-08,33,11
2020-11-09,31,13
2020-11-10,32,12
2020-11-11,29,15
2020-11-12,33,11
2020-11-13,29,15
2020-11-14,31,13
2020-11-15,34,10
2020-11-16,37,7
2020-11-17,36,8
2020-11-18,36,8
2020-11-19,35,9
2020-11-20,35,9
2020-11-21,29,15
2020-11-22,29,15
2020-11-23,33,11
2020-11-24,39,5
2020-11-25,33,11
2020-11-26,37,7
2020-11-27,39,5
2020-11-28,36,8
2020-11-29,36,8
2020-11-30,39,5
2020-12-01,38,6
2020-12-02,35,9
2020-12-03,35,9
2020-12-04,37,7
2020-12-05,37,7
2020-12-06,36,8
2020-12-07,38,6
2020-12-08,39,5
2020-12-09,39,5
2020-12-10,40,5
2020-12-11,40,5
2020-12-12,40,5
2020-12-13,40,4
2020-12-14,40,4
2020-12-15,41,3
2020-12-16,40,4
2020-12-17,39,5
2020-12-18,39,5
2020-12-19,36,8
2020-12-20,37,7
2020-12-21,40,4
2020-12-22,41,3
2020-12-23,41,3
2020-12-24,41,3
2020-12-25,38,6
2020-12-26,41,3
2020-12-27,43,1
2020-12-28,43,1
2020-12-29,41,3
2020-12-30,41,3
2020-12-31,41,3
2021-01-01,39,5
2021-01-02,40,2
2021-01-03,39,3
2021-01-04,41,3
2021-01-05,42,0
2021-01-06,44,0
2021-01-07,37,7
2021-01-08,37,7
2021-01-09,38,6
2021-01-10,43,0
2021-01-11,42,1
2021-01-12,41,3
2021-01-13,40,4
2021-01-14,39,5
2021-01-15,43,3
2021-01-16,43,3
2021-01-17,41,3
2021-01-18,41,3
2021-01-19,43,1
2021-01-20,41,3
2021-01-21,43,1
2021-01-22,44,0
2021-01-23,42,2
2021-01-24,41,3
2021-01-25,39,5
2021-01-26,35,9
2021-01-27,37,7
2021-01-28,38,6
2021-01-29,39,5
