date,betten_belegt,betten_frei
2020-04-24,108,93
2020-04-25,113,93
2020-04-26,109,97
2020-04-27,113,94
2020-04-28,111,96
2020-04-29,116,109
2020-04-30,114,111
2020-05-01,112,116
2020-05-02,113,114
2020-05-03,117,111
2020-05-04,115,118
2020-05-05,122,111
2020-05-06,123,110
2020-05-07,118,115
2020-05-08,124,109
2020-05-09,122,111
2020-05-10,116,117
2020-05-11,118,115
2020-05-12,118,115
2020-05-13,112,121
2020-05-14,119,114
2020-05-15,123,110
2020-05-16,117,116
2020-05-17,108,125
2020-05-18,113,120
2020-05-19,110,121
2020-05-20,118,113
2020-05-21,126,105
2020-05-22,122,111
2020-05-23,124,109
2020-05-24,118,110
2020-05-25,119,115
2020-05-26,121,130
2020-05-27,127,125
2020-05-28,120,132
2020-05-29,117,135
2020-05-30,121,130
2020-05-31,118,131
2020-06-01,117,132
2020-06-02,110,139
2020-06-03,119,130
2020-06-04,118,131
2020-06-05,122,127
2020-06-06,121,128
2020-06-07,119,130
2020-06-08,113,136
2020-06-09,113,131
2020-06-10,116,133
2020-06-11,121,128
2020-06-12,117,132
2020-06-13,121,128
2020-06-14,117,132
2020-06-15,112,137
2020-06-16,112,137
2020-06-17,121,128
2020-06-18,116,133
2020-06-19,116,133
2020-06-20,112,137
2020-06-21,106,143
2020-06-22,108,141
2020-06-23,126,123
2020-06-24,119,130
2020-06-25,115,134
2020-06-26,116,133
2020-06-27,120,129
2020-06-28,121,128
2020-06-29,120,129
2020-06-30,124,125
2020-07-01,130,119
2020-07-02,119,130
2020-07-03,26,20
2020-07-04,119,129
2020-07-05,112,137
2020-07-06,112,137
2020-07-07,116,133
2020-07-08,116,133
2020-07-09,122,127
2020-07-10,121,128
2020-07-11,115,134
2020-07-12,110,139
2020-07-13,109,140
2020-07-14,109,140
2020-07-15,112,137
2020-07-16,119,130
2020-07-17,118,131
2020-07-18,114,135
2020-07-19,111,138
2020-07-20,111,138
2020-07-21,111,138
2020-07-22,107,142
2020-07-23,111,138
2020-07-24,111,138
2020-07-25,108,141
2020-07-26,100,149
2020-07-27,100,148
2020-07-28,103,146
2020-07-29,111,138
2020-07-30,107,142
2020-07-31,111,138
2020-08-01,115,134
2020-08-02,112,137
2020-08-03,118,101
2020-08-04,117,109
2020-08-05,108,118
2020-08-06,110,116
2020-08-07,112,117
2020-08-08,117,112
2020-08-09,111,118
2020-08-10,115,114
2020-08-11,119,110
2020-08-12,110,119
2020-08-13,114,115
2020-08-14,113,116
2020-08-15,120,109
2020-08-16,113,116
2020-08-17,116,113
2020-08-18,120,109
2020-08-19,118,111
2020-08-20,115,114
2020-08-21,105,123
2020-08-22,101,124
2020-08-23,106,123
2020-08-24,105,124
2020-08-25,112,117
2020-08-26,118,111
2020-08-27,117,112
2020-08-28,115,114
2020-08-29,112,117
2020-08-30,110,119
2020-08-31,112,117
2020-09-01,113,116
2020-09-02,110,119
2020-09-03,112,117
2020-09-04,117,112
2020-09-05,117,110
2020-09-06,112,115
2020-09-07,120,109
2020-09-08,117,112
2020-09-09,127,102
2020-09-10,121,108
2020-09-11,125,104
2020-09-12,123,106
2020-09-13,122,107
2020-09-14,117,112
2020-09-15,118,111
2020-09-16,121,108
2020-09-17,124,105
2020-09-18,124,105
2020-09-19,116,113
2020-09-20,114,115
2020-09-21,116,110
2020-09-22,120,106
2020-09-23,119,110
2020-09-24,126,102
2020-09-25,124,105
2020-09-26,121,108
2020-09-27,123,104
2020-09-28,114,115
2020-09-29,113,116
2020-09-30,112,117
2020-10-01,111,118
2020-10-02,103,124
2020-10-03,102,125
2020-10-04,96,131
2020-10-05,104,125
2020-10-06,108,121
2020-10-07,109,120
2020-10-08,107,122
2020-10-09,114,115
2020-10-10,114,115
2020-10-11,111,118
2020-10-12,112,117
2020-10-13,106,123
2020-10-14,117,112
2020-10-15,108,121
2020-10-16,108,121
2020-10-17,100,129
2020-10-18,102,127
2020-10-19,102,127
2020-10-20,108,121
2020-10-21,119,110
2020-10-22,118,111
2020-10-23,118,111
2020-10-24,112,117
2020-10-25,110,117
2020-10-26,110,119
2020-10-27,107,122
2020-10-28,118,111
2020-10-29,114,115
2020-10-30,104,125
2020-10-31,107,122
2020-11-01,103,126
2020-11-02,103,63
2020-11-03,107,59
2020-11-04,102,64
2020-11-05,112,54
2020-11-06,109,57
2020-11-07,108,58
2020-11-08,98,68
2020-11-09,105,61
2020-11-10,108,58
2020-11-11,122,41
2020-11-12,113,53
2020-11-13,121,42
2020-11-14,118,47
2020-11-15,115,50
2020-11-16,116,49
2020-11-17,112,54
2020-11-18,112,54
2020-11-19,109,57
2020-11-20,114,52
2020-11-21,113,53
2020-11-22,106,60
2020-11-23,113,51
2020-11-24,110,56
2020-11-25,111,55
2020-11-26,103,63
2020-11-27,116,50
2020-11-28,117,47
2020-11-29,109,55
2020-11-30,115,51
2020-12-01,114,52
2020-12-02,115,49
2020-12-03,115,51
2020-12-04,128,38
2020-12-05,119,46
2020-12-06,113,51
2020-12-07,112,52
2020-12-08,112,54
2020-12-09,112,54
2020-12-10,117,47
2020-12-11,116,48
2020-12-12,111,53
2020-12-13,111,53
2020-12-14,115,51
2020-12-15,113,53
2020-12-16,115,51
2020-12-17,121,45
2020-12-18,120,46
2020-12-19,123,43
2020-12-20,120,46
2020-12-21,120,44
2020-12-22,118,46
2020-12-23,113,51
2020-12-24,113,51
2020-12-25,111,53
2020-12-26,109,55
2020-12-27,115,49
2020-12-28,114,50
2020-12-29,116,48
2020-12-30,112,52
2020-12-31,113,51
2021-01-01,109,55
2021-01-02,107,57
2021-01-03,113,51
2021-01-04,105,59
2021-01-05,106,58
2021-01-06,109,55
2021-01-07,116,48
2021-01-08,112,52
2021-01-09,120,44
2021-01-10,111,53
2021-01-11,111,53
2021-01-12,110,56
2021-01-13,112,52
2021-01-14,113,51
2021-01-15,116,48
2021-01-16,117,47
2021-01-17,112,52
2021-01-18,114,50
2021-01-19,115,49
2021-01-20,112,52
2021-01-21,115,49
2021-01-22,109,42
2021-01-23,115,39
2021-01-24,112,46
2021-01-25,110,56
2021-01-26,110,56
2021-01-27,115,51
2021-01-28,117,49
2021-01-29,126,38
2021-01-30,121,43
2021-01-31,119,45
2021-02-01,121,43
2021-02-02,117,47
2021-02-03,119,45
2021-02-04,117,47
2021-02-05,124,42
2021-02-06,126,40
2021-02-07,119,47
2021-02-08,121,45
2021-02-09,122,44
2021-02-10,121,45
2021-02-11,123,43
2021-02-12,119,45
2021-02-13,115,49
2021-02-14,124,40
2021-02-15,113,53
2021-02-16,120,44
2021-02-17,126,38
2021-02-18,133,31
2021-02-19,127,37
2021-02-20,122,44
2021-02-21,120,46
2021-02-22,122,44
2021-02-23,124,42
2021-02-24,129,37
2021-02-25,125,41
2021-02-26,127,37
2021-02-27,126,38
2021-02-28,123,41
2021-03-01,122,42
2021-03-02,112,52
2021-03-03,119,45
2021-03-04,119,47
2021-03-05,112,54
2021-03-06,109,57
2021-03-07,112,52
2021-03-08,116,48
2021-03-09,119,45
2021-03-10,124,40
2021-03-11,122,42
2021-03-12,123,41
2021-03-13,120,44
2021-03-14,109,55
2021-03-15,110,54
2021-03-16,110,54
2021-03-17,113,51
2021-03-18,111,53
2021-03-19,121,43
2021-03-20,111,53
2021-03-21,110,54
2021-03-22,111,53
2021-03-23,120,46
2021-03-24,123,43
2021-03-25,119,47
2021-03-26,115,51
2021-03-27,119,47
2021-03-28,113,53
2021-03-29,111,55
2021-03-30,117,49
2021-03-31,118,48
2021-04-01,116,50
2021-04-02,105,59
2021-04-03,102,62
2021-04-04,106,58
2021-04-05,112,52
2021-04-06,112,52
2021-04-07,108,58
2021-04-08,117,49
2021-04-09,116,50
2021-04-10,108,58
2021-04-11,104,60
2021-04-12,104,60
2021-04-13,110,54
2021-04-14,115,49
2021-04-15,117,47
2021-04-16,113,51
2021-04-17,111,55
2021-04-18,116,50
2021-04-19,113,53
2021-04-20,121,45
2021-04-21,123,43
2021-04-22,120,46
2021-04-23,119,47
2021-04-24,113,53
2021-04-25,111,55
2021-04-26,114,52
2021-04-27,116,50
2021-04-28,116,50
2021-04-29,115,51
