date,betten_belegt,betten_frei
2020-04-24,6,6
2020-04-25,5,7
2020-04-26,5,7
2020-04-27,4,8
2020-04-28,5,7
2020-04-29,6,6
2020-04-30,4,8
2020-05-01,4,8
2020-05-02,6,7
2020-05-03,6,7
2020-05-04,6,6
2020-05-05,8,5
2020-05-06,9,4
2020-05-07,6,6
2020-05-08,6,6
2020-05-09,6,6
2020-05-10,7,5
2020-05-11,9,3
2020-05-12,9,3
2020-05-13,9,4
2020-05-14,8,5
2020-05-15,9,4
2020-05-16,9,4
2020-05-17,8,4
2020-05-18,7,6
2020-05-19,7,5
2020-05-20,6,5
2020-05-21,7,4
2020-05-22,8,4
2020-05-23,7,4
2020-05-24,8,5
2020-05-25,7,5
2020-05-26,7,3
2020-05-27,7,4
2020-05-28,8,3
2020-05-29,8,3
2020-05-30,9,3
2020-05-31,8,3
2020-06-01,8,3
2020-06-02,7,3
2020-06-03,7,2
2020-06-04,6,3
2020-06-05,10,0
2020-06-06,10,0
2020-06-07,10,0
2020-06-08,9,4
2020-06-09,5,7
2020-06-10,5,7
2020-06-11,5,7
2020-06-12,2,10
2020-06-13,5,7
2020-06-14,5,7
2020-06-15,6,8
2020-06-16,3,8
2020-06-17,8,5
2020-06-18,5,6
2020-06-19,4,6
2020-06-20,4,6
2020-06-21,7,4
2020-06-22,7,7
2020-06-23,5,10
2020-06-24,5,10
2020-06-25,8,7
2020-06-26,7,5
2020-06-27,5,8
2020-06-28,4,10
2020-06-29,5,9
2020-06-30,8,6
2020-07-01,7,5
2020-07-02,8,4
2020-07-03,6,6
2020-07-04,6,6
2020-07-05,6,6
2020-07-06,2,12
2020-07-07,3,11
2020-07-08,7,6
2020-07-09,9,4
2020-07-10,9,5
2020-07-11,9,5
2020-07-12,9,5
2020-07-13,2,12
2020-07-14,4,10
2020-07-15,4,10
2020-07-16,4,10
2020-07-17,9,4
2020-07-18,4,7
2020-07-19,6,6
2020-07-20,8,4
2020-07-21,8,4
2020-07-22,7,4
2020-07-23,10,2
2020-07-24,8,2
2020-07-25,5,9
2020-07-26,8,5
2020-07-27,7,6
2020-07-28,8,5
2020-07-29,6,5
2020-07-30,7,4
2020-07-31,7,4
2020-08-01,7,7
2020-08-02,7,7
2020-08-03,7,7
2020-08-04,5,3
2020-08-05,5,4
2020-08-06,9,0
2020-08-07,6,4
2020-08-08,8,0
2020-08-09,8,0
2020-08-10,8,0
2020-08-11,9,0
2020-08-12,9,0
2020-08-13,6,2
2020-08-14,7,1
2020-08-15,8,0
2020-08-16,8,0
2020-08-17,5,3
2020-08-18,6,2
2020-08-19,9,1
2020-08-20,8,2
2020-08-21,8,2
2020-08-22,5,2
2020-08-23,5,2
2020-08-24,8,1
2020-08-25,9,0
2020-08-26,8,2
2020-08-27,5,3
2020-08-28,4,6
2020-08-29,4,6
2020-08-30,4,6
2020-08-31,7,3
2020-09-01,9,1
2020-09-02,10,0
2020-09-03,9,1
2020-09-04,10,0
2020-09-05,7,1
2020-09-06,6,1
2020-09-07,3,4
2020-09-08,3,4
2020-09-09,3,4
2020-09-10,6,2
2020-09-11,8,1
2020-09-12,6,2
2020-09-13,7,1
2020-09-14,7,1
2020-09-15,7,1
2020-09-16,8,1
2020-09-17,8,1
2020-09-18,8,1
2020-09-19,8,1
2020-09-20,8,1
2020-09-21,8,1
2020-09-22,10,0
2020-09-23,9,1
2020-09-24,7,3
2020-09-25,10,0
2020-09-26,10,0
