date,betten_belegt,betten_frei
2020-04-24,67,45
2020-04-25,70,42
2020-04-26,72,36
2020-04-27,68,34
2020-04-28,61,40
2020-04-29,67,38
2020-04-30,72,33
2020-05-01,75,30
2020-05-02,64,41
2020-05-03,64,41
2020-05-04,60,44
2020-05-05,64,40
2020-05-06,66,38
2020-05-07,59,44
2020-05-08,64,39
2020-05-09,58,45
2020-05-10,59,38
2020-05-11,59,38
2020-05-12,63,40
2020-05-13,50,50
2020-05-14,50,51
2020-05-15,58,43
2020-05-16,56,45
2020-05-17,54,46
2020-05-18,53,48
2020-05-19,60,41
2020-05-20,62,39
2020-05-21,53,48
2020-05-22,50,51
2020-05-23,60,46
2020-05-24,54,42
2020-05-25,56,50
2020-05-26,59,49
2020-05-27,59,47
2020-05-28,68,40
2020-05-29,71,37
2020-05-30,69,39
2020-05-31,63,44
2020-06-01,60,47
2020-06-02,59,47
2020-06-03,66,41
2020-06-04,66,41
2020-06-05,63,46
2020-06-06,61,46
2020-06-07,58,49
2020-06-08,54,53
2020-06-09,62,48
2020-06-10,65,42
2020-06-11,66,41
2020-06-12,63,44
2020-06-13,65,42
2020-06-14,65,43
2020-06-15,63,44
2020-06-16,69,38
2020-06-17,71,36
2020-06-18,73,33
2020-06-19,72,35
2020-06-20,63,40
2020-06-21,65,42
2020-06-22,62,45
2020-06-23,71,36
2020-06-24,70,37
2020-06-25,63,44
2020-06-26,57,50
2020-06-27,59,53
2020-06-28,51,59
2020-06-29,51,58
2020-06-30,64,47
2020-07-01,74,44
2020-07-02,82,48
2020-07-03,86,44
2020-07-04,78,46
2020-07-05,69,55
2020-07-06,67,59
2020-07-07,75,49
2020-07-08,71,52
2020-07-09,74,54
2020-07-10,77,50
2020-07-11,78,50
2020-07-12,68,60
2020-07-13,66,60
2020-07-14,88,42
2020-07-15,83,45
2020-07-16,87,39
2020-07-17,81,47
2020-07-18,73,56
2020-07-19,81,46
2020-07-20,86,44
2020-07-21,87,43
2020-07-22,91,37
2020-07-23,90,38
2020-07-24,87,41
2020-07-25,73,51
2020-07-26,78,49
2020-07-27,75,54
2020-07-28,68,48
2020-07-29,80,53
2020-07-30,93,46
2020-07-31,85,52
2020-08-01,86,51
2020-08-02,79,58
2020-08-03,85,50
2020-08-04,87,51
2020-08-05,84,54
2020-08-06,81,57
2020-08-07,77,61
2020-08-08,74,64
2020-08-09,78,60
2020-08-10,79,59
2020-08-11,78,60
2020-08-12,83,55
2020-08-13,81,57
2020-08-14,79,59
2020-08-15,82,56
2020-08-16,70,68
2020-08-17,76,62
2020-08-18,74,64
2020-08-19,70,68
2020-08-20,76,62
2020-08-21,87,51
2020-08-22,87,51
2020-08-23,86,52
