date,betten_belegt,betten_frei
2020-04-24,72,25
2020-04-25,69,18
2020-04-26,67,20
2020-04-27,71,17
2020-04-28,70,20
2020-04-29,69,21
2020-04-30,70,22
2020-05-01,75,36
2020-05-02,69,40
2020-05-03,76,35
2020-05-04,75,34
2020-05-05,113,38
2020-05-06,114,39
2020-05-07,70,35
2020-05-08,74,30
2020-05-09,71,33
2020-05-10,71,33
2020-05-11,65,42
2020-05-12,75,27
2020-05-13,70,35
2020-05-14,78,27
2020-05-15,80,20
2020-05-16,83,16
2020-05-17,81,18
2020-05-18,80,25
2020-05-19,75,15
2020-05-20,71,18
2020-05-21,71,19
2020-05-22,72,20
2020-05-23,75,10
2020-05-24,73,12
2020-05-25,81,9
2020-05-26,74,18
2020-05-27,70,22
2020-05-28,69,30
2020-05-29,72,24
2020-05-30,78,12
2020-05-31,68,30
2020-06-01,75,20
2020-06-02,74,22
2020-06-03,79,22
2020-06-04,79,19
2020-06-05,80,18
2020-06-06,78,20
2020-06-07,73,28
2020-06-08,74,27
2020-06-09,73,28
2020-06-10,68,32
2020-06-11,79,24
2020-06-12,71,32
2020-06-13,79,23
2020-06-14,70,32
2020-06-15,70,32
2020-06-16,72,28
2020-06-17,81,13
2020-06-18,81,17
2020-06-19,80,21
2020-06-20,81,23
2020-06-21,79,27
2020-06-22,74,30
2020-06-23,65,39
2020-06-24,75,27
2020-06-25,80,21
2020-06-26,81,18
2020-06-27,81,18
2020-06-28,81,17
2020-06-29,77,18
2020-06-30,73,22
2020-07-01,77,22
2020-07-02,72,25
2020-07-03,74,24
2020-07-04,77,21
2020-07-05,74,24
2020-07-06,71,28
2020-07-07,72,27
2020-07-08,79,29
2020-07-09,70,23
2020-07-10,67,32
2020-07-11,79,23
2020-07-12,78,21
2020-07-13,77,22
2020-07-14,79,20
2020-07-15,77,22
2020-07-16,80,19
2020-07-17,83,16
2020-07-18,83,22
2020-07-19,82,24
2020-07-20,74,24
2020-07-21,76,22
2020-07-22,76,22
2020-07-23,74,19
2020-07-24,76,20
2020-07-25,77,19
2020-07-26,72,24
2020-07-27,72,22
2020-07-28,72,22
2020-07-29,75,19
2020-07-30,76,18
2020-07-31,78,18
2020-08-01,75,24
2020-08-02,75,17
2020-08-03,68,27
2020-08-04,78,13
2020-08-05,83,8
2020-08-06,77,22
2020-08-07,75,20
2020-08-08,78,20
2020-08-09,76,20
2020-08-10,83,11
2020-08-11,85,14
2020-08-12,81,21
2020-08-13,83,19
2020-08-14,74,28
2020-08-15,71,28
2020-08-16,65,34
2020-08-17,74,25
2020-08-18,73,26
2020-08-19,80,19
2020-08-20,72,27
2020-08-21,77,22
2020-08-22,78,21
2020-08-23,79,16
2020-08-24,73,26
2020-08-25,73,26
2020-08-26,84,15
2020-08-27,80,19
2020-08-28,80,18
2020-08-29,80,18
2020-08-30,73,25
2020-08-31,76,22
2020-09-01,76,21
2020-09-02,78,21
2020-09-03,71,28
2020-09-04,79,20
2020-09-05,75,24
2020-09-06,75,24
2020-09-07,77,22
2020-09-08,75,24
2020-09-09,74,25
2020-09-10,79,20
2020-09-11,78,21
2020-09-12,82,17
2020-09-13,76,23
2020-09-14,77,22
2020-09-15,72,27
2020-09-16,80,19
2020-09-17,82,17
2020-09-18,84,15
2020-09-19,76,23
2020-09-20,81,18
2020-09-21,83,16
2020-09-22,88,11
2020-09-23,79,20
2020-09-24,80,19
2020-09-25,80,19
2020-09-26,85,14
2020-09-27,77,22
2020-09-28,78,21
2020-09-29,75,24
2020-09-30,81,18
2020-10-01,81,18
2020-10-02,83,16
2020-10-03,84,15
2020-10-04,83,16
2020-10-05,73,26
2020-10-06,83,16
2020-10-07,83,16
2020-10-08,87,12
2020-10-09,82,17
2020-10-10,83,16
2020-10-11,84,15
2020-10-12,85,14
2020-10-13,82,17
2020-10-14,83,16
2020-10-15,83,16
2020-10-16,79,20
2020-10-17,78,21
2020-10-18,80,19
2020-10-19,83,16
2020-10-20,79,20
2020-10-21,80,19
2020-10-22,82,17
2020-10-23,77,22
2020-10-24,80,19
2020-10-25,78,22
2020-10-26,76,24
2020-10-27,79,21
2020-10-28,81,18
2020-10-29,78,21
2020-10-30,78,21
2020-10-31,84,15
2020-11-01,79,20
2020-11-02,84,15
2020-11-03,82,21
2020-11-04,85,18
2020-11-05,77,26
2020-11-06,85,18
2020-11-07,86,17
2020-11-08,92,14
2020-11-09,92,13
2020-11-10,89,14
2020-11-11,87,16
2020-11-12,79,24
2020-11-13,82,17
2020-11-14,86,15
2020-11-15,80,21
2020-11-16,84,17
2020-11-17,82,25
2020-11-18,84,21
2020-11-19,81,20
2020-11-20,84,17
2020-11-21,86,17
2020-11-22,84,19
2020-11-23,80,21
2020-11-24,82,19
2020-11-25,78,23
2020-11-26,76,25
2020-11-27,84,17
2020-11-28,81,20
2020-11-29,81,20
2020-11-30,84,19
2020-12-01,80,23
2020-12-02,86,17
2020-12-03,82,21
2020-12-04,89,12
2020-12-05,82,23
2020-12-06,81,24
2020-12-07,82,13
2020-12-08,80,15
2020-12-09,75,20
2020-12-10,82,13
2020-12-11,79,16
2020-12-12,78,13
2020-12-13,82,10
2020-12-14,85,7
2020-12-15,85,12
2020-12-16,85,10
2020-12-17,88,9
2020-12-18,88,11
2020-12-19,80,17
2020-12-20,86,11
2020-12-21,89,8
2020-12-22,87,10
2020-12-23,84,13
2020-12-24,84,13
2020-12-25,87,8
2020-12-26,87,12
2020-12-27,86,13
2020-12-28,84,15
2020-12-29,86,13
2020-12-30,82,17
2020-12-31,83,16
2021-01-01,79,20
2021-01-02,80,19
2021-01-03,80,19
2021-01-04,84,15
2021-01-05,77,22
2021-01-06,85,14
2021-01-07,75,24
2021-01-08,82,17
2021-01-09,79,20
2021-01-10,74,28
2021-01-11,78,21
2021-01-12,82,14
2021-01-13,84,12
2021-01-14,78,17
2021-01-15,77,18
2021-01-16,79,13
2021-01-17,74,15
2021-01-18,79,16
2021-01-19,75,20
2021-01-20,84,12
2021-01-21,86,11
2021-01-22,83,14
2021-01-23,86,11
2021-01-24,81,14
2021-01-25,77,18
2021-01-26,83,12
2021-01-27,79,16
2021-01-28,78,17
2021-01-29,80,15
2021-01-30,82,13
2021-01-31,74,21
2021-02-01,76,19
2021-02-02,83,12
2021-02-03,78,17
2021-02-04,78,17
2021-02-05,77,18
2021-02-06,73,22
2021-02-07,71,24
2021-02-08,81,14
2021-02-09,78,16
2021-02-10,71,23
2021-02-11,73,22
2021-02-12,80,15
2021-02-13,75,20
2021-02-14,73,22
2021-02-15,76,18
2021-02-16,79,15
2021-02-17,72,20
2021-02-18,70,23
2021-02-19,72,23
2021-02-20,85,10
2021-02-21,83,10
2021-02-22,84,9
2021-02-23,79,14
2021-02-24,78,17
2021-02-25,76,19
2021-02-26,84,8
2021-02-27,79,14
2021-02-28,77,16
2021-03-01,73,20
2021-03-02,76,22
2021-03-03,79,20
2021-03-04,88,11
2021-03-05,87,10
2021-03-06,89,8
2021-03-07,84,15
2021-03-08,76,13
2021-03-09,74,15
2021-03-10,80,9
2021-03-11,77,12
2021-03-12,74,15
2021-03-13,75,14
2021-03-14,67,22
2021-03-15,71,18
2021-03-16,77,12
2021-03-17,83,6
2021-03-18,80,9
2021-03-19,79,10
2021-03-20,82,7
2021-03-21,79,9
2021-03-22,77,11
2021-03-23,75,14
2021-03-24,76,13
2021-03-25,76,13
2021-03-26,81,8
2021-03-27,83,6
2021-03-28,78,10
2021-03-29,81,7
2021-03-30,77,13
2021-03-31,75,13
2021-04-01,73,16
2021-04-02,74,16
2021-04-03,66,22
2021-04-04,72,16
2021-04-05,70,18
2021-04-06,64,25
2021-04-07,61,28
2021-04-08,63,26
2021-04-09,70,18
