date,betten_belegt,betten_frei
2020-04-24,35,2
2020-04-25,35,2
2020-04-26,35,2
2020-04-27,30,7
2020-04-28,30,7
2020-04-29,32,5
2020-04-30,32,5
2020-05-01,32,5
2020-05-02,32,5
2020-05-03,32,5
2020-05-04,33,4
2020-05-05,35,2
2020-05-06,35,2
2020-05-07,35,2
2020-05-08,32,5
2020-05-09,32,5
2020-05-10,32,5
2020-05-11,32,5
2020-05-12,33,4
2020-05-13,33,4
2020-05-14,31,6
2020-05-15,32,5
2020-05-16,34,5
2020-05-17,30,7
2020-05-18,34,3
2020-05-19,34,3
2020-05-20,34,3
2020-05-21,28,9
2020-05-22,25,12
2020-05-23,25,12
2020-05-24,27,10
2020-05-25,27,10
2020-05-26,28,9
2020-05-27,28,9
2020-05-28,28,9
2020-05-29,27,10
2020-05-30,27,10
2020-05-31,25,12
2020-06-01,25,12
2020-06-02,24,13
2020-06-03,26,11
2020-06-04,27,10
2020-06-05,27,10
2020-06-06,27,10
2020-06-07,27,10
2020-06-08,29,8
2020-06-09,27,10
2020-06-10,29,8
2020-06-11,26,11
2020-06-12,29,8
2020-06-13,25,12
2020-06-14,25,12
2020-06-15,28,9
2020-06-16,28,9
2020-06-17,32,5
2020-06-18,33,4
2020-06-19,29,8
2020-06-20,27,10
2020-06-21,27,10
2020-06-22,26,11
2020-06-23,34,3
2020-06-24,32,5
2020-06-25,30,7
2020-06-26,32,5
2020-06-27,29,8
2020-06-28,29,8
2020-06-29,34,3
2020-06-30,33,4
2020-07-01,33,4
2020-07-02,30,7
2020-07-03,32,5
2020-07-04,31,6
2020-07-05,31,8
2020-07-06,33,6
2020-07-07,37,0
2020-07-08,33,4
2020-07-09,31,6
2020-07-10,32,5
2020-07-11,31,6
2020-07-12,31,6
2020-07-13,27,10
2020-07-14,30,7
2020-07-15,30,7
2020-07-16,30,7
2020-07-17,23,14
2020-07-18,27,10
2020-07-19,30,7
2020-07-20,24,13
2020-07-21,24,13
2020-07-22,31,6
2020-07-23,33,4
2020-07-24,33,4
2020-07-25,33,4
2020-07-26,33,4
2020-07-27,26,11
2020-07-28,33,4
2020-07-29,28,9
2020-07-30,28,9
2020-07-31,26,11
2020-08-01,29,8
2020-08-02,30,7
2020-08-03,28,9
2020-08-04,34,3
2020-08-05,33,4
2020-08-06,33,4
2020-08-07,28,9
2020-08-08,32,5
2020-08-09,32,5
2020-08-10,30,7
2020-08-11,31,6
2020-08-12,31,6
2020-08-13,31,6
2020-08-14,31,6
2020-08-15,31,6
2020-08-16,31,6
2020-08-17,33,4
2020-08-18,29,8
2020-08-19,30,7
2020-08-20,30,7
2020-08-21,34,3
2020-08-22,32,5
2020-08-23,32,5
2020-08-24,29,8
2020-08-25,30,7
2020-08-26,30,7
2020-08-27,30,7
2020-08-28,30,7
2020-08-29,30,7
2020-08-30,30,7
2020-08-31,29,8
2020-09-01,30,7
2020-09-02,31,6
2020-09-03,32,5
2020-09-04,32,5
2020-09-05,32,5
2020-09-06,29,8
2020-09-07,28,9
2020-09-08,30,7
2020-09-09,33,4
2020-09-10,34,3
2020-09-11,33,4
2020-09-12,33,4
2020-09-13,33,4
2020-09-14,33,4
2020-09-15,30,7
2020-09-16,36,5
2020-09-17,36,5
2020-09-18,33,8
2020-09-19,29,12
2020-09-20,30,11
2020-09-21,27,14
2020-09-22,30,11
2020-09-23,31,10
2020-09-24,22,5
2020-09-25,24,3
2020-09-26,23,4
2020-09-27,20,7
2020-09-28,20,7
2020-09-29,22,5
2020-09-30,22,5
2020-10-01,22,5
2020-10-02,22,5
2020-10-03,22,5
2020-10-04,22,5
2020-10-05,20,7
2020-10-06,22,5
2020-10-07,24,3
2020-10-08,24,3
2020-10-09,22,5
2020-10-10,22,5
2020-10-11,21,6
2020-10-12,22,5
2020-10-13,24,3
2020-10-14,24,3
2020-10-15,22,5
2020-10-16,21,6
2020-10-17,24,3
2020-10-18,22,5
2020-10-19,20,7
2020-10-20,20,7
2020-10-21,20,7
2020-10-22,20,7
2020-10-23,19,8
2020-10-24,19,8
2020-10-25,20,7
2020-10-26,20,7
2020-10-27,23,4
2020-10-28,18,9
2020-10-29,21,6
2020-10-30,24,3
2020-10-31,22,5
2020-11-01,21,6
2020-11-02,21,6
2020-11-03,20,7
2020-11-04,22,5
2020-11-05,20,7
2020-11-06,20,7
2020-11-07,22,5
2020-11-08,16,11
2020-11-09,17,10
2020-11-10,18,9
2020-11-11,20,7
2020-11-12,23,4
2020-11-13,23,4
2020-11-14,24,3
2020-11-15,21,6
2020-11-16,21,6
2020-11-17,23,4
2020-11-18,22,5
2020-11-19,20,7
2020-11-20,22,5
2020-11-21,20,7
2020-11-22,18,9
2020-11-23,19,8
2020-11-24,23,4
2020-11-25,24,3
2020-11-26,23,4
2020-11-27,21,6
2020-11-28,21,6
2020-11-29,20,7
2020-11-30,21,6
2020-12-01,22,5
2020-12-02,21,6
2020-12-03,21,6
2020-12-04,22,5
2020-12-05,20,6
2020-12-06,19,6
2020-12-07,21,4
2020-12-08,19,6
2020-12-09,21,4
2020-12-10,19,6
2020-12-11,20,5
2020-12-12,19,6
2020-12-13,16,7
2020-12-14,12,11
2020-12-15,21,4
2020-12-16,20,5
2020-12-17,22,3
2020-12-18,21,4
2020-12-19,22,3
2020-12-20,22,3
2020-12-21,20,5
2020-12-22,22,3
2020-12-23,15,10
2020-12-24,19,6
2020-12-25,19,6
2020-12-26,20,5
2020-12-27,18,7
2020-12-28,18,7
2020-12-29,19,6
2020-12-30,19,6
2020-12-31,19,6
2021-01-01,20,5
2021-01-02,19,6
2021-01-03,20,5
2021-01-04,20,5
2021-01-05,23,2
2021-01-06,23,2
2021-01-07,23,2
2021-01-08,23,2
2021-01-09,24,2
2021-01-10,21,5
2021-01-11,25,1
2021-01-12,27,0
2021-01-13,22,5
2021-01-14,24,3
2021-01-15,24,3
2021-01-16,26,1
2021-01-17,23,4
2021-01-18,24,3
2021-01-19,24,3
2021-01-20,26,1
2021-01-21,26,1
2021-01-22,24,3
2021-01-23,24,3
2021-01-24,24,3
2021-01-25,24,3
2021-01-26,24,3
2021-01-27,24,3
2021-01-28,25,2
2021-01-29,24,3
2021-01-30,24,3
2021-01-31,24,3
2021-02-01,25,2
2021-02-02,24,3
2021-02-03,23,4
2021-02-04,24,3
2021-02-05,25,2
2021-02-06,25,2
2021-02-07,25,2
2021-02-08,25,2
2021-02-09,26,1
2021-02-10,26,1
2021-02-11,24,3
2021-02-12,24,3
2021-02-13,24,3
2021-02-14,25,2
2021-02-15,24,3
2021-02-16,24,3
2021-02-17,25,2
2021-02-18,25,2
2021-02-19,24,3
2021-02-20,23,4
2021-02-21,22,5
2021-02-22,25,2
2021-02-23,25,2
2021-02-24,26,1
2021-02-25,25,2
2021-02-26,24,3
2021-02-27,22,5
2021-02-28,22,5
2021-03-01,22,5
2021-03-02,23,4
2021-03-03,25,2
2021-03-04,23,4
2021-03-05,27,0
2021-03-06,27,0
2021-03-07,23,4
2021-03-08,22,5
2021-03-09,25,2
2021-03-10,25,2
2021-03-11,24,3
2021-03-12,24,3
2021-03-13,25,2
2021-03-14,26,1
2021-03-15,25,2
2021-03-16,25,2
2021-03-17,26,1
2021-03-18,24,3
2021-03-19,26,1
2021-03-20,25,2
2021-03-21,25,2
2021-03-22,25,2
2021-03-23,25,2
2021-03-24,26,1
2021-03-25,26,1
2021-03-26,26,1
2021-03-27,25,2
2021-03-28,25,2
2021-03-29,25,2
2021-03-30,25,2
2021-03-31,25,2
2021-04-01,25,2
2021-04-02,25,2
2021-04-03,24,3
2021-04-04,23,4
2021-04-05,25,2
2021-04-06,25,2
2021-04-07,26,1
2021-04-08,25,2
