date,betten_belegt,betten_frei
2020-04-24,15,1
2020-04-25,15,1
2020-04-26,15,1
2020-04-27,14,2
2020-04-28,11,5
2020-04-29,14,2
2020-04-30,14,2
2020-05-01,13,3
2020-05-02,14,2
2020-05-03,11,5
2020-05-04,10,6
2020-05-05,11,5
2020-05-06,13,3
2020-05-07,12,4
2020-05-08,12,4
2020-05-09,10,6
2020-05-10,14,2
2020-05-11,12,4
2020-05-12,12,4
2020-05-13,14,2
2020-05-14,13,3
2020-05-15,12,4
2020-05-16,16,0
2020-05-17,16,0
2020-05-18,14,2
2020-05-19,14,2
2020-05-20,15,1
2020-05-21,13,3
2020-05-22,13,3
2020-05-23,14,2
2020-05-24,14,2
2020-05-25,14,2
2020-05-26,14,2
2020-05-27,16,0
2020-05-28,13,3
2020-05-29,15,1
2020-05-30,15,1
2020-05-31,15,1
2020-06-01,15,1
2020-06-02,15,1
2020-06-03,11,5
2020-06-04,14,2
2020-06-05,15,1
2020-06-06,16,0
2020-06-07,14,2
2020-06-08,15,1
2020-06-09,13,3
2020-06-10,12,4
2020-06-11,13,3
2020-06-12,14,2
2020-06-13,11,5
2020-06-14,11,5
2020-06-15,14,2
2020-06-16,14,2
2020-06-17,13,3
2020-06-18,14,2
2020-06-19,13,3
2020-06-20,12,4
2020-06-21,12,4
2020-06-22,12,4
2020-06-23,14,2
2020-06-24,11,5
2020-06-25,12,4
2020-06-26,13,3
2020-06-27,14,2
2020-06-28,14,2
2020-06-29,13,3
2020-06-30,11,5
2020-07-01,13,3
2020-07-02,14,2
2020-07-03,13,3
2020-07-04,14,2
2020-07-05,11,5
2020-07-06,10,7
2020-07-07,10,7
2020-07-08,14,3
2020-07-09,14,3
2020-07-10,16,1
2020-07-11,14,3
2020-07-12,14,3
2020-07-13,14,3
2020-07-14,13,4
2020-07-15,15,2
2020-07-16,15,2
2020-07-17,13,4
2020-07-18,14,3
2020-07-19,12,5
2020-07-20,13,4
2020-07-21,16,3
2020-07-22,14,5
2020-07-23,15,4
2020-07-24,14,5
2020-07-25,14,5
2020-07-26,14,5
2020-07-27,13,6
2020-07-28,12,7
2020-07-29,11,8
2020-07-30,14,5
2020-07-31,16,3
2020-08-01,14,5
2020-08-02,14,5
2020-08-03,16,3
2020-08-04,16,3
2020-08-05,16,3
2020-08-06,16,3
2020-08-07,15,4
2020-08-08,12,7
2020-08-09,11,8
2020-08-10,15,4
2020-08-11,15,4
2020-08-12,15,4
2020-08-13,16,3
2020-08-14,15,4
2020-08-15,15,4
2020-08-16,15,4
2020-08-17,15,4
2020-08-18,14,5
2020-08-19,13,6
2020-08-20,14,5
2020-08-21,16,3
2020-08-22,12,7
2020-08-23,13,6
2020-08-24,16,3
2020-08-25,16,3
2020-08-26,13,6
2020-08-27,13,6
2020-08-28,14,5
2020-08-29,13,6
2020-08-30,13,6
2020-08-31,13,6
2020-09-01,14,5
2020-09-02,12,7
2020-09-03,13,6
2020-09-04,14,5
2020-09-05,11,8
2020-09-06,12,7
2020-09-07,16,3
2020-09-08,13,6
2020-09-09,14,5
2020-09-10,13,6
2020-09-11,14,5
2020-09-12,14,5
2020-09-13,16,3
2020-09-14,15,4
2020-09-15,16,3
2020-09-16,16,3
2020-09-17,15,4
2020-09-18,13,6
2020-09-19,12,7
2020-09-20,13,6
2020-09-21,13,6
2020-09-22,16,3
2020-09-23,16,3
2020-09-24,14,5
2020-09-25,16,3
2020-09-26,15,4
2020-09-27,13,6
2020-09-28,13,6
2020-09-29,12,7
2020-09-30,13,6
2020-10-01,12,7
2020-10-02,12,7
2020-10-03,15,4
2020-10-04,15,4
2020-10-05,15,4
2020-10-06,16,3
2020-10-07,14,6
2020-10-08,14,6
2020-10-09,14,6
2020-10-10,13,7
2020-10-11,13,7
2020-10-12,14,6
2020-10-13,13,7
2020-10-14,13,7
2020-10-15,12,8
2020-10-16,12,8
2020-10-17,11,9
2020-10-18,12,8
2020-10-19,12,8
2020-10-20,12,8
2020-10-21,13,7
2020-10-22,10,10
2020-10-23,16,4
2020-10-24,9,11
2020-10-25,9,11
2020-10-26,10,10
2020-10-27,12,8
2020-10-28,9,11
2020-10-29,14,6
2020-10-30,12,8
2020-10-31,10,10
2020-11-01,10,10
2020-11-02,10,10
2020-11-03,12,8
2020-11-04,14,6
2020-11-05,14,6
2020-11-06,14,6
2020-11-07,13,7
2020-11-08,13,7
2020-11-09,13,7
2020-11-10,14,6
2020-11-11,12,8
2020-11-12,16,4
2020-11-13,16,4
2020-11-14,13,7
2020-11-15,13,7
2020-11-16,13,3
2020-11-17,13,3
2020-11-18,15,1
2020-11-19,14,2
2020-11-20,14,2
2020-11-21,14,2
2020-11-22,15,1
2020-11-23,13,3
2020-11-24,14,2
2020-11-25,15,1
2020-11-26,15,1
2020-11-27,14,2
2020-11-28,16,0
2020-11-29,14,2
2020-11-30,14,2
2020-12-01,13,3
2020-12-02,13,3
2020-12-03,15,1
2020-12-04,12,4
2020-12-05,12,4
2020-12-06,12,4
2020-12-07,14,2
2020-12-08,15,1
2020-12-09,15,1
2020-12-10,15,1
2020-12-11,16,0
2020-12-12,13,3
2020-12-13,13,3
2020-12-14,15,1
2020-12-15,14,2
2020-12-16,16,0
2020-12-17,16,0
2020-12-18,15,1
2020-12-19,16,0
2020-12-20,16,0
2020-12-21,15,1
2020-12-22,14,2
