date,betten_belegt,betten_frei
2020-04-24,334,101
2020-04-25,327,99
2020-04-26,314,104
2020-04-27,344,88
2020-04-28,333,92
2020-04-29,333,105
2020-04-30,368,92
2020-05-01,349,82
2020-05-02,367,91
2020-05-03,363,97
2020-05-04,365,87
2020-05-05,370,96
2020-05-06,367,92
2020-05-07,373,94
2020-05-08,366,93
2020-05-09,366,98
2020-05-10,356,100
2020-05-11,372,78
2020-05-12,360,95
2020-05-13,371,81
2020-05-14,372,100
2020-05-15,361,104
2020-05-16,365,105
2020-05-17,355,97
2020-05-18,333,104
2020-05-19,355,104
2020-05-20,361,98
2020-05-21,366,87
2020-05-22,353,91
2020-05-23,345,86
2020-05-24,340,91
2020-05-25,329,101
2020-05-26,349,96
2020-05-27,395,81
2020-05-28,369,84
2020-05-29,359,98
2020-05-30,372,75
2020-05-31,352,100
2020-06-01,361,91
2020-06-02,373,83
2020-06-03,372,74
2020-06-04,362,88
2020-06-05,350,79
2020-06-06,373,75
2020-06-07,376,73
2020-06-08,370,93
2020-06-09,372,81
2020-06-10,360,104
2020-06-11,360,81
2020-06-12,363,99
2020-06-13,371,87
2020-06-14,368,88
2020-06-15,350,96
2020-06-16,371,84
2020-06-17,364,84
2020-06-18,373,75
2020-06-19,377,73
2020-06-20,389,55
2020-06-21,370,73
2020-06-22,370,83
2020-06-23,366,87
2020-06-24,369,95
2020-06-25,356,112
2020-06-26,367,102
2020-06-27,361,107
2020-06-28,360,99
2020-06-29,356,108
2020-06-30,346,121
2020-07-01,372,98
2020-07-02,389,78
2020-07-03,388,87
2020-07-04,373,90
2020-07-05,366,95
2020-07-06,358,99
2020-07-07,351,121
2020-07-08,363,106
2020-07-09,371,102
2020-07-10,362,100
2020-07-11,377,86
2020-07-12,364,89
2020-07-13,346,105
2020-07-14,355,99
2020-07-15,356,86
2020-07-16,369,91
2020-07-17,382,89
2020-07-18,380,85
2020-07-19,373,88
2020-07-20,372,89
2020-07-21,372,85
2020-07-22,383,103
2020-07-23,382,105
2020-07-24,383,101
2020-07-25,394,99
2020-07-26,395,90
2020-07-27,403,105
2020-07-28,405,111
2020-07-29,402,106
2020-07-30,390,106
2020-07-31,385,113
2020-08-01,395,95
2020-08-02,386,93
2020-08-03,374,120
2020-08-04,422,78
2020-08-05,404,88
2020-08-06,387,99
2020-08-07,406,81
