date,betten_belegt,betten_frei
2020-04-24,109,38
2020-04-25,113,42
2020-04-26,115,36
2020-04-27,116,36
2020-04-28,112,42
2020-04-29,116,38
2020-04-30,117,39
2020-05-01,119,41
2020-05-02,120,38
2020-05-03,122,36
2020-05-04,120,36
2020-05-05,113,41
2020-05-06,120,37
2020-05-07,120,35
2020-05-08,121,35
2020-05-09,121,35
2020-05-10,115,41
2020-05-11,116,37
2020-05-12,126,32
2020-05-13,124,34
2020-05-14,124,34
2020-05-15,121,37
2020-05-16,125,33
2020-05-17,121,37
2020-05-18,127,32
2020-05-19,125,32
2020-05-20,123,34
2020-05-21,120,37
2020-05-22,120,37
2020-05-23,125,32
2020-05-24,126,31
2020-05-25,125,32
2020-05-26,124,31
2020-05-27,129,25
2020-05-28,128,25
2020-05-29,126,29
2020-05-30,121,33
2020-05-31,122,40
2020-06-01,121,34
2020-06-02,149,40
2020-06-03,147,42
2020-06-04,139,50
2020-06-05,145,52
2020-06-06,141,56
2020-06-07,142,55
2020-06-08,133,48
2020-06-09,134,47
2020-06-10,144,37
2020-06-11,148,33
2020-06-12,143,38
2020-06-13,144,37
2020-06-14,145,35
2020-06-15,154,35
2020-06-16,160,29
2020-06-17,147,42
2020-06-18,142,47
2020-06-19,141,48
2020-06-20,150,40
2020-06-21,149,40
2020-06-22,146,43
2020-06-23,147,42
2020-06-24,142,47
2020-06-25,139,50
2020-06-26,142,48
2020-06-27,142,47
2020-06-28,145,52
2020-06-29,148,49
2020-06-30,149,40
2020-07-01,148,46
2020-07-02,144,56
2020-07-03,134,54
2020-07-04,134,53
2020-07-05,136,51
2020-07-06,146,48
2020-07-07,147,47
2020-07-08,149,48
2020-07-09,149,45
2020-07-10,149,45
2020-07-11,147,47
2020-07-12,151,43
2020-07-13,145,49
2020-07-14,139,55
2020-07-15,147,48
2020-07-16,151,44
2020-07-17,139,58
2020-07-18,141,53
2020-07-19,140,54
2020-07-20,136,58
2020-07-21,138,56
2020-07-22,142,52
2020-07-23,143,50
2020-07-24,141,53
2020-07-25,145,49
2020-07-26,140,53
2020-07-27,132,57
2020-07-28,139,55
2020-07-29,137,58
2020-07-30,136,59
2020-07-31,132,62
2020-08-01,143,51
2020-08-02,138,55
2020-08-03,138,55
2020-08-04,136,45
2020-08-05,134,47
2020-08-06,143,38
2020-08-07,143,42
2020-08-08,144,42
2020-08-09,142,44
2020-08-10,141,45
2020-08-11,107,28
2020-08-12,108,27
2020-08-13,102,32
2020-08-14,101,34
2020-08-15,94,41
2020-08-16,95,40
2020-08-17,98,37
2020-08-18,106,29
2020-08-19,102,33
2020-08-20,102,33
2020-08-21,107,28
2020-08-22,105,30
2020-08-23,102,33
2020-08-24,104,31
2020-08-25,107,28
2020-08-26,105,30
2020-08-27,110,25
2020-08-28,103,32
2020-08-29,100,35
2020-08-30,99,36
2020-08-31,99,36
2020-09-01,101,31
2020-09-02,102,30
2020-09-03,100,32
2020-09-04,99,33
2020-09-05,101,31
2020-09-06,97,35
2020-09-07,103,29
2020-09-08,99,33
2020-09-09,97,35
2020-09-10,102,30
2020-09-11,103,29
2020-09-12,104,28
2020-09-13,107,25
2020-09-14,110,22
2020-09-15,110,22
2020-09-16,103,29
2020-09-17,102,30
2020-09-18,100,32
2020-09-19,99,33
2020-09-20,96,36
2020-09-21,100,32
2020-09-22,88,44
2020-09-23,89,43
2020-09-24,96,36
2020-09-25,100,32
2020-09-26,99,33
2020-09-27,103,31
2020-09-28,103,29
2020-09-29,106,26
2020-09-30,99,33
2020-10-01,97,35
2020-10-02,99,33
2020-10-03,99,33
2020-10-04,102,30
2020-10-05,96,36
2020-10-06,94,38
2020-10-07,96,36
2020-10-08,100,32
2020-10-09,98,34
2020-10-10,100,32
2020-10-11,95,37
2020-10-12,97,35
2020-10-13,97,35
2020-10-14,99,33
2020-10-15,97,35
2020-10-16,94,38
2020-10-17,96,36
2020-10-18,95,37
2020-10-19,93,39
2020-10-20,94,38
2020-10-21,100,32
2020-10-22,104,28
2020-10-23,102,30
2020-10-24,100,32
2020-10-25,100,32
2020-10-26,103,29
2020-10-27,101,31
2020-10-28,104,28
2020-10-29,100,32
2020-10-30,104,28
2020-10-31,104,28
2020-11-01,100,32
2020-11-02,101,31
2020-11-03,57,25
2020-11-04,101,26
2020-11-05,102,25
2020-11-06,102,25
2020-11-07,97,31
2020-11-08,99,28
2020-11-09,100,27
2020-11-10,95,32
2020-11-11,87,40
2020-11-12,101,26
2020-11-13,103,21
2020-11-14,96,28
2020-11-15,95,29
2020-11-16,97,27
2020-11-17,96,28
2020-11-18,95,29
2020-11-19,91,33
2020-11-20,96,27
2020-11-21,97,26
2020-11-22,94,29
2020-11-23,94,29
2020-11-24,96,27
2020-11-25,90,33
2020-11-26,94,28
2020-11-27,96,22
2020-11-28,97,20
2020-11-29,91,27
2020-11-30,97,21
2020-12-01,99,21
2020-12-02,94,26
2020-12-03,100,17
2020-12-04,102,15
2020-12-05,96,21
2020-12-06,92,26
2020-12-07,96,22
2020-12-08,95,22
2020-12-09,94,23
2020-12-10,97,23
2020-12-11,94,26
2020-12-12,94,26
2020-12-13,96,24
2020-12-14,90,30
2020-12-15,93,25
2020-12-16,89,28
2020-12-17,85,32
2020-12-18,90,46
2020-12-19,101,35
2020-12-20,100,36
2020-12-21,103,33
2020-12-22,98,38
2020-12-23,105,31
2020-12-24,105,31
2020-12-25,108,28
2020-12-26,103,33
2020-12-27,105,31
2020-12-28,106,30
2020-12-29,106,30
2020-12-30,107,29
2020-12-31,113,23
2021-01-01,108,28
2021-01-02,106,30
2021-01-03,110,26
2021-01-04,105,31
2021-01-05,105,27
2021-01-06,107,25
2021-01-07,109,23
2021-01-08,113,20
2021-01-09,116,17
2021-01-10,116,18
2021-01-11,118,16
2021-01-12,119,15
2021-01-13,122,12
2021-01-14,122,12
2021-01-15,124,10
2021-01-16,115,19
2021-01-17,114,20
2021-01-18,114,20
2021-01-19,116,18
2021-01-20,118,16
2021-01-21,115,19
2021-01-22,110,24
2021-01-23,104,28
2021-01-24,105,27
2021-01-25,105,29
2021-01-26,107,27
2021-01-27,102,32
2021-01-28,106,28
2021-01-29,102,32
2021-01-30,102,32
2021-01-31,102,32
2021-02-01,105,29
2021-02-02,104,30
2021-02-03,103,33
2021-02-04,107,29
2021-02-05,106,30
2021-02-06,106,30
2021-02-07,104,32
2021-02-08,101,35
2021-02-09,97,38
2021-02-10,104,31
2021-02-11,109,26
2021-02-12,112,23
2021-02-13,110,25
2021-02-14,110,25
2021-02-15,109,26
2021-02-16,109,26
2021-02-17,108,27
2021-02-18,108,27
2021-02-19,104,31
2021-02-20,109,26
2021-02-21,102,33
2021-02-22,102,33
2021-02-23,104,31
2021-02-24,108,27
2021-02-25,106,28
2021-02-26,102,31
2021-02-27,99,34
2021-02-28,98,35
2021-03-01,99,34
2021-03-02,100,33
2021-03-03,104,31
2021-03-04,100,35
2021-03-05,100,34
2021-03-06,100,34
2021-03-07,99,35
2021-03-08,101,33
2021-03-09,95,39
2021-03-10,92,44
2021-03-11,90,46
2021-03-12,97,39
2021-03-13,106,22
2021-03-14,102,25
2021-03-15,104,24
2021-03-16,109,19
2021-03-17,111,17
2021-03-18,104,24
2021-03-19,101,27
2021-03-20,104,23
2021-03-21,100,27
2021-03-22,95,32
2021-03-23,104,23
2021-03-24,108,20
2021-03-25,107,21
2021-03-26,103,25
2021-03-27,99,29
2021-03-28,97,31
2021-03-29,95,33
2021-03-30,98,30
2021-03-31,97,29
2021-04-01,97,29
2021-04-02,95,31
2021-04-03,97,28
