date,betten_belegt,betten_frei
2020-04-24,9,19
2020-04-25,8,16
2020-04-26,9,15
2020-04-27,8,17
2020-04-28,9,19
2020-04-29,8,18
2020-04-30,8,16
2020-05-01,7,7
2020-05-02,6,7
2020-05-03,24,21
2020-05-04,25,21
2020-05-05,34,12
2020-05-06,34,14
2020-05-07,39,8
2020-05-08,37,6
2020-05-09,34,11
2020-05-10,25,19
2020-05-11,25,5
2020-05-12,32,7
2020-05-13,26,14
2020-05-14,25,16
2020-05-15,38,7
2020-05-16,29,20
2020-05-17,23,27
2020-05-18,30,20
2020-05-19,32,15
2020-05-20,33,17
2020-05-21,32,17
2020-05-22,29,17
2020-05-23,36,12
2020-05-24,30,16
2020-05-25,29,15
2020-05-26,39,9
2020-05-27,36,12
2020-05-28,37,11
2020-05-29,36,12
2020-05-30,31,17
2020-05-31,30,16
2020-06-01,32,14
2020-06-02,35,12
2020-06-03,35,12
2020-06-04,38,8
2020-06-05,41,6
2020-06-06,40,7
2020-06-07,35,10
2020-06-08,35,10
2020-06-09,37,8
2020-06-10,36,12
2020-06-11,37,12
2020-06-12,35,14
2020-06-13,36,14
2020-06-14,28,21
2020-06-15,28,21
2020-06-16,30,19
2020-06-17,34,15
2020-06-18,34,15
2020-06-19,40,9
2020-06-20,30,20
2020-06-21,28,22
2020-06-22,24,26
2020-06-23,24,26
2020-06-24,26,24
2020-06-25,33,17
2020-06-26,33,17
2020-06-27,37,13
2020-06-28,33,17
2020-06-29,31,19
2020-06-30,35,15
2020-07-01,35,15
2020-07-02,35,15
2020-07-03,37,13
2020-07-04,29,21
2020-07-05,27,23
2020-07-06,26,24
2020-07-07,39,11
2020-07-08,37,13
2020-07-09,39,11
2020-07-10,41,9
2020-07-11,39,11
2020-07-12,36,14
2020-07-13,30,22
2020-07-14,31,19
2020-07-15,35,15
2020-07-16,44,6
2020-07-17,41,10
2020-07-18,42,8
2020-07-19,35,15
2020-07-20,35,15
2020-07-21,38,13
2020-07-22,31,19
2020-07-23,37,13
2020-07-24,39,16
2020-07-25,30,19
2020-07-26,25,25
2020-07-27,23,30
2020-07-28,31,19
2020-07-29,29,21
2020-07-30,36,14
2020-07-31,36,14
2020-08-01,35,15
2020-08-02,26,24
2020-08-03,31,19
2020-08-04,36,14
2020-08-05,37,13
2020-08-06,37,13
2020-08-07,30,20
2020-08-08,30,20
2020-08-09,27,23
2020-08-10,35,15
2020-08-11,30,20
2020-08-12,34,16
2020-08-13,34,16
2020-08-14,34,16
2020-08-15,30,20
2020-08-16,23,27
2020-08-17,32,18
2020-08-18,37,13
2020-08-19,36,14
2020-08-20,37,13
2020-08-21,30,14
2020-08-22,35,9
2020-08-23,29,15
2020-08-24,30,14
2020-08-25,35,9
2020-08-26,31,13
2020-08-27,34,10
2020-08-28,27,17
2020-08-29,32,12
2020-08-30,24,20
2020-08-31,23,21
2020-09-01,33,11
2020-09-02,33,11
2020-09-03,29,15
2020-09-04,32,12
2020-09-05,30,14
2020-09-06,29,15
2020-09-07,28,16
2020-09-08,37,7
2020-09-09,37,7
2020-09-10,41,9
2020-09-11,42,7
2020-09-12,41,8
2020-09-13,30,13
2020-09-14,28,15
2020-09-15,27,16
2020-09-16,33,11
2020-09-17,38,6
2020-09-18,36,8
2020-09-19,25,19
2020-09-20,25,19
2020-09-21,9,11
2020-09-22,6,14
2020-09-23,6,14
2020-09-24,7,13
2020-09-25,5,12
2020-09-26,5,12
2020-09-27,5,12
2020-09-28,5,12
2020-09-29,5,12
2020-09-30,9,8
2020-10-01,7,10
2020-10-02,5,12
2020-10-03,9,8
2020-10-04,6,11
2020-10-05,8,9
2020-10-06,9,8
2020-10-07,6,11
2020-10-08,7,10
2020-10-09,7,10
2020-10-10,10,7
2020-10-11,9,8
2020-10-12,9,8
2020-10-13,5,12
2020-10-14,9,8
2020-10-15,11,6
2020-10-16,13,4
2020-10-17,12,5
2020-10-18,6,11
2020-10-19,7,10
2020-10-20,9,8
2020-10-21,6,11
2020-10-22,8,9
2020-10-23,9,8
2020-10-24,7,10
2020-10-25,5,12
2020-10-26,9,8
2020-10-27,7,10
2020-10-28,11,6
2020-10-29,7,10
2020-10-30,9,9
2020-10-31,7,11
2020-11-01,8,9
2020-11-02,8,10
2020-11-03,10,8
2020-11-04,9,8
2020-11-05,12,5
2020-11-06,11,7
2020-11-07,10,8
2020-11-08,10,8
2020-11-09,12,5
2020-11-10,7,10
2020-11-11,8,9
2020-11-12,9,8
2020-11-13,10,7
2020-11-14,9,7
2020-11-15,10,6
2020-11-16,10,6
2020-11-17,6,10
2020-11-18,13,3
2020-11-19,10,6
2020-11-20,7,9
2020-11-21,10,6
2020-11-22,6,10
2020-11-23,9,7
2020-11-24,12,4
2020-11-25,11,5
2020-11-26,8,8
2020-11-27,8,8
2020-11-28,10,6
2020-11-29,9,7
2020-11-30,7,9
2020-12-01,11,5
2020-12-02,8,8
2020-12-03,8,8
2020-12-04,9,7
2020-12-05,9,7
2020-12-06,5,11
2020-12-07,7,9
2020-12-08,8,8
2020-12-09,9,7
2020-12-10,13,3
2020-12-11,8,3
2020-12-12,6,5
2020-12-13,8,9
2020-12-14,8,9
2020-12-15,9,8
2020-12-16,9,8
2020-12-17,10,7
2020-12-18,11,6
2020-12-19,11,6
2020-12-20,10,7
2020-12-21,8,9
2020-12-22,9,8
2020-12-23,10,7
2020-12-24,11,6
2020-12-25,10,7
2020-12-26,8,9
2020-12-27,9,8
2020-12-28,11,6
2020-12-29,9,8
2020-12-30,10,7
2020-12-31,10,7
2021-01-01,8,9
2021-01-02,9,8
2021-01-03,9,8
2021-01-04,9,8
2021-01-05,9,8
2021-01-06,10,7
2021-01-07,12,5
2021-01-08,13,4
2021-01-09,12,5
2021-01-10,11,6
2021-01-11,7,10
2021-01-12,8,9
2021-01-13,10,7
2021-01-14,11,6
2021-01-15,7,10
2021-01-16,7,10
2021-01-17,5,12
2021-01-18,4,13
2021-01-19,9,8
2021-01-20,11,6
2021-01-21,13,4
2021-01-22,12,5
2021-01-23,11,6
2021-01-24,11,6
2021-01-25,11,6
2021-01-26,11,6
2021-01-27,12,5
2021-01-28,9,8
2021-01-29,9,8
2021-01-30,9,8
2021-01-31,9,8
