date,betten_belegt,betten_frei
2020-04-24,38,28
2020-04-25,36,26
2020-04-26,36,26
2020-04-27,29,33
2020-04-28,27,37
2020-04-29,33,30
2020-04-30,34,29
2020-05-01,23,40
2020-05-02,23,42
2020-05-03,27,36
2020-05-04,27,36
2020-05-05,33,29
2020-05-06,31,31
2020-05-07,30,26
2020-05-08,38,18
2020-05-09,39,17
2020-05-10,36,21
2020-05-11,29,27
2020-05-12,29,39
2020-05-13,36,31
2020-05-14,38,27
2020-05-15,36,31
2020-05-16,33,33
2020-05-17,32,35
2020-05-18,30,37
2020-05-19,33,35
2020-05-20,31,36
2020-05-21,26,41
2020-05-22,28,40
2020-05-23,28,40
2020-05-24,26,42
2020-05-25,30,37
2020-05-26,33,36
2020-05-27,34,33
2020-05-28,40,27
2020-05-29,39,28
2020-05-30,32,35
2020-05-31,26,41
2020-06-01,30,37
2020-06-02,32,35
2020-06-03,36,31
2020-06-04,41,26
2020-06-05,40,27
2020-06-06,34,32
2020-06-07,30,36
2020-06-08,39,26
2020-06-09,38,27
2020-06-10,38,33
2020-06-11,35,33
2020-06-12,32,35
2020-06-13,42,25
2020-06-14,36,31
2020-06-15,29,37
2020-06-16,24,42
2020-06-17,30,32
2020-06-18,42,25
2020-06-19,40,27
2020-06-20,35,31
2020-06-21,37,29
2020-06-22,31,36
2020-06-23,31,36
2020-06-24,35,30
2020-06-25,30,32
2020-06-26,31,31
2020-06-27,43,24
2020-06-28,43,22
2020-06-29,37,28
2020-06-30,40,25
2020-07-01,40,37
2020-07-02,38,39
2020-07-03,35,31
2020-07-04,37,31
2020-07-05,37,30
2020-07-06,37,30
2020-07-07,41,26
2020-07-08,38,29
2020-07-09,42,25
2020-07-10,36,32
2020-07-11,40,27
2020-07-12,39,28
2020-07-13,39,28
2020-07-14,55,17
2020-07-15,51,18
2020-07-16,39,28
2020-07-17,40,27
2020-07-18,36,31
2020-07-19,34,33
2020-07-20,34,33
2020-07-21,32,35
2020-07-22,42,25
2020-07-23,35,32
2020-07-24,41,26
2020-07-25,34,33
2020-07-26,33,34
2020-07-27,34,33
2020-07-28,36,31
2020-07-29,38,29
2020-07-30,43,24
2020-07-31,41,26
2020-08-01,39,28
2020-08-02,38,29
2020-08-03,31,36
2020-08-04,35,32
2020-08-05,36,31
2020-08-06,36,31
2020-08-07,37,30
2020-08-08,38,29
2020-08-09,35,32
2020-08-10,34,33
2020-08-11,40,27
2020-08-12,41,26
2020-08-13,40,27
2020-08-14,39,28
2020-08-15,34,33
2020-08-16,33,34
2020-08-17,32,35
2020-08-18,34,33
2020-08-19,42,25
2020-08-20,40,27
2020-08-21,32,35
2020-08-22,34,33
2020-08-23,36,31
2020-08-24,38,29
2020-08-25,38,29
2020-08-26,38,29
2020-08-27,44,23
2020-08-28,42,25
2020-08-29,35,32
2020-08-30,33,34
2020-08-31,35,32
2020-09-01,37,30
2020-09-02,42,25
2020-09-03,45,22
2020-09-04,44,23
2020-09-05,36,31
2020-09-06,36,31
2020-09-07,43,24
2020-09-08,42,25
2020-09-09,44,23
2020-09-10,42,25
2020-09-11,40,27
2020-09-12,34,33
2020-09-13,29,38
2020-09-14,27,40
2020-09-15,38,29
2020-09-16,34,33
2020-09-17,41,26
2020-09-18,39,28
2020-09-19,33,34
2020-09-20,32,35
2020-09-21,26,41
2020-09-22,24,43
2020-09-23,37,30
2020-09-24,40,27
2020-09-25,34,33
2020-09-26,34,33
2020-09-27,38,29
2020-09-28,43,20
2020-09-29,45,18
2020-09-30,43,20
2020-10-01,41,22
2020-10-02,35,28
2020-10-03,41,22
2020-10-04,40,23
2020-10-05,37,26
2020-10-06,36,27
2020-10-07,35,28
2020-10-08,37,26
2020-10-09,40,23
2020-10-10,38,25
2020-10-11,35,28
2020-10-12,34,29
2020-10-13,41,22
2020-10-14,34,29
2020-10-15,34,29
2020-10-16,32,31
2020-10-17,35,28
2020-10-18,37,26
2020-10-19,35,28
2020-10-20,37,26
2020-10-21,36,27
2020-10-22,35,28
2020-10-23,42,21
2020-10-24,44,19
2020-10-25,39,24
2020-10-26,37,26
2020-10-27,42,21
2020-10-28,42,21
2020-10-29,46,17
2020-10-30,36,27
2020-10-31,40,18
2020-11-01,34,24
2020-11-02,36,27
2020-11-03,39,24
2020-11-04,45,18
2020-11-05,43,19
2020-11-06,44,18
2020-11-07,37,24
2020-11-08,38,24
2020-11-09,32,30
2020-11-10,40,22
2020-11-11,39,23
2020-11-12,37,25
2020-11-13,32,30
2020-11-14,38,24
2020-11-15,35,27
2020-11-16,35,27
2020-11-17,38,24
2020-11-18,37,25
2020-11-19,37,25
2020-11-20,40,22
2020-11-21,39,23
2020-11-22,38,24
2020-11-23,38,24
2020-11-24,35,18
2020-11-25,36,17
2020-11-26,35,18
2020-11-27,34,19
2020-11-28,31,17
2020-11-29,26,22
2020-11-30,31,22
2020-12-01,34,19
2020-12-02,31,22
2020-12-03,33,20
2020-12-04,37,16
2020-12-05,37,16
2020-12-06,33,20
2020-12-07,35,18
2020-12-08,37,16
2020-12-09,35,13
2020-12-10,28,18
2020-12-11,30,16
2020-12-12,29,22
2020-12-13,30,21
2020-12-14,25,26
2020-12-15,33,18
2020-12-16,31,20
2020-12-17,30,21
2020-12-18,27,24
2020-12-19,24,27
2020-12-20,27,29
2020-12-21,22,30
2020-12-22,24,29
2020-12-23,25,28
2020-12-24,28,26
2020-12-25,16,36
2020-12-26,16,36
2020-12-27,23,29
2020-12-28,24,28
2020-12-29,28,24
2020-12-30,29,23
2020-12-31,28,22
2021-01-01,26,24
2021-01-02,27,23
2021-01-03,31,21
2021-01-04,32,20
2021-01-05,34,18
2021-01-06,32,20
2021-01-07,32,20
2021-01-08,30,19
2021-01-09,26,24
2021-01-10,27,23
2021-01-11,29,16
2021-01-12,30,15
2021-01-13,34,11
2021-01-14,32,13
2021-01-15,27,18
2021-01-16,28,17
2021-01-17,26,19
2021-01-18,26,19
2021-01-19,25,20
2021-01-20,29,16
2021-01-21,33,12
2021-01-22,34,11
2021-01-23,37,11
2021-01-24,37,11
2021-01-25,32,16
2021-01-26,35,15
2021-01-27,33,17
2021-01-28,38,12
2021-01-29,33,17
2021-01-30,33,17
2021-01-31,30,20
2021-02-01,32,18
2021-02-02,33,17
2021-02-03,32,18
2021-02-04,37,13
2021-02-05,38,12
2021-02-06,36,14
2021-02-07,36,14
2021-02-08,39,11
2021-02-09,33,17
2021-02-10,35,15
2021-02-11,39,11
2021-02-12,39,11
2021-02-13,31,19
2021-02-14,31,19
2021-02-15,38,12
2021-02-16,35,15
2021-02-17,34,13
2021-02-18,33,17
2021-02-19,35,15
2021-02-20,36,14
2021-02-21,33,17
2021-02-22,34,16
2021-02-23,35,15
2021-02-24,35,15
2021-02-25,32,18
2021-02-26,33,17
2021-02-27,32,15
2021-02-28,26,19
2021-03-01,29,21
2021-03-02,32,18
2021-03-03,31,19
2021-03-04,35,15
2021-03-05,32,18
2021-03-06,30,17
2021-03-07,31,16
2021-03-08,30,20
2021-03-09,32,18
2021-03-10,33,17
2021-03-11,38,12
2021-03-12,36,14
2021-03-13,29,16
2021-03-14,30,15
2021-03-15,29,16
2021-03-16,31,14
2021-03-17,27,20
2021-03-18,35,12
2021-03-19,38,9
2021-03-20,32,13
2021-03-21,29,16
2021-03-22,29,18
2021-03-23,28,17
2021-03-24,29,18
2021-03-25,33,14
2021-03-26,34,13
2021-03-27,34,13
2021-03-28,28,17
2021-03-29,31,14
2021-03-30,32,13
2021-03-31,31,14
2021-04-01,37,9
2021-04-02,34,10
2021-04-03,29,15
2021-04-04,31,13
2021-04-05,33,11
2021-04-06,35,11
2021-04-07,27,19
2021-04-08,30,16
2021-04-09,34,12
2021-04-10,34,12
2021-04-11,34,12
2021-04-12,31,18
2021-04-13,36,13
2021-04-14,46,11
2021-04-15,40,9
2021-04-16,40,9
2021-04-17,34,15
2021-04-18,31,18
2021-04-19,31,18
2021-04-20,32,17
2021-04-21,38,11
2021-04-22,33,16
2021-04-23,41,8
2021-04-24,33,8
2021-04-25,33,8
2021-04-26,32,9
2021-04-27,34,7
