date,betten_belegt,betten_frei
2020-04-24,230,169
2020-04-25,227,174
2020-04-26,226,178
2020-04-27,226,177
2020-04-28,266,139
2020-04-29,269,141
2020-04-30,292,109
2020-05-01,272,129
2020-05-02,259,140
2020-05-03,248,150
2020-05-04,260,140
2020-05-05,276,124
2020-05-06,288,112
2020-05-07,288,117
2020-05-08,279,126
2020-05-09,280,125
2020-05-10,257,149
2020-05-11,254,139
2020-05-12,271,126
2020-05-13,259,139
2020-05-14,265,133
2020-05-15,283,125
2020-05-16,270,140
2020-05-17,264,146
2020-05-18,258,150
2020-05-19,271,143
2020-05-20,274,141
2020-05-21,275,139
2020-05-22,251,163
2020-05-23,259,155
2020-05-24,251,163
2020-05-25,261,153
2020-05-26,287,125
2020-05-27,284,128
2020-05-28,303,109
2020-05-29,306,106
2020-05-30,281,131
2020-05-31,264,148
2020-06-01,257,154
2020-06-02,262,150
2020-06-03,271,141
2020-06-04,294,118
2020-06-05,299,113
2020-06-06,278,134
2020-06-07,256,156
2020-06-08,264,148
2020-06-09,300,112
2020-06-10,302,110
2020-06-11,297,115
2020-06-12,299,114
2020-06-13,290,121
2020-06-14,279,133
2020-06-15,281,131
2020-06-16,304,108
2020-06-17,300,112
2020-06-18,310,97
2020-06-19,311,101
2020-06-20,296,116
2020-06-21,270,142
2020-06-22,273,139
2020-06-23,295,128
2020-06-24,308,115
2020-06-25,297,126
2020-06-26,309,114
2020-06-27,275,148
2020-06-28,264,159
2020-06-29,258,165
2020-06-30,276,148
2020-07-01,307,116
2020-07-02,304,119
2020-07-03,306,117
2020-07-04,297,126
2020-07-05,284,139
2020-07-06,301,123
2020-07-07,303,119
2020-07-08,321,102
2020-07-09,325,98
2020-07-10,324,99
2020-07-11,303,120
2020-07-12,273,149
2020-07-13,275,148
2020-07-14,302,121
2020-07-15,300,124
2020-07-16,318,111
2020-07-17,324,116
2020-07-18,317,112
2020-07-19,296,127
2020-07-20,299,124
2020-07-21,321,120
2020-07-22,318,125
2020-07-23,313,125
2020-07-24,325,113
2020-07-25,321,117
2020-07-26,313,126
2020-07-27,303,135
2020-07-28,309,129
2020-07-29,315,124
2020-07-30,335,103
2020-07-31,316,110
2020-08-01,318,117
2020-08-02,306,130
2020-08-03,304,132
2020-08-04,322,129
2020-08-05,311,126
2020-08-06,303,134
2020-08-07,321,116
2020-08-08,299,138
2020-08-09,283,154
2020-08-10,305,136
2020-08-11,308,129
2020-08-12,314,123
2020-08-13,311,126
2020-08-14,316,114
2020-08-15,301,130
2020-08-16,285,146
2020-08-17,291,146
2020-08-18,305,132
2020-08-19,306,129
2020-08-20,303,132
2020-08-21,316,123
2020-08-22,313,126
2020-08-23,298,141
2020-08-24,307,130
2020-08-25,331,106
2020-08-26,323,114
2020-08-27,331,108
2020-08-28,322,115
2020-08-29,318,119
2020-08-30,300,137
2020-08-31,312,127
2020-09-01,331,110
2020-09-02,324,115
2020-09-03,326,113
2020-09-04,315,124
2020-09-05,319,114
2020-09-06,307,126
2020-09-07,314,125
2020-09-08,323,117
2020-09-09,315,124
2020-09-10,312,127
2020-09-11,319,120
2020-09-12,310,130
2020-09-13,293,148
2020-09-14,296,143
