date,betten_belegt,betten_frei
2020-04-24,35,19
2020-04-25,37,20
2020-04-26,32,24
2020-04-27,31,25
2020-04-28,32,23
2020-04-29,33,23
2020-04-30,30,25
2020-05-01,27,26
2020-05-02,26,28
2020-05-03,25,36
2020-05-04,27,26
2020-05-05,35,20
2020-05-06,31,22
2020-05-07,35,18
2020-05-08,33,20
2020-05-09,32,22
2020-05-10,32,22
2020-05-11,31,24
2020-05-12,31,23
2020-05-13,36,19
2020-05-14,40,14
2020-05-15,35,19
2020-05-16,33,22
2020-05-17,27,27
2020-05-18,32,23
2020-05-19,30,23
2020-05-20,37,15
2020-05-21,39,14
2020-05-22,34,19
2020-05-23,31,21
2020-05-24,31,22
2020-05-25,30,24
2020-05-26,24,29
2020-05-27,31,23
2020-05-28,28,26
2020-05-29,35,19
2020-05-30,30,23
2020-05-31,26,27
2020-06-01,29,24
2020-06-02,33,20
2020-06-03,34,19
2020-06-04,30,23
2020-06-05,31,22
2020-06-06,26,27
2020-06-07,29,24
2020-06-08,32,21
2020-06-09,34,19
2020-06-10,31,21
2020-06-11,32,21
2020-06-12,34,20
2020-06-13,39,26
2020-06-14,33,32
2020-06-15,32,33
2020-06-16,43,22
2020-06-17,42,21
2020-06-18,41,24
2020-06-19,41,23
2020-06-20,47,18
2020-06-21,35,30
2020-06-22,40,25
2020-06-23,39,26
2020-06-24,42,19
2020-06-25,38,22
2020-06-26,40,21
2020-06-27,40,20
2020-06-28,40,19
2020-06-29,42,19
2020-06-30,43,21
2020-07-01,45,20
2020-07-02,46,19
2020-07-03,45,19
2020-07-04,45,21
2020-07-05,43,21
2020-07-06,36,27
2020-07-07,44,22
2020-07-08,51,13
2020-07-09,44,20
2020-07-10,46,18
2020-07-11,46,18
2020-07-12,38,24
2020-07-13,39,23
2020-07-14,39,23
2020-07-15,40,24
2020-07-16,42,22
2020-07-17,45,17
2020-07-18,41,19
2020-07-19,39,23
2020-07-20,38,23
2020-07-21,49,13
2020-07-22,41,22
2020-07-23,41,22
2020-07-24,35,26
2020-07-25,38,26
2020-07-26,39,26
2020-07-27,40,25
2020-07-28,46,19
2020-07-29,42,22
2020-07-30,46,18
2020-07-31,42,18
2020-08-01,38,23
2020-08-02,37,23
2020-08-03,50,14
2020-08-04,47,11
2020-08-05,48,10
2020-08-06,47,11
2020-08-07,42,16
2020-08-08,43,15
2020-08-09,42,16
2020-08-10,44,14
2020-08-11,46,12
2020-08-12,48,10
2020-08-13,51,7
2020-08-14,49,9
2020-08-15,43,15
2020-08-16,39,19
2020-08-17,40,18
2020-08-18,45,13
2020-08-19,47,11
2020-08-20,43,15
2020-08-21,44,14
2020-08-22,44,14
2020-08-23,44,14
2020-08-24,40,18
2020-08-25,43,15
2020-08-26,41,17
2020-08-27,44,14
2020-08-28,47,11
2020-08-29,43,15
2020-08-30,46,10
2020-08-31,40,18
2020-09-01,43,15
2020-09-02,43,15
2020-09-03,45,13
2020-09-04,45,13
2020-09-05,46,12
2020-09-06,40,18
2020-09-07,41,17
2020-09-08,50,8
2020-09-09,46,12
2020-09-10,45,13
2020-09-11,48,10
2020-09-12,42,16
2020-09-13,46,12
2020-09-14,42,16
2020-09-15,49,9
2020-09-16,46,12
2020-09-17,50,8
2020-09-18,50,8
2020-09-19,47,11
2020-09-20,43,15
2020-09-21,43,15
2020-09-22,38,20
2020-09-23,31,27
2020-09-24,37,21
2020-09-25,42,16
2020-09-26,39,19
2020-09-27,34,24
2020-09-28,33,25
2020-09-29,39,19
2020-09-30,44,14
2020-10-01,40,18
2020-10-02,43,15
2020-10-03,41,17
2020-10-04,41,17
2020-10-05,42,16
2020-10-06,46,12
2020-10-07,37,21
2020-10-08,37,21
2020-10-09,39,19
2020-10-10,39,19
2020-10-11,37,21
2020-10-12,36,22
2020-10-13,40,18
2020-10-14,45,13
2020-10-15,39,19
2020-10-16,45,13
2020-10-17,44,14
2020-10-18,46,12
2020-10-19,47,11
2020-10-20,46,12
2020-10-21,45,13
2020-10-22,38,20
2020-10-23,42,16
2020-10-24,43,15
2020-10-25,45,13
2020-10-26,39,19
2020-10-27,45,13
2020-10-28,45,13
2020-10-29,45,13
2020-10-30,50,8
2020-10-31,44,14
2020-11-01,46,12
2020-11-02,48,10
2020-11-03,50,8
2020-11-04,53,5
2020-11-05,48,10
2020-11-06,43,15
2020-11-07,47,11
