date,betten_belegt,betten_frei
2020-04-24,50,33
2020-04-25,51,32
2020-04-26,49,34
2020-04-27,47,36
2020-04-28,49,34
2020-04-29,46,37
2020-04-30,43,40
2020-05-01,46,41
2020-05-02,45,42
2020-05-03,45,41
2020-05-04,41,46
2020-05-05,39,48
2020-05-06,49,35
2020-05-07,52,35
2020-05-08,48,39
2020-05-09,48,39
2020-05-10,47,40
2020-05-11,48,39
2020-05-12,53,34
2020-05-13,52,35
2020-05-14,51,36
2020-05-15,52,35
2020-05-16,49,38
2020-05-17,43,45
2020-05-18,44,44
2020-05-19,43,45
2020-05-20,47,40
2020-05-21,52,35
2020-05-22,53,34
2020-05-23,51,36
2020-05-24,52,35
2020-05-25,53,34
2020-05-26,54,33
2020-05-27,49,38
2020-05-28,56,31
2020-05-29,48,39
2020-05-30,49,38
2020-05-31,48,39
2020-06-01,52,35
2020-06-02,52,35
2020-06-03,46,41
2020-06-04,46,41
2020-06-05,49,38
2020-06-06,55,32
2020-06-07,56,31
2020-06-08,49,37
2020-06-09,55,32
2020-06-10,56,31
2020-06-11,55,32
2020-06-12,52,35
2020-06-13,52,35
2020-06-14,50,37
2020-06-15,57,30
2020-06-16,49,38
2020-06-17,51,36
2020-06-18,54,33
2020-06-19,56,31
2020-06-20,53,34
2020-06-21,48,39
2020-06-22,48,39
2020-06-23,47,40
2020-06-24,53,34
2020-06-25,53,34
2020-06-26,55,32
2020-06-27,58,29
2020-06-28,58,29
2020-06-29,56,31
2020-06-30,54,33
2020-07-01,58,31
2020-07-02,54,32
2020-07-03,54,32
2020-07-04,50,36
2020-07-05,52,35
2020-07-06,55,32
2020-07-07,50,37
2020-07-08,49,38
2020-07-09,51,36
2020-07-10,55,32
2020-07-11,52,35
2020-07-12,44,38
2020-07-13,46,36
2020-07-14,49,33
2020-07-15,51,31
2020-07-16,50,33
2020-07-17,51,32
2020-07-18,54,33
2020-07-19,54,33
2020-07-20,55,32
2020-07-21,55,30
2020-07-22,61,26
2020-07-23,60,27
2020-07-24,64,33
2020-07-25,65,32
2020-07-26,65,32
2020-07-27,65,32
2020-07-28,62,35
2020-07-29,57,40
2020-07-30,53,44
2020-07-31,58,39
2020-08-01,56,39
2020-08-02,59,38
2020-08-03,61,36
2020-08-04,71,36
2020-08-05,76,32
2020-08-06,77,31
2020-08-07,82,26
2020-08-08,78,30
2020-08-09,84,24
2020-08-10,85,23
2020-08-11,82,26
2020-08-12,82,26
2020-08-13,81,25
2020-08-14,83,23
2020-08-15,88,18
2020-08-16,83,23
2020-08-17,83,23
2020-08-18,81,25
2020-08-19,80,26
2020-08-20,78,28
2020-08-21,71,35
2020-08-22,71,35
2020-08-23,74,32
2020-08-24,74,32
2020-08-25,74,32
2020-08-26,72,34
2020-08-27,73,33
2020-08-28,73,33
2020-08-29,75,31
2020-08-30,73,33
2020-08-31,79,27
2020-09-01,78,28
2020-09-02,77,29
2020-09-03,76,30
2020-09-04,82,24
2020-09-05,84,22
2020-09-06,80,26
2020-09-07,81,25
2020-09-08,78,28
2020-09-09,82,24
2020-09-10,82,24
2020-09-11,83,23
2020-09-12,80,26
2020-09-13,74,32
2020-09-14,75,31
2020-09-15,77,29
2020-09-16,72,34
2020-09-17,75,31
2020-09-18,74,32
2020-09-19,74,32
2020-09-20,68,38
2020-09-21,72,34
2020-09-22,80,26
2020-09-23,80,26
2020-09-24,75,31
2020-09-25,81,25
2020-09-26,82,22
2020-09-27,80,24
2020-09-28,78,26
2020-09-29,80,24
2020-09-30,78,26
2020-10-01,77,27
2020-10-02,78,26
2020-10-03,78,26
2020-10-04,77,27
2020-10-05,82,22
2020-10-06,80,24
2020-10-07,81,23
2020-10-08,80,24
2020-10-09,79,29
2020-10-10,80,28
2020-10-11,79,29
2020-10-12,75,33
2020-10-13,77,31
2020-10-14,76,32
2020-10-15,74,34
2020-10-16,81,27
2020-10-17,74,34
2020-10-18,80,28
2020-10-19,79,29
2020-10-20,79,29
2020-10-21,77,26
2020-10-22,75,28
2020-10-23,75,28
2020-10-24,74,29
2020-10-25,73,30
2020-10-26,72,31
2020-10-27,78,25
2020-10-28,77,26
2020-10-29,79,24
2020-10-30,80,23
2020-10-31,78,25
2020-11-01,79,24
2020-11-02,79,24
2020-11-03,82,21
2020-11-04,84,19
2020-11-05,78,25
2020-11-06,78,23
2020-11-07,74,27
2020-11-08,73,28
2020-11-09,75,26
2020-11-10,80,21
2020-11-11,79,22
2020-11-12,80,21
2020-11-13,77,23
2020-11-14,76,24
2020-11-15,69,31
2020-11-16,73,28
2020-11-17,75,26
2020-11-18,77,24
2020-11-19,79,22
2020-11-20,73,29
2020-11-21,72,17
2020-11-22,78,11
2020-11-23,72,17
2020-11-24,65,24
2020-11-25,65,24
2020-11-26,73,16
2020-11-27,73,16
2020-11-28,71,18
2020-11-29,73,16
2020-11-30,75,14
2020-12-01,73,16
2020-12-02,67,22
2020-12-03,66,23
2020-12-04,65,24
2020-12-05,75,14
2020-12-06,72,17
2020-12-07,78,11
2020-12-08,76,12
2020-12-09,71,18
2020-12-10,75,14
2020-12-11,78,10
2020-12-12,76,12
2020-12-13,77,11
2020-12-14,80,8
2020-12-15,73,15
2020-12-16,75,13
2020-12-17,72,16
2020-12-18,79,9
2020-12-19,73,15
2020-12-20,78,10
2020-12-21,75,13
2020-12-22,74,14
2020-12-23,72,16
2020-12-24,72,16
2020-12-25,77,11
2020-12-26,73,15
2020-12-27,77,11
2020-12-28,73,15
2020-12-29,75,13
2020-12-30,78,10
2020-12-31,80,9
2021-01-01,75,14
2021-01-02,75,14
2021-01-03,74,15
2021-01-04,75,14
2021-01-05,74,15
2021-01-06,79,9
2021-01-07,81,7
2021-01-08,74,14
2021-01-09,72,16
2021-01-10,73,15
2021-01-11,74,14
2021-01-12,69,19
2021-01-13,78,10
2021-01-14,79,9
2021-01-15,80,8
2021-01-16,84,4
2021-01-17,81,7
2021-01-18,79,9
2021-01-19,80,8
2021-01-20,79,9
2021-01-21,76,14
2021-01-22,78,12
2021-01-23,77,13
2021-01-24,76,14
2021-01-25,75,15
2021-01-26,76,14
2021-01-27,79,11
2021-01-28,76,14
2021-01-29,74,16
2021-01-30,73,17
2021-01-31,74,16
2021-02-01,69,21
2021-02-02,73,17
2021-02-03,73,17
