date,betten_belegt,betten_frei
2020-04-24,36,30
2020-04-25,32,34
2020-04-26,28,38
2020-04-27,29,37
2020-04-28,35,31
2020-04-29,32,34
2020-04-30,32,34
2020-05-01,36,30
2020-05-02,38,28
2020-05-03,39,27
2020-05-04,35,31
2020-05-05,35,31
2020-05-06,37,29
2020-05-07,35,31
2020-05-08,42,24
2020-05-09,43,23
2020-05-10,38,28
2020-05-11,36,39
2020-05-12,33,29
2020-05-13,37,25
2020-05-14,35,24
2020-05-15,38,21
2020-05-16,43,15
2020-05-17,40,18
2020-05-18,41,19
2020-05-19,42,18
2020-05-20,40,20
2020-05-21,37,23
2020-05-22,41,19
2020-05-23,44,16
2020-05-24,44,17
2020-05-25,37,23
2020-05-26,40,20
2020-05-27,43,17
2020-05-28,38,22
2020-05-29,39,23
2020-05-30,41,21
2020-05-31,41,22
2020-06-01,42,21
2020-06-02,41,23
2020-06-03,42,22
2020-06-04,43,19
2020-06-05,40,22
2020-06-06,46,16
2020-06-07,43,19
2020-06-08,46,16
2020-06-09,43,19
2020-06-10,42,20
2020-06-11,42,20
2020-06-12,38,24
2020-06-13,37,25
2020-06-14,36,26
2020-06-15,37,25
2020-06-16,38,24
2020-06-17,42,20
2020-06-18,38,24
2020-06-19,41,20
2020-06-20,39,23
2020-06-21,37,25
2020-06-22,38,24
2020-06-23,42,20
2020-06-24,39,21
2020-06-25,38,24
2020-06-26,37,24
2020-06-27,39,21
2020-06-28,38,22
2020-06-29,37,23
2020-06-30,41,19
2020-07-01,43,17
2020-07-02,41,19
2020-07-03,42,18
2020-07-04,39,21
2020-07-05,36,24
2020-07-06,33,24
2020-07-07,35,24
2020-07-08,37,22
2020-07-09,37,22
2020-07-10,40,19
2020-07-11,38,21
2020-07-12,32,27
2020-07-13,30,29
2020-07-14,31,28
2020-07-15,30,29
2020-07-16,37,22
2020-07-17,35,24
2020-07-18,39,20
2020-07-19,36,23
2020-07-20,34,25
2020-07-21,31,28
2020-07-22,34,25
2020-07-23,35,26
2020-07-24,36,23
2020-07-25,37,21
2020-07-26,39,20
2020-07-27,36,22
2020-07-28,40,21
2020-07-29,40,19
2020-07-30,38,22
2020-07-31,36,24
2020-08-01,36,23
2020-08-02,34,25
2020-08-03,33,25
2020-08-04,37,22
2020-08-05,37,22
2020-08-06,39,20
