date,betten_belegt,betten_frei
2020-04-24,10,10
2020-04-25,8,12
2020-04-26,8,11
2020-04-27,10,9
2020-04-28,9,9
2020-04-29,7,11
2020-04-30,8,7
2020-05-01,9,7
2020-05-02,8,8
2020-05-03,5,10
2020-05-04,9,6
2020-05-05,8,8
2020-05-06,7,8
2020-05-07,4,10
2020-05-08,7,9
2020-05-09,8,8
2020-05-10,7,9
2020-05-11,9,8
2020-05-12,6,9
2020-05-13,6,9
2020-05-14,7,8
2020-05-15,7,7
2020-05-16,8,8
2020-05-17,8,8
2020-05-18,7,8
2020-05-19,6,8
2020-05-20,8,6
2020-05-21,7,8
2020-05-22,5,9
2020-05-23,8,7
2020-05-24,5,8
2020-05-25,5,10
2020-05-26,6,9
2020-05-27,6,9
2020-05-28,7,8
2020-05-29,7,8
2020-05-30,6,9
2020-05-31,4,11
2020-06-01,4,11
2020-06-02,4,11
2020-06-03,5,10
2020-06-04,9,8
2020-06-05,5,10
2020-06-06,4,11
2020-06-07,1,13
2020-06-08,5,9
2020-06-09,3,12
2020-06-10,6,9
2020-06-11,7,9
2020-06-12,6,8
2020-06-13,6,9
2020-06-14,5,9
2020-06-15,2,12
2020-06-16,4,10
2020-06-17,8,8
2020-06-18,8,8
2020-06-19,7,8
2020-06-20,9,7
2020-06-21,8,8
2020-06-22,7,9
2020-06-23,6,9
2020-06-24,6,8
2020-06-25,9,6
2020-06-26,6,9
2020-06-27,8,8
2020-06-28,8,8
2020-06-29,10,6
2020-06-30,8,7
2020-07-01,5,10
2020-07-02,6,9
2020-07-03,6,9
2020-07-04,6,9
2020-07-05,5,10
2020-07-06,8,7
2020-07-07,7,8
2020-07-08,6,9
2020-07-09,7,8
2020-07-10,8,7
2020-07-11,11,5
2020-07-12,9,6
2020-07-13,7,8
2020-07-14,8,7
2020-07-15,8,7
2020-07-16,8,7
2020-07-17,8,8
2020-07-18,6,9
2020-07-19,5,10
2020-07-20,5,10
2020-07-21,9,7
2020-07-22,7,9
2020-07-23,6,10
2020-07-24,5,10
2020-07-25,5,10
2020-07-26,6,10
2020-07-27,7,8
2020-07-28,6,9
2020-07-29,8,7
2020-07-30,8,7
2020-07-31,9,7
2020-08-01,9,6
2020-08-02,9,6
2020-08-03,9,6
2020-08-04,6,7
2020-08-05,11,2
2020-08-06,8,5
2020-08-07,11,2
2020-08-08,10,3
2020-08-09,6,10
2020-08-10,6,10
2020-08-11,6,10
2020-08-12,10,6
2020-08-13,9,7
2020-08-14,7,9
2020-08-15,7,9
2020-08-16,7,9
2020-08-17,9,7
2020-08-18,6,10
2020-08-19,7,9
2020-08-20,7,9
2020-08-21,7,9
2020-08-22,4,12
2020-08-23,5,11
2020-08-24,5,11
2020-08-25,6,10
2020-08-26,8,8
2020-08-27,8,8
2020-08-28,9,7
2020-08-29,7,9
2020-08-30,7,9
2020-08-31,4,12
2020-09-01,6,10
2020-09-02,9,7
2020-09-03,7,9
2020-09-04,7,9
2020-09-05,8,8
2020-09-06,6,10
2020-09-07,5,11
2020-09-08,5,11
2020-09-09,6,10
2020-09-10,10,6
2020-09-11,9,7
2020-09-12,8,8
2020-09-13,8,8
2020-09-14,7,9
2020-09-15,6,10
2020-09-16,6,10
2020-09-17,6,10
2020-09-18,6,10
2020-09-19,6,10
2020-09-20,6,10
2020-09-21,8,8
2020-09-22,8,8
2020-09-23,7,9
2020-09-24,7,9
2020-09-25,7,9
2020-09-26,6,10
2020-09-27,4,12
2020-09-28,5,11
2020-09-29,4,12
2020-09-30,5,11
2020-10-01,5,11
2020-10-02,9,7
2020-10-03,8,8
2020-10-04,6,10
2020-10-05,6,10
2020-10-06,4,12
2020-10-07,8,8
2020-10-08,5,11
2020-10-09,6,10
2020-10-10,7,9
2020-10-11,8,8
2020-10-12,7,9
2020-10-13,7,9
2020-10-14,9,7
2020-10-15,7,9
2020-10-16,6,10
2020-10-17,8,8
2020-10-18,6,10
2020-10-19,7,9
2020-10-20,4,12
2020-10-21,5,11
2020-10-22,5,11
2020-10-23,6,10
2020-10-24,10,6
2020-10-25,9,7
2020-10-26,8,8
2020-10-27,6,10
2020-10-28,8,8
2020-10-29,7,9
2020-10-30,7,9
2020-10-31,6,10
2020-11-01,9,7
2020-11-02,5,11
2020-11-03,5,11
2020-11-04,5,11
