date,betten_belegt,betten_frei
2020-04-24,101,117
2020-04-25,95,99
2020-04-26,94,100
2020-04-27,94,102
2020-04-28,97,137
2020-04-29,96,139
2020-04-30,95,140
2020-05-01,95,138
2020-05-02,92,134
2020-05-03,92,134
2020-05-04,94,134
2020-05-05,93,135
2020-05-06,94,134
2020-05-07,92,137
2020-05-08,94,134
2020-05-09,86,134
2020-05-10,85,134
2020-05-11,82,132
2020-05-12,82,133
2020-05-13,78,137
2020-05-14,81,133
2020-05-15,82,129
2020-05-16,81,130
2020-05-17,81,130
2020-05-18,79,132
2020-05-19,82,129
2020-05-20,83,128
2020-05-21,83,128
2020-05-22,81,130
2020-05-23,79,131
2020-05-24,77,133
2020-05-25,77,131
2020-05-26,77,131
2020-05-27,77,131
2020-05-28,81,127
2020-05-29,80,128
2020-05-30,79,129
2020-05-31,76,132
2020-06-01,74,134
2020-06-02,75,135
2020-06-03,81,130
2020-06-04,82,127
2020-06-05,81,128
2020-06-06,75,133
2020-06-07,77,132
2020-06-08,75,133
2020-06-09,76,131
2020-06-10,78,130
2020-06-11,77,131
2020-06-12,74,134
2020-06-13,73,135
2020-06-14,73,135
2020-06-15,74,131
2020-06-16,74,126
2020-06-17,72,127
2020-06-18,80,123
2020-06-19,79,123
2020-06-20,80,125
2020-06-21,80,123
2020-06-22,74,129
2020-06-23,82,126
2020-06-24,82,126
2020-06-25,81,126
2020-06-26,79,125
2020-06-27,74,130
2020-06-28,75,129
2020-06-29,73,131
2020-06-30,76,127
2020-07-01,74,129
2020-07-02,73,130
2020-07-03,73,128
2020-07-04,70,131
2020-07-05,69,132
2020-07-06,70,131
2020-07-07,69,132
2020-07-08,70,131
2020-07-09,70,130
2020-07-10,71,130
2020-07-11,75,125
2020-07-12,73,125
2020-07-13,70,128
2020-07-14,74,128
2020-07-15,77,124
2020-07-16,77,124
2020-07-17,77,125
2020-07-18,72,130
2020-07-19,72,130
2020-07-20,69,133
2020-07-21,66,127
2020-07-22,66,126
2020-07-23,63,129
2020-07-24,60,132
2020-07-25,59,133
2020-07-26,58,134
2020-07-27,59,133
2020-07-28,60,132
2020-07-29,60,131
2020-07-30,64,129
2020-07-31,63,130
2020-08-01,63,131
2020-08-02,61,132
2020-08-03,61,133
2020-08-04,104,46
2020-08-05,104,46
2020-08-06,103,47
2020-08-07,103,46
2020-08-08,104,45
2020-08-09,102,47
2020-08-10,101,53
2020-08-11,103,50
2020-08-12,105,49
2020-08-13,100,54
2020-08-14,102,48
2020-08-15,104,46
2020-08-16,102,48
2020-08-17,100,50
2020-08-18,101,52
2020-08-19,103,51
2020-08-20,102,52
2020-08-21,108,46
2020-08-22,100,49
2020-08-23,100,49
2020-08-24,99,50
2020-08-25,103,46
2020-08-26,103,47
2020-08-27,105,45
2020-08-28,105,45
2020-08-29,95,52
2020-08-30,96,52
2020-08-31,95,53
2020-09-01,102,48
2020-09-02,100,50
2020-09-03,103,47
2020-09-04,104,46
2020-09-05,102,46
2020-09-06,102,46
2020-09-07,104,44
2020-09-08,105,45
2020-09-09,104,46
2020-09-10,103,47
2020-09-11,104,45
2020-09-12,102,46
2020-09-13,99,49
2020-09-14,99,49
2020-09-15,99,50
2020-09-16,104,49
2020-09-17,104,49
2020-09-18,109,44
2020-09-19,103,46
2020-09-20,103,46
2020-09-21,97,52
2020-09-22,103,46
2020-09-23,105,44
2020-09-24,103,46
2020-09-25,101,48
2020-09-26,98,50
2020-09-27,95,53
2020-09-28,89,58
2020-09-29,93,55
2020-09-30,90,58
2020-10-01,92,56
2020-10-02,92,56
2020-10-03,90,58
2020-10-04,90,58
2020-10-05,89,59
2020-10-06,90,58
2020-10-07,91,57
2020-10-08,89,59
2020-10-09,92,56
2020-10-10,92,56
2020-10-11,88,60
2020-10-12,89,59
2020-10-13,90,58
2020-10-14,90,58
2020-10-15,90,58
2020-10-16,88,60
2020-10-17,89,59
2020-10-18,89,59
2020-10-19,86,60
2020-10-20,87,59
2020-10-21,88,58
2020-10-22,90,56
2020-10-23,91,55
2020-10-24,91,55
2020-10-25,90,56
2020-10-26,89,61
2020-10-27,92,58
2020-10-28,91,59
2020-10-29,91,59
2020-10-30,89,57
2020-10-31,88,58
2020-11-01,87,59
2020-11-02,88,50
2020-11-03,90,9
2020-11-04,87,12
2020-11-05,88,11
2020-11-06,100,30
2020-11-07,102,24
2020-11-08,102,24
2020-11-09,102,22
2020-11-10,109,21
2020-11-11,100,31
2020-11-12,102,32
2020-11-13,97,9
2020-11-14,96,6
2020-11-15,96,6
2020-11-16,93,9
2020-11-17,92,10
2020-11-18,95,11
2020-11-19,95,13
2020-11-20,91,17
2020-11-21,94,10
2020-11-22,93,11
2020-11-23,91,17
2020-11-24,98,10
2020-11-25,100,8
2020-11-26,98,8
2020-11-27,100,7
2020-11-28,101,6
2020-11-29,96,10
2020-11-30,95,12
2020-12-01,94,9
2020-12-02,92,11
2020-12-03,95,12
2020-12-04,92,8
2020-12-05,90,10
2020-12-06,89,11
2020-12-07,93,7
2020-12-08,94,6
2020-12-09,91,8
2020-12-10,94,7
2020-12-11,92,9
2020-12-12,90,10
2020-12-13,86,14
2020-12-14,90,10
2020-12-15,88,13
2020-12-16,90,11
2020-12-17,91,10
2020-12-18,96,5
2020-12-19,91,13
2020-12-20,91,9
2020-12-21,95,8
2020-12-22,98,5
2020-12-23,96,7
2020-12-24,89,14
2020-12-25,92,10
2020-12-26,91,11
2020-12-27,89,13
2020-12-28,89,13
2020-12-29,87,13
2020-12-30,95,6
2020-12-31,91,11
2021-01-01,95,8
2021-01-02,94,9
2021-01-03,96,7
2021-01-04,94,9
2021-01-05,91,9
2021-01-06,94,6
2021-01-07,91,9
2021-01-08,88,12
2021-01-09,86,14
2021-01-10,92,8
2021-01-11,91,6
2021-01-12,93,4
2021-01-13,93,4
2021-01-14,91,4
2021-01-15,83,12
2021-01-16,88,7
2021-01-17,86,9
2021-01-18,94,1
2021-01-19,90,5
2021-01-20,88,6
2021-01-21,88,6
2021-01-22,92,2
2021-01-23,90,4
2021-01-24,87,7
2021-01-25,85,9
2021-01-26,87,3
2021-01-27,91,5
2021-01-28,86,11
2021-01-29,92,5
2021-01-30,87,10
2021-01-31,80,14
2021-02-01,86,7
2021-02-02,87,7
2021-02-03,92,6
2021-02-04,92,6
2021-02-05,91,7
2021-02-06,90,4
2021-02-07,82,12
2021-02-08,89,4
2021-02-09,88,5
2021-02-10,89,5
2021-02-11,91,7
2021-02-12,90,8
2021-02-13,89,7
2021-02-14,82,13
2021-02-15,86,9
2021-02-16,87,10
2021-02-17,90,10
2021-02-18,85,15
2021-02-19,79,21
2021-02-20,79,21
2021-02-21,81,16
2021-02-22,88,11
2021-02-23,90,9
2021-02-24,91,8
2021-02-25,94,4
2021-02-26,89,5
2021-02-27,89,7
2021-02-28,91,5
2021-03-01,91,9
2021-03-02,92,9
2021-03-03,94,7
2021-03-04,96,5
2021-03-05,98,3
2021-03-06,92,5
2021-03-07,87,9
2021-03-08,93,3
2021-03-09,96,5
2021-03-10,94,6
2021-03-11,93,7
2021-03-12,90,6
2021-03-13,86,14
2021-03-14,87,13
2021-03-15,90,6
2021-03-16,91,3
2021-03-17,90,4
2021-03-18,91,3
2021-03-19,91,3
2021-03-20,90,4
2021-03-21,90,4
2021-03-22,90,4
2021-03-23,90,4
2021-03-24,91,3
2021-03-25,90,6
2021-03-26,90,6
2021-03-27,91,5
2021-03-28,91,5
2021-03-29,92,4
2021-03-30,91,5
2021-03-31,98,2
2021-04-01,96,4
2021-04-02,94,2
2021-04-03,93,4
2021-04-04,92,5
2021-04-05,91,5
2021-04-06,94,3
2021-04-07,95,2
2021-04-08,94,2
2021-04-09,95,1
2021-04-10,95,1
2021-04-11,95,1
2021-04-12,93,3
2021-04-13,92,2
2021-04-14,93,1
2021-04-15,90,4
2021-04-16,94,6
2021-04-17,91,3
2021-04-18,91,3
2021-04-19,99,1
2021-04-20,97,2
2021-04-21,97,2
2021-04-22,94,5
2021-04-23,96,3
2021-04-24,91,8
2021-04-25,89,10
2021-04-26,92,3
2021-04-27,92,3
2021-04-28,91,5
2021-04-29,88,2
2021-04-30,93,2
2021-05-01,90,5
2021-05-02,89,10
2021-05-03,89,10
2021-05-04,95,4
2021-05-05,92,7
2021-05-06,95,4
2021-05-07,95,4
2021-05-08,95,4
2021-05-09,94,4
2021-05-10,95,4
2021-05-11,96,3
2021-05-12,98,1
2021-05-13,92,1
2021-05-14,92,1
2021-05-15,91,2
2021-05-16,90,3
2021-05-17,91,4
2021-05-18,95,1
2021-05-19,94,2
2021-05-20,95,1
2021-05-21,95,1
2021-05-22,95,1
2021-05-23,91,5
2021-05-24,91,6
2021-05-25,92,5
2021-05-26,94,3
2021-05-27,96,1
2021-05-28,93,3
2021-05-29,89,6
2021-05-30,90,5
2021-05-31,93,3
2021-06-01,95,2
2021-06-02,96,1
2021-06-03,94,2
2021-06-04,96,1
2021-06-05,96,1
2021-06-06,94,1
2021-06-07,94,7
2021-06-08,96,1
2021-06-09,94,3
2021-06-10,95,2
2021-06-11,96,1
2021-06-12,95,2
2021-06-13,92,5
2021-06-14,91,6
2021-06-15,95,2
2021-06-16,95,2
2021-06-17,95,2
2021-06-18,95,2
2021-06-19,94,2
2021-06-20,90,6
2021-06-21,94,2
2021-06-22,95,1
2021-06-23,94,2
2021-06-24,94,2
2021-06-25,95,1
2021-06-26,92,4
2021-06-27,92,4
2021-06-28,93,3
2021-06-29,93,3
2021-06-30,94,2
2021-07-01,94,6
2021-07-02,94,6
2021-07-03,89,3
2021-07-04,88,10
2021-07-05,89,9
2021-07-06,90,8
2021-07-07,93,5
2021-07-08,93,1
2021-07-09,93,1
2021-07-10,92,4
2021-07-11,89,7
2021-07-12,88,8
2021-07-13,91,5
2021-07-14,92,4
2021-07-15,92,4
2021-07-16,91,5
2021-07-17,87,8
2021-07-18,85,10
2021-07-19,85,12
2021-07-20,85,12
2021-07-21,88,8
2021-07-22,92,4
2021-07-23,92,4
2021-07-24,91,5
2021-07-25,85,9
2021-07-26,87,7
2021-07-27,90,4
2021-07-28,90,4
2021-07-29,89,4
2021-07-30,89,4
2021-07-31,88,5
2021-08-01,88,5
2021-08-02,89,4
2021-08-03,91,4
2021-08-04,91,5
2021-08-05,91,5
2021-08-06,90,5
2021-08-07,85,10
2021-08-08,85,10
2021-08-09,90,6
2021-08-10,90,6
2021-08-11,90,6
2021-08-12,90,6
2021-08-13,92,4
2021-08-14,88,7
2021-08-15,87,8
2021-08-16,92,4
2021-08-17,92,4
2021-08-18,92,4
2021-08-19,91,4
2021-08-20,91,4
2021-08-21,89,6
2021-08-22,87,8
2021-08-23,90,5
2021-08-24,91,5
2021-08-25,91,4
2021-08-26,91,4
2021-08-27,91,4
2021-08-28,91,4
2021-08-29,87,6
2021-08-30,90,5
2021-08-31,91,4
2021-09-01,91,4
2021-09-02,91,4
2021-09-03,91,4
2021-09-04,86,7
2021-09-05,85,8
2021-09-06,85,9
2021-09-07,90,5
2021-09-08,92,3
2021-09-09,92,3
2021-09-10,90,5
2021-09-11,87,8
2021-09-12,87,8
2021-09-13,89,6
2021-09-14,90,5
2021-09-15,89,5
2021-09-16,92,7
2021-09-17,94,5
2021-09-18,91,7
2021-09-19,87,11
2021-09-20,89,5
2021-09-21,77,6
2021-09-22,78,5
2021-09-23,78,5
2021-09-24,78,5
2021-09-25,75,8
2021-09-26,75,8
2021-09-27,76,8
2021-09-28,78,5
2021-09-29,79,4
2021-09-30,79,4
2021-10-01,78,5
2021-10-02,75,8
2021-10-03,75,8
2021-10-04,81,6
2021-10-05,78,5
2021-10-06,78,5
2021-10-07,78,5
2021-10-08,81,6
2021-10-09,82,6
2021-10-10,80,4
2021-10-11,80,4
2021-10-12,80,4
2021-10-13,80,4
2021-10-14,79,5
2021-10-15,80,4
2021-10-16,78,6
2021-10-17,78,6
2021-10-18,79,5
2021-10-19,80,8
2021-10-20,82,6
2021-10-21,84,4
2021-10-22,79,4
2021-10-23,76,8
2021-10-24,77,8
2021-10-25,77,8
2021-10-26,81,4
2021-10-27,81,4
2021-10-28,81,4
2021-10-29,80,4
2021-10-30,79,5
2021-10-31,82,2
2021-11-01,83,1
2021-11-02,83,1
2021-11-03,83,1
2021-11-04,83,1
2021-11-05,83,1
2021-11-06,81,3
2021-11-07,80,4
2021-11-08,80,4
2021-11-09,79,9
2021-11-10,83,5
2021-11-11,85,3
2021-11-12,85,3
2021-11-13,82,2
2021-11-14,82,2
2021-11-15,85,3
2021-11-16,83,1
2021-11-17,83,5
2021-11-18,86,2
2021-11-19,84,4
2021-11-20,82,2
2021-11-21,80,4
2021-11-22,80,4
2021-11-23,82,6
2021-11-24,86,2
2021-11-25,85,3
2021-11-26,86,2
2021-11-27,85,3
2021-11-28,81,3
2021-11-29,81,3
2021-11-30,83,1
2021-12-01,83,1
2021-12-02,83,1
2021-12-03,83,1
2021-12-04,83,1
2021-12-05,80,4
2021-12-06,80,8
2021-12-07,83,5
2021-12-08,84,4
2021-12-09,85,3
2021-12-10,82,2
2021-12-11,83,1
2021-12-12,81,3
2021-12-13,83,1
2021-12-14,83,1
2021-12-15,83,1
2021-12-16,83,1
2021-12-17,83,1
2021-12-18,81,3
2021-12-19,81,3
2021-12-20,81,3
2021-12-21,83,2
2021-12-22,83,1
2021-12-23,83,1
2021-12-24,82,2
2021-12-25,82,2
2021-12-26,81,2
2021-12-27,79,4
2021-12-28,78,6
2021-12-29,81,3
2021-12-30,83,1
2021-12-31,83,1
2022-01-01,83,1
2022-01-02,81,3
2022-01-03,81,3
2022-01-04,82,2
2022-01-05,82,2
2022-01-06,79,5
2022-01-07,80,4
2022-01-08,81,3
2022-01-09,81,3
2022-01-10,84,1
2022-01-11,83,1
2022-01-12,83,1
2022-01-13,83,1
2022-01-14,81,3
2022-01-15,80,4
2022-01-16,78,6
2022-01-17,80,5
2022-01-18,84,1
2022-01-19,84,1
2022-01-20,84,1
2022-01-21,83,2
2022-01-22,79,6
2022-01-23,76,8
2022-01-24,82,2
2022-01-25,80,4
2022-01-26,82,3
2022-01-27,82,3
2022-01-28,84,1
2022-01-29,79,6
2022-01-30,76,9
2022-01-31,78,7
2022-02-01,82,3
2022-02-02,82,3
2022-02-03,80,5
2022-02-04,80,5
2022-02-05,76,8
2022-02-06,76,8
2022-02-07,78,7
2022-02-08,78,7
2022-02-09,83,2
2022-02-10,83,2
2022-02-11,84,1
2022-02-12,80,5
2022-02-13,80,5
2022-02-14,79,5
2022-02-15,80,4
2022-02-16,82,1
2022-02-17,79,4
2022-02-18,80,3
2022-02-19,77,6
2022-02-20,76,7
2022-02-21,74,8
2022-02-22,79,3
2022-02-23,78,4
2022-02-24,78,4
2022-02-25,77,5
2022-02-26,80,3
