date,betten_belegt,betten_frei
2020-04-24,73,44
2020-04-25,73,44
2020-04-26,61,56
2020-04-27,65,52
2020-04-28,72,47
2020-04-29,66,53
2020-04-30,69,49
2020-05-01,71,47
2020-05-02,71,45
2020-05-03,72,44
2020-05-04,69,53
2020-05-05,63,59
2020-05-06,66,56
2020-05-07,75,48
2020-05-08,70,53
2020-05-09,77,44
2020-05-10,73,48
2020-05-11,70,50
2020-05-12,65,58
2020-05-13,78,48
2020-05-14,80,46
2020-05-15,80,46
2020-05-16,80,46
2020-05-17,77,49
2020-05-18,78,48
2020-05-19,77,50
2020-05-20,75,51
2020-05-21,74,51
2020-05-22,73,53
2020-05-23,72,54
2020-05-24,69,57
2020-05-25,69,56
2020-05-26,70,56
2020-05-27,69,57
2020-05-28,67,59
2020-05-29,66,60
2020-05-30,67,58
2020-05-31,63,60
2020-06-01,65,58
2020-06-02,64,61
2020-06-03,61,65
2020-06-04,67,59
2020-06-05,66,60
2020-06-06,63,63
2020-06-07,66,60
2020-06-08,64,62
2020-06-09,68,58
2020-06-10,69,57
2020-06-11,58,68
2020-06-12,60,66
2020-06-13,72,54
2020-06-14,70,57
2020-06-15,69,58
2020-06-16,80,61
2020-06-17,81,61
2020-06-18,85,57
2020-06-19,89,51
2020-06-20,85,57
2020-06-21,82,56
2020-06-22,77,63
2020-06-23,81,61
2020-06-24,81,61
2020-06-25,82,58
2020-06-26,82,60
2020-06-27,86,57
2020-06-28,90,53
2020-06-29,81,62
2020-06-30,89,56
2020-07-01,91,54
2020-07-02,84,60
2020-07-03,77,69
2020-07-04,77,67
2020-07-05,79,64
2020-07-06,85,59
2020-07-07,83,61
2020-07-08,80,64
2020-07-09,80,64
2020-07-10,80,64
2020-07-11,78,66
2020-07-12,85,59
2020-07-13,83,61
2020-07-14,79,65
2020-07-15,80,64
2020-07-16,78,66
2020-07-17,74,69
2020-07-18,80,64
2020-07-19,81,63
2020-07-20,81,63
2020-07-21,86,56
2020-07-22,85,59
2020-07-23,87,57
2020-07-24,89,54
2020-07-25,94,50
2020-07-26,93,50
2020-07-27,77,69
2020-07-28,82,65
2020-07-29,80,64
2020-07-30,76,68
2020-07-31,77,67
2020-08-01,87,57
2020-08-02,83,61
2020-08-03,83,61
2020-08-04,77,51
2020-08-05,84,44
2020-08-06,79,42
2020-08-07,74,47
2020-08-08,83,38
2020-08-09,82,39
2020-08-10,75,46
2020-08-11,79,42
2020-08-12,84,38
2020-08-13,88,34
2020-08-14,92,29
2020-08-15,92,26
2020-08-16,88,33
2020-08-17,92,29
2020-08-18,93,28
2020-08-19,92,29
2020-08-20,83,38
2020-08-21,87,34
2020-08-22,87,34
2020-08-23,79,42
2020-08-24,85,36
2020-08-25,94,28
2020-08-26,77,44
2020-08-27,80,41
2020-08-28,84,37
2020-08-29,83,38
2020-08-30,84,38
2020-08-31,87,35
2020-09-01,90,31
2020-09-02,89,32
2020-09-03,85,36
2020-09-04,83,38
2020-09-05,86,35
2020-09-06,84,37
2020-09-07,87,34
2020-09-08,81,40
2020-09-09,90,31
2020-09-10,88,33
2020-09-11,83,38
2020-09-12,85,36
2020-09-13,86,35
2020-09-14,87,34
2020-09-15,86,35
2020-09-16,85,36
2020-09-17,90,31
2020-09-18,79,42
2020-09-19,92,29
2020-09-20,86,35
2020-09-21,86,35
2020-09-22,88,33
2020-09-23,89,32
2020-09-24,94,28
2020-09-25,91,31
2020-09-26,84,38
2020-09-27,82,40
2020-09-28,82,40
2020-09-29,85,37
2020-09-30,95,27
2020-10-01,92,30
2020-10-02,89,33
2020-10-03,87,35
2020-10-04,82,40
2020-10-05,83,39
2020-10-06,83,39
2020-10-07,85,37
2020-10-08,85,37
2020-10-09,91,31
2020-10-10,98,24
2020-10-11,88,34
2020-10-12,88,34
2020-10-13,81,41
2020-10-14,81,41
2020-10-15,79,43
2020-10-16,83,39
2020-10-17,82,40
2020-10-18,80,42
2020-10-19,86,36
2020-10-20,87,35
2020-10-21,81,41
2020-10-22,84,38
2020-10-23,83,39
2020-10-24,76,46
2020-10-25,79,43
2020-10-26,76,46
2020-10-27,84,37
2020-10-28,82,40
2020-10-29,76,46
2020-10-30,80,42
2020-10-31,83,39
2020-11-01,82,40
2020-11-02,84,38
2020-11-03,84,38
2020-11-04,81,41
2020-11-05,80,42
2020-11-06,85,37
2020-11-07,74,48
2020-11-08,79,43
2020-11-09,80,42
2020-11-10,84,38
2020-11-11,83,37
2020-11-12,77,43
2020-11-13,85,33
2020-11-14,89,29
2020-11-15,89,29
2020-11-16,91,28
2020-11-17,87,33
2020-11-18,90,29
2020-11-19,82,37
2020-11-20,86,33
2020-11-21,83,36
2020-11-22,87,31
2020-11-23,86,33
2020-11-24,87,32
2020-11-25,83,40
2020-11-26,87,36
2020-11-27,94,29
2020-11-28,102,20
2020-11-29,102,21
2020-11-30,102,21
2020-12-01,105,18
2020-12-02,100,23
2020-12-03,106,17
2020-12-04,93,26
2020-12-05,98,21
2020-12-06,99,20
2020-12-07,103,16
2020-12-08,100,19
2020-12-09,98,21
2020-12-10,96,23
2020-12-11,98,21
2020-12-12,99,20
2020-12-13,95,23
2020-12-14,99,19
2020-12-15,94,24
2020-12-16,93,25
2020-12-17,97,21
2020-12-18,95,23
2020-12-19,99,19
2020-12-20,94,24
2020-12-21,96,22
2020-12-22,95,23
2020-12-23,94,23
2020-12-24,91,26
2020-12-25,94,23
2020-12-26,94,23
2020-12-27,95,22
2020-12-28,90,27
2020-12-29,92,26
2020-12-30,91,27
2020-12-31,93,25
2021-01-01,98,20
2021-01-02,95,23
2021-01-03,94,24
2021-01-04,97,21
2021-01-05,98,20
2021-01-06,97,21
2021-01-07,94,24
2021-01-08,95,23
2021-01-09,94,24
2021-01-10,92,26
2021-01-11,96,22
2021-01-12,101,17
2021-01-13,97,21
2021-01-14,99,19
2021-01-15,101,17
2021-01-16,102,17
2021-01-17,94,23
2021-01-18,96,22
2021-01-19,99,19
2021-01-20,97,21
2021-01-21,93,25
2021-01-22,95,23
2021-01-23,94,24
2021-01-24,95,22
2021-01-25,93,25
2021-01-26,93,24
2021-01-27,91,26
2021-01-28,92,26
2021-01-29,90,28
2021-01-30,90,27
2021-01-31,91,26
2021-02-01,90,27
2021-02-02,89,28
2021-02-03,88,29
2021-02-04,89,29
2021-02-05,90,29
2021-02-06,90,29
2021-02-07,83,35
2021-02-08,89,29
2021-02-09,83,35
2021-02-10,90,28
2021-02-11,88,30
2021-02-12,88,30
2021-02-13,85,33
2021-02-14,87,31
2021-02-15,87,30
2021-02-16,92,25
2021-02-17,87,31
2021-02-18,90,28
2021-02-19,89,29
2021-02-20,89,32
2021-02-21,89,32
2021-02-22,95,26
2021-02-23,91,30
2021-02-24,87,34
2021-02-25,90,31
2021-02-26,89,32
2021-02-27,91,30
2021-02-28,91,30
2021-03-01,91,30
2021-03-02,93,28
2021-03-03,88,32
2021-03-04,100,20
2021-03-05,93,27
2021-03-06,97,23
2021-03-07,97,23
2021-03-08,95,25
2021-03-09,98,22
2021-03-10,93,27
2021-03-11,92,28
2021-03-12,98,22
2021-03-13,93,28
2021-03-14,97,24
2021-03-15,102,19
2021-03-16,90,31
2021-03-17,96,25
2021-03-18,92,29
2021-03-19,93,28
2021-03-20,86,34
2021-03-21,91,29
2021-03-22,96,25
2021-03-23,101,21
2021-03-24,99,22
2021-03-25,94,27
2021-03-26,96,25
2021-03-27,98,22
2021-03-28,101,20
2021-03-29,100,21
2021-03-30,105,16
2021-03-31,102,19
2021-04-01,105,16
2021-04-02,103,17
2021-04-03,99,22
2021-04-04,101,20
2021-04-05,108,13
2021-04-06,107,14
2021-04-07,106,15
2021-04-08,104,17
2021-04-09,103,19
2021-04-10,98,20
2021-04-11,105,13
2021-04-12,102,15
2021-04-13,101,16
2021-04-14,103,14
2021-04-15,98,19
2021-04-16,97,20
2021-04-17,95,24
2021-04-18,97,22
2021-04-19,100,19
2021-04-20,96,23
2021-04-21,95,24
2021-04-22,93,26
2021-04-23,96,23
2021-04-24,101,18
2021-04-25,102,17
2021-04-26,96,22
2021-04-27,97,22
2021-04-28,98,21
2021-04-29,94,25
2021-04-30,101,18
2021-05-01,98,21
2021-05-02,98,21
2021-05-03,92,27
2021-05-04,97,22
2021-05-05,99,19
2021-05-06,99,20
2021-05-07,95,24
2021-05-08,99,20
2021-05-09,95,24
2021-05-10,102,16
2021-05-11,104,15
2021-05-12,100,18
2021-05-13,95,23
2021-05-14,99,20
2021-05-15,99,19
2021-05-16,95,23
2021-05-17,98,20
2021-05-18,104,14
2021-05-19,98,20
2021-05-20,101,17
2021-05-21,96,22
2021-05-22,87,31
2021-05-23,96,21
2021-05-24,96,22
2021-05-25,100,14
2021-05-26,95,19
2021-05-27,99,18
2021-05-28,96,21
2021-05-29,95,22
2021-05-30,98,19
2021-05-31,98,17
2021-06-01,104,11
2021-06-02,100,15
2021-06-03,95,20
2021-06-04,94,21
2021-06-05,94,21
2021-06-06,99,16
2021-06-07,93,21
2021-06-08,95,20
2021-06-09,95,21
2021-06-10,94,22
2021-06-11,94,22
2021-06-12,95,21
2021-06-13,100,16
2021-06-14,103,13
2021-06-15,98,18
2021-06-16,94,22
2021-06-17,95,21
2021-06-18,90,26
2021-06-19,98,18
2021-06-20,99,17
2021-06-21,98,18
2021-06-22,96,20
2021-06-23,99,17
2021-06-24,99,17
2021-06-25,99,17
2021-06-26,97,19
2021-06-27,98,18
2021-06-28,98,18
2021-06-29,94,22
2021-06-30,91,25
2021-07-01,95,21
2021-07-02,97,19
2021-07-03,89,27
2021-07-04,90,25
2021-07-05,87,28
2021-07-06,89,26
2021-07-07,92,24
2021-07-08,94,22
2021-07-09,94,22
2021-07-10,98,15
2021-07-11,99,16
2021-07-12,95,20
2021-07-13,97,19
2021-07-14,95,21
2021-07-15,96,19
2021-07-16,94,17
2021-07-17,96,17
2021-07-18,98,18
2021-07-19,99,17
2021-07-20,94,20
2021-07-21,96,18
2021-07-22,96,18
2021-07-23,94,20
2021-07-24,98,17
2021-07-25,99,17
2021-07-26,102,14
2021-07-27,101,14
2021-07-28,100,16
2021-07-29,97,19
2021-07-30,99,16
2021-07-31,96,19
2021-08-01,95,18
2021-08-02,90,25
2021-08-03,89,26
2021-08-04,86,30
2021-08-05,86,30
2021-08-06,93,23
2021-08-07,95,21
2021-08-08,91,25
2021-08-09,85,31
2021-08-10,92,24
2021-08-11,88,27
2021-08-12,89,26
2021-08-13,84,31
2021-08-14,87,29
2021-08-15,86,29
2021-08-16,80,35
2021-08-17,84,31
2021-08-18,90,25
2021-08-19,81,34
2021-08-20,83,31
2021-08-21,82,33
2021-08-22,86,29
2021-08-23,84,31
2021-08-24,88,25
2021-08-25,86,27
2021-08-26,87,27
2021-08-27,87,22
2021-08-28,87,23
2021-08-29,90,19
2021-08-30,89,24
2021-08-31,87,26
2021-09-01,100,14
2021-09-02,96,18
2021-09-03,93,22
2021-09-04,94,20
2021-09-05,92,20
2021-09-06,92,22
2021-09-07,98,16
2021-09-08,95,20
2021-09-09,94,21
2021-09-10,90,25
2021-09-11,90,25
2021-09-12,92,23
2021-09-13,91,24
2021-09-14,99,16
2021-09-15,98,17
2021-09-16,101,14
2021-09-17,102,13
2021-09-18,99,16
2021-09-19,101,14
2021-09-20,96,19
2021-09-21,95,20
2021-09-22,95,20
2021-09-23,98,17
2021-09-24,96,19
2021-09-25,97,17
2021-09-26,95,20
2021-09-27,88,24
2021-09-28,94,16
2021-09-29,93,17
2021-09-30,99,11
2021-10-01,97,16
2021-10-02,97,16
2021-10-03,97,16
2021-10-04,92,23
2021-10-05,97,18
2021-10-06,91,24
2021-10-07,95,20
2021-10-08,97,18
2021-10-09,94,21
2021-10-10,89,26
2021-10-11,96,16
2021-10-12,91,24
2021-10-13,90,25
2021-10-14,92,20
2021-10-15,94,18
2021-10-16,85,27
2021-10-17,90,20
2021-10-18,88,28
2021-10-19,89,25
2021-10-20,90,25
2021-10-21,88,25
2021-10-22,92,23
2021-10-23,97,18
2021-10-24,91,21
2021-10-25,97,17
2021-10-26,93,21
2021-10-27,92,22
2021-10-28,92,23
2021-10-29,91,21
2021-10-30,86,26
2021-10-31,87,25
2021-11-01,92,23
2021-11-02,88,27
2021-11-03,91,24
2021-11-04,89,26
2021-11-05,91,24
2021-11-06,93,22
2021-11-07,90,24
2021-11-08,91,23
2021-11-09,92,23
2021-11-10,91,24
2021-11-11,97,18
2021-11-12,95,20
2021-11-13,92,21
2021-11-14,93,22
2021-11-15,93,22
2021-11-16,96,19
2021-11-17,96,11
2021-11-18,91,16
2021-11-19,96,11
2021-11-20,89,15
2021-11-21,88,17
2021-11-22,88,18
2021-11-23,97,10
2021-11-24,97,10
2021-11-25,100,8
2021-11-26,99,8
2021-11-27,100,7
