date,betten_belegt,betten_frei
2020-04-24,23,2
2020-04-25,22,3
2020-04-26,22,3
2020-04-27,22,3
2020-04-28,22,3
2020-04-29,19,6
2020-04-30,19,6
2020-05-01,10,15
2020-05-02,13,12
2020-05-03,17,8
2020-05-04,17,8
2020-05-05,20,5
2020-05-06,20,5
2020-05-07,20,5
2020-05-08,20,5
2020-05-09,20,5
2020-05-10,20,5
2020-05-11,20,5
2020-05-12,20,5
2020-05-13,15,10
2020-05-14,15,10
2020-05-15,10,15
2020-05-16,14,11
2020-05-17,16,9
2020-05-18,9,16
2020-05-19,13,12
2020-05-20,14,11
2020-05-21,15,10
2020-05-22,16,9
2020-05-23,15,6
2020-05-24,20,6
2020-05-25,14,11
2020-05-26,13,11
2020-05-27,13,10
2020-05-28,16,7
2020-05-29,17,6
2020-05-30,17,6
2020-05-31,13,9
2020-06-01,13,9
2020-06-02,13,9
2020-06-03,16,6
2020-06-04,17,5
2020-06-05,16,6
2020-06-06,9,10
2020-06-07,19,0
2020-06-08,14,6
2020-06-09,14,6
2020-06-10,9,4
2020-06-11,9,4
2020-06-12,10,3
2020-06-13,14,6
2020-06-14,18,3
2020-06-15,16,5
2020-06-16,20,1
2020-06-17,18,3
2020-06-18,17,3
2020-06-19,18,1
2020-06-20,13,6
2020-06-21,13,6
2020-06-22,12,8
2020-06-23,14,6
2020-06-24,12,8
2020-06-25,17,3
2020-06-26,15,5
2020-06-27,12,8
2020-06-28,7,7
2020-06-29,8,8
2020-06-30,11,9
2020-07-01,14,6
2020-07-02,12,8
2020-07-03,14,5
2020-07-04,7,11
2020-07-05,7,11
2020-07-06,24,15
2020-07-07,26,14
2020-07-08,28,12
2020-07-09,26,11
2020-07-10,24,13
2020-07-11,23,13
2020-07-12,24,13
2020-07-13,21,14
2020-07-14,21,14
2020-07-15,26,10
2020-07-16,24,10
2020-07-17,25,9
2020-07-18,24,10
2020-07-19,22,15
2020-07-20,20,16
2020-07-21,21,15
2020-07-22,19,17
2020-07-23,19,17
2020-07-24,21,14
2020-07-25,12,16
2020-07-26,11,17
2020-07-27,16,15
2020-07-28,19,12
2020-07-29,20,11
2020-07-30,24,12
2020-07-31,22,13
2020-08-01,18,9
2020-08-02,19,8
2020-08-03,27,10
2020-08-04,20,16
2020-08-05,23,13
2020-08-06,23,13
2020-08-07,21,15
2020-08-08,20,16
2020-08-09,21,17
2020-08-10,25,13
2020-08-11,21,17
2020-08-12,24,14
2020-08-13,21,17
2020-08-14,26,12
2020-08-15,19,19
2020-08-16,19,19
2020-08-17,19,19
2020-08-18,21,17
2020-08-19,27,11
2020-08-20,23,15
2020-08-21,23,15
2020-08-22,21,17
2020-08-23,21,17
2020-08-24,21,17
2020-08-25,21,17
2020-08-26,21,17
2020-08-29,19,19
2020-08-30,13,25
2020-08-31,16,22
2020-09-01,16,22
2020-09-02,15,23
2020-09-03,15,23
2020-09-04,19,19
2020-09-05,16,22
2020-09-06,19,19
2020-09-07,22,16
2020-09-08,25,13
2020-09-09,27,11
2020-09-10,30,8
2020-09-11,29,9
2020-09-12,30,8
2020-09-13,33,5
2020-09-14,30,8
2020-09-15,26,12
2020-09-16,30,14
2020-09-17,29,15
2020-09-18,29,15
2020-09-19,24,20
2020-09-20,27,17
2020-09-21,30,14
2020-09-22,28,10
2020-09-23,24,14
2020-09-24,29,9
2020-09-25,29,5
2020-09-26,31,4
2020-09-27,30,5
2020-09-28,26,9
2020-09-29,24,11
2020-09-30,24,11
2020-10-01,27,8
2020-10-02,15,16
2020-10-03,15,16
2020-10-04,20,11
2020-10-05,20,9
2020-10-06,19,10
2020-10-07,17,12
2020-10-08,17,12
2020-10-09,16,12
2020-10-10,16,12
2020-10-11,16,12
2020-10-12,14,15
2020-10-13,15,14
2020-10-14,15,14
2020-10-15,15,14
2020-10-16,13,16
2020-10-17,13,16
2020-10-18,12,17
2020-10-19,15,14
2020-10-20,14,15
2020-10-21,17,12
2020-10-22,20,9
2020-10-23,18,11
2020-10-24,17,12
2020-10-25,17,12
2020-10-26,16,13
2020-10-27,17,12
2020-10-28,19,10
2020-10-29,16,9
2020-10-30,17,12
2020-10-31,17,12
2020-11-01,18,11
2020-11-02,14,15
2020-11-03,16,13
2020-11-04,17,12
2020-11-05,17,12
2020-11-06,13,14
2020-11-07,15,14
2020-11-08,13,16
2020-11-09,14,13
2020-11-10,14,13
2020-11-11,17,10
2020-11-12,17,10
2020-11-13,16,11
2020-11-14,17,8
2020-11-15,17,8
2020-11-16,19,8
2020-11-17,19,8
2020-11-18,18,9
2020-11-19,19,8
2020-11-20,18,9
2020-11-21,18,9
2020-11-22,19,8
2020-11-23,19,8
2020-11-24,16,11
2020-11-25,17,10
2020-11-26,17,9
2020-11-27,17,10
2020-11-28,16,11
2020-11-29,16,11
2020-11-30,16,11
2020-12-01,20,8
2020-12-02,17,7
2020-12-03,21,3
2020-12-04,19,5
2020-12-05,18,6
2020-12-06,19,5
2020-12-07,18,6
2020-12-08,19,5
2020-12-09,18,6
2020-12-10,19,5
2020-12-11,21,3
2020-12-12,22,2
2020-12-13,21,3
2020-12-14,19,3
2020-12-15,19,5
2020-12-16,11,9
2020-12-17,16,11
2020-12-18,16,11
2020-12-19,18,9
2020-12-20,18,9
2020-12-21,17,8
2020-12-22,18,7
2020-12-23,18,6
2020-12-24,17,6
2020-12-25,13,10
2020-12-26,13,10
2020-12-27,13,10
2020-12-28,16,7
2020-12-29,17,4
2020-12-30,22,5
2020-12-31,20,7
2021-01-01,21,6
2021-01-02,25,4
2021-01-03,25,4
2021-01-04,25,2
2021-01-05,25,2
2021-01-06,23,4
2021-01-07,17,9
2021-01-08,17,10
2021-01-09,16,8
2021-01-10,18,7
2021-01-11,17,9
2021-01-12,21,5
2021-01-13,20,5
2021-01-14,20,5
2021-01-15,22,3
2021-01-16,22,3
2021-01-17,19,4
2021-01-18,18,5
2021-01-19,23,5
2021-01-20,24,4
2021-01-21,24,4
2021-01-22,24,3
2021-01-23,27,1
2021-01-24,28,0
2021-01-25,27,2
2021-01-26,27,2
2021-01-27,27,1
2021-01-28,28,0
2021-01-29,21,6
2021-01-30,22,6
2021-01-31,19,7
2021-02-01,20,6
2021-02-02,22,5
2021-02-03,24,3
2021-02-04,20,7
2021-02-05,25,2
2021-02-06,26,1
2021-02-07,26,1
2021-02-08,26,1
2021-02-09,23,4
2021-02-10,23,4
2021-02-11,23,5
2021-02-12,27,1
2021-02-13,27,1
2021-02-14,28,1
2021-02-15,25,3
2021-02-16,24,4
2021-02-17,20,8
2021-02-18,23,6
2021-02-19,23,7
2021-02-20,23,7
2021-02-21,23,7
2021-02-22,22,6
2021-02-23,22,6
2021-02-24,30,2
2021-02-25,23,6
2021-02-26,26,3
2021-02-27,21,9
2021-02-28,25,5
2021-03-01,23,7
2021-03-02,23,5
2021-03-03,21,7
2021-03-04,24,4
2021-03-05,24,4
2021-03-06,24,4
2021-03-07,24,4
2021-03-08,27,1
2021-03-09,28,3
2021-03-10,25,5
2021-03-11,27,3
2021-03-12,29,3
2021-03-13,28,3
2021-03-14,30,2
2021-03-15,27,5
2021-03-16,26,4
2021-03-17,26,5
2021-03-18,28,3
2021-03-19,28,3
2021-03-20,28,3
2021-03-21,27,4
2021-03-22,26,5
2021-03-23,28,3
2021-03-24,27,4
2021-03-25,30,1
2021-03-26,27,4
2021-03-27,23,8
2021-03-28,24,7
2021-03-29,27,3
2021-03-30,28,4
2021-03-31,26,6
2021-04-01,26,6
2021-04-02,29,3
2021-04-03,29,3
2021-04-04,28,1
2021-04-05,27,1
2021-04-06,27,2
2021-04-07,29,0
2021-04-08,29,0
2021-04-09,27,2
2021-04-10,26,2
2021-04-11,25,7
2021-04-12,27,7
2021-04-13,32,3
2021-04-14,27,4
2021-04-15,23,7
2021-04-16,23,7
2021-04-17,23,7
2021-04-18,23,7
2021-04-19,26,3
2021-04-20,24,5
2021-04-21,25,4
2021-04-22,22,7
2021-04-23,21,8
2021-04-24,21,8
2021-04-25,22,7
2021-04-26,19,10
2021-04-27,23,6
2021-04-28,28,2
2021-04-29,27,2
2021-04-30,27,2
2021-05-01,27,2
2021-05-02,27,2
2021-05-03,25,2
2021-05-04,26,3
2021-05-05,28,3
2021-05-06,26,4
2021-05-07,27,4
2021-05-08,27,3
2021-05-09,27,3
2021-05-10,24,6
2021-05-11,22,8
2021-05-12,26,4
2021-05-13,27,3
2021-05-14,24,6
2021-05-15,29,1
2021-05-16,28,2
2021-05-17,25,5
2021-05-18,26,4
2021-05-19,26,4
2021-05-20,29,1
2021-05-21,29,1
2021-05-22,29,1
2021-05-23,28,2
2021-05-24,26,4
2021-05-25,29,2
2021-05-26,24,5
2021-05-27,26,3
2021-05-28,28,3
2021-05-29,23,8
2021-05-30,23,8
2021-05-31,27,4
2021-06-01,25,6
2021-06-02,23,8
2021-06-03,22,9
2021-06-04,21,10
2021-06-05,22,9
2021-06-06,23,8
2021-06-07,18,12
2021-06-08,20,10
2021-06-09,29,2
2021-06-10,26,4
2021-06-11,19,6
2021-06-12,19,7
2021-06-13,21,5
2021-06-14,24,4
2021-06-15,24,3
2021-06-16,23,3
2021-06-17,22,4
2021-06-18,22,4
2021-06-19,22,4
2021-06-20,23,7
2021-06-21,27,2
2021-06-22,29,1
2021-06-23,26,1
2021-06-24,26,1
2021-06-25,27,1
2021-06-26,25,3
2021-06-27,25,1
2021-06-28,22,4
2021-06-29,24,2
2021-06-30,21,5
2021-07-01,23,3
2021-07-02,20,6
2021-07-03,19,7
2021-07-04,21,5
2021-07-05,18,2
2021-07-06,25,0
2021-07-07,24,5
2021-07-08,26,2
2021-07-09,24,3
2021-07-10,23,2
2021-07-11,22,4
2021-07-12,23,3
2021-07-13,25,2
2021-07-14,26,4
2021-07-15,21,6
2021-07-16,13,16
2021-07-17,14,15
2021-07-18,22,7
2021-07-19,25,2
2021-07-20,25,2
2021-07-21,27,1
2021-07-22,24,3
2021-07-23,22,5
2021-07-24,21,4
2021-07-25,21,4
2021-07-26,20,4
2021-07-27,20,3
2021-07-28,23,2
2021-07-29,26,3
2021-07-30,31,2
2021-07-31,31,2
2021-08-01,28,0
2021-08-02,32,0
2021-08-03,28,0
2021-08-04,28,0
2021-08-05,26,0
2021-08-06,27,0
2021-08-07,27,0
2021-08-08,27,0
2021-08-09,24,0
2021-08-10,26,0
2021-08-11,28,0
2021-08-12,28,3
2021-08-13,27,3
2021-08-14,31,1
2021-08-15,28,3
2021-08-16,28,2
2021-08-17,23,4
2021-08-18,27,2
2021-08-19,23,4
2021-08-20,19,5
2021-08-21,19,5
2021-08-22,19,5
2021-08-23,20,4
2021-08-24,19,4
2021-08-25,21,2
2021-08-26,20,3
2021-08-27,22,1
2021-08-28,21,2
2021-08-29,20,3
2021-08-30,17,6
2021-08-31,20,3
2021-09-01,18,5
2021-09-02,20,3
2021-09-03,20,3
2021-09-04,18,5
2021-09-05,19,4
2021-09-06,23,7
2021-09-07,24,4
2021-09-08,24,5
2021-09-09,24,5
2021-09-10,22,6
2021-09-11,19,9
2021-09-12,19,9
2021-09-13,18,9
2021-09-14,20,7
2021-09-15,23,4
2021-09-16,25,3
2021-09-17,23,5
2021-09-18,25,1
2021-09-19,24,1
2021-09-20,25,1
2021-09-21,25,2
2021-09-22,21,2
2021-09-23,21,4
2021-09-24,20,6
2021-09-25,19,5
2021-09-26,18,6
2021-09-27,15,9
2021-09-28,15,13
2021-09-29,14,10
2021-09-30,21,6
2021-10-01,27,1
2021-10-02,25,2
2021-10-03,24,3
2021-10-04,23,4
2021-10-05,25,2
2021-10-06,24,3
2021-10-07,23,4
2021-10-08,23,4
2021-10-09,23,4
2021-10-10,25,2
2021-10-11,22,5
2021-10-12,22,4
2021-10-13,22,4
2021-10-14,22,3
2021-10-15,20,5
2021-10-16,18,8
2021-10-17,18,8
2021-10-18,18,8
2021-10-19,22,4
2021-10-20,23,3
2021-10-21,24,2
2021-10-22,21,5
2021-10-23,22,4
2021-10-24,18,8
2021-10-25,20,6
2021-10-26,23,3
2021-10-27,29,0
2021-10-28,24,3
2021-10-29,20,6
2021-10-30,21,5
2021-10-31,21,5
2021-11-01,19,7
2021-11-02,19,7
2021-11-03,21,5
2021-11-04,23,3
2021-11-05,23,3
2021-11-06,30,0
2021-11-07,29,1
2021-11-08,29,1
2021-11-09,26,4
2021-11-10,30,1
2021-11-11,29,2
2021-11-12,31,0
2021-11-13,31,0
2021-11-14,32,0
2021-11-15,30,1
2021-11-16,31,0
2021-11-17,28,3
