date,betten_belegt,betten_frei
2020-04-24,108,109
2020-04-25,104,113
2020-04-26,100,117
2020-04-27,100,117
2020-04-28,102,115
2020-04-29,107,110
2020-04-30,107,110
2020-05-01,102,115
2020-05-02,104,113
2020-05-03,114,103
2020-05-04,114,103
2020-05-05,108,109
2020-05-06,104,113
2020-05-07,108,109
2020-05-08,98,119
2020-05-09,104,113
2020-05-10,104,113
2020-05-11,106,111
2020-05-12,106,111
2020-05-13,105,112
2020-05-14,105,112
2020-05-15,110,107
2020-05-16,112,105
2020-05-17,110,107
2020-05-18,104,113
2020-05-19,104,113
2020-05-20,107,130
2020-05-21,114,123
2020-05-22,106,131
2020-05-23,108,129
2020-05-24,112,125
2020-05-25,111,126
2020-05-26,109,128
2020-05-27,108,129
2020-05-28,113,124
2020-05-29,118,119
2020-05-30,112,125
2020-05-31,117,120
2020-06-01,107,130
2020-06-02,116,121
2020-06-03,117,120
2020-06-04,112,125
2020-06-05,117,120
2020-06-06,111,126
2020-06-07,108,129
2020-06-08,106,131
2020-06-09,110,127
2020-06-10,109,128
2020-06-11,112,125
2020-06-12,113,124
2020-06-13,121,116
2020-06-14,125,112
2020-06-15,123,114
2020-06-16,118,119
2020-06-17,118,119
2020-06-18,120,117
2020-06-19,114,123
2020-06-20,113,124
2020-06-21,114,123
2020-06-22,117,120
2020-06-23,122,115
2020-06-24,118,119
2020-06-25,113,124
2020-06-26,116,121
2020-06-27,113,124
2020-06-28,119,118
2020-06-29,121,116
2020-06-30,119,118
2020-07-01,123,114
2020-07-02,112,125
2020-07-03,112,125
2020-07-04,114,123
2020-07-05,110,127
2020-07-06,113,124
2020-07-07,117,120
2020-07-08,106,131
2020-07-09,114,123
2020-07-10,108,129
2020-07-11,107,130
2020-07-12,103,134
2020-07-13,104,133
2020-07-14,112,125
2020-07-15,112,125
2020-07-16,107,130
2020-07-17,105,132
2020-07-18,114,123
2020-07-19,112,125
2020-07-20,115,122
2020-07-21,112,125
2020-07-22,113,124
2020-07-23,116,121
2020-07-24,115,122
2020-07-25,107,128
2020-07-26,105,132
2020-07-27,112,125
2020-07-28,106,131
2020-07-29,115,122
2020-07-30,104,133
2020-07-31,118,119
2020-08-01,111,126
2020-08-02,113,124
2020-08-03,110,127
2020-08-04,114,103
2020-08-05,112,105
2020-08-06,111,106
2020-08-07,120,97
2020-08-08,114,103
2020-08-09,109,108
2020-08-10,115,102
2020-08-11,120,97
2020-08-12,121,96
2020-08-13,117,100
2020-08-14,119,98
2020-08-15,108,109
2020-08-16,104,113
2020-08-17,110,107
2020-08-18,117,100
2020-08-19,117,100
2020-08-20,117,100
2020-08-21,118,99
2020-08-22,107,110
2020-08-23,106,111
2020-08-24,106,111
2020-08-25,104,113
2020-08-26,111,106
2020-08-27,115,102
2020-08-28,115,102
2020-08-29,116,101
2020-08-30,111,106
2020-08-31,116,101
2020-09-01,114,103
2020-09-02,108,109
2020-09-03,112,105
2020-09-04,109,108
2020-09-05,104,113
2020-09-06,100,117
2020-09-07,107,110
2020-09-08,111,106
2020-09-09,116,101
2020-09-10,117,100
2020-09-11,114,103
2020-09-12,110,107
2020-09-13,108,109
2020-09-14,104,113
2020-09-15,116,101
2020-09-16,114,103
2020-09-17,116,101
2020-09-18,117,100
2020-09-19,111,106
2020-09-20,110,107
2020-09-21,110,107
2020-09-22,112,105
2020-09-23,107,110
2020-09-24,117,100
2020-09-25,115,102
2020-09-26,117,100
2020-09-27,115,102
2020-09-28,113,104
2020-09-29,109,108
2020-09-30,117,100
2020-10-01,113,104
2020-10-02,115,102
2020-10-03,115,102
2020-10-04,113,104
2020-10-05,119,98
2020-10-06,111,106
2020-10-07,113,104
2020-10-08,113,104
2020-10-09,110,107
2020-10-10,102,115
2020-10-11,103,114
2020-10-12,106,111
2020-10-13,98,119
2020-10-14,108,109
2020-10-15,111,106
2020-10-16,107,110
2020-10-17,101,116
2020-10-18,107,110
2020-10-19,106,111
2020-10-20,107,110
2020-10-21,106,111
