date,betten_belegt,betten_frei
2020-04-24,19,24
2020-04-25,23,20
2020-04-26,19,24
2020-04-27,20,23
2020-04-28,16,27
2020-04-29,23,20
2020-04-30,24,19
2020-05-01,19,22
2020-05-02,19,22
2020-05-03,18,23
2020-05-04,19,24
2020-05-05,19,24
2020-05-06,17,21
2020-05-07,20,18
2020-05-08,19,19
2020-05-09,19,19
2020-05-10,19,19
2020-05-11,20,18
2020-05-12,21,17
2020-05-13,17,21
2020-05-14,16,22
2020-05-15,19,19
2020-05-16,19,19
2020-05-17,15,23
2020-05-18,17,21
2020-05-19,21,17
2020-05-20,26,12
2020-05-21,22,16
2020-05-22,23,15
2020-05-23,26,12
2020-05-24,22,16
2020-05-25,22,16
2020-05-26,23,15
2020-05-27,30,8
2020-05-28,21,17
2020-05-29,20,18
2020-05-30,19,19
2020-05-31,18,20
2020-06-01,23,15
2020-06-02,21,17
2020-06-03,24,14
2020-06-04,24,14
2020-06-05,25,13
2020-06-06,25,13
2020-06-07,25,13
2020-06-08,15,25
2020-06-09,17,21
2020-06-10,21,17
2020-06-11,22,16
2020-06-12,21,17
2020-06-13,23,15
2020-06-14,19,19
2020-06-15,19,19
2020-06-16,26,12
2020-06-17,25,13
2020-06-18,19,19
2020-06-19,25,13
2020-06-20,19,19
2020-06-21,18,20
2020-06-22,22,16
2020-06-23,22,16
2020-06-24,28,10
2020-06-25,27,11
2020-06-26,29,9
2020-06-27,24,14
2020-06-28,21,17
2020-06-29,23,15
2020-06-30,27,11
2020-07-01,24,14
2020-07-02,24,14
2020-07-03,27,11
2020-07-04,28,10
2020-07-05,29,9
2020-07-06,24,14
2020-07-07,30,8
2020-07-08,28,10
2020-07-09,27,11
2020-07-10,27,11
2020-07-11,29,9
2020-07-12,26,12
2020-07-13,24,14
2020-07-14,29,14
2020-07-15,28,15
2020-07-16,28,15
2020-07-17,24,19
2020-07-18,26,17
2020-07-19,22,21
2020-07-20,21,22
2020-07-21,23,20
2020-07-22,27,16
2020-07-23,27,16
2020-07-24,21,22
2020-07-25,24,19
2020-07-26,23,20
2020-07-27,24,19
2020-07-28,24,19
2020-07-29,20,23
2020-07-30,18,25
2020-07-31,18,25
2020-08-01,25,18
2020-08-02,20,23
2020-08-03,21,22
2020-08-04,25,18
2020-08-05,20,23
2020-08-06,21,22
2020-08-07,21,22
2020-08-08,25,18
2020-08-09,23,20
2020-08-10,24,19
2020-08-11,26,17
2020-08-12,41,18
2020-08-13,42,17
2020-08-14,43,16
2020-08-15,38,21
2020-08-16,38,21
2020-08-17,36,23
2020-08-18,43,16
2020-08-19,42,17
2020-08-20,42,17
2020-08-21,41,18
2020-08-22,39,20
2020-08-23,36,23
2020-08-24,36,23
2020-08-25,42,17
2020-08-26,38,21
2020-08-27,37,22
2020-08-28,41,18
2020-08-29,36,23
2020-08-30,35,24
2020-08-31,38,21
2020-09-01,38,21
2020-09-02,36,23
2020-09-03,36,23
2020-09-04,36,23
2020-09-05,40,19
2020-09-06,39,20
2020-09-07,34,25
2020-09-08,38,16
2020-09-09,39,15
2020-09-10,38,16
2020-09-11,42,12
2020-09-12,36,18
2020-09-13,35,19
2020-09-14,41,13
2020-09-15,36,18
2020-09-16,36,18
2020-09-17,34,20
2020-09-18,33,21
2020-09-19,36,18
2020-09-20,35,19
2020-09-21,34,20
2020-09-22,41,13
2020-09-23,39,15
2020-09-24,43,11
2020-09-25,41,13
2020-09-26,40,14
2020-09-27,38,16
2020-09-28,32,22
2020-09-29,39,15
2020-09-30,38,16
2020-10-01,37,17
2020-10-02,33,21
2020-10-03,38,16
2020-10-04,42,12
2020-10-05,35,19
2020-10-06,37,17
2020-10-07,43,11
2020-10-08,33,21
2020-10-09,39,15
2020-10-10,35,20
2020-10-11,36,19
2020-10-12,33,21
2020-10-13,39,15
2020-10-14,36,18
2020-10-15,37,17
2020-10-16,39,15
2020-10-17,41,13
2020-10-18,44,10
2020-10-19,36,18
2020-10-20,41,13
2020-10-21,38,16
2020-10-22,39,15
2020-10-23,36,12
2020-10-24,33,15
2020-10-25,34,14
2020-10-26,35,13
2020-10-27,34,14
2020-10-28,37,11
2020-10-29,40,8
2020-10-30,39,9
2020-10-31,35,13
2020-11-01,36,12
2020-11-02,39,9
2020-11-03,37,7
2020-11-04,30,14
2020-11-05,34,10
2020-11-06,40,4
2020-11-07,40,4
2020-11-08,41,4
2020-11-09,38,4
2020-11-10,39,5
2020-11-11,37,5
2020-11-12,36,6
2020-11-13,38,4
2020-11-14,38,4
2020-11-15,38,4
2020-11-16,34,8
2020-11-17,36,6
2020-11-18,39,3
2020-11-19,35,7
2020-11-20,36,6
2020-11-21,37,5
2020-11-22,31,11
2020-11-23,28,14
2020-11-24,36,10
2020-11-25,41,5
2020-11-26,39,7
2020-11-27,38,8
2020-11-28,38,8
2020-11-29,41,5
2020-11-30,35,11
2020-12-01,38,6
2020-12-02,35,9
2020-12-03,36,8
2020-12-04,36,8
2020-12-05,38,6
2020-12-06,33,11
2020-12-07,33,11
2020-12-08,30,14
2020-12-09,37,7
2020-12-10,37,7
2020-12-11,37,7
2020-12-12,30,14
2020-12-13,30,14
2020-12-14,26,18
2020-12-15,31,13
2020-12-16,30,14
2020-12-17,29,15
2020-12-18,29,15
2020-12-19,34,10
2020-12-20,28,16
2020-12-21,26,19
2020-12-22,29,13
2020-12-23,33,9
2020-12-24,36,8
2020-12-25,31,11
2020-12-26,31,11
2020-12-27,29,13
2020-12-28,33,9
2020-12-29,30,14
2020-12-30,26,18
2020-12-31,30,14
2021-01-01,26,18
2021-01-02,30,14
2021-01-03,31,13
2021-01-04,24,20
2021-01-05,30,14
2021-01-06,32,12
2021-01-07,35,9
2021-01-08,28,16
2021-01-09,31,13
2021-01-10,30,14
2021-01-11,27,17
2021-01-12,34,12
2021-01-13,34,10
2021-01-14,33,11
2021-01-15,34,10
2021-01-16,38,6
2021-01-17,38,6
2021-01-18,32,12
2021-01-19,31,13
2021-01-20,25,19
2021-01-21,31,13
2021-01-22,31,13
2021-01-23,33,11
2021-01-24,34,10
2021-01-25,34,10
2021-01-26,36,8
2021-01-27,33,11
2021-01-28,36,8
2021-01-29,33,11
2021-01-30,35,9
2021-01-31,33,11
2021-02-01,37,7
2021-02-02,36,8
2021-02-03,31,13
2021-02-04,29,15
2021-02-05,29,15
2021-02-06,32,12
2021-02-07,31,13
2021-02-08,33,11
2021-02-09,31,13
2021-02-10,31,13
2021-02-11,35,9
2021-02-12,35,9
2021-02-13,32,12
2021-02-14,34,10
2021-02-15,36,8
2021-02-16,36,8
2021-02-17,36,8
2021-02-18,33,11
2021-02-19,36,8
2021-02-20,36,13
2021-02-21,35,14
2021-02-22,32,12
2021-02-23,29,15
2021-02-24,31,11
2021-02-25,31,11
2021-02-26,31,13
2021-02-27,37,7
2021-02-28,33,11
2021-03-01,32,12
2021-03-02,39,7
2021-03-03,36,8
2021-03-04,37,7
2021-03-05,39,3
2021-03-06,38,4
2021-03-07,35,7
2021-03-08,35,9
2021-03-09,36,8
2021-03-10,36,8
2021-03-11,38,6
2021-03-12,37,7
2021-03-13,35,9
2021-03-14,35,9
2021-03-15,38,6
2021-03-16,34,10
2021-03-17,36,8
2021-03-18,39,5
2021-03-19,35,9
2021-03-20,39,5
2021-03-21,33,11
2021-03-22,31,13
2021-03-23,33,12
2021-03-24,29,16
2021-03-25,29,16
2021-03-26,28,17
2021-03-27,37,8
2021-03-28,34,11
2021-03-29,36,9
2021-03-30,39,6
2021-03-31,37,8
2021-04-01,38,7
2021-04-02,38,7
2021-04-03,35,9
2021-04-04,34,10
2021-04-05,32,12
2021-04-06,37,7
2021-04-07,37,7
2021-04-08,34,10
2021-04-09,35,7
2021-04-10,35,5
2021-04-11,34,6
2021-04-12,34,7
2021-04-13,33,8
2021-04-14,35,6
2021-04-15,36,5
2021-04-16,34,7
2021-04-17,33,7
2021-04-18,32,8
2021-04-19,29,12
2021-04-20,32,9
2021-04-21,35,8
2021-04-22,34,9
2021-04-23,32,11
2021-04-24,33,10
2021-04-25,36,4
2021-04-26,36,4
2021-04-27,38,2
2021-04-28,35,3
2021-04-29,35,4
2021-04-30,34,7
2021-05-01,37,3
2021-05-02,37,3
2021-05-03,35,3
2021-05-04,38,2
2021-05-05,34,6
2021-05-06,31,10
2021-05-07,32,9
2021-05-08,26,15
2021-05-09,27,13
2021-05-10,31,9
2021-05-11,28,16
2021-05-12,35,10
2021-05-13,36,5
2021-05-14,29,12
2021-05-15,29,8
2021-05-16,29,7
2021-05-17,31,6
2021-05-18,35,4
2021-05-19,34,5
2021-05-20,34,5
2021-05-21,32,7
2021-05-22,32,7
2021-05-23,33,4
2021-05-24,37,2
2021-05-25,36,5
2021-05-26,37,4
2021-05-27,36,5
2021-05-28,40,3
2021-05-29,39,3
2021-05-30,37,5
2021-05-31,31,8
2021-06-01,29,10
2021-06-02,31,10
2021-06-03,33,8
2021-06-04,32,10
2021-06-05,32,10
2021-06-06,30,13
2021-06-07,25,18
2021-06-08,30,13
2021-06-09,37,6
2021-06-10,36,10
2021-06-11,33,13
2021-06-12,33,13
2021-06-13,34,12
2021-06-14,39,7
2021-06-15,37,6
2021-06-16,34,9
2021-06-17,30,13
2021-06-18,29,14
2021-06-19,28,15
2021-06-20,27,15
2021-06-21,30,12
2021-06-22,28,17
2021-06-23,29,16
2021-06-24,30,16
2021-06-25,31,15
2021-06-26,34,11
2021-06-27,37,8
2021-06-28,37,8
2021-06-29,44,1
2021-06-30,36,10
2021-07-01,34,12
2021-07-02,39,7
2021-07-03,39,7
2021-07-04,35,11
2021-07-05,30,16
2021-07-06,34,12
2021-07-07,37,9
2021-07-08,34,12
2021-07-09,37,9
2021-07-10,36,9
2021-07-11,32,13
2021-07-12,33,12
2021-07-13,37,8
2021-07-14,36,9
2021-07-15,37,9
2021-07-16,38,8
2021-07-17,35,11
2021-07-18,34,12
2021-07-19,36,11
2021-07-20,35,12
2021-07-21,34,13
2021-07-22,37,10
2021-07-23,38,9
2021-07-24,33,14
2021-07-25,30,16
2021-07-26,31,15
2021-07-27,35,11
2021-07-28,34,12
2021-07-29,40,6
2021-07-30,37,9
2021-07-31,34,12
2021-08-01,36,10
2021-08-02,35,11
2021-08-03,31,15
2021-08-04,32,13
2021-08-05,30,15
2021-08-06,27,18
2021-08-07,21,24
2021-08-08,29,14
2021-08-09,30,13
2021-08-10,34,12
2021-08-11,36,10
2021-08-12,37,9
2021-08-13,32,14
2021-08-14,31,15
2021-08-15,32,14
2021-08-16,28,18
2021-08-17,33,13
2021-08-18,31,15
2021-08-19,34,12
2021-08-20,28,18
2021-08-21,29,17
2021-08-22,32,14
2021-08-23,32,14
2021-08-24,37,9
2021-08-25,36,10
2021-08-26,37,9
2021-08-27,38,8
2021-08-28,36,9
2021-08-29,36,9
2021-08-30,32,13
2021-08-31,35,10
2021-09-01,32,13
2021-09-02,30,16
2021-09-03,34,12
2021-09-04,33,10
2021-09-05,26,17
2021-09-06,32,11
2021-09-07,34,11
2021-09-08,32,13
2021-09-09,29,16
2021-09-10,35,10
2021-09-11,30,15
2021-09-12,27,18
2021-09-13,28,17
2021-09-14,32,11
2021-09-15,32,11
2021-09-16,33,6
2021-09-17,32,13
2021-09-18,33,11
2021-09-19,27,18
2021-09-20,29,16
2021-09-21,32,13
2021-09-22,36,9
2021-09-23,32,13
2021-09-24,33,12
2021-09-25,34,11
2021-09-26,31,14
2021-09-27,36,9
2021-09-28,36,7
2021-09-29,38,5
2021-09-30,33,10
2021-10-01,35,8
2021-10-02,36,7
2021-10-03,35,8
2021-10-04,36,7
2021-10-05,35,8
2021-10-06,37,6
2021-10-07,36,7
2021-10-08,31,12
2021-10-09,32,11
2021-10-10,32,11
2021-10-11,29,14
2021-10-12,28,15
2021-10-13,30,13
2021-10-14,36,9
2021-10-15,33,12
2021-10-16,35,10
2021-10-17,29,15
2021-10-18,25,19
2021-10-19,32,12
2021-10-20,33,12
2021-10-21,36,7
2021-10-22,34,9
2021-10-23,33,12
2021-10-24,37,8
2021-10-25,35,8
2021-10-26,29,14
2021-10-27,32,11
2021-10-28,34,11
2021-10-29,34,11
2021-10-30,31,14
2021-10-31,31,14
