date,betten_belegt,betten_frei
2020-04-24,181,54
2020-04-25,176,58
2020-04-26,166,55
2020-04-27,183,54
2020-04-28,180,48
2020-04-29,173,55
2020-04-30,176,51
2020-05-01,159,61
2020-05-02,161,59
2020-05-03,155,65
2020-05-04,171,49
2020-05-05,168,52
2020-05-06,171,47
2020-05-07,177,40
2020-05-08,183,41
2020-05-09,177,47
2020-05-10,176,48
2020-05-11,175,48
2020-05-12,186,41
2020-05-13,170,54
2020-05-14,173,50
2020-05-15,182,37
2020-05-16,179,42
2020-05-17,176,46
2020-05-18,179,41
2020-05-19,185,35
2020-05-20,181,39
2020-05-21,192,29
2020-05-22,189,32
2020-05-23,176,45
2020-05-24,178,44
2020-05-25,191,32
2020-05-26,184,38
2020-05-27,176,46
2020-05-28,172,50
2020-05-29,182,42
2020-05-30,179,44
2020-05-31,176,44
2020-06-01,172,51
2020-06-02,180,47
2020-06-03,179,43
2020-06-04,182,41
2020-06-05,179,43
2020-06-06,175,47
2020-06-07,173,50
2020-06-08,181,41
2020-06-09,181,41
2020-06-10,178,46
2020-06-11,186,39
2020-06-12,177,45
2020-06-13,174,48
2020-06-14,175,47
2020-06-15,158,69
2020-06-16,166,58
2020-06-17,165,59
2020-06-18,166,59
2020-06-19,167,59
2020-06-20,178,46
2020-06-21,179,44
2020-06-22,186,40
2020-06-23,191,35
2020-06-24,191,34
2020-06-25,185,39
2020-06-26,177,47
2020-06-27,176,47
2020-06-28,172,54
2020-06-29,179,45
2020-06-30,171,55
2020-07-01,182,44
2020-07-02,180,39
2020-07-03,179,40
2020-07-04,173,46
2020-07-05,172,48
2020-07-06,186,42
2020-07-07,190,40
2020-07-08,190,40
2020-07-09,192,38
2020-07-10,189,42
2020-07-11,179,53
2020-07-12,179,52
2020-07-13,193,38
2020-07-14,191,40
2020-07-15,199,34
2020-07-16,195,33
2020-07-17,181,46
2020-07-18,191,35
2020-07-19,181,45
2020-07-20,178,48
2020-07-21,181,47
2020-07-22,184,46
2020-07-23,180,48
2020-07-24,166,60
2020-07-25,176,52
2020-07-26,174,54
2020-07-27,175,53
2020-07-28,172,56
2020-07-29,183,56
2020-07-30,182,58
2020-07-31,190,47
2020-08-01,186,52
2020-08-02,185,53
2020-08-03,185,52
2020-08-04,167,63
2020-08-05,178,50
2020-08-06,188,41
2020-08-07,188,41
2020-08-08,178,51
2020-08-09,176,53
2020-08-10,179,50
2020-08-11,180,49
2020-08-12,172,56
2020-08-13,176,52
2020-08-14,174,55
2020-08-15,170,59
2020-08-16,170,59
2020-08-17,165,66
2020-08-18,167,62
2020-08-19,176,54
2020-08-20,180,49
2020-08-21,171,58
2020-08-22,176,53
2020-08-23,177,53
2020-08-24,174,56
2020-08-25,170,59
2020-08-26,176,52
2020-08-27,164,66
2020-08-28,162,69
2020-08-29,172,58
2020-08-30,176,53
2020-08-31,176,52
2020-09-01,179,49
2020-09-02,169,56
2020-09-03,167,61
2020-09-04,166,62
2020-09-05,162,69
2020-09-06,170,61
2020-09-07,173,57
2020-09-08,180,52
2020-09-09,185,47
2020-09-10,190,42
2020-09-11,185,43
2020-09-12,183,44
2020-09-13,171,55
2020-09-14,184,47
2020-09-15,193,39
2020-09-16,190,43
2020-09-17,193,39
2020-09-18,192,40
2020-09-19,183,46
2020-09-20,180,49
2020-09-21,185,45
2020-09-22,185,46
2020-09-23,185,46
2020-09-24,186,45
2020-09-25,184,47
2020-09-26,186,44
2020-09-27,185,45
2020-09-28,181,50
2020-09-29,198,42
2020-09-30,201,40
2020-10-01,196,45
2020-10-02,196,46
2020-10-03,188,47
2020-10-04,189,52
2020-10-05,185,52
2020-10-06,186,52
2020-10-07,193,48
2020-10-08,186,54
2020-10-09,185,52
2020-10-10,182,55
2020-10-11,177,60
2020-10-12,187,52
2020-10-13,189,52
2020-10-14,191,50
2020-10-15,196,45
2020-10-16,190,49
2020-10-17,180,59
2020-10-18,185,52
